yop_kodu,year,lise_id,yerlesen_sayisi,school_type
200810019,2025,10,2,8
200810019,2025,567,1,4
200810019,2025,595,1,0
200810019,2025,2128,1,5
200810019,2025,5086,1,5
200810019,2025,7706,1,5
200810019,2025,2452,1,4
200810028,2025,10,2,8
200810028,2025,622,1,4
200810028,2025,4729,1,4
200810028,2025,4894,1,4
200810028,2025,760,1,0
200810028,2025,10456,1,4
200810028,2025,566,1,4
200810037,2025,10,1,8
200810037,2025,342,1,4
200810037,2025,515,1,4
200810037,2025,411,1,4
200810037,2025,5408,1,4
200810037,2025,5035,1,5
200810037,2025,7714,1,5
200810037,2025,4117,1,4
200810055,2025,625,1,4
200810055,2025,2870,1,4
200810055,2025,804,1,4
200810055,2025,3501,1,4
200810055,2025,3388,1,4
200810055,2025,700,1,4
200810055,2025,599,1,4
200810055,2025,10149,1,5
200810073,2025,10,1,8
200810073,2025,448,1,4
200810073,2025,4473,1,4
200810073,2025,105,1,4
200810073,2025,3433,1,4
200810082,2025,7593,1,4
200810082,2025,363,1,5
200810082,2025,10457,1,5
200810082,2025,10309,1,5
200810082,2025,747,1,5
200810082,2025,9002,1,5
200810082,2025,6393,1,4
200810082,2025,6667,1,4
200810082,2025,323,1,4
200810082,2025,10,1,8
200810082,2025,2178,1,4
200810082,2025,5333,1,4
200810082,2025,2499,1,4
200810082,2025,4990,1,4
200810082,2025,5633,1,4
200810082,2025,2193,1,4
200810082,2025,8517,1,4
200851517,2025,3217,1,3
200851517,2025,3440,1,5
200851517,2025,8375,1,2
200851517,2025,667,1,4
200851517,2025,115,1,4
200851517,2025,533,1,4
200851517,2025,597,1,4
200851517,2025,764,1,7
200851517,2025,10458,1,5
200851517,2025,431,1,7
200851517,2025,680,1,7
200851519,2025,10,1,8
200851519,2025,431,1,7
200851520,2025,10,2,8
200851520,2025,3229,1,4
200851520,2025,597,1,4
200851520,2025,825,1,5
200851520,2025,5009,1,5
200851523,2025,847,1,4
200851523,2025,4955,1,4
200851523,2025,526,1,4
200851523,2025,2244,1,4
200851525,2025,10,1,8
200851525,2025,3301,1,4
200851525,2025,487,1,4
200851525,2025,6063,1,4
200851525,2025,10459,1,1
200851525,2025,6247,1,5
200851525,2025,9381,1,5
200851529,2025,10,2,8
200851529,2025,2223,1,4
200851529,2025,5731,1,4
200851529,2025,8214,1,5
200851529,2025,1775,1,4
200851531,2025,6546,1,4
200851532,2025,10,2,8
200851532,2025,4040,1,4
200851532,2025,8278,1,4
200851532,2025,10460,1,5
200851532,2025,9129,1,4
200851534,2025,7039,2,4
200851534,2025,3885,2,4
200851534,2025,3897,1,0
200851534,2025,689,1,4
200851534,2025,2998,1,4
200851534,2025,300,1,5
200851534,2025,5448,1,7
200851534,2025,4159,1,5
200851534,2025,8115,1,5
200851534,2025,505,1,5
200851534,2025,503,1,4
200851534,2025,10461,1,5
200851534,2025,3801,1,5
200851534,2025,3472,1,5
200851534,2025,4250,1,5
200851534,2025,10462,1,5
200851534,2025,8363,1,5
200851534,2025,3553,1,5
200851534,2025,455,1,5
200851534,2025,1859,1,4
200851534,2025,3957,1,4
200851534,2025,10,1,8
200851534,2025,2572,1,4
200851534,2025,4975,1,4
200851534,2025,3301,1,4
200851534,2025,7437,1,4
200851534,2025,7438,1,4
200851534,2025,6871,1,4
200851534,2025,6917,1,4
200851534,2025,4910,1,4
200851535,2025,1011,1,4
200851535,2025,3901,1,4
200851535,2025,10,2,8
200851535,2025,448,1,4
200851535,2025,667,1,4
200851535,2025,536,1,2
200851535,2025,415,1,4
200851535,2025,496,1,5
200851535,2025,603,1,7
200851535,2025,758,1,4
200851537,2025,7342,1,4
200851537,2025,5125,1,4
200851537,2025,384,2,1
200851539,2025,498,1,5
200851539,2025,6131,1,5
200851539,2025,5706,1,5
200851539,2025,9994,1,5
200851539,2025,6291,1,5
200851539,2025,10149,1,5
200851539,2025,337,1,7
200851539,2025,777,1,5
200851539,2025,6441,2,4
200851539,2025,6563,3,4
200851539,2025,10,4,8
200851539,2025,4617,1,4
200851539,2025,2330,1,4
200851539,2025,4585,1,5
200851539,2025,5656,1,4
200851539,2025,8761,1,5
200851539,2025,10463,1,1
200851539,2025,8739,1,5
200851541,2025,6776,1,4
200851541,2025,487,1,4
200851541,2025,2074,1,4
200851541,2025,6294,1,5
200851541,2025,710,1,7
200851541,2025,7302,1,4
200851543,2025,10464,1,5
200851543,2025,442,1,1
200851543,2025,8214,1,5
200851543,2025,7286,1,5
200851543,2025,382,1,4
200851543,2025,2723,1,4
200851543,2025,6671,1,4
200851543,2025,10,1,8
200851543,2025,6521,1,4
200851543,2025,487,1,4
200851543,2025,667,1,4
200851543,2025,8517,1,4
200851543,2025,4386,1,4
200851543,2025,760,1,0
200851543,2025,518,1,4
200851547,2025,10,2,8
200851547,2025,228,1,5
200851547,2025,2585,1,5
200851547,2025,10465,1,5
200851547,2025,777,1,5
200851547,2025,464,1,4
200851547,2025,7382,1,4
200851568,2025,6411,1,4
200851568,2025,1335,1,4
200851568,2025,8309,1,4
200851568,2025,301,1,8
200851568,2025,567,1,4
200851568,2025,4165,1,4
200851568,2025,2873,1,6
200851568,2025,1726,1,4
200851568,2025,760,1,0
200851568,2025,3576,1,4
200851568,2025,8375,1,2
200851570,2025,5794,1,4
200851570,2025,7546,1,4
200851570,2025,5834,1,4
200851570,2025,4506,1,4
200851570,2025,8278,1,4
200851570,2025,8221,1,5
200851570,2025,4243,1,5
