yop_kodu,year,lise_id,yerlesen_sayisi,school_type
200910027,2025,537,1,4
200910027,2025,5036,1,3
200910027,2025,3651,1,3
200910027,2025,7123,1,3
200910027,2025,552,1,3
200910027,2025,799,2,2
200910027,2025,3350,1,2
200910027,2025,803,2,2
200910027,2025,5341,1,4
200910027,2025,4165,1,4
200910027,2025,2731,1,2
200910027,2025,3429,1,4
200910027,2025,616,1,4
200910027,2025,2878,1,2
200910027,2025,1110,1,2
200910027,2025,118,2,4
200910036,2025,8507,2,4
200910036,2025,2731,1,2
200910036,2025,396,1,4
200910036,2025,143,5,2
200910036,2025,407,3,4
200910036,2025,863,1,4
200910036,2025,10107,1,3
200910036,2025,3873,1,4
200910036,2025,5069,1,4
200910036,2025,10139,1,2
200910036,2025,10,2,8
200910036,2025,8452,1,4
200910036,2025,1,2,4
200910036,2025,346,1,0
200910036,2025,10109,2,3
200910036,2025,490,2,5
200910036,2025,351,2,0
200910036,2025,526,1,4
200910036,2025,733,1,4
200910036,2025,333,1,4
200910036,2025,536,2,2
200910036,2025,2884,1,4
200910036,2025,688,1,3
200910036,2025,327,1,4
200910036,2025,8278,2,4
200910036,2025,5021,1,5
200910036,2025,10207,1,3
200910036,2025,6121,1,5
200910036,2025,10116,1,7
200910036,2025,10472,4,3
200910036,2025,9954,1,3
200910036,2025,10473,1,3
200910036,2025,5064,1,4
200910036,2025,10137,1,5
200910036,2025,10104,2,3
200910036,2025,9257,1,5
200910036,2025,3651,2,3
200910036,2025,10474,2,3
200910036,2025,5511,1,5
200910036,2025,10098,1,3
200910036,2025,10058,1,5
200910036,2025,10475,1,3
200910036,2025,552,2,3
200910036,2025,4140,2,4
200910036,2025,8582,1,5
200910036,2025,10476,2,5
200910036,2025,647,1,3
200910036,2025,3531,1,7
200910036,2025,529,1,5
200910036,2025,5375,1,1
200910036,2025,2311,1,3
200910036,2025,796,1,3
200910036,2025,723,1,3
200910036,2025,729,2,1
200910036,2025,377,1,0
200910036,2025,3453,1,0
200910036,2025,4973,2,2
200910036,2025,10477,1,4
200910036,2025,2184,1,2
200910036,2025,8337,1,2
200910036,2025,799,4,2
200910036,2025,10167,1,3
200910036,2025,10090,1,5
200910036,2025,802,1,2
200910036,2025,3629,3,0
200910036,2025,5341,3,4
200910036,2025,803,6,2
200910036,2025,278,2,2
200910036,2025,4066,1,2
200910036,2025,4165,2,4
200910036,2025,2161,1,4
200910054,2025,2891,1,2
200910054,2025,10063,1,5
200910054,2025,230,1,3
200910054,2025,723,1,3
200910054,2025,3453,1,0
200910054,2025,8337,1,2
200910054,2025,718,2,4
200910054,2025,10,1,8
200910054,2025,5607,1,4
200910054,2025,521,1,2
200910054,2025,143,1,2
200910054,2025,346,1,0
200910054,2025,732,1,4
200910054,2025,533,1,4
200910054,2025,536,1,2
200910081,2025,602,1,4
200910081,2025,7369,1,4
200910081,2025,4975,1,4
200910081,2025,3429,1,4
200910081,2025,5069,2,4
200910081,2025,532,1,4
200910081,2025,118,1,4
200910081,2025,668,1,4
200910081,2025,3401,1,5
200910081,2025,1436,1,4
200910081,2025,655,1,4
200910115,2025,1011,1,4
200910115,2025,1436,2,4
200910115,2025,5023,1,4
200910115,2025,4988,1,4
200910115,2025,4434,1,4
200910115,2025,2178,1,4
200910115,2025,7021,1,4
200910115,2025,5069,1,4
200910115,2025,1273,1,4
200910115,2025,2978,1,4
200910115,2025,645,1,5
200910115,2025,7929,1,3
200910115,2025,453,1,5
200910124,2025,625,1,4
