yop_kodu,year,lise_id,yerlesen_sayisi,school_type
102410018,2025,3594,1,4
102410018,2025,3397,1,4
102410018,2025,3540,1,0
102410018,2025,4011,1,4
102410018,2025,2730,1,2
102410018,2025,7115,1,4
102410018,2025,2226,1,4
102410018,2025,2600,1,4
102410018,2025,2876,1,2
102410018,2025,2879,1,2
102410018,2025,1731,1,4
102410018,2025,7894,1,4
102410018,2025,688,1,3
102410018,2025,7993,1,2
102410018,2025,1543,1,4
102410018,2025,64,1,4
102410018,2025,815,1,4
102410018,2025,2892,1,4
102410018,2025,2290,1,4
102410018,2025,5614,1,5
102410018,2025,3909,1,3
102410018,2025,301,1,8
102410018,2025,8390,1,5
102410018,2025,10211,1,5
102410018,2025,2740,1,7
102410018,2025,8354,1,3
102410018,2025,600,1,5
102410018,2025,10237,2,5
102410018,2025,5072,1,5
102410018,2025,10764,1,5
102410018,2025,7777,1,5
102410018,2025,9974,1,7
102410018,2025,10,5,8
102410018,2025,684,1,5
102410018,2025,1009,1,7
102410018,2025,2638,1,5
102410018,2025,2855,1,2
102410018,2025,2336,1,4
102410018,2025,2219,1,4
102410018,2025,1308,1,4
102410018,2025,830,1,4
102410018,2025,655,1,4
102410018,2025,8309,1,4
102410018,2025,206,1,4
102410018,2025,1437,1,2
102410018,2025,316,1,4
102410018,2025,1920,1,4
102410018,2025,215,1,4
102410018,2025,1961,1,4
102410018,2025,2389,2,4
102410018,2025,7759,1,4
102410018,2025,2756,1,4
102410018,2025,549,1,4
102410018,2025,939,1,2
102410018,2025,2575,1,4
102410018,2025,3455,1,0
102410027,2025,7049,1,4
102410027,2025,3122,1,4
102410027,2025,409,1,4
102410027,2025,3998,1,4
102410027,2025,5944,1,4
102410027,2025,256,1,4
102410027,2025,688,1,3
102410027,2025,65,1,4
102410027,2025,418,1,5
102410027,2025,1852,1,5
102410027,2025,1731,1,4
102410027,2025,3716,1,2
102410027,2025,2506,1,4
102410027,2025,4177,1,4
102410027,2025,4818,1,2
102410027,2025,2389,1,4
102410027,2025,3754,1,4
102410027,2025,5547,2,4
102410027,2025,3062,1,4
102410027,2025,664,1,4
102410027,2025,10,5,8
102410027,2025,5033,1,4
102410027,2025,32,1,4
102410027,2025,515,1,4
