yop_kodu,year,lise_id,yerlesen_sayisi,school_type
102810023,2025,4220,1,2
102810023,2025,142,1,4
102810023,2025,1123,1,0
102810023,2025,10958,1,4
102810023,2025,7484,1,4
102810023,2025,3460,1,4
102810023,2025,7070,1,4
102810023,2025,3091,1,4
102810023,2025,1553,1,4
102810023,2025,2480,1,4
102810023,2025,5326,1,4
102810023,2025,164,1,4
102810023,2025,4398,1,4
102810023,2025,5970,1,4
102810023,2025,4627,1,4
102810023,2025,959,1,4
102810023,2025,2780,2,0
102810023,2025,2633,1,5
102810023,2025,7750,1,3
102810023,2025,4744,1,5
102810023,2025,10959,1,3
102810023,2025,10,5,8
102810023,2025,4888,1,7
102810023,2025,75,1,5
102810023,2025,9910,1,5
102810023,2025,5056,1,5
102810023,2025,9963,1,5
102810023,2025,1306,1,5
102810023,2025,711,1,5
102810023,2025,1955,2,4
102810023,2025,2084,1,4
102810023,2025,2825,1,4
102810023,2025,1387,1,4
102810023,2025,269,1,4
102810023,2025,10625,1,4
102810023,2025,9410,1,4
102810023,2025,5676,1,4
102810023,2025,1616,1,4
102810023,2025,1656,1,4
102810023,2025,4847,1,4
102810023,2025,5330,1,4
102810023,2025,658,1,4
102810023,2025,2280,1,4
102810023,2025,1924,1,4
102810023,2025,6828,1,4
102810023,2025,10838,1,4
102810032,2025,7462,1,4
102810032,2025,2730,1,2
102810032,2025,2555,1,4
102810032,2025,1345,1,4
102810032,2025,1074,1,4
102810032,2025,1728,1,4
102810032,2025,4553,1,2
102810032,2025,2836,1,4
102810032,2025,2910,1,4
102810032,2025,255,1,4
102810032,2025,2321,1,4
102810032,2025,2073,1,0
102810032,2025,5910,1,4
102810032,2025,699,1,4
102810032,2025,2943,1,2
102810032,2025,7895,1,5
102810032,2025,2741,1,7
102810032,2025,8068,1,5
102810032,2025,9896,1,4
102810032,2025,2749,1,4
102810032,2025,267,1,4
102810032,2025,9301,1,4
102810032,2025,2312,1,4
102810032,2025,2611,1,5
102810032,2025,1308,1,4
102810032,2025,9809,1,4
102810032,2025,1322,1,2
102810032,2025,2921,1,4
102810032,2025,1559,1,4
102810032,2025,5468,1,4
102810032,2025,4593,1,4
102810032,2025,3373,1,4
102810032,2025,10,4,8
102810032,2025,8289,1,4
102810032,2025,2867,1,4
102810032,2025,1923,1,4
102810032,2025,4651,1,4
102810032,2025,1068,1,4
102810032,2025,4864,1,4
102810086,2025,312,1,4
102810086,2025,3512,1,0
102810086,2025,2540,1,4
102810086,2025,9207,1,4
102810086,2025,200,1,4
102810086,2025,10327,1,5
102810086,2025,8771,1,3
102810086,2025,171,1,5
102810086,2025,2270,1,3
102810086,2025,6263,1,5
102810086,2025,847,1,4
102810086,2025,2712,1,4
102810086,2025,2086,1,4
102810086,2025,1612,1,2
102810086,2025,2975,1,4
102810086,2025,1016,1,4
102810086,2025,4196,1,4
102810086,2025,801,1,1
102810086,2025,137,1,4
102810086,2025,4299,1,4
102810086,2025,10960,1,4
102810086,2025,10,5,8
102810086,2025,7612,1,4
102810086,2025,817,1,4
102810086,2025,5079,1,4
102810086,2025,3120,1,4
102810086,2025,4698,1,4
102810095,2025,4992,1,4
102810095,2025,9306,1,4
102810095,2025,2601,1,4
102810095,2025,5725,1,4
102810095,2025,5538,1,4
102810095,2025,4460,1,4
102810095,2025,3091,1,4
102810095,2025,855,1,4
102810095,2025,1760,1,4
102810095,2025,3197,1,4
102810095,2025,3033,1,4
102810095,2025,3332,1,4
102810095,2025,4371,1,4
102810095,2025,4627,1,4
102810095,2025,4364,1,4
102810095,2025,4545,1,4
102810095,2025,5161,1,4
102810095,2025,365,1,5
102810095,2025,7629,1,5
102810095,2025,3657,1,5
102810095,2025,6436,1,4
102810095,2025,3894,1,4
102810095,2025,179,1,4
102810095,2025,7331,1,4
102810095,2025,10502,1,4
102810095,2025,1067,1,4
102810095,2025,5175,1,4
102810095,2025,2756,1,4
102810095,2025,1504,1,4
102810095,2025,10,7,8
102810095,2025,9188,1,4
102810095,2025,5140,1,4
102810095,2025,6880,1,4
102810095,2025,142,1,4
102810095,2025,1123,1,0
102810138,2025,3460,1,4
102810138,2025,2395,1,4
102810138,2025,1074,1,4
102810138,2025,2101,1,4
102810138,2025,850,1,4
102810138,2025,3737,1,4
102810138,2025,5664,1,4
102810138,2025,596,1,4
102810138,2025,3598,1,4
102810138,2025,4230,1,4
102810138,2025,10,3,8
102810138,2025,2842,1,4
102810138,2025,2487,1,4
102810138,2025,4586,1,4
102810138,2025,3898,1,4
102810138,2025,4744,1,5
102810138,2025,1169,1,5
102810138,2025,683,1,5
102810138,2025,10961,1,5
102810138,2025,2659,1,4
102810138,2025,3474,1,4
102810138,2025,4056,1,4
102810138,2025,4639,1,4
102810138,2025,2114,1,4
102810138,2025,5321,1,4
102810138,2025,4222,1,4
102810138,2025,6884,1,4
102810138,2025,3485,1,4
102810138,2025,863,1,4
102810147,2025,6887,1,4
102810147,2025,1123,1,0
102810147,2025,8218,1,4
102810147,2025,4698,1,4
102810147,2025,3542,1,4
102810147,2025,7026,1,4
