yop_kodu,year,lise_id,yerlesen_sayisi,school_type
102910013,2025,4077,1,4
102910013,2025,189,1,4
102910013,2025,804,1,4
102910013,2025,1228,1,4
102910013,2025,108,1,2
102910013,2025,3687,1,2
102910013,2025,45,1,2
102910013,2025,3679,1,2
102910013,2025,1040,1,4
102910013,2025,863,2,4
102910013,2025,883,1,4
102910013,2025,244,2,4
102910013,2025,1213,1,4
102910013,2025,1295,1,2
102910013,2025,1043,2,4
102910013,2025,1108,1,4
102910013,2025,1540,1,2
102910013,2025,903,1,4
102910013,2025,8183,1,4
102910013,2025,904,1,4
102910013,2025,1185,1,4
102910013,2025,10,5,8
102910013,2025,1109,1,4
102910013,2025,865,1,2
102910013,2025,906,2,4
102910013,2025,4001,1,2
102910013,2025,163,1,2
102910013,2025,1110,1,2
102910013,2025,352,1,2
102910013,2025,536,1,2
102910013,2025,3159,1,2
102910013,2025,3390,1,4
102910013,2025,890,1,4
102910013,2025,4710,1,2
102910013,2025,870,1,4
102910013,2025,836,1,4
102910013,2025,391,1,5
102910013,2025,999,2,2
102910013,2025,822,2,4
102910013,2025,9111,1,5
102910013,2025,914,1,5
102910013,2025,354,1,3
102910013,2025,263,1,3
102910013,2025,1419,1,2
102910013,2025,1424,1,3
102910013,2025,877,1,3
102910013,2025,232,1,3
102910013,2025,10470,1,3
102910013,2025,1183,1,4
102910013,2025,3223,1,4
102910013,2025,1433,3,2
102910013,2025,1061,3,2
102910013,2025,210,1,2
102910013,2025,931,1,4
102910013,2025,891,2,4
102910013,2025,1322,1,2
102910013,2025,2750,1,2
102910013,2025,1017,2,2
102910013,2025,2091,1,4
102910013,2025,886,1,4
102910013,2025,1066,2,2
102910013,2025,2571,1,2
102910013,2025,86,1,2
102910013,2025,4827,1,2
102910013,2025,1339,1,4
102910013,2025,1211,1,4
102910013,2025,1101,1,2
102910013,2025,35,2,4
102910013,2025,888,1,4
102910013,2025,41,2,2
102910013,2025,1404,1,2
102910022,2025,987,1,4
102910022,2025,1489,1,4
102910022,2025,1126,1,4
102910022,2025,1131,1,4
102910022,2025,1347,1,4
102910022,2025,1043,1,4
102910022,2025,899,1,4
102910022,2025,952,1,4
102910022,2025,250,1,4
102910022,2025,4461,1,4
102910022,2025,2070,1,4
102910022,2025,1298,1,4
102910022,2025,905,1,4
102910022,2025,837,1,4
102910022,2025,3840,1,4
102910022,2025,10997,1,4
102910022,2025,2482,1,4
102910022,2025,4143,1,4
102910022,2025,2195,1,4
102910022,2025,1202,1,4
102910022,2025,541,2,5
102910022,2025,883,1,4
102910022,2025,1052,1,5
102910022,2025,4005,1,5
102910022,2025,10898,1,7
102910022,2025,7242,1,5
102910022,2025,8669,1,3
102910022,2025,3552,1,5
102910022,2025,380,1,5
102910022,2025,5438,1,4
102910022,2025,969,2,4
102910022,2025,930,3,4
102910022,2025,1541,1,4
102910022,2025,880,1,4
102910022,2025,4882,1,4
102910022,2025,1531,1,4
102910022,2025,934,2,4
102910022,2025,887,1,4
102910022,2025,888,1,4
102910022,2025,3071,1,4
102910022,2025,10,8,8
102910022,2025,2301,1,4
102910022,2025,4179,1,4
102910022,2025,10998,1,4
