yop_kodu,year,lise_id,yerlesen_sayisi,school_type
202610033,2025,3453,1,0
202610033,2025,1436,1,4
202610033,2025,3629,1,0
202610033,2025,278,1,2
202610033,2025,10,1,8
202610033,2025,5341,1,4
202610033,2025,143,1,2
202610033,2025,351,1,0
202610033,2025,526,1,4
202610033,2025,121,1,2
202610033,2025,10475,1,3
202610033,2025,796,1,3
202610051,2025,9744,2,4
202610051,2025,5885,1,4
202610051,2025,2247,1,4
202610051,2025,82,1,4
202610051,2025,7112,1,4
202610051,2025,4219,1,2
202610051,2025,847,1,4
202610051,2025,10,3,8
202610051,2025,342,1,4
202610051,2025,3630,1,4
202610051,2025,139,1,4
202610051,2025,3855,1,4
202610051,2025,4012,1,4
202610051,2025,1469,1,4
202610112,2025,5528,1,5
202610112,2025,323,1,4
202610112,2025,4751,1,0
202610112,2025,731,1,4
202610112,2025,526,1,4
202610112,2025,1216,1,4
202610112,2025,5885,1,4
202610112,2025,8788,1,5
202610112,2025,843,1,5
202610112,2025,8886,1,5
202610157,2025,4876,1,2
202610157,2025,716,1,0
202610157,2025,108,1,2
202610157,2025,2205,1,4
202610157,2025,1702,1,4
202610157,2025,693,1,2
202610157,2025,1213,1,4
202610157,2025,2164,1,4
202610157,2025,252,1,2
202610157,2025,389,1,5
202610157,2025,10,4,8
202610157,2025,1110,1,2
202610157,2025,347,1,4
202610157,2025,1409,1,4
202610157,2025,1525,1,2
202610157,2025,7993,1,2
202610157,2025,1543,1,4
202610157,2025,2432,2,2
202610157,2025,1766,1,6
202610157,2025,668,1,4
202610157,2025,522,1,2
202610157,2025,890,1,4
202610157,2025,1000,1,3
202610157,2025,8399,1,3
202610157,2025,3876,1,3
202610157,2025,2331,1,5
202610157,2025,8287,1,3
202610157,2025,4063,1,3
202610157,2025,2174,1,5
202610157,2025,826,1,5
202610157,2025,8103,1,3
202610157,2025,964,1,3
202610157,2025,1024,1,2
202610157,2025,230,1,3
202610157,2025,1422,1,3
202610157,2025,3990,1,5
202610157,2025,1706,1,5
202610157,2025,8020,1,3
202610157,2025,3912,1,3
202610157,2025,8095,1,3
202610157,2025,552,1,3
202610157,2025,1204,1,5
202610157,2025,1499,1,5
202610157,2025,5304,1,4
202610157,2025,1428,1,3
202610157,2025,3466,1,4
202610157,2025,8375,1,2
202610157,2025,4973,1,2
202610157,2025,3424,1,2
202610157,2025,237,1,0
202610157,2025,830,1,4
202610157,2025,1959,1,4
202610157,2025,3915,1,2
202610157,2025,8049,1,5
202610157,2025,2856,1,2
202610157,2025,8244,1,5
202610157,2025,4827,1,2
202610157,2025,215,1,4
202610157,2025,3851,1,4
202610157,2025,102,1,2
202610157,2025,5168,1,2
202610157,2025,138,1,2
202610157,2025,278,1,2
202610157,2025,1637,1,4
202610157,2025,4324,1,2
202610157,2025,983,1,4
202610184,2025,10,1,8
202610184,2025,687,1,5
202610184,2025,2376,1,4
202610184,2025,500,1,5
202610218,2025,1451,1,4
202610218,2025,4345,1,5
202610218,2025,11055,1,5
202610218,2025,10149,1,5
202610218,2025,4434,1,4
202650601,2025,3977,1,4
202650601,2025,7519,1,4
202650601,2025,7526,1,4
202650601,2025,2695,1,4
202650601,2025,4349,1,4
202650601,2025,688,1,3
202650601,2025,2376,1,4
202650601,2025,1909,1,4
202650601,2025,2053,1,5
202650601,2025,420,1,5
202650601,2025,2327,1,4
202650601,2025,10129,1,5
202650601,2025,8270,1,5
202650601,2025,4845,1,5
202650601,2025,3844,2,7
202650601,2025,1684,1,4
202650601,2025,612,1,4
202650601,2025,655,1,4
202650601,2025,2337,1,4
202650601,2025,6601,2,4
202650601,2025,6651,1,4
202650601,2025,10,4,8
202650601,2025,2753,1,4
202650601,2025,6687,1,4
202650601,2025,4415,1,4
202650601,2025,6736,1,4
202650601,2025,6965,1,4
202650601,2025,5788,1,4
202650601,2025,3457,1,4
202650601,2025,2718,1,0
202650601,2025,4589,1,4
202650601,2025,7479,1,4
202650607,2025,5012,1,4
202650607,2025,7021,1,4
202650607,2025,3607,1,4
202650607,2025,5770,1,4
202650607,2025,3624,1,5
202650608,2025,3852,1,4
202650608,2025,4011,1,4
202650608,2025,2977,1,4
202650608,2025,1934,1,4
202650608,2025,5750,1,4
