yop_kodu,year,lise_id,yerlesen_sayisi,school_type
300110061,2025,11110,1,0
300110061,2025,3464,1,4
300110061,2025,1563,1,4
300110061,2025,6046,1,4
300110061,2025,812,1,4
300110061,2025,1136,1,4
300110061,2025,4079,1,5
300110061,2025,5700,1,5
300110061,2025,8886,1,5
300110061,2025,1138,1,5
300110061,2025,10,1,8
300110061,2025,4768,1,4
300110061,2025,2068,1,4
300110061,2025,1791,1,4
300110061,2025,104,1,4
300110061,2025,4743,1,4
300110061,2025,2476,1,4
300110061,2025,1665,1,4
300110079,2025,702,1,4
300110079,2025,10,1,8
300110079,2025,5443,1,4
300110079,2025,1227,1,4
300110079,2025,5617,1,5
300110079,2025,927,1,5
300110079,2025,3870,1,4
300110079,2025,3983,1,4
300110097,2025,2680,1,4
300110097,2025,1965,1,4
300110097,2025,4069,1,4
300110097,2025,2480,2,4
300110097,2025,7266,1,5
300110104,2025,10,1,8
300110104,2025,3276,1,4
300110104,2025,842,1,4
300110104,2025,2737,1,4
300110104,2025,3016,1,4
300110104,2025,11111,1,3
300110104,2025,1746,1,4
300110104,2025,1358,1,4
300110113,2025,10,2,8
300110122,2025,11112,1,5
300110122,2025,381,1,5
300110122,2025,10,1,8
300110122,2025,3361,1,4
300110122,2025,958,1,4
300110122,2025,911,1,4
300110122,2025,1544,1,4
300110122,2025,999,1,2
300110122,2025,8112,1,5
300110122,2025,437,1,5
300110131,2025,1363,1,4
300110131,2025,3625,1,5
300110131,2025,967,1,5
300110131,2025,1306,1,5
300110131,2025,1033,1,5
300110131,2025,133,1,4
300110131,2025,1284,1,4
300110176,2025,2156,1,4
300110176,2025,8428,1,5
300110176,2025,7141,1,5
300110176,2025,7309,1,4
300110176,2025,8782,1,4
300110237,2025,872,1,5
300110237,2025,8668,1,5
300110237,2025,3247,1,5
300110237,2025,7636,1,5
300110237,2025,2403,1,5
300110237,2025,4281,1,5
300110237,2025,2215,1,5
300110237,2025,373,1,5
300110237,2025,8682,1,5
300110237,2025,2159,1,4
300110237,2025,2203,1,4
300110237,2025,104,1,4
300110237,2025,2023,1,4
300110237,2025,2072,1,4
300110237,2025,4262,1,4
300110237,2025,2738,1,4
300110237,2025,2195,1,4
300110237,2025,1047,1,4
300110246,2025,2240,1,5
300110246,2025,8072,1,3
300110246,2025,594,1,4
300110246,2025,1025,1,2
300110246,2025,3684,1,2
300110246,2025,3854,1,0
300110246,2025,716,1,0
300110246,2025,2099,1,4
300110246,2025,2705,1,4
300110246,2025,1049,1,3
300110246,2025,4624,1,5
300110246,2025,2932,1,5
300110264,2025,1578,1,0
300110282,2025,702,1,4
300110282,2025,10,1,8
300110282,2025,1192,1,4
300110282,2025,5487,1,5
300110282,2025,4172,1,4
300110282,2025,94,1,5
300110307,2025,10,1,8
300110307,2025,2645,1,1
300110307,2025,8077,1,4
300110307,2025,4585,1,5
300110307,2025,6062,1,4
300110307,2025,7269,1,5
300110307,2025,2159,1,4
300110307,2025,11113,1,4
