yop_kodu,year,lise_id,yerlesen_sayisi,school_type
103110018,2025,2577,1,4
103110018,2025,10639,1,4
103110018,2025,2149,1,2
103110018,2025,3260,1,4
103110018,2025,5632,1,4
103110018,2025,244,1,4
103110018,2025,7841,1,4
103110018,2025,4060,1,4
103110018,2025,2231,1,4
103110018,2025,5918,1,4
103110018,2025,2285,1,4
103110018,2025,5930,1,4
103110018,2025,119,1,4
103110018,2025,4870,1,4
103110018,2025,1413,1,4
103110018,2025,6114,1,5
103110018,2025,3638,1,5
103110018,2025,3451,1,1
103110018,2025,2675,1,5
103110018,2025,9793,1,5
103110018,2025,708,1,7
103110018,2025,10,9,8
103110018,2025,2241,1,5
103110018,2025,1507,1,4
103110018,2025,459,1,4
103110018,2025,2590,1,4
103110018,2025,2244,1,4
103110018,2025,4728,1,4
103110018,2025,6593,1,4
103110018,2025,1094,1,4
103110018,2025,2388,1,4
103110018,2025,2453,1,4
103110018,2025,1148,1,4
103110018,2025,2552,1,4
103110018,2025,3540,1,0
103110018,2025,2499,1,4
103110018,2025,4677,1,4
103110018,2025,1932,1,0
103110018,2025,1967,1,4
103110027,2025,5082,1,4
103110027,2025,4570,1,4
103110027,2025,5524,1,4
103110027,2025,2263,1,2
103110027,2025,11157,1,1
103110027,2025,10723,1,3
103110027,2025,7890,1,4
103110027,2025,26,1,4
103110027,2025,28,1,4
103110027,2025,655,1,4
103110027,2025,10,3,8
103110027,2025,2405,1,4
103110027,2025,2155,1,4
103110027,2025,2016,1,4
103110027,2025,1985,1,4
103110027,2025,111,1,4
103110027,2025,3739,1,4
103110027,2025,2909,1,4
103110027,2025,1877,1,0
103110036,2025,1028,1,4
103110036,2025,1966,1,4
103110036,2025,2732,1,4
103110036,2025,203,1,5
103110036,2025,10059,1,5
103110036,2025,1353,1,5
103110036,2025,4728,1,4
103110036,2025,813,1,4
103110045,2025,2047,1,4
103110045,2025,590,1,4
103110045,2025,286,1,0
103110045,2025,3589,1,5
103110045,2025,6430,1,4
103110045,2025,3719,1,4
103110045,2025,2491,1,4
103110045,2025,4673,1,4
103110045,2025,1118,1,4
103110045,2025,1095,1,4
103110045,2025,6894,2,4
103110045,2025,3973,1,4
103110045,2025,3572,1,0
103110045,2025,1130,1,4
103110045,2025,4632,1,4
103110045,2025,4256,1,4
103110045,2025,2669,1,4
103110045,2025,2023,1,4
103110045,2025,2026,1,4
103110045,2025,2890,1,6
103110063,2025,10,1,8
103110063,2025,1215,1,4
103110063,2025,2458,1,4
