yop_kodu,year,lise_id,yerlesen_sayisi,school_type
103410015,2025,5572,1,2
103410015,2025,316,1,4
103410015,2025,2862,1,5
103410015,2025,2571,3,2
103410015,2025,86,1,2
103410015,2025,594,1,4
103410015,2025,2864,1,2
103410015,2025,35,1,4
103410015,2025,2966,2,2
103410015,2025,3862,1,4
103410015,2025,2453,2,4
103410015,2025,5378,1,2
103410015,2025,2161,3,4
103410015,2025,2728,1,4
103410015,2025,2850,1,4
103410015,2025,3476,2,4
103410015,2025,2717,1,2
103410015,2025,2162,1,2
103410015,2025,1560,2,2
103410015,2025,521,1,2
103410015,2025,10,1,8
103410015,2025,2871,1,4
103410015,2025,2226,1,4
103410015,2025,49,1,2
103410015,2025,3679,1,2
103410015,2025,2228,1,4
103410015,2025,1551,1,2
103410015,2025,5026,1,6
103410015,2025,2705,1,4
103410015,2025,244,1,4
103410015,2025,2736,1,4
103410015,2025,2169,1,4
103410015,2025,162,1,4
103410015,2025,900,2,2
103410015,2025,904,2,4
103410015,2025,906,1,4
103410015,2025,1675,1,4
103410015,2025,531,4,0
103410015,2025,2166,1,4
103410015,2025,1941,1,4
103410015,2025,4060,1,4
103410015,2025,3683,1,2
103410015,2025,3593,1,2
103410015,2025,617,1,4
103410015,2025,3907,2,2
103410015,2025,534,1,2
103410015,2025,2887,1,6
103410015,2025,2888,1,2
103410015,2025,958,1,4
103410015,2025,2170,1,2
103410015,2025,3159,1,2
103410015,2025,7993,1,2
103410015,2025,1909,1,4
103410015,2025,520,2,0
103410015,2025,2429,1,4
103410015,2025,870,1,4
103410015,2025,2960,1,3
103410015,2025,695,1,2
103410015,2025,538,1,6
103410015,2025,2432,1,2
103410015,2025,1127,1,4
103410015,2025,610,1,2
103410015,2025,1972,1,4
103410015,2025,354,1,3
103410015,2025,3667,1,2
103410015,2025,10926,1,3
103410015,2025,8788,1,5
103410015,2025,7898,1,3
103410015,2025,787,1,3
103410015,2025,1002,1,7
103410015,2025,475,1,3
103410015,2025,542,1,1
103410015,2025,741,1,5
103410015,2025,10084,1,3
103410015,2025,2490,1,5
103410015,2025,2869,1,0
103410015,2025,3988,1,5
103410015,2025,9989,1,3
103410015,2025,263,1,3
103410015,2025,2403,1,5
103410015,2025,4234,1,5
103410015,2025,10335,1,5
103410015,2025,8760,1,5
103410015,2025,5436,1,5
103410015,2025,3551,1,5
103410015,2025,2253,1,3
103410015,2025,187,1,2
103410015,2025,8398,1,3
103410015,2025,338,1,3
103410015,2025,3221,1,2
103410015,2025,4973,1,2
103410015,2025,530,1,4
103410015,2025,2218,1,2
103410015,2025,1743,1,4
103410015,2025,1060,1,4
103410015,2025,4064,1,2
103410015,2025,178,1,2
103410015,2025,558,1,4
