yop_kodu,year,lise_id,yerlesen_sayisi,school_type
209010015,2025,10,1,8
209010015,2025,5582,1,4
209010015,2025,3415,1,0
209010015,2025,2522,1,4
209010015,2025,3786,1,5
209010016,2025,9371,1,5
209010016,2025,707,1,5
209010016,2025,10058,1,5
209010016,2025,481,1,5
209010016,2025,709,1,5
209010016,2025,7237,1,5
209010016,2025,6291,1,5
209010016,2025,7253,1,5
209010016,2025,11239,1,5
209010016,2025,6342,1,5
209010016,2025,10,4,8
209010016,2025,565,2,5
209010016,2025,9710,1,7
209010016,2025,455,1,5
209010016,2025,5016,1,4
209010016,2025,461,1,4
209010016,2025,7303,1,4
209010016,2025,6490,1,4
209010016,2025,330,1,4
209010016,2025,566,1,4
209010016,2025,5747,1,4
209010016,2025,519,1,4
209010016,2025,5986,1,4
209010016,2025,700,1,4
209010016,2025,362,1,5
209010016,2025,4499,1,5
209010016,2025,8559,1,7
209010027,2025,1723,1,4
209010027,2025,515,1,4
209010027,2025,2540,1,4
209010027,2025,694,1,4
209010027,2025,9953,1,3
209010027,2025,8636,1,2
209010028,2025,409,1,4
209010028,2025,5538,1,4
209010028,2025,994,1,4
209010028,2025,526,1,4
209010028,2025,2043,1,4
209010028,2025,532,1,4
209010028,2025,105,1,4
209010028,2025,5236,1,4
209010028,2025,700,1,4
209010028,2025,8806,1,4
209010028,2025,5449,1,4
209010028,2025,5052,1,5
209010028,2025,5045,1,5
209010028,2025,5706,1,5
209010028,2025,576,1,1
209010028,2025,1306,1,5
209010028,2025,10088,1,7
209010028,2025,9992,1,5
209010028,2025,11125,1,5
209010028,2025,455,1,5
209010028,2025,4716,1,3
209010028,2025,10,2,8
209010028,2025,8763,1,5
209010028,2025,6437,1,4
209010028,2025,2138,1,4
209010028,2025,5562,1,4
209010028,2025,2419,1,4
209010028,2025,4604,1,4
209010028,2025,2161,1,4
209010028,2025,628,1,4
209010028,2025,3744,1,4
209010028,2025,2705,1,4
209010028,2025,7116,1,0
209010030,2025,3583,1,4
209010030,2025,760,1,0
209010030,2025,2542,1,4
209010030,2025,1447,1,5
209010030,2025,11402,1,3
209010031,2025,3898,1,4
209010031,2025,8279,1,5
209010031,2025,4982,1,5
209010031,2025,2381,1,5
209010031,2025,11026,1,5
209010031,2025,10611,1,5
209010031,2025,7253,1,5
209010031,2025,10702,1,5
209010031,2025,10163,1,5
209010031,2025,565,1,5
209010031,2025,5449,1,4
209010031,2025,5009,1,5
209010031,2025,460,1,4
209010031,2025,461,1,4
209010031,2025,2242,1,4
209010031,2025,566,1,4
209010031,2025,7380,1,4
209010031,2025,10,1,8
209010031,2025,1176,1,4
209010031,2025,448,1,4
209010031,2025,1517,1,4
209010031,2025,983,1,4
209010031,2025,6822,1,4
209010031,2025,5747,2,4
209010033,2025,1564,1,5
209010033,2025,9141,1,3
209010033,2025,5658,1,5
209010033,2025,1435,1,4
209010033,2025,6545,1,4
209010033,2025,2137,1,4
209010033,2025,6677,1,4
209010033,2025,981,1,4
209010033,2025,2718,1,0
209010033,2025,1572,1,4
209010033,2025,3387,1,4
209010033,2025,5888,1,4
209010033,2025,3885,1,4
209010033,2025,8806,1,4
209010034,2025,1594,1,4
209010034,2025,2617,1,4
209010034,2025,4222,1,4
209010034,2025,4223,1,4
209010034,2025,1701,1,2
209010034,2025,8966,1,4
209010034,2025,615,1,4
209010034,2025,3744,1,4
209010034,2025,1726,1,4
209010034,2025,1073,1,4
209010034,2025,503,2,4
209010034,2025,4085,2,4
209010034,2025,2736,1,4
209010034,2025,409,1,4
209010034,2025,3388,1,4
209010034,2025,411,1,4
209010034,2025,637,2,4
209010034,2025,1926,1,4
209010034,2025,252,1,2
209010034,2025,760,1,0
209010034,2025,2168,1,4
209010034,2025,301,1,8
209010034,2025,3600,1,4
209010034,2025,1908,1,4
209010034,2025,1909,1,4
209010034,2025,997,1,4
209010034,2025,417,1,4
209010034,2025,700,1,4
209010034,2025,1219,1,4
209010034,2025,5104,1,0
209010034,2025,4204,1,4
209010034,2025,3565,2,5
209010034,2025,10,5,8
209010034,2025,2249,1,1
209010034,2025,7664,1,5
209010034,2025,10081,1,5
209010034,2025,4888,1,7
209010034,2025,6245,1,5
209010034,2025,9963,1,5
209010034,2025,684,1,5
209010034,2025,454,1,5
209010034,2025,654,1,4
209010034,2025,6436,1,4
209010034,2025,1505,1,4
209010034,2025,460,2,4
209010034,2025,10714,1,4
209010034,2025,461,1,4
209010034,2025,3484,1,4
209010034,2025,1435,1,4
209010034,2025,1373,1,4
209010034,2025,612,1,4
209010034,2025,6494,1,4
209010034,2025,8317,1,4
209010034,2025,2147,1,4
209010034,2025,3863,1,4
209010034,2025,813,1,4
209010034,2025,7382,1,4
209010034,2025,3444,1,0
209010034,2025,5010,1,4
209010034,2025,1504,1,4
209010034,2025,448,1,4
209010034,2025,469,1,4
209010034,2025,5322,1,4
209010043,2025,10,1,8
209010043,2025,1200,1,2
209010043,2025,3247,1,5
209010043,2025,382,1,4
209010044,2025,11403,1,5
209010044,2025,5402,1,5
209010044,2025,3517,1,5
209010044,2025,4390,1,5
209010044,2025,10306,1,5
209010044,2025,1777,1,4
209010044,2025,566,1,4
209010044,2025,6622,1,4
209010044,2025,7368,1,4
209010044,2025,6671,1,4
209010044,2025,10,4,8
209010044,2025,7039,1,4
209010044,2025,10607,1,4
209010044,2025,5062,1,4
209010044,2025,492,1,5
209010044,2025,7157,1,5
209010044,2025,2769,1,5
209010044,2025,10133,1,5
209010053,2025,5827,1,0
209010053,2025,2961,1,0
209010053,2025,960,1,5
209010053,2025,3653,1,5
209010053,2025,9710,1,7
209010053,2025,455,1,5
209010054,2025,4228,1,4
209010054,2025,4204,1,4
209010054,2025,10464,1,5
209010054,2025,2053,1,5
209010054,2025,420,1,5
209010054,2025,10515,1,5
209010054,2025,703,1,5
209010054,2025,674,1,5
209010054,2025,10133,1,5
209010054,2025,8559,1,7
209010054,2025,10,1,8
209010054,2025,2698,1,5
209010054,2025,10153,1,5
209010054,2025,6281,1,5
209010054,2025,603,1,7
209010054,2025,5086,1,5
209010054,2025,5008,1,5
209010054,2025,337,1,7
209010054,2025,508,1,5
209010054,2025,9710,1,7
209010054,2025,6602,1,4
209010054,2025,666,1,4
209010054,2025,3202,1,5
209010054,2025,6688,1,4
209010054,2025,4963,1,4
209010054,2025,9739,2,4
209010054,2025,5445,1,4
209010054,2025,10002,1,4
209010054,2025,5538,1,4
209010054,2025,760,1,0
