yop_kodu,year,lise_id,yerlesen_sayisi,school_type
104210014,2025,2041,2,4
104210014,2025,3340,1,4
104210014,2025,192,1,0
104210014,2025,10788,1,4
104210014,2025,4473,1,4
104210014,2025,1318,1,4
104210014,2025,4887,1,0
104210014,2025,820,1,2
104210014,2025,1883,1,4
104210014,2025,1276,1,4
104210014,2025,6585,1,4
104210014,2025,1259,1,4
104210014,2025,1677,1,4
104210014,2025,2722,1,4
104210014,2025,4079,1,5
104210014,2025,4574,1,5
104210014,2025,4745,1,5
104210014,2025,10215,1,1
104210014,2025,11464,1,1
104210014,2025,3886,1,1
104210014,2025,6402,1,4
104210014,2025,10,2,8
104210014,2025,4129,1,4
104210014,2025,1634,1,4
104210014,2025,1119,1,4
104210014,2025,1065,1,4
104210014,2025,3225,1,4
104210014,2025,1117,1,4
104210014,2025,2809,1,4
104210014,2025,1785,1,4
104210014,2025,6927,1,4
104210014,2025,7915,1,4
104210014,2025,6994,1,4
104210023,2025,8519,1,4
104210023,2025,903,1,4
104210023,2025,4473,1,4
104210023,2025,5794,1,4
104210023,2025,1348,2,4
104210023,2025,4886,1,4
104210023,2025,7619,1,5
104210023,2025,1201,1,2
104210023,2025,1881,1,4
104210023,2025,1149,1,4
104210023,2025,5084,1,4
104210023,2025,1202,1,4
104210023,2025,4203,1,4
104210023,2025,1056,1,5
104210023,2025,203,1,5
104210023,2025,1084,1,5
104210023,2025,1706,1,5
104210023,2025,1223,1,4
104210023,2025,3018,1,4
104210023,2025,1099,1,4
104210023,2025,1358,1,4
104210023,2025,10,4,8
104210023,2025,6732,2,4
104210023,2025,1271,1,4
104210023,2025,1213,1,4
104210023,2025,811,1,4
104210023,2025,53,3,4
104210023,2025,1164,1,4
104210023,2025,1254,2,4
104210032,2025,221,1,4
104210032,2025,1693,1,4
104210032,2025,951,1,4
104210032,2025,976,1,4
104210032,2025,7813,1,4
104210032,2025,3386,2,4
104210032,2025,1040,1,4
104210032,2025,1327,1,4
104210032,2025,2041,2,4
104210032,2025,1213,1,4
104210032,2025,3306,1,4
104210032,2025,8176,1,5
104210032,2025,2786,2,4
104210032,2025,53,2,4
104210032,2025,1106,1,4
104210032,2025,1041,1,4
104210032,2025,1703,1,4
104210032,2025,1442,1,4
104210032,2025,8792,1,4
104210032,2025,1185,1,4
104210032,2025,1318,1,4
104210032,2025,5084,1,4
104210032,2025,1443,1,0
104210032,2025,994,1,4
104210032,2025,4000,1,4
104210032,2025,842,1,4
104210032,2025,1554,1,4
104210032,2025,1133,1,4
104210032,2025,5910,2,4
104210032,2025,4887,1,0
104210032,2025,1563,1,4
104210032,2025,5489,1,4
104210032,2025,10,9,8
104210032,2025,1202,1,4
104210032,2025,3246,1,4
104210032,2025,1276,1,4
104210032,2025,1136,1,4
104210032,2025,10666,1,5
104210032,2025,5277,1,5
104210032,2025,3968,1,5
104210032,2025,3624,1,5
104210032,2025,1033,1,5
104210032,2025,208,1,5
104210032,2025,1332,1,4
104210032,2025,3335,1,4
104210032,2025,879,1,4
104210032,2025,969,1,4
104210032,2025,3018,1,4
104210032,2025,1336,1,0
104210032,2025,1118,1,4
104210032,2025,4882,1,4
104210032,2025,6559,1,4
104210032,2025,2091,1,4
104210032,2025,3117,1,4
104210032,2025,1268,1,4
104210032,2025,7358,1,0
104210032,2025,276,1,4
104210032,2025,1338,1,4
104210032,2025,1398,1,4
104210032,2025,3672,1,2
104210032,2025,3753,1,4
104210032,2025,35,1,4
104210032,2025,3351,1,4
104210032,2025,1243,1,4
104210032,2025,3354,1,4
104210032,2025,1923,1,4
104210032,2025,1577,2,4
104210041,2025,3410,1,0
104210041,2025,53,1,4
104210041,2025,7531,1,4
104210041,2025,1254,1,4
104210041,2025,903,1,4
104210041,2025,1348,1,4
104210041,2025,1318,1,4
104210041,2025,1474,1,4
104210041,2025,1218,1,4
104210041,2025,1631,1,4
104210041,2025,60,1,2
104210041,2025,836,2,4
104210041,2025,1276,1,4
104210041,2025,11465,1,5
104210041,2025,3624,1,5
104210041,2025,397,1,5
104210041,2025,1084,1,5
104210041,2025,1651,1,5
104210041,2025,7266,1,5
104210041,2025,1087,1,4
104210041,2025,1060,1,4
104210041,2025,10,5,8
104210041,2025,3069,1,4
104210041,2025,27,1,4
104210041,2025,1322,2,2
104210041,2025,3018,2,4
104210041,2025,1336,1,0
104210041,2025,1063,1,4
104210041,2025,334,1,4
104210041,2025,972,1,4
104210041,2025,35,1,4
104210041,2025,1358,1,4
104210041,2025,1399,1,4
104210041,2025,895,1,4
104210041,2025,4097,1,4
104210041,2025,3386,1,4
104210041,2025,7022,1,4
104210041,2025,1213,2,4
104210068,2025,811,1,4
104210068,2025,53,1,4
104210068,2025,10985,1,4
104210068,2025,2778,1,4
104210068,2025,1318,1,4
104210068,2025,1257,1,4
104210068,2025,1454,1,4
104210068,2025,836,3,4
104210068,2025,879,1,4
104210068,2025,1509,1,4
104210068,2025,10,4,8
104210068,2025,1698,1,2
104210068,2025,2221,1,4
104210068,2025,1246,2,4
104210068,2025,1268,2,4
104210068,2025,848,1,4
104210068,2025,1785,1,4
104210068,2025,2726,1,4
104210068,2025,6901,1,4
104210068,2025,2786,2,4
104210077,2025,8222,1,4
104210077,2025,3380,1,4
104210077,2025,11050,1,4
104210077,2025,811,1,4
104210077,2025,3124,1,4
104210077,2025,1133,1,4
104210077,2025,6034,1,4
104210077,2025,4853,1,3
104210077,2025,5679,1,4
104210077,2025,6620,1,4
104210077,2025,4278,1,4
104210077,2025,1338,1,4
104210077,2025,1398,1,4
104210077,2025,3815,1,4
104210077,2025,10,7,8
104210077,2025,1268,1,4
104210077,2025,1690,1,4
104210077,2025,9573,1,4
104210077,2025,6776,1,4
104210077,2025,1271,2,4
104210077,2025,1577,1,4
104210086,2025,1785,1,4
104210086,2025,7413,1,4
104210086,2025,8726,1,4
104210086,2025,3958,1,4
104210086,2025,2646,1,4
104210086,2025,8222,1,4
104210086,2025,1812,1,4
104210086,2025,1451,1,4
104210086,2025,11134,1,4
104210086,2025,1228,1,4
104210086,2025,10183,1,4
104210086,2025,11466,1,4
104210086,2025,2041,1,4
104210086,2025,192,1,0
104210086,2025,3410,2,0
104210086,2025,811,1,4
104210086,2025,10577,1,4
104210086,2025,1703,1,4
104210086,2025,1254,1,4
104210086,2025,1366,1,4
104210086,2025,1714,1,4
104210086,2025,5084,1,4
104210086,2025,1348,1,4
104210086,2025,1298,1,4
104210086,2025,1218,1,4
104210086,2025,5061,1,4
104210086,2025,1454,1,4
104210086,2025,1202,1,4
104210086,2025,1084,1,5
104210086,2025,1519,1,5
104210086,2025,8148,1,5
104210086,2025,3370,1,4
104210086,2025,301,1,8
104210086,2025,3248,1,4
104210086,2025,1584,1,4
104210086,2025,5597,1,4
104210086,2025,2549,1,4
104210086,2025,1223,1,4
104210086,2025,1013,1,4
104210086,2025,3018,1,4
104210086,2025,1698,1,2
104210086,2025,1336,1,0
104210086,2025,7974,1,4
104210086,2025,10,5,8
104210086,2025,1311,1,4
104210086,2025,10455,1,4
104210086,2025,11467,1,4
104210086,2025,1243,1,4
104210086,2025,2301,1,4
104210086,2025,1268,1,4
104210086,2025,1342,1,4
104210086,2025,2809,1,4
104210095,2025,43,1,4
104210095,2025,3386,1,4
104210095,2025,1213,3,4
104210095,2025,192,1,0
104210095,2025,53,2,4
104210095,2025,1348,2,4
104210095,2025,842,1,4
104210095,2025,1200,1,2
104210095,2025,5910,1,4
104210095,2025,1411,1,4
104210095,2025,5084,1,4
104210095,2025,3390,1,4
104210095,2025,4350,1,4
104210095,2025,836,5,4
104210095,2025,1056,1,5
104210095,2025,230,1,3
104210095,2025,397,1,5
104210095,2025,4784,1,5
104210095,2025,1547,1,3
104210095,2025,1706,2,5
104210095,2025,4832,1,3
104210095,2025,10,4,8
104210095,2025,1425,2,5
104210095,2025,11468,1,1
104210095,2025,4915,1,3
104210095,2025,1509,1,4
104210095,2025,1435,1,4
104210095,2025,1264,1,4
104210095,2025,3813,1,4
104210095,2025,1310,1,4
104210095,2025,1119,1,4
104210095,2025,5109,1,4
104210095,2025,7507,1,4
104210095,2025,86,1,2
104210095,2025,1207,1,4
104210095,2025,1099,1,4
104210095,2025,3673,1,2
104210095,2025,1100,1,4
104210095,2025,35,1,4
104210095,2025,1506,1,4
104210095,2025,895,1,4
104210095,2025,6776,1,4
104210095,2025,221,1,4
104210095,2025,8159,1,4
104210102,2025,221,1,4
104210102,2025,1228,1,4
104210102,2025,1290,3,4
104210102,2025,1292,1,4
104210102,2025,3386,1,4
104210102,2025,6993,1,4
104210102,2025,8998,1,4
104210102,2025,192,1,0
104210102,2025,2786,2,4
104210102,2025,1106,3,4
104210102,2025,3086,1,4
104210102,2025,1703,1,4
104210102,2025,1470,1,4
104210102,2025,1254,1,4
104210102,2025,902,1,4
104210102,2025,903,1,4
104210102,2025,1348,2,4
104210102,2025,905,1,4
104210102,2025,842,1,4
104210102,2025,5866,1,0
104210102,2025,5910,1,4
104210102,2025,5084,1,4
104210102,2025,1257,1,4
104210102,2025,3525,1,4
104210102,2025,1127,1,4
104210102,2025,1258,2,0
104210102,2025,643,1,4
104210102,2025,1276,2,4
104210102,2025,1478,1,5
104210102,2025,3624,1,5
104210102,2025,3826,1,5
104210102,2025,1056,2,5
104210102,2025,10,9,8
104210102,2025,4784,1,5
104210102,2025,611,1,5
104210102,2025,4853,1,3
104210102,2025,9009,1,5
104210102,2025,8246,1,5
104210102,2025,11123,1,5
104210102,2025,2132,1,5
104210102,2025,208,2,5
104210102,2025,8148,1,5
104210102,2025,4915,1,3
104210102,2025,1785,1,4
