yop_kodu,year,lise_id,yerlesen_sayisi,school_type
104510029,2025,951,1,4
104510029,2025,7850,1,4
104510029,2025,1406,1,0
104510029,2025,1347,1,4
104510029,2025,811,1,4
104510029,2025,1969,2,4
104510029,2025,3363,1,4
104510029,2025,3239,1,4
104510029,2025,1626,1,4
104510029,2025,8846,1,4
104510029,2025,10,1,8
104510029,2025,8826,1,4
104510029,2025,10451,1,4
104510029,2025,10969,1,4
104510029,2025,7136,2,0
104510029,2025,3548,1,4
104510029,2025,1258,1,0
104510029,2025,2961,1,0
104510029,2025,286,1,0
104510029,2025,9039,1,5
104510029,2025,1500,1,4
104510029,2025,4768,2,4
104510029,2025,7781,1,4
104510029,2025,5598,1,6
104510029,2025,3038,1,4
104510029,2025,1013,1,4
104510029,2025,2508,1,4
104510029,2025,5289,1,4
104510029,2025,1354,1,4
104510029,2025,11512,1,4
104510029,2025,1124,1,4
104510029,2025,10395,1,4
104510029,2025,4057,1,0
104510029,2025,8203,1,4
104510029,2025,1143,1,4
104510029,2025,1242,1,4
104510029,2025,4559,1,4
104510029,2025,9188,1,4
104510029,2025,1192,1,4
104510029,2025,7821,1,4
104510029,2025,9092,1,4
104510038,2025,8876,1,4
104510038,2025,7046,1,4
104510038,2025,7660,1,4
104510038,2025,635,1,0
104510038,2025,1969,1,4
104510038,2025,4190,1,0
104510038,2025,195,1,2
104510038,2025,4761,1,4
104510038,2025,8533,1,4
104510038,2025,65,1,4
104510038,2025,2622,1,4
104510038,2025,11313,1,4
104510038,2025,1391,1,4
104510038,2025,5114,1,4
104510038,2025,1150,1,4
104510038,2025,2961,1,0
104510038,2025,9039,1,5
104510038,2025,4128,1,0
104510038,2025,3848,2,0
104510038,2025,5423,1,4
104510038,2025,2219,1,4
104510038,2025,1526,2,4
104510038,2025,4130,1,4
104510038,2025,557,1,4
104510038,2025,8317,1,4
104510038,2025,5252,1,4
104510038,2025,3374,1,4
104510038,2025,1101,1,2
104510038,2025,6720,1,4
104510038,2025,301,1,8
104510038,2025,10,5,8
104510038,2025,5844,1,4
104510038,2025,1090,1,4
104510038,2025,8684,1,4
104510038,2025,2758,1,4
104510047,2025,1702,1,4
104510047,2025,46,1,0
104510047,2025,3677,1,2
104510047,2025,7850,1,4
104510047,2025,4012,1,4
104510047,2025,9081,1,4
104510047,2025,4301,1,4
104510047,2025,1969,1,4
104510047,2025,4058,1,4
104510047,2025,4190,1,0
104510047,2025,10,3,8
104510047,2025,312,1,4
104510047,2025,8655,1,0
104510047,2025,1318,1,4
104510047,2025,8369,1,4
104510047,2025,995,1,4
104510047,2025,4822,1,4
104510047,2025,3331,1,4
104510047,2025,10451,1,4
104510047,2025,4861,1,4
104510047,2025,4371,1,4
104510047,2025,5304,1,4
104510047,2025,4957,1,4
104510047,2025,4247,1,4
104510047,2025,5238,1,4
104510047,2025,1150,1,4
104510047,2025,7797,1,5
104510047,2025,9076,2,5
104510047,2025,4925,1,4
104510047,2025,1321,1,4
104510047,2025,3536,1,4
104510047,2025,6571,1,4
104510047,2025,4768,1,4
104510047,2025,4030,1,4
104510047,2025,7900,1,4
104510047,2025,8874,1,4
104510047,2025,4538,1,4
104510047,2025,4748,1,4
104510047,2025,3062,1,4
104510047,2025,6270,1,4
104510047,2025,2758,1,4
104510047,2025,3520,1,4
104510047,2025,3006,1,4
104510047,2025,2555,1,4
104510056,2025,6935,2,4
104510056,2025,1791,1,4
104510056,2025,9606,1,4
104510056,2025,11513,1,4
104510056,2025,8817,1,4
104510056,2025,1969,1,4
104510056,2025,5716,1,4
104510056,2025,5229,1,4
104510056,2025,2909,1,4
104510056,2025,5884,1,4
104510056,2025,10,1,8
104510056,2025,5894,1,4
104510056,2025,7575,1,4
104510056,2025,195,1,2
104510056,2025,2628,1,4
104510056,2025,9760,1,4
104510056,2025,1946,1,4
104510056,2025,910,1,4
104510056,2025,1676,1,4
104510056,2025,9,1,5
104510056,2025,11514,1,5
104510056,2025,4768,2,4
104510056,2025,4309,1,4
104510056,2025,1859,1,4
104510056,2025,5106,1,4
104510056,2025,1354,1,4
104510056,2025,5377,1,4
104510056,2025,2189,1,2
104510056,2025,6673,1,4
104510056,2025,1340,1,4
104510056,2025,4057,2,0
104510056,2025,1090,2,4
104510056,2025,1770,1,4
104510056,2025,5097,2,4
104510056,2025,1592,1,0
104510056,2025,7618,1,4
104510065,2025,3337,1,4
104510065,2025,1571,1,4
104510065,2025,6935,1,4
104510065,2025,5690,1,4
104510065,2025,4679,1,4
104510065,2025,8727,1,4
104510065,2025,4190,2,0
104510065,2025,4225,1,4
104510065,2025,4211,1,4
104510065,2025,3156,1,2
104510065,2025,1526,1,4
104510065,2025,5458,1,4
104510065,2025,282,1,0
104510065,2025,3265,1,4
104510065,2025,4735,1,4
104510065,2025,1299,1,4
104510065,2025,5988,1,4
104510065,2025,2961,1,0
104510065,2025,421,1,1
104510065,2025,5659,1,5
104510065,2025,3017,1,4
104510065,2025,10,2,8
104510065,2025,11515,1,4
104510065,2025,5117,1,4
104510065,2025,4130,1,4
104510065,2025,4023,1,4
104510065,2025,3836,1,4
104510065,2025,5255,1,4
104510065,2025,3117,1,4
104510065,2025,3374,1,4
104510065,2025,9814,1,0
104510065,2025,7900,1,4
104510065,2025,4768,1,4
104510065,2025,1187,1,4
104510065,2025,2034,1,0
104510065,2025,4076,1,4
104510065,2025,1342,1,4
104510065,2025,5517,1,4
104510065,2025,4042,1,4
104510074,2025,52,1,4
104510074,2025,1213,1,4
104510074,2025,8817,1,4
104510074,2025,2413,1,4
104510074,2025,5882,1,4
104510074,2025,5885,1,4
104510074,2025,700,1,4
104510074,2025,1202,1,4
104510074,2025,1111,1,4
104510074,2025,4125,1,5
104510074,2025,10,2,8
104510074,2025,4234,1,5
104510074,2025,8905,1,3
104510074,2025,2139,1,4
104510074,2025,5701,1,4
104510074,2025,2704,1,4
104510074,2025,4153,1,4
104510074,2025,3170,1,4
104510074,2025,6947,1,4
104510074,2025,1702,1,4
104510074,2025,6993,1,4
104510108,2025,9225,1,4
104510108,2025,5690,1,4
104510108,2025,7117,2,0
104510108,2025,312,1,4
104510108,2025,3265,2,4
104510108,2025,195,1,2
104510108,2025,11516,1,4
104510108,2025,954,1,4
104510108,2025,5369,1,4
104510108,2025,8401,1,3
104510108,2025,4751,1,0
104510108,2025,10164,1,5
104510108,2025,11517,1,3
104510108,2025,6262,1,5
104510108,2025,4791,1,5
104510108,2025,6394,1,4
104510108,2025,1997,1,4
104510108,2025,8602,1,4
104510108,2025,7374,1,4
104510108,2025,9122,1,4
104510108,2025,1385,1,4
104510108,2025,10,2,8
104510108,2025,1690,1,4
104510108,2025,1090,1,4
104510108,2025,5711,1,4
104510108,2025,3287,1,4
104510108,2025,8984,1,4
104510108,2025,7006,1,4
104510117,2025,1194,1,4
104510117,2025,9601,1,0
