yop_kodu,year,lise_id,yerlesen_sayisi,school_type
300710037,2025,10,1,8
300710037,2025,2164,1,4
300710037,2025,3834,1,4
300710037,2025,876,1,5
300710046,2025,3563,1,3
300710046,2025,2656,1,5
300710046,2025,1137,1,3
300710046,2025,6172,1,5
300710046,2025,8646,1,7
300710046,2025,436,1,5
300710046,2025,3988,1,5
300710046,2025,205,1,5
300710046,2025,10878,1,3
300710046,2025,4392,1,4
300710046,2025,10,1,8
300710046,2025,5508,1,4
300710046,2025,1920,1,4
300710046,2025,2419,1,4
300710046,2025,5322,1,4
300710046,2025,1104,1,4
300710046,2025,1784,1,2
300710046,2025,11564,1,4
300710046,2025,115,1,4
300710046,2025,3433,1,4
300710046,2025,2431,1,4
300710055,2025,10,1,8
300710055,2025,1080,1,4
300710143,2025,10,2,8
300710143,2025,6204,1,5
300710161,2025,11360,1,3
300710179,2025,7116,1,0
300710179,2025,2886,1,4
300710179,2025,34,1,4
300710188,2025,790,1,3
300710188,2025,2267,1,5
300710188,2025,146,1,5
300710188,2025,2443,1,5
300710188,2025,928,1,4
300710188,2025,2244,1,4
300710188,2025,3759,1,2
300710188,2025,2226,1,4
300710188,2025,3464,1,4
300710188,2025,2397,1,5
300710188,2025,522,1,2
300710188,2025,4912,1,5
300710188,2025,2400,1,5
300710188,2025,2635,1,5
300710197,2025,7904,1,4
300710197,2025,3981,1,5
300710197,2025,10074,1,1
300710204,2025,921,1,5
300710204,2025,6228,1,5
300710204,2025,4217,1,5
300710204,2025,11556,1,5
300710204,2025,8211,1,3
300710204,2025,2506,1,4
300710204,2025,6640,1,4
300710204,2025,1187,1,4
300710204,2025,10,2,8
300710204,2025,2037,1,4
300710204,2025,3386,1,4
300710204,2025,1345,1,4
300710204,2025,3581,1,4
300710204,2025,2431,1,4
300710204,2025,6068,1,4
300710204,2025,6176,1,5
300710222,2025,10,1,8
300710222,2025,1073,1,4
300710249,2025,1439,1,2
300710249,2025,35,1,4
300710249,2025,4066,1,2
300710249,2025,10,1,8
300710249,2025,3605,1,5
300710249,2025,3228,1,2
300710249,2025,833,1,2
300710249,2025,805,1,2
300710249,2025,2170,1,2
300710249,2025,540,1,3
300710249,2025,965,1,5
300710294,2025,2600,1,4
300710294,2025,3460,1,4
300710294,2025,7849,1,4
300710294,2025,11095,1,4
300710294,2025,8320,1,4
300710319,2025,4180,1,4
300710319,2025,9606,1,4
300710319,2025,1107,1,4
300710319,2025,3239,1,4
300710319,2025,3028,1,4
300710319,2025,3736,1,4
300710319,2025,3332,1,4
300710319,2025,646,1,3
300710319,2025,4900,1,5
300710319,2025,1608,1,4
300710319,2025,10,2,8
300710319,2025,1374,1,4
300710319,2025,1322,1,2
300710319,2025,1516,1,4
300710319,2025,1375,1,4
300710319,2025,1837,1,4
300710319,2025,3325,1,4
300710319,2025,1244,1,0
300710319,2025,11565,1,4
300710319,2025,817,1,4
300710319,2025,8966,1,4
300710319,2025,2474,1,4
300710319,2025,11566,1,4
300710319,2025,2994,1,4
300710407,2025,5568,1,4
300710407,2025,6776,1,4
300710407,2025,162,1,4
300710407,2025,2915,1,4
300710407,2025,6271,1,5
300710479,2025,10,1,8
300710479,2025,1922,1,4
300710479,2025,804,1,4
300710479,2025,3432,1,4
300710479,2025,2932,1,5
300710479,2025,4406,1,5
300710504,2025,10,1,8
300710504,2025,10394,1,5
300710531,2025,559,1,4
300710567,2025,4098,1,4
300710601,2025,1552,1,6
300710601,2025,5910,1,4
300710601,2025,431,1,7
300710601,2025,6303,1,5
300710601,2025,1095,1,4
300710619,2025,9244,1,5
300710619,2025,3383,1,5
300710619,2025,5511,1,5
300710619,2025,4713,1,1
300710619,2025,4880,1,5
300710619,2025,4345,1,5
300710619,2025,11567,1,1
300710619,2025,10590,1,5
300710619,2025,6358,1,5
300710619,2025,4548,1,5
300710619,2025,10,3,8
300710619,2025,2771,1,4
300710619,2025,1744,1,4
300710619,2025,839,1,2
300710619,2025,3323,1,4
300710619,2025,5183,1,4
300710619,2025,3101,1,4
300710619,2025,2114,1,4
300710619,2025,4256,1,4
300710619,2025,1229,1,4
300710619,2025,835,1,4
300710619,2025,5691,1,4
300710619,2025,166,1,4
300710637,2025,1306,1,5
300710637,2025,1830,1,4
300710637,2025,4840,1,4
300710637,2025,1067,1,4
300710637,2025,1026,1,4
300710637,2025,6809,1,4
300710637,2025,10,1,8
300710637,2025,1043,1,4
300710637,2025,3094,1,4
300710637,2025,1544,1,4
300710637,2025,1047,2,4
300710637,2025,70,1,5
300710637,2025,922,1,3
300710655,2025,2983,1,5
300710655,2025,2319,1,4
300710673,2025,693,1,2
300710673,2025,104,1,4
300710673,2025,991,1,2
300710673,2025,2645,1,1
300710673,2025,1163,1,2
300710673,2025,2,1,4
300710673,2025,1318,1,4
300710673,2025,1029,1,4
300710673,2025,1135,1,4
300710673,2025,7924,1,4
300710673,2025,831,2,2
300710673,2025,6,1,4
