yop_kodu,year,lise_id,yerlesen_sayisi,school_type
104810017,2025,280,1,4
104810017,2025,2902,1,4
104810017,2025,2161,1,4
104810017,2025,3675,1,2
104810017,2025,2870,1,4
104810017,2025,2717,4,2
104810017,2025,3677,1,2
104810017,2025,39,1,4
104810017,2025,2228,1,4
104810017,2025,7907,1,3
104810017,2025,165,1,2
104810017,2025,991,1,2
104810017,2025,898,1,4
104810017,2025,905,1,4
104810017,2025,2503,1,4
104810017,2025,163,2,2
104810017,2025,535,1,2
104810017,2025,2887,1,6
104810017,2025,2888,1,2
104810017,2025,3884,2,4
104810017,2025,2263,1,2
104810017,2025,10,4,8
104810017,2025,353,2,2
104810017,2025,2288,2,4
104810017,2025,2206,1,4
104810017,2025,4242,1,1
104810017,2025,226,1,2
104810017,2025,540,1,3
104810017,2025,4403,1,5
104810017,2025,8010,1,3
104810017,2025,7827,1,5
104810017,2025,838,1,3
104810017,2025,890,1,4
104810017,2025,9908,1,5
104810017,2025,547,1,3
104810017,2025,10105,1,5
104810017,2025,74,2,3
104810017,2025,2270,1,3
104810017,2025,11473,1,3
104810017,2025,10166,1,3
104810017,2025,8332,1,3
104810017,2025,3567,1,5
104810017,2025,2852,1,3
104810017,2025,324,5,0
104810017,2025,8063,1,5
104810017,2025,3787,1,5
104810017,2025,9027,1,3
104810017,2025,8071,1,5
104810017,2025,9959,1,3
104810017,2025,795,1,3
104810017,2025,11357,1,3
104810017,2025,10667,1,3
104810017,2025,684,1,5
104810017,2025,4786,1,3
104810017,2025,7676,1,5
104810017,2025,8096,1,3
104810017,2025,7756,1,3
104810017,2025,2855,1,2
104810017,2025,177,1,2
104810017,2025,3535,1,4
104810017,2025,178,1,2
104810017,2025,3424,1,2
104810017,2025,931,1,4
104810017,2025,2088,2,4
104810017,2025,2857,1,4
104810017,2025,977,1,4
104810017,2025,2860,1,4
104810017,2025,1437,1,2
104810017,2025,801,1,1
104810017,2025,4827,1,2
104810017,2025,2965,1,2
104810017,2025,888,1,4
104810017,2025,3227,1,2
104810017,2025,3426,4,4
104810026,2025,3426,1,4
104810026,2025,235,1,4
104810026,2025,3882,1,4
104810026,2025,2869,1,0
104810026,2025,103,1,4
104810026,2025,187,1,2
104810026,2025,2439,1,4
104810026,2025,4276,1,2
104810026,2025,281,1,4
104810026,2025,5378,1,2
104810026,2025,51,1,4
104810026,2025,8233,1,5
104810026,2025,2870,1,4
104810026,2025,1986,1,4
104810026,2025,3687,1,2
104810026,2025,49,2,2
104810026,2025,1072,1,0
104810026,2025,2734,1,4
104810026,2025,2150,1,4
104810026,2025,2163,1,4
104810026,2025,2875,1,2
104810026,2025,10,5,8
104810026,2025,4318,1,2
104810026,2025,2959,1,2
104810026,2025,3681,1,2
104810026,2025,866,1,4
104810026,2025,531,1,0
104810026,2025,1045,1,2
104810026,2025,7626,1,2
104810026,2025,2224,1,4
104810026,2025,3682,1,2
104810026,2025,2883,1,2
104810026,2025,1838,1,4
104810026,2025,2887,1,6
104810026,2025,3685,1,2
104810026,2025,3159,1,2
104810026,2025,688,1,3
104810026,2025,1944,1,4
104810026,2025,2378,1,2
104810026,2025,1543,1,4
104810026,2025,782,1,4
104810026,2025,2562,1,4
104810026,2025,836,1,4
104810026,2025,8139,1,4
104810026,2025,2287,1,4
104810026,2025,2564,1,4
104810026,2025,5114,1,4
104810026,2025,7152,1,5
104810026,2025,7153,1,5
104810026,2025,11596,1,3
104810026,2025,2128,1,5
104810026,2025,1416,1,3
104810026,2025,10044,1,5
104810026,2025,434,1,5
104810026,2025,324,1,0
104810026,2025,436,1,5
104810026,2025,3658,1,3
104810026,2025,3551,1,5
104810026,2025,8397,1,3
104810026,2025,755,1,3
104810026,2025,8024,1,3
104810026,2025,23,2,3
104810026,2025,2855,1,2
104810026,2025,5268,1,2
104810026,2025,3167,1,4
104810026,2025,800,1,2
104810026,2025,931,1,4
104810026,2025,613,1,2
104810026,2025,2860,1,4
104810026,2025,316,1,4
104810026,2025,1207,1,4
104810026,2025,2389,1,4
104810026,2025,4708,1,4
104810026,2025,2865,1,2
104810026,2025,4707,1,0
104810026,2025,978,1,4
104810035,2025,280,1,4
104810035,2025,7672,2,5
104810035,2025,1188,1,1
104810035,2025,6805,1,0
104810035,2025,3397,2,4
104810035,2025,3476,1,4
104810035,2025,4222,1,4
104810035,2025,896,1,4
104810035,2025,615,1,4
104810035,2025,3809,1,4
104810035,2025,1731,1,4
104810035,2025,2226,1,4
104810035,2025,3485,1,4
104810035,2025,3678,1,2
104810035,2025,1645,1,4
104810035,2025,2,1,4
104810035,2025,313,1,4
104810035,2025,4060,1,4
104810035,2025,2232,1,4
104810035,2025,1761,1,0
104810035,2025,3740,1,4
104810035,2025,10,1,8
104810035,2025,1971,1,4
104810035,2025,536,1,2
104810035,2025,2376,2,4
104810035,2025,1300,1,4
104810035,2025,314,1,4
104810035,2025,2562,1,4
104810035,2025,5442,1,4
104810035,2025,2047,1,4
104810035,2025,1765,1,4
104810035,2025,539,1,0
104810035,2025,2301,1,4
104810035,2025,1972,1,4
104810035,2025,65,1,4
104810035,2025,2961,1,0
104810035,2025,286,1,0
104810035,2025,4109,1,4
104810035,2025,7678,1,5
104810035,2025,8132,1,5
104810035,2025,8635,1,5
104810035,2025,470,1,5
104810035,2025,1180,1,5
104810035,2025,9226,1,4
104810035,2025,3857,1,5
104810035,2025,571,1,5
104810035,2025,7751,1,5
104810035,2025,11196,1,5
104810035,2025,5659,1,5
104810035,2025,669,1,5
104810035,2025,1606,1,5
104810035,2025,729,1,1
104810035,2025,2854,1,3
104810035,2025,2085,1,0
104810035,2025,4178,1,4
104810035,2025,3554,1,4
104810035,2025,4196,1,4
104810035,2025,4030,1,4
104810035,2025,2188,1,4
104810035,2025,2572,1,4
104810035,2025,3444,1,0
104810035,2025,36,1,4
104810035,2025,88,1,4
104810035,2025,2792,1,4
104810044,2025,2439,1,4
104810044,2025,5482,1,4
