yop_kodu,year,lise_id,yerlesen_sayisi,school_type
201910015,2025,3056,1,4
201910024,2025,1007,1,1
201910024,2025,847,1,4
201910024,2025,10,1,8
201910024,2025,4244,1,4
201910024,2025,11632,1,4
201910024,2025,347,1,4
201910024,2025,4110,1,4
201910024,2025,10327,1,5
201910024,2025,8248,2,5
201910078,2025,10,2,8
201910078,2025,5103,1,4
201910078,2025,3435,1,4
201910078,2025,4964,1,4
201910078,2025,770,1,5
201910078,2025,5708,1,5
201910078,2025,5164,1,4
201910078,2025,6497,1,4
201910087,2025,3487,1,2
201910087,2025,11523,1,4
201910087,2025,2562,1,4
201910087,2025,1852,1,5
201910087,2025,8887,1,5
201910087,2025,3996,1,4
201910087,2025,10,1,8
201910087,2025,11224,1,4
201910087,2025,4492,1,4
201910087,2025,2731,1,2
201910087,2025,2041,1,4
201910087,2025,4225,1,4
201910087,2025,5069,1,4
201910087,2025,162,1,4
201910103,2025,4955,1,4
201910103,2025,409,1,4
201910103,2025,8452,1,4
201910103,2025,1436,1,4
201910103,2025,6630,1,4
201910121,2025,10,1,8
201910121,2025,7009,1,4
201910121,2025,11633,1,0
201910121,2025,8892,1,5
201910121,2025,8129,1,1
201910121,2025,10067,1,5
201910121,2025,7225,1,5
201910121,2025,5018,1,5
201910139,2025,451,1,5
201910139,2025,466,1,4
201910139,2025,10,2,8
201910139,2025,10589,1,4
201910139,2025,3594,1,4
201910139,2025,396,1,4
201910139,2025,1292,1,4
201910139,2025,409,1,4
201910139,2025,10791,1,5
201910139,2025,10112,1,5
201910148,2025,10,1,8
201910148,2025,3594,1,4
201910148,2025,490,1,5
201910148,2025,605,1,5
201910148,2025,6217,1,5
201910148,2025,7675,1,5
201910148,2025,2182,1,5
201910148,2025,662,1,4
201910157,2025,10853,1,5
201910157,2025,3165,1,3
201910157,2025,10,2,8
201910157,2025,2178,1,4
201910157,2025,3594,1,4
201910157,2025,624,1,4
201910157,2025,3429,1,4
201910157,2025,2284,1,4
201910157,2025,53,1,4
201910157,2025,7556,1,4
201910218,2025,247,1,4
201910218,2025,7147,1,4
201910218,2025,473,1,5
201910218,2025,1436,1,4
201910306,2025,327,1,4
201910306,2025,6312,1,7
201910306,2025,455,1,5
201910306,2025,653,1,4
201910306,2025,2592,1,4
201910306,2025,4434,1,4
201910306,2025,1026,1,4
201910306,2025,10,1,8
201910306,2025,1191,1,4
201910306,2025,2178,1,4
201910306,2025,4469,1,4
201910306,2025,4729,1,4
201910306,2025,1923,1,4
201910306,2025,3123,1,4
201910306,2025,347,1,4
201910324,2025,758,1,4
201910324,2025,5164,1,4
201910324,2025,530,1,4
201910324,2025,10,1,8
201910324,2025,2621,1,4
201910324,2025,4012,1,4
201910324,2025,3962,1,4
201910324,2025,764,1,7
201910324,2025,10118,1,5
201910324,2025,7855,1,5
201910324,2025,10661,1,1
201910351,2025,1358,1,4
201910351,2025,10,3,8
201910351,2025,6109,1,4
201910351,2025,4808,1,4
201910351,2025,7010,1,4
201910351,2025,4143,1,4
201910351,2025,7160,1,5
201910351,2025,3002,1,4
201910351,2025,2753,1,4
201910387,2025,3044,1,4
201910387,2025,3583,1,4
201910387,2025,1078,1,2
201910387,2025,327,1,4
201910387,2025,4272,1,4
201910387,2025,3716,1,2
201910387,2025,1559,1,4
201910439,2025,10,5,8
201910439,2025,1599,1,4
201910439,2025,4155,1,4
201910439,2025,3544,1,4
201910439,2025,4412,1,4
201910439,2025,3100,1,4
201910439,2025,2753,1,4
201910509,2025,6822,1,4
201910509,2025,2499,1,4
201910509,2025,6871,1,4
201910509,2025,3409,1,4
201910509,2025,5025,1,4
201910509,2025,10606,1,4
201910509,2025,5274,1,4
201910509,2025,631,1,0
201910509,2025,2324,1,4
201910509,2025,4155,1,4
201910509,2025,10,3,8
201910509,2025,5080,2,4
201910509,2025,4803,1,4
201910509,2025,2422,1,4
201910509,2025,5751,1,4
201910509,2025,760,1,0
201910509,2025,5035,2,5
201910509,2025,500,2,5
201910509,2025,261,1,5
201910509,2025,7206,1,5
201910509,2025,5004,1,5
201910509,2025,1690,1,4
201910509,2025,10058,1,5
201910509,2025,11634,1,1
201910509,2025,9506,1,5
201910509,2025,449,1,5
201910509,2025,8492,1,7
201910509,2025,9918,1,5
201910509,2025,7286,1,5
201910509,2025,458,1,4
201910509,2025,6419,1,4
201910509,2025,6440,1,4
201910509,2025,6553,1,4
201910509,2025,4940,1,4
201910509,2025,340,1,4
201910509,2025,566,1,4
201910509,2025,2753,1,4
201910509,2025,4492,2,4
201910509,2025,4729,1,4
201910509,2025,624,1,4
201910509,2025,3695,1,4
201910509,2025,625,1,4
201910527,2025,1273,1,4
201910527,2025,4608,1,4
201910527,2025,2479,1,4
201910527,2025,8087,1,5
201910527,2025,459,1,4
201910527,2025,10,1,8
201910527,2025,4492,1,4
201910527,2025,6867,1,4
201910527,2025,2621,1,4
201910527,2025,4884,1,4
201910527,2025,7010,1,4
201910527,2025,634,2,4
201910527,2025,3544,1,4
201910606,2025,2054,1,5
201910606,2025,498,1,5
201910606,2025,8593,1,5
201910606,2025,8699,1,3
201910606,2025,398,1,5
201910606,2025,1515,1,5
201910606,2025,2124,1,4
201910606,2025,10,2,8
201910606,2025,3630,1,4
201910606,2025,3852,1,4
201910606,2025,3873,2,4
201910606,2025,3998,2,4
201910606,2025,9322,1,4
201910606,2025,4850,1,4
201910633,2025,11635,1,7
201910633,2025,2520,1,4
201910633,2025,8248,1,5
201910642,2025,3757,1,4
201910642,2025,10,1,8
201910642,2025,4223,1,4
201910642,2025,4471,1,4
201910642,2025,7147,1,4
201910642,2025,5044,1,5
201910642,2025,8267,1,3
201910642,2025,3568,1,4
201910669,2025,624,2,4
201910669,2025,6818,1,4
201910669,2025,2621,2,4
201910669,2025,3891,1,4
201910669,2025,516,1,1
201910669,2025,4155,1,4
201910669,2025,5080,1,4
201910669,2025,4993,1,4
201910669,2025,411,1,4
201910669,2025,5751,1,4
201910669,2025,10,6,8
201910669,2025,5013,1,4
201910669,2025,4495,1,4
201910669,2025,2074,1,4
201910669,2025,5656,2,4
201910669,2025,6088,1,4
201910669,2025,10157,1,5
201910669,2025,1679,1,5
201910669,2025,9428,1,1
201910669,2025,767,1,5
201910669,2025,5037,1,5
201910669,2025,3299,1,4
201910669,2025,8892,1,5
201910669,2025,10063,1,5
201910669,2025,6228,1,5
201910669,2025,8571,1,5
201910669,2025,10612,1,5
201910669,2025,5707,1,3
201910669,2025,7832,1,7
201910669,2025,6312,1,7
201910669,2025,10585,1,5
201910669,2025,449,1,5
201910669,2025,2178,1,4
201910669,2025,458,1,4
201910669,2025,653,1,4
201910669,2025,6411,1,4
201910669,2025,340,1,4
201910669,2025,662,1,4
201910669,2025,466,1,4
201910669,2025,586,1,4
201910669,2025,342,1,4
201910669,2025,10592,1,4
201910669,2025,4987,1,4
201910669,2025,1487,2,4
201910669,2025,981,1,4
201910696,2025,462,2,4
201910696,2025,626,1,4
201910696,2025,6952,1,4
201910696,2025,5026,1,6
201910696,2025,10157,1,5
201910696,2025,437,1,5
201910696,2025,449,1,5
201910696,2025,9700,1,5
201910696,2025,98,1,4
201910703,2025,5945,1,4
201910703,2025,2542,1,4
201910703,2025,3622,1,4
201910703,2025,2488,1,4
201910703,2025,5065,1,5
201910703,2025,7206,1,5
201910703,2025,11636,1,5
201910703,2025,6233,1,5
201910703,2025,7684,2,5
201910703,2025,455,1,5
201910703,2025,10,2,8
201910703,2025,7314,1,4
201910703,2025,9521,1,4
201910703,2025,2753,1,4
201910703,2025,342,2,4
201910703,2025,665,1,4
201910703,2025,1590,1,4
201910703,2025,6822,1,4
201910703,2025,7021,1,4
201910703,2025,5770,1,4
201910703,2025,11637,1,4
201910748,2025,4155,1,4
201910748,2025,518,1,4
201910748,2025,3229,1,4
201910748,2025,5945,1,4
201910748,2025,5077,1,4
201910748,2025,5968,1,4
201910748,2025,2376,1,4
201910748,2025,1944,1,4
201910748,2025,4143,1,4
201910748,2025,766,1,5
201910748,2025,6677,1,4
201910748,2025,5001,1,5
201910748,2025,10617,1,5
201910748,2025,4980,2,5
201910748,2025,500,1,5
201910748,2025,11132,1,5
201910748,2025,10129,1,5
201910748,2025,10739,1,5
201910748,2025,5002,1,5
201910748,2025,8115,1,5
201910748,2025,10130,1,1
201910748,2025,10,4,8
201910748,2025,10467,1,5
201910748,2025,437,1,5
201910748,2025,6220,1,5
201910748,2025,10170,1,5
201910748,2025,11535,3,5
201910748,2025,580,1,5
201910748,2025,442,1,1
201910748,2025,681,1,5
201910748,2025,6273,1,5
201910748,2025,372,1,5
201910748,2025,342,1,4
201910748,2025,7908,1,5
201910748,2025,449,1,5
201910748,2025,5032,1,5
201910748,2025,8492,1,7
201910748,2025,3880,1,5
201910748,2025,7286,2,5
201910748,2025,458,1,4
201910748,2025,462,1,4
201910748,2025,656,1,4
201910748,2025,4488,1,4
201910748,2025,981,1,4
201910748,2025,4434,1,4
201910748,2025,662,1,4
201910748,2025,6652,1,4
201910748,2025,2753,1,4
201910748,2025,6822,2,4
201910748,2025,628,1,4
201910748,2025,2324,1,4
201910748,2025,634,1,4
201910863,2025,3622,1,4
201910863,2025,10467,1,5
201910863,2025,340,1,4
201910863,2025,696,1,4
201910872,2025,64,1,4
201910872,2025,6121,1,5
201910872,2025,1221,1,5
201910872,2025,6351,1,5
201910872,2025,330,1,4
201910872,2025,10,1,8
201910872,2025,342,1,4
201910872,2025,11156,1,4
201910872,2025,11638,1,4
201910872,2025,10482,1,4
201910872,2025,5749,1,4
201910872,2025,518,1,4
201910872,2025,1878,1,4
201910915,2025,6822,1,4
201910915,2025,2499,1,4
201910915,2025,487,1,4
201910915,2025,4223,1,4
201910915,2025,5387,1,4
201910915,2025,4012,1,4
201910915,2025,616,1,4
201910915,2025,1539,1,4
201910915,2025,9444,1,4
201910915,2025,410,1,4
201910915,2025,2124,1,4
201910915,2025,4270,1,4
201910915,2025,3839,1,0
201910915,2025,333,1,4
201910915,2025,5945,2,4
201910915,2025,5986,1,4
201910915,2025,5442,1,4
201910915,2025,4272,1,4
201910915,2025,1047,1,4
201910915,2025,8278,1,4
201910915,2025,5656,1,4
201910915,2025,10,5,8
201910915,2025,2488,1,4
201910915,2025,9842,1,5
201910915,2025,8113,1,5
201910915,2025,5045,1,5
201910915,2025,10029,1,5
