yop_kodu,year,lise_id,yerlesen_sayisi,school_type
107710018,2025,4798,1,4
107710018,2025,4584,1,4
107710018,2025,4000,2,4
107710018,2025,1554,1,4
107710018,2025,837,1,4
107710018,2025,5910,2,4
107710018,2025,1029,1,4
107710018,2025,3548,1,4
107710018,2025,107,1,4
107710018,2025,1445,1,4
107710018,2025,10,4,8
107710018,2025,1127,1,4
107710018,2025,2351,1,4
107710018,2025,1168,1,5
107710018,2025,7261,1,5
107710018,2025,4021,1,4
107710018,2025,9182,1,4
107710018,2025,884,1,4
107710018,2025,1618,1,4
107710018,2025,1124,1,4
107710018,2025,10522,1,4
107710018,2025,1399,1,4
107710018,2025,1398,1,4
107710018,2025,3708,1,4
107710018,2025,8327,1,4
107710018,2025,1192,1,4
107710018,2025,2646,1,4
107710018,2025,10016,1,4
107710018,2025,1164,1,4
107710027,2025,1045,1,2
107710027,2025,1029,1,4
107710027,2025,4350,1,4
107710027,2025,11688,1,4
107710027,2025,1202,1,4
107710027,2025,1047,1,4
107710027,2025,11689,1,4
107710027,2025,4574,1,5
107710027,2025,7225,1,5
107710027,2025,1060,1,4
107710027,2025,10,5,8
107710027,2025,3223,1,4
107710027,2025,3271,1,4
107710027,2025,4309,1,4
107710027,2025,1336,1,0
107710027,2025,1095,1,4
107710027,2025,5293,1,4
107710027,2025,1325,1,4
107710027,2025,1398,1,4
107710027,2025,1187,1,4
107710027,2025,1636,1,4
107710027,2025,1268,1,4
107710027,2025,3395,1,4
107710027,2025,1404,1,2
107710027,2025,3631,1,2
107710027,2025,1126,2,4
107710027,2025,3410,1,0
107710027,2025,1713,1,4
107710027,2025,865,1,2
107710036,2025,1044,1,4
107710036,2025,1554,1,4
107710036,2025,5846,1,4
107710036,2025,1795,1,4
107710036,2025,9649,1,0
107710036,2025,3547,1,4
107710036,2025,4002,1,0
107710036,2025,2048,1,4
107710036,2025,4306,1,5
107710036,2025,944,1,5
107710036,2025,10,3,8
107710036,2025,1396,1,5
107710036,2025,1060,1,4
107710036,2025,4309,1,4
107710036,2025,3019,1,4
107710036,2025,5293,1,4
107710036,2025,1242,2,4
107710036,2025,1312,1,4
107710036,2025,1026,1,4
107710036,2025,7495,1,4
107710036,2025,11460,1,4
107710036,2025,1039,1,4
107710036,2025,5690,1,4
107710036,2025,1713,1,4
107710036,2025,1109,1,4
107710036,2025,1443,1,0
107710045,2025,3580,1,4
