yop_kodu,year,lise_id,yerlesen_sayisi,school_type
105210029,2025,3937,1,4
105210029,2025,8733,1,4
105210029,2025,3119,1,4
105210029,2025,2497,5,4
105210029,2025,1248,1,4
105210029,2025,5212,1,4
105210029,2025,2498,1,6
105210029,2025,3006,1,4
105210029,2025,6841,1,4
105210029,2025,4221,1,4
105210029,2025,614,1,2
105210029,2025,8966,1,4
105210029,2025,5079,1,4
105210029,2025,5221,2,4
105210029,2025,6921,1,4
105210029,2025,3488,1,4
105210029,2025,7018,3,4
105210029,2025,8812,1,4
105210029,2025,1042,1,4
105210029,2025,7036,1,4
105210029,2025,3114,1,4
105210029,2025,7283,3,4
105210029,2025,7534,1,4
105210029,2025,9742,1,4
105210029,2025,2787,1,4
105210029,2025,11731,1,4
105210029,2025,7738,1,4
105210029,2025,8846,1,4
105210029,2025,11095,3,4
105210029,2025,3243,1,4
105210029,2025,3364,1,4
105210029,2025,10905,1,4
105210029,2025,3177,1,4
105210029,2025,3129,1,4
105210029,2025,7620,1,4
105210029,2025,4070,1,4
105210029,2025,11732,1,4
105210029,2025,5965,1,4
105210029,2025,909,1,4
105210029,2025,3134,1,4
105210029,2025,851,1,8
105210029,2025,8953,1,4
105210029,2025,4377,3,4
105210029,2025,301,31,8
105210029,2025,10348,1,4
105210029,2025,1276,1,4
105210029,2025,3751,1,4
105210029,2025,8544,1,4
105210029,2025,8422,1,5
105210029,2025,8373,1,1
105210029,2025,1206,1,4
105210029,2025,1558,1,4
105210029,2025,6445,1,4
105210029,2025,1608,2,4
105210029,2025,10,13,8
105210029,2025,1745,1,4
105210029,2025,10454,1,4
105210029,2025,1013,1,4
105210029,2025,9170,1,4
105210029,2025,4505,1,4
105210029,2025,11733,1,4
105210029,2025,2683,1,4
105210029,2025,6570,1,4
105210029,2025,2090,1,4
105210029,2025,1242,1,4
105210029,2025,3205,1,4
105210029,2025,8621,1,4
105210029,2025,2701,1,4
105210029,2025,2512,1,4
105210108,2025,3172,1,4
105210108,2025,8209,1,4
105210108,2025,8951,1,4
105210108,2025,1696,1,4
105210108,2025,1629,1,4
105210108,2025,1330,1,4
105210108,2025,1850,1,4
105210108,2025,11734,1,0
105210108,2025,1236,1,5
105210108,2025,11735,1,1
105210108,2025,3096,1,4
105210108,2025,11736,1,1
105210108,2025,2711,1,5
105210108,2025,8422,1,5
105210108,2025,8117,1,7
105210108,2025,3164,1,5
105210108,2025,3868,1,5
105210108,2025,3402,1,4
105210108,2025,11309,1,0
105210108,2025,1240,1,4
105210108,2025,3022,1,4
105210108,2025,3240,1,4
105210108,2025,1461,1,4
105210108,2025,301,1,8
105210108,2025,10,4,8
105210108,2025,1387,1,4
105210108,2025,5050,1,4
105210108,2025,1624,1,4
105210108,2025,7076,1,4
105210117,2025,3008,1,4
105210117,2025,4068,1,4
105210117,2025,11737,1,4
105210117,2025,5761,1,4
105210117,2025,2978,1,4
105210117,2025,4428,1,4
105210117,2025,9482,1,4
105210117,2025,9759,1,4
105210117,2025,2970,1,4
105210117,2025,4545,1,4
105210117,2025,1847,1,4
105210117,2025,1031,1,5
105210117,2025,8422,1,5
105210117,2025,2746,1,5
105210117,2025,4747,1,5
105210117,2025,6422,1,4
105210117,2025,8790,1,4
105210117,2025,4196,1,4
105210117,2025,6713,1,4
105210117,2025,6720,1,4
105210117,2025,7283,1,4
105210117,2025,301,1,8
105210117,2025,10,6,8
105210117,2025,3326,1,4
105210117,2025,5678,1,4
105210117,2025,279,1,4
105210117,2025,3006,1,4
105210126,2025,6876,1,4
105210126,2025,1346,1,4
105210126,2025,1199,1,4
105210126,2025,9743,1,4
105210126,2025,8846,1,4
105210126,2025,5581,1,4
105210126,2025,2460,1,4
105210126,2025,4399,1,4
105210126,2025,3356,1,4
105210126,2025,3281,2,4
105210126,2025,10,4,8
105210126,2025,2981,1,4
105210126,2025,4870,1,4
105210126,2025,11738,1,5
105210126,2025,11739,1,1
105210126,2025,8422,1,5
105210126,2025,28,1,4
105210126,2025,4974,1,4
105210126,2025,1311,1,4
105210126,2025,5010,1,4
105210126,2025,10856,1,4
105210126,2025,2512,1,4
