yop_kodu,year,lise_id,yerlesen_sayisi,school_type
110710025,2025,1871,1,4
110710025,2025,3505,1,4
110710025,2025,903,1,4
110710025,2025,1185,1,4
110710025,2025,310,1,4
110710025,2025,1044,1,4
110710025,2025,2424,1,4
110710025,2025,867,1,4
110710025,2025,400,1,4
110710025,2025,5910,1,4
110710025,2025,10,10,8
110710025,2025,1556,1,4
110710025,2025,314,1,4
110710025,2025,700,1,4
110710025,2025,1135,1,4
110710025,2025,4101,1,4
110710025,2025,539,1,0
110710025,2025,1446,1,4
110710025,2025,643,1,4
110710025,2025,7142,1,4
110710025,2025,9111,1,5
110710025,2025,1414,1,4
110710025,2025,914,1,5
110710025,2025,540,1,3
110710025,2025,563,1,1
110710025,2025,1030,1,3
110710025,2025,10863,1,5
110710025,2025,3987,1,3
110710025,2025,11120,1,3
110710025,2025,942,1,5
110710025,2025,1651,1,5
110710025,2025,4306,1,5
110710025,2025,1620,1,4
110710025,2025,8331,1,3
110710025,2025,329,1,5
110710025,2025,10364,1,5
110710025,2025,2179,1,5
110710025,2025,878,1,5
110710025,2025,1129,1,5
110710025,2025,4147,1,5
110710025,2025,1087,1,4
110710025,2025,670,1,4
110710025,2025,1060,3,4
110710025,2025,2161,1,4
110710025,2025,4150,1,4
110710025,2025,4021,1,4
110710025,2025,928,1,4
110710025,2025,931,1,4
110710025,2025,1894,1,4
110710025,2025,973,1,4
110710025,2025,886,1,4
110710025,2025,1099,1,4
110710025,2025,3901,1,4
110710025,2025,1161,1,4
110710025,2025,976,1,4
110710025,2025,3581,1,4
110710025,2025,1126,1,4
110710034,2025,1786,1,4
110710034,2025,894,2,4
110710034,2025,7416,1,4
110710034,2025,982,1,4
110710034,2025,1363,1,4
110710034,2025,108,1,2
110710034,2025,4884,1,4
110710034,2025,3408,1,4
110710034,2025,1040,1,4
110710034,2025,1042,1,4
110710034,2025,7137,1,4
110710034,2025,4654,1,4
110710034,2025,1074,1,4
110710034,2025,864,1,4
110710034,2025,3524,1,4
110710034,2025,7824,1,4
110710034,2025,1540,1,2
110710034,2025,903,1,4
110710034,2025,904,1,4
110710034,2025,1185,1,4
110710034,2025,1109,1,4
110710034,2025,10,11,8
110710034,2025,1443,1,0
110710034,2025,906,1,4
110710034,2025,842,1,4
110710034,2025,866,2,4
110710034,2025,732,1,4
110710034,2025,837,1,4
110710034,2025,5581,1,4
110710034,2025,867,1,4
110710034,2025,284,1,4
110710034,2025,352,1,2
110710034,2025,2301,2,4
110710034,2025,199,1,4
110710034,2025,1201,1,2
110710034,2025,1563,1,4
110710034,2025,1544,2,4
110710034,2025,1202,1,4
110710034,2025,1047,1,4
110710034,2025,6,1,4
110710034,2025,643,1,4
110710034,2025,6068,1,4
110710034,2025,4556,1,4
110710034,2025,1246,2,4
110710034,2025,4351,1,4
110710034,2025,6083,1,4
110710034,2025,1136,1,4
110710034,2025,541,1,5
110710034,2025,2633,1,5
110710034,2025,1949,1,5
110710034,2025,497,1,5
110710034,2025,2844,1,5
110710034,2025,10185,1,7
110710034,2025,9889,1,5
110710034,2025,2856,2,2
110710034,2025,171,1,5
110710034,2025,5492,1,5
110710034,2025,11806,1,3
110710034,2025,1086,1,5
110710034,2025,8672,1,3
110710034,2025,3786,1,5
110710034,2025,7253,1,5
110710034,2025,9996,1,3
110710034,2025,7769,1,4
110710034,2025,5105,1,4
110710034,2025,1270,1,0
110710034,2025,1744,1,4
110710034,2025,1014,1,4
110710034,2025,2752,1,4
110710034,2025,2185,2,4
110710034,2025,1095,1,4
110710034,2025,3324,1,4
110710034,2025,3870,1,4
110710034,2025,934,1,4
110710034,2025,887,1,4
110710034,2025,813,1,4
110710034,2025,1506,1,4
110710034,2025,2419,1,4
110710034,2025,11807,1,4
110710034,2025,3457,1,4
110710043,2025,10700,1,3
110710043,2025,924,1,5
110710043,2025,845,1,5
110710043,2025,1060,1,4
110710043,2025,301,1,8
110710043,2025,863,1,4
110710043,2025,2477,1,4
110710043,2025,866,1,4
110710043,2025,867,1,4
110710043,2025,1136,1,4
110710043,2025,7997,1,3
110710043,2025,1168,1,5
110710052,2025,1131,1,4
110710052,2025,244,1,4
110710052,2025,3524,1,4
110710052,2025,811,1,4
110710052,2025,3469,1,4
110710052,2025,1470,1,4
110710052,2025,4886,1,4
110710052,2025,310,1,4
110710052,2025,869,1,4
110710052,2025,870,1,4
110710052,2025,2544,1,4
110710052,2025,1544,1,4
110710052,2025,10666,1,5
110710052,2025,1034,1,1
110710052,2025,946,1,5
110710052,2025,7684,1,5
110710052,2025,3248,1,4
110710052,2025,1634,1,4
110710052,2025,1669,1,4
110710052,2025,934,1,4
110710052,2025,950,1,4
110710052,2025,10,2,8
110710052,2025,1159,1,4
110710052,2025,1621,1,4
110710052,2025,6930,1,4
110710052,2025,1072,1,0
110710052,2025,8223,1,4
110710052,2025,1126,1,4
110710061,2025,5475,1,5
110710061,2025,9909,1,5
110710061,2025,11412,1,5
110710061,2025,7754,1,3
110710061,2025,5370,1,4
110710061,2025,8446,1,4
110710061,2025,3917,1,4
110710061,2025,3350,1,2
110710061,2025,2965,1,2
110710061,2025,7403,1,4
110710061,2025,4788,1,4
110710061,2025,10,1,8
110710061,2025,1192,1,4
110710061,2025,2161,1,4
110710061,2025,3489,1,4
110710061,2025,812,1,4
110710061,2025,913,1,5
110710061,2025,611,1,5
110710113,2025,4559,1,4
110710113,2025,235,1,4
110710113,2025,1638,1,4
110710113,2025,6776,2,4
110710113,2025,2064,1,4
110710113,2025,7421,1,4
110710113,2025,394,1,0
110710113,2025,293,1,4
110710113,2025,11486,1,4
110710113,2025,3385,1,0
110710113,2025,1491,1,4
110710113,2025,8222,1,4
110710113,2025,8240,1,4
110710113,2025,5662,1,4
110710113,2025,4632,1,4
110710113,2025,4519,1,4
110710113,2025,1126,1,4
110710113,2025,4654,1,4
110710113,2025,897,1,4
110710113,2025,3574,1,0
110710113,2025,811,1,4
110710113,2025,883,1,4
110710113,2025,3544,1,4
110710113,2025,1106,1,4
110710113,2025,2102,1,4
110710113,2025,1469,1,4
110710113,2025,2165,1,4
110710113,2025,1703,1,4
110710113,2025,3505,1,4
110710113,2025,1254,1,4
110710113,2025,956,1,2
110710113,2025,8926,1,4
110710113,2025,10,6,8
110710113,2025,4438,1,4
110710113,2025,2477,1,4
110710113,2025,994,1,4
110710113,2025,842,1,4
110710113,2025,1554,1,4
110710113,2025,5884,1,4
110710113,2025,1795,1,4
110710113,2025,166,1,4
110710113,2025,958,1,4
110710113,2025,1445,1,4
110710113,2025,2301,1,4
110710113,2025,257,1,4
110710113,2025,912,1,0
110710113,2025,3560,1,0
110710113,2025,1127,1,4
110710113,2025,2632,1,6
110710113,2025,2249,1,1
110710113,2025,9039,1,5
110710113,2025,8001,1,5
110710113,2025,4354,1,5
110710113,2025,7253,1,5
110710113,2025,1246,1,4
110710113,2025,4534,1,5
110710113,2025,1087,1,4
110710113,2025,2546,1,4
110710113,2025,5481,1,4
110710113,2025,2659,1,4
110710113,2025,4021,1,4
110710113,2025,26,1,4
110710113,2025,8230,1,4
110710113,2025,930,1,4
110710113,2025,1013,1,4
110710113,2025,1752,1,0
110710113,2025,134,1,4
110710113,2025,11442,1,4
110710113,2025,3412,1,4
110710113,2025,1689,1,4
110710113,2025,9176,1,4
110710113,2025,1095,1,4
110710113,2025,4954,1,5
110710113,2025,934,1,4
110710113,2025,949,1,0
110710113,2025,1312,1,4
110710113,2025,1964,1,4
110710113,2025,8994,1,4
110710113,2025,4057,1,0
110710122,2025,11808,1,4
110710122,2025,992,1,4
110710122,2025,4185,1,4
110710122,2025,1546,1,3
110710122,2025,1032,1,5
110710122,2025,921,1,5
110710122,2025,4784,1,5
110710122,2025,4306,1,5
110710122,2025,11809,1,5
110710122,2025,4410,1,5
110710122,2025,2070,1,4
110710122,2025,946,1,5
110710122,2025,380,1,5
110710122,2025,1087,1,4
110710122,2025,3248,1,4
110710122,2025,269,1,4
110710122,2025,4587,1,4
110710122,2025,1338,1,4
110710122,2025,10,6,8
110710122,2025,1414,1,4
110710122,2025,4603,1,4
110710122,2025,7856,1,4
110710122,2025,6871,1,4
110710122,2025,4632,1,4
110710122,2025,1937,1,4
110710131,2025,2940,1,4
110710131,2025,3396,1,4
110710131,2025,1984,1,4
110710131,2025,894,1,4
110710131,2025,895,1,4
110710131,2025,5482,1,4
110710131,2025,6791,1,4
110710131,2025,2281,1,2
110710131,2025,5572,1,2
110710131,2025,5427,1,4
110710131,2025,614,1,2
110710131,2025,7486,1,4
110710131,2025,8319,1,2
110710131,2025,159,1,2
110710131,2025,3339,1,4
110710131,2025,2165,1,4
110710131,2025,1109,1,4
110710131,2025,4495,1,4
110710131,2025,3160,1,2
110710131,2025,1202,1,4
110710131,2025,2288,1,4
110710131,2025,691,1,4
110710131,2025,1047,1,4
110710131,2025,1150,1,4
110710131,2025,348,1,3
110710131,2025,3295,1,5
110710131,2025,3654,1,3
110710131,2025,2403,1,5
110710131,2025,5163,1,5
110710131,2025,232,1,3
110710131,2025,9921,1,3
110710131,2025,878,1,5
110710131,2025,907,1,4
110710131,2025,2984,1,4
110710131,2025,880,1,4
110710131,2025,931,1,4
110710131,2025,2088,1,4
110710131,2025,1016,1,4
110710131,2025,2319,1,4
110710131,2025,1101,1,2
110710131,2025,950,1,4
110710131,2025,847,1,4
110710131,2025,889,2,4
110710131,2025,10,6,8
110710131,2025,4139,1,2
110710131,2025,587,1,4
110710149,2025,1925,1,4
110710149,2025,1713,1,4
110710149,2025,1795,1,4
110710149,2025,4319,1,2
110710149,2025,870,1,4
110710149,2025,1047,1,4
110710149,2025,4351,1,4
110710149,2025,11751,1,5
110710149,2025,263,1,3
110710149,2025,4306,2,5
110710149,2025,10,3,8
110710149,2025,2833,1,5
110710149,2025,4753,1,5
110710149,2025,11649,1,3
110710149,2025,2527,1,4
110710149,2025,4309,1,4
110710149,2025,1616,1,4
110710149,2025,1920,1,4
110710149,2025,1101,1,2
110710149,2025,5568,1,4
110710149,2025,3300,1,4
110710149,2025,892,1,4
110710149,2025,4469,1,4
110710149,2025,896,1,4
110710149,2025,2646,1,4
110710149,2025,1039,1,4
110790015,2025,7729,1,4
110790015,2025,1076,2,4
110790015,2025,1109,1,4
110790015,2025,310,1,4
110790015,2025,11139,1,4
110790015,2025,687,1,5
110790015,2025,1554,1,4
110790015,2025,284,1,4
110790015,2025,1795,1,4
110790015,2025,10742,1,4
110790015,2025,5084,1,4
110790015,2025,643,1,4
110790015,2025,823,1,5
110790015,2025,432,1,5
110790015,2025,2636,1,5
110790015,2025,3529,1,5
110790015,2025,10287,1,5
110790015,2025,3981,1,5
110790015,2025,1706,1,5
110790015,2025,1423,1,5
110790015,2025,4005,3,5
110790015,2025,10,5,8
110790015,2025,11044,1,1
110790015,2025,3786,1,5
110790015,2025,1497,1,5
110790015,2025,1499,1,5
110790015,2025,930,1,4
110790015,2025,11810,1,4
110790015,2025,8435,1,4
110790015,2025,7370,1,4
110790015,2025,6714,1,4
110790015,2025,3707,1,4
110790015,2025,1271,1,4
110790015,2025,9224,1,4
110790015,2025,4989,1,4
110790015,2025,4884,3,4
110790015,2025,1126,1,4
110790016,2025,7966,1,4
110790018,2025,3446,1,5
110790018,2025,1228,1,4
110790018,2025,1939,1,4
110790018,2025,1318,1,4
110790018,2025,1443,2,0
110790018,2025,9751,1,4
110790018,2025,866,1,4
110790018,2025,3431,1,2
110790018,2025,1795,1,4
110790018,2025,2482,1,4
110790018,2025,3086,1,4
110790018,2025,1257,1,4
110790018,2025,2606,1,4
110790018,2025,3094,1,4
110790018,2025,1544,1,4
110790018,2025,914,1,5
110790018,2025,1169,1,5
110790018,2025,3981,1,5
110790018,2025,94,1,5
110790018,2025,1423,1,5
110790018,2025,4306,1,5
110790018,2025,10,5,8
110790018,2025,9945,1,5
110790018,2025,7225,1,5
110790018,2025,944,1,5
110790018,2025,380,1,5
110790018,2025,4029,1,4
110790018,2025,1095,2,4
110790018,2025,779,1,4
110790018,2025,974,1,0
110790018,2025,2803,1,4
110790018,2025,2301,1,4
110790018,2025,1399,1,4
110790018,2025,567,1,4
110790018,2025,1623,1,4
110790019,2025,192,3,0
110790019,2025,1925,1,4
110790019,2025,1513,1,4
110790019,2025,1713,1,4
110790019,2025,1109,1,4
110790019,2025,1044,1,4
110790019,2025,906,1,4
110790019,2025,1554,1,4
110790019,2025,867,2,4
110790019,2025,1029,1,4
110790019,2025,5084,1,4
110790019,2025,158,1,0
110790019,2025,836,1,4
110790019,2025,2047,1,4
110790019,2025,590,1,4
110790019,2025,599,1,4
110790019,2025,914,1,5
110790019,2025,1447,1,5
110790019,2025,10328,1,5
110790019,2025,4928,1,7
110790019,2025,261,1,5
110790019,2025,10,11,8
110790019,2025,6204,1,5
110790019,2025,10372,1,3
110790019,2025,9979,1,5
110790019,2025,967,1,5
110790019,2025,7755,1,5
110790019,2025,459,1,4
110790019,2025,3248,1,4
110790019,2025,930,1,4
110790019,2025,556,1,2
110790019,2025,3813,1,4
110790019,2025,4165,1,4
110790019,2025,884,1,4
110790019,2025,3057,1,4
110790019,2025,973,1,4
110790019,2025,1095,1,4
110790019,2025,4335,1,4
110790019,2025,8828,1,4
110790019,2025,1482,1,4
110790019,2025,9966,1,4
110790019,2025,3672,1,2
110790019,2025,6726,1,4
110790019,2025,3397,1,4
110790019,2025,950,1,4
110790019,2025,3064,1,4
110790019,2025,1363,1,4
110790019,2025,1932,1,0
110790019,2025,1290,2,4
110790020,2025,2316,1,4
110790020,2025,1161,1,4
110790020,2025,2646,1,4
110790020,2025,395,1,4
110790020,2025,976,1,4
110790020,2025,2120,1,4
110790020,2025,861,2,4
110790020,2025,3891,2,4
110790020,2025,1039,1,4
110790020,2025,4591,1,4
110790020,2025,1154,1,4
110790020,2025,1071,1,2
110790020,2025,1126,1,4
110790020,2025,1552,1,6
110790020,2025,4856,1,4
110790020,2025,2422,1,4
110790020,2025,4656,1,4
110790020,2025,867,1,4
110790020,2025,4476,1,4
110790020,2025,4570,1,4
110790020,2025,106,1,4
110790020,2025,10,8,8
110790020,2025,2126,1,4
110790020,2025,1677,1,4
110790020,2025,6080,1,4
110790020,2025,10051,1,4
110790020,2025,2971,1,3
110790020,2025,8068,1,5
110790020,2025,2846,1,5
110790020,2025,944,1,5
110790020,2025,10917,1,3
110790020,2025,232,1,3
110790020,2025,6182,1,4
110790020,2025,4145,1,5
110790020,2025,2506,1,4
110790020,2025,2312,1,4
110790020,2025,4309,1,4
110790020,2025,82,1,4
110790020,2025,1091,1,4
110790020,2025,1118,1,4
110790020,2025,4383,1,4
110790020,2025,1224,1,4
110790020,2025,4689,1,4
110790020,2025,4674,1,4
110790020,2025,1095,1,4
110790020,2025,1124,1,4
110790020,2025,2200,1,4
110790020,2025,8435,1,4
110790020,2025,934,1,4
110790020,2025,949,1,0
110790020,2025,1621,1,4
110790020,2025,817,1,4
110790020,2025,4650,1,4
110790020,2025,1211,1,4
110790021,2025,892,1,4
110790021,2025,9546,1,4
110790021,2025,4118,1,0
110790021,2025,5011,1,4
110790021,2025,4220,1,2
110790021,2025,1363,1,4
110790021,2025,3609,1,0
110790021,2025,987,1,4
110790021,2025,834,1,4
110790021,2025,1290,1,4
110790021,2025,883,1,4
110790021,2025,2733,1,4
110790021,2025,3386,1,4
110790021,2025,1273,1,4
110790021,2025,993,1,4
110790021,2025,11139,1,4
110790021,2025,842,1,4
110790021,2025,5843,1,4
110790021,2025,867,1,4
110790021,2025,5866,1,0
110790021,2025,2482,1,4
110790021,2025,60,1,2
110790021,2025,200,1,4
110790021,2025,699,1,4
110790021,2025,912,1,0
110790021,2025,3246,1,4
110790021,2025,1047,1,4
110790021,2025,1258,1,0
110790021,2025,1111,1,4
110790021,2025,4018,1,0
110790021,2025,955,1,5
110790021,2025,7205,1,5
110790021,2025,301,1,8
110790021,2025,11811,1,5
110790021,2025,1434,1,4
110790021,2025,1376,1,4
110790021,2025,1686,1,4
110790021,2025,1095,1,4
110790021,2025,4184,1,0
110790021,2025,3004,1,4
110790021,2025,35,1,4
110790021,2025,10,9,8
110790021,2025,929,1,4
110790021,2025,5304,1,4
110790021,2025,1964,1,4
110790021,2025,1341,1,4
110790023,2025,10,2,8
110790023,2025,56,1,4
110790023,2025,2841,1,4
110790023,2025,1136,1,4
110790023,2025,955,1,5
110790023,2025,11442,1,4
110790023,2025,1101,1,2
110790024,2025,38,1,4
110790024,2025,3238,1,4
110790024,2025,5080,1,4
110790024,2025,2669,1,4
110790024,2025,1076,1,4
110790024,2025,11139,1,4
110790024,2025,2009,1,4
110790024,2025,5998,1,4
110790024,2025,2674,1,4
110790024,2025,871,1,7
110790024,2025,10,2,8
110790024,2025,1178,1,5
110790024,2025,3564,1,5
110790024,2025,920,1,5
110790024,2025,10353,1,1
110790024,2025,942,1,5
110790024,2025,1651,1,5
110790024,2025,1423,1,5
110790024,2025,3786,1,5
110790024,2025,4863,1,5
110790024,2025,9433,1,5
110790024,2025,1620,1,4
110790024,2025,4187,1,3
110790024,2025,3776,1,4
110790024,2025,4021,1,4
110790024,2025,1091,1,4
110790024,2025,1686,1,4
110790024,2025,334,1,4
110790024,2025,3148,1,4
110790024,2025,1095,1,4
110790024,2025,3870,1,4
110790024,2025,1100,1,4
110790024,2025,4768,1,4
110790024,2025,1340,1,4
110790024,2025,1270,2,0
110790024,2025,4820,1,4
110790024,2025,319,1,4
110790024,2025,386,1,4
110790024,2025,6969,1,4
110790025,2025,395,1,4
110790025,2025,1571,1,4
110790025,2025,6912,1,4
110790025,2025,5662,1,4
110790025,2025,4632,1,4
110790025,2025,834,1,4
110790025,2025,2693,1,4
110790025,2025,5096,1,4
110790025,2025,1364,1,4
110790025,2025,10788,1,4
110790025,2025,868,1,4
110790025,2025,1043,1,4
110790025,2025,2624,1,4
110790025,2025,4886,1,4
110790025,2025,1044,3,4
110790025,2025,1554,1,4
110790025,2025,912,1,0
110790025,2025,9661,1,4
110790025,2025,9926,1,4
110790025,2025,2248,1,4
110790025,2025,3295,1,5
110790025,2025,10,6,8
110790025,2025,8172,1,2
110790025,2025,11812,1,4
110790025,2025,8861,1,4
110790025,2025,4309,1,4
110790025,2025,334,1,4
110790025,2025,1095,2,4
110790025,2025,934,1,4
110790025,2025,1398,1,4
110790025,2025,8863,1,4
110790025,2025,9820,1,4
110790025,2025,4559,1,4
110790025,2025,1028,1,4
110790025,2025,3354,1,4
110790025,2025,279,1,4
110790025,2025,817,1,4
110790025,2025,8159,1,4
110790030,2025,1443,2,0
110790030,2025,2477,1,4
110790030,2025,994,1,4
110790030,2025,866,1,4
110790030,2025,1554,2,4
110790030,2025,3840,1,4
110790030,2025,10033,1,4
110790030,2025,4635,1,4
110790030,2025,5584,1,4
110790030,2025,1127,1,4
110790030,2025,10,7,8
110790030,2025,9661,1,4
110790030,2025,10580,1,0
110790030,2025,643,2,4
110790030,2025,1082,1,5
110790030,2025,171,1,5
110790030,2025,11813,1,1
110790030,2025,11138,1,5
110790030,2025,4005,1,5
110790030,2025,944,1,5
110790030,2025,8149,1,5
110790030,2025,11814,1,4
110790030,2025,927,1,5
110790030,2025,884,1,4
110790030,2025,6620,1,4
110790030,2025,2686,1,4
110790030,2025,1270,1,0
110790030,2025,982,1,4
110790030,2025,3975,1,4
110790030,2025,976,1,4
110790030,2025,1126,1,4
110790030,2025,1106,1,4
110790031,2025,6776,1,4
110790031,2025,3975,1,4
110790031,2025,6917,1,4
110790031,2025,976,1,4
110790031,2025,4990,1,4
110790031,2025,3340,1,4
110790031,2025,811,1,4
110790031,2025,10788,2,4
110790031,2025,1106,1,4
110790031,2025,10879,1,4
110790031,2025,2320,1,4
110790031,2025,7824,1,4
110790031,2025,4856,1,4
110790031,2025,5772,1,4
110790031,2025,1076,2,4
110790031,2025,1443,2,0
110790031,2025,310,2,4
110790031,2025,842,1,4
110790031,2025,866,1,4
110790031,2025,117,1,4
110790031,2025,9483,1,0
110790031,2025,1154,1,4
110790031,2025,7130,1,4
110790031,2025,2195,1,4
110790031,2025,911,1,4
110790031,2025,1149,1,4
110790031,2025,1305,1,5
110790031,2025,7667,1,5
110790031,2025,432,1,5
110790031,2025,4784,1,5
110790031,2025,4406,1,5
110790031,2025,4005,2,5
110790031,2025,3462,1,4
110790031,2025,924,2,5
110790031,2025,7777,1,5
110790031,2025,5032,1,5
110790031,2025,5390,1,4
110790031,2025,1686,1,4
110790031,2025,4906,1,4
110790031,2025,8435,1,4
110790031,2025,1482,1,4
110790031,2025,1156,1,4
110790031,2025,7137,1,4
110790031,2025,10,7,8
110790031,2025,1268,1,4
110790031,2025,1270,1,0
110790032,2025,1126,1,4
110790032,2025,8389,1,4
110790032,2025,1443,1,0
110790032,2025,310,1,4
110790032,2025,2477,1,4
110790032,2025,867,1,4
110790032,2025,2168,1,4
110790032,2025,4261,1,4
110790032,2025,7130,1,4
110790032,2025,1046,1,4
110790032,2025,889,1,4
110790032,2025,1135,1,4
110790032,2025,1202,1,4
110790032,2025,1127,1,4
