yop_kodu,year,lise_id,yerlesen_sayisi,school_type
202410026,2025,3998,1,4
202410026,2025,411,1,4
202410026,2025,2695,1,4
202410026,2025,4087,1,4
202410026,2025,4272,1,4
202410026,2025,5408,1,4
202410026,2025,10065,1,1
202410026,2025,8248,1,5
202410026,2025,6142,1,7
202410026,2025,4970,1,7
202410026,2025,3757,1,4
202410026,2025,6156,1,5
202410026,2025,593,1,5
202410026,2025,11851,1,3
202410026,2025,3899,1,5
202410026,2025,4991,1,5
202410026,2025,3531,1,7
202410026,2025,4236,1,5
202410026,2025,11573,1,5
202410026,2025,2109,2,4
202410026,2025,6618,1,4
202410026,2025,10,3,8
202410026,2025,342,1,4
202410026,2025,3594,1,4
202410026,2025,7420,1,4
202410026,2025,5365,1,4
202410026,2025,90,1,4
202410026,2025,4012,2,4
202410035,2025,5821,1,4
202410035,2025,490,1,5
202410035,2025,4495,2,4
202410035,2025,2738,1,4
202410035,2025,3686,1,4
202410035,2025,2488,1,4
202410035,2025,11852,1,1
202410035,2025,11853,1,5
202410035,2025,5035,1,5
202410035,2025,3615,1,5
202410035,2025,10,2,8
202410035,2025,790,1,3
202410035,2025,941,1,5
202410035,2025,3625,1,5
202410035,2025,478,1,5
202410035,2025,7792,1,5
202410035,2025,2334,1,3
202410035,2025,10898,1,7
202410035,2025,6335,1,5
202410035,2025,4217,1,5
202410035,2025,508,1,5
202410035,2025,4707,1,0
202410035,2025,6410,1,4
202410035,2025,5330,1,4
202410035,2025,3376,1,4
202410035,2025,4963,1,4
202410035,2025,3695,1,4
202410035,2025,2410,1,4
202410035,2025,2324,1,4
202410035,2025,2670,1,4
202410035,2025,2695,1,4
202410044,2025,70,1,5
202410044,2025,3529,1,5
202410044,2025,1011,1,4
202410044,2025,1504,1,4
202410044,2025,10,1,8
202410044,2025,283,1,4
202410044,2025,252,1,2
202410044,2025,2042,1,4
202410044,2025,298,1,0
202410044,2025,2890,1,6
202410044,2025,2631,1,2
202410044,2025,1718,1,5
202410098,2025,8658,1,5
202410098,2025,5468,1,4
202410098,2025,4434,1,4
202410098,2025,10,2,8
202410098,2025,2178,1,4
202410098,2025,981,1,4
202410098,2025,4276,1,2
202410098,2025,396,1,4
202410098,2025,699,1,4
202410098,2025,5063,1,5
202410098,2025,450,1,5
202410141,2025,5274,1,4
202410141,2025,2373,1,4
202410141,2025,5817,1,4
202410141,2025,4495,1,4
202410141,2025,5232,1,4
202410141,2025,9763,1,4
202410141,2025,959,1,4
202410141,2025,10144,1,3
202410141,2025,4272,1,4
202410141,2025,701,1,4
202410141,2025,10,3,8
202410141,2025,6121,1,5
202410141,2025,5022,1,5
202410141,2025,3783,1,3
202410141,2025,767,2,5
202410141,2025,10198,1,5
202410141,2025,429,1,5
202410141,2025,8568,1,5
202410141,2025,263,1,3
202410141,2025,10135,1,3
202410141,2025,10086,1,1
202410141,2025,4140,1,4
202410141,2025,968,1,3
202410141,2025,10163,1,5
202410141,2025,270,3,4
202410141,2025,5023,1,4
202410141,2025,6628,1,4
202410141,2025,779,1,4
202410141,2025,3694,1,4
202410141,2025,5091,1,4
202410141,2025,3695,1,4
202410141,2025,4955,2,4
202410141,2025,399,1,4
202410141,2025,2277,1,2
202410141,2025,3044,1,4
202410141,2025,2068,1,4
202410168,2025,1069,1,4
202410168,2025,449,1,5
202410168,2025,1742,1,4
202410168,2025,2685,1,4
202410168,2025,4488,1,4
202410177,2025,10,1,8
202410177,2025,1679,1,5
202410177,2025,4434,1,4
202410256,2025,8593,1,5
202410256,2025,7285,1,5
202410256,2025,10979,1,4
202410274,2025,3170,1,4
202410274,2025,1934,1,4
202410274,2025,110,1,4
202410274,2025,407,1,4
202410274,2025,411,1,4
202410274,2025,5877,1,4
202410274,2025,347,2,4
202410274,2025,4272,1,4
202410274,2025,3106,1,5
202410274,2025,1678,1,1
202410274,2025,10,2,8
202410274,2025,10118,1,5
202410274,2025,767,1,5
202410274,2025,8107,1,5
202410274,2025,10249,1,5
202410274,2025,434,1,5
202410274,2025,10131,1,5
202410274,2025,10876,1,5
