yop_kodu,year,lise_id,yerlesen_sayisi,school_type
209810010,2025,3757,1,4
209810011,2025,10,1,8
209810011,2025,4963,1,4
209810011,2025,4435,1,4
209810011,2025,3583,1,4
209810011,2025,3433,1,4
209810011,2025,4177,1,4
209810011,2025,10094,1,4
209810011,2025,8944,1,4
209810012,2025,8751,1,4
209810012,2025,2376,1,4
209810012,2025,6018,1,4
209810012,2025,4981,1,5
209810012,2025,9151,1,5
209810012,2025,9044,1,5
209810012,2025,4238,1,5
209810012,2025,6491,1,4
209810012,2025,340,1,4
209810012,2025,6652,1,4
209810012,2025,10,1,8
209810012,2025,9280,1,4
209810012,2025,586,1,4
209810012,2025,587,1,4
209810012,2025,3594,1,4
209810012,2025,4729,1,4
209810012,2025,5365,1,4
209810012,2025,6867,1,4
209810012,2025,4085,1,4
209810012,2025,5746,1,4
209810013,2025,1407,1,2
209810014,2025,118,1,4
209810014,2025,668,1,4
209810014,2025,1339,1,4
209810014,2025,5067,1,4
209810014,2025,10,1,8
209810014,2025,4620,1,4
209810014,2025,331,1,4
209810014,2025,3486,1,2
209810014,2025,1163,1,2
209810014,2025,2959,1,2
209810014,2025,531,1,0
209810030,2025,10,1,8
209810030,2025,3406,1,4
209810030,2025,8216,1,4
209810030,2025,2032,1,4
209810031,2025,2789,1,4
209810031,2025,316,1,4
209810031,2025,10,2,8
209810031,2025,1690,1,4
209810031,2025,5322,1,4
209810031,2025,3409,1,4
209810031,2025,4609,1,4
209810031,2025,113,1,4
209810031,2025,10842,1,5
209810031,2025,1053,1,5
209810032,2025,5365,1,4
209810032,2025,7451,1,4
209810032,2025,4662,1,4
209810032,2025,487,1,4
209810032,2025,985,1,0
209810032,2025,10587,1,4
209810032,2025,3905,1,4
209810032,2025,5805,1,4
209810032,2025,413,1,4
209810032,2025,5819,1,4
209810032,2025,3894,1,4
209810032,2025,9330,1,4
209810032,2025,5060,1,4
209810032,2025,4261,1,4
209810032,2025,5945,1,4
209810032,2025,5951,1,4
209810032,2025,5017,1,4
209810032,2025,5979,1,4
209810032,2025,1202,1,4
209810032,2025,4124,1,4
209810032,2025,7142,1,4
209810032,2025,627,1,4
209810032,2025,541,1,5
209810032,2025,10463,1,1
209810032,2025,6137,1,5
209810032,2025,11401,1,1
209810032,2025,11829,1,5
209810032,2025,5045,1,5
209810032,2025,2198,1,5
209810032,2025,1169,1,5
209810032,2025,4378,1,5
209810032,2025,71,1,5
209810032,2025,10,10,8
209810032,2025,11928,1,5
209810032,2025,8239,1,1
209810032,2025,6294,1,5
209810032,2025,8629,1,5
209810032,2025,4127,1,5
209810032,2025,8891,1,5
209810032,2025,380,1,5
209810032,2025,2771,1,4
209810032,2025,460,1,4
209810032,2025,3100,1,4
209810032,2025,1671,1,4
209810032,2025,7369,1,4
209810032,2025,4434,1,4
209810032,2025,4742,1,4
209810032,2025,342,1,4
209810032,2025,520,1,0
209810032,2025,6788,2,4
209810032,2025,981,1,4
209810034,2025,10,3,8
209810034,2025,4729,1,4
209810034,2025,9307,1,4
209810034,2025,11929,1,1
209810034,2025,3848,1,0
209810035,2025,5080,1,4
209810035,2025,10587,1,4
209810035,2025,9202,1,5
209810035,2025,5626,1,4
209810035,2025,513,1,4
209810037,2025,10,1,8
209810037,2025,1539,1,4
209810037,2025,8705,1,4
209810037,2025,699,1,4
209810037,2025,10649,1,4
209810037,2025,2686,1,4
209810038,2025,2373,1,4
209810038,2025,414,1,4
209810038,2025,1880,1,4
209810038,2025,3367,1,4
209810038,2025,6254,1,5
209810038,2025,6440,1,4
209810038,2025,7308,1,4
209810038,2025,8413,1,4
209810038,2025,10,2,8
209810038,2025,5012,1,4
209810038,2025,6764,1,4
209810038,2025,10679,1,4
209810038,2025,6897,1,4
209810038,2025,2905,1,4
209810038,2025,2324,1,4
209810038,2025,7870,1,4
209810040,2025,448,1,4
209810040,2025,9307,1,4
209810040,2025,3435,1,4
209810040,2025,8891,1,5
209810041,2025,10,2,8
209810042,2025,301,1,8
209810042,2025,2535,1,4
209810042,2025,10405,1,4
209810043,2025,10,1,8
209810043,2025,10592,1,4
