yop_kodu,year,lise_id,yerlesen_sayisi,school_type
201710538,2025,567,1,4
201710538,2025,2718,1,0
201710538,2025,639,1,4
201710538,2025,10072,1,5
201710538,2025,8215,1,3
201710538,2025,1431,1,3
201710547,2025,417,1,4
201710547,2025,11603,1,3
201710547,2025,440,1,5
201710547,2025,657,1,4
201710547,2025,10,1,8
201710547,2025,587,1,4
201710547,2025,715,1,4
201710547,2025,3301,1,4
201710547,2025,4085,1,4
201710547,2025,333,1,4
201710547,2025,532,1,4
201710547,2025,105,1,4
201710653,2025,533,1,4
201710653,2025,456,1,4
201710653,2025,8375,1,2
201710698,2025,301,1,8
201710698,2025,10,1,8
201710698,2025,626,1,4
201710698,2025,4010,1,4
201710698,2025,2838,1,4
201710698,2025,5103,1,4
201710698,2025,851,1,8
201710705,2025,1857,1,4
201710705,2025,3224,1,4
201710705,2025,3666,1,2
201710705,2025,101,1,4
201710705,2025,34,1,4
201710705,2025,8863,1,4
201710705,2025,715,1,4
201710705,2025,3839,1,0
201710705,2025,1349,1,4
201710705,2025,733,1,4
201710705,2025,8299,1,5
201710705,2025,10057,1,5
201710705,2025,2585,1,5
201710705,2025,8494,1,4
201710741,2025,10,2,8
201710741,2025,2279,1,4
201710741,2025,7067,1,4
201710741,2025,2674,1,4
201710741,2025,69,1,5
201710777,2025,5880,1,4
201710777,2025,5937,1,4
201710777,2025,415,1,4
201710777,2025,4264,1,4
201710777,2025,8184,1,4
201710777,2025,851,1,8
201710777,2025,689,1,4
201710777,2025,10772,1,4
201710777,2025,10058,1,5
201710777,2025,6291,1,5
201710777,2025,10,2,8
201710777,2025,3847,1,4
201710777,2025,6409,3,4
201710777,2025,510,1,4
201710777,2025,1859,1,4
201710777,2025,4117,1,4
201710777,2025,6682,1,4
201710777,2025,4787,1,4
201710777,2025,2687,1,4
201710777,2025,1690,1,4
201710777,2025,6501,1,4
201710777,2025,4910,1,4
201710777,2025,637,1,4
201710777,2025,5871,1,4
201710777,2025,5873,3,4
201710777,2025,5875,1,4
201790176,2025,3915,1,2
201790176,2025,2255,1,2
201790176,2025,409,1,4
201790176,2025,5944,1,4
201790176,2025,107,1,4
201790176,2025,701,1,4
201790176,2025,1706,1,5
201790176,2025,267,1,4
201790176,2025,3719,1,4
201790176,2025,7839,1,4
201790177,2025,6521,1,4
201790177,2025,344,1,4
201790177,2025,115,1,4
201790177,2025,2542,1,4
201790177,2025,3450,1,5
201790177,2025,8557,1,5
201790178,2025,503,1,4
201790178,2025,4000,1,4
201790178,2025,5408,1,4
201790178,2025,10081,1,5
201790178,2025,267,1,4
201790179,2025,5797,1,4
201790179,2025,7548,1,4
201790179,2025,3382,1,6
201790179,2025,5944,1,4
201790179,2025,105,1,4
201790179,2025,6066,1,4
201790179,2025,11294,1,1
201790179,2025,11144,1,5
201790179,2025,5492,1,5
201790179,2025,10058,1,5
201790179,2025,10,1,8
201790179,2025,2585,1,5
201790179,2025,6260,1,5
201790179,2025,773,1,5
201790179,2025,5086,1,5
201790179,2025,7951,1,5
201790179,2025,3553,1,5
201790179,2025,565,1,5
201790179,2025,382,1,4
201790179,2025,510,1,4
201790179,2025,4640,1,4
201790179,2025,448,1,4
201790179,2025,1622,1,4
201790179,2025,5350,1,4
201790179,2025,3258,1,4
201790179,2025,331,1,4
201790179,2025,2204,1,4
201790179,2025,4910,1,4
201790181,2025,3367,1,4
201790181,2025,6291,1,5
201790182,2025,3759,1,2
201790182,2025,2102,1,4
201790182,2025,5492,1,5
201790182,2025,5016,1,4
201790182,2025,2687,1,4
201790182,2025,6736,1,4
201790183,2025,3740,1,4
201790183,2025,5949,1,4
201790183,2025,2916,1,4
201790183,2025,10328,1,5
201790183,2025,7156,1,3
201790183,2025,10137,1,5
201790183,2025,9994,1,5
201790183,2025,9957,1,3
201790183,2025,6260,1,5
201790183,2025,10490,1,5
201790183,2025,301,1,8
201790183,2025,650,1,5
201790183,2025,7951,1,5
201790183,2025,2182,1,5
201790183,2025,4738,1,5
201790183,2025,8605,1,4
201790183,2025,1859,1,4
201790183,2025,725,1,4
201790183,2025,3849,1,4
201790183,2025,5562,1,4
201790183,2025,7387,1,4
201790183,2025,10,2,8
201790183,2025,468,1,4
201790183,2025,780,1,4
201790183,2025,3253,1,4
201790183,2025,5350,1,4
201790183,2025,3744,1,4
201790183,2025,7070,1,4
201790183,2025,7825,1,4
201790218,2025,5173,1,5
201790218,2025,947,1,5
201790218,2025,2771,1,4
201790218,2025,6414,1,4
201790218,2025,7379,1,4
201790218,2025,587,1,4
201790218,2025,8693,1,4
201790218,2025,5259,1,4
201790218,2025,409,1,4
201790218,2025,2330,1,4
201790218,2025,701,1,4
201790218,2025,1150,1,4
201790218,2025,2742,1,5
201790220,2025,3039,1,4
201790220,2025,10,1,8
201790220,2025,983,1,4
201790220,2025,4222,1,4
201790220,2025,3229,1,4
201790220,2025,3723,1,4
