yop_kodu,year,lise_id,yerlesen_sayisi,school_type
202710023,2025,7160,1,5
202710023,2025,5338,1,5
202710023,2025,9071,1,5
202710023,2025,2332,1,3
202710023,2025,2585,1,5
202710023,2025,6410,1,4
202710023,2025,3664,1,0
202710023,2025,6482,1,4
202710023,2025,3100,1,4
202710023,2025,2987,1,4
202710023,2025,10,2,8
202710023,2025,6765,1,4
202710023,2025,621,1,4
202710023,2025,399,1,4
202710023,2025,4223,1,4
202710023,2025,10587,1,4
202710023,2025,1273,1,4
202710023,2025,10065,1,1
202710086,2025,1011,1,4
202710086,2025,4150,1,4
202710086,2025,655,1,4
202710086,2025,4488,1,4
202710086,2025,1025,1,2
202710086,2025,3360,1,4
202710086,2025,4975,1,4
202710086,2025,847,1,4
202710086,2025,5011,1,4
202710086,2025,5274,1,4
202710086,2025,616,1,4
202710086,2025,2648,1,4
202710086,2025,7825,1,4
202710086,2025,590,1,4
202710086,2025,7777,1,5
202710102,2025,1011,1,4
202710102,2025,1436,1,4
202710102,2025,4296,1,4
202710102,2025,1686,1,4
202710102,2025,4967,2,4
202710102,2025,10,2,8
202710102,2025,1175,1,4
202710102,2025,515,1,4
202710102,2025,347,1,4
202710102,2025,1137,1,3
202710102,2025,10030,1,1
202710102,2025,8593,1,5
202710102,2025,382,1,4
202710129,2025,10,3,8
202710129,2025,6970,1,4
202710129,2025,247,1,4
202710129,2025,4084,1,0
202710129,2025,616,1,4
202710129,2025,7627,1,5
202710138,2025,5012,1,4
202710138,2025,6121,1,5
202710165,2025,409,1,4
202710165,2025,1273,1,4
202710165,2025,597,1,4
202710165,2025,8576,1,5
202710165,2025,10602,1,5
202710165,2025,17,1,3
202710165,2025,2080,1,5
202710165,2025,4322,1,4
202710165,2025,1570,1,4
202710165,2025,10,2,8
202710165,2025,8453,1,4
202710165,2025,2178,2,4
202710165,2025,3605,1,5
202710165,2025,4729,1,4
202710165,2025,10606,1,4
202710165,2025,3429,1,4
202710165,2025,5080,1,4
202710174,2025,3873,1,4
202710174,2025,5030,1,5
202710192,2025,301,1,8
202710192,2025,10,1,8
202710192,2025,4157,1,5
202710192,2025,4412,1,4
202710253,2025,3720,1,4
202710271,2025,3229,1,4
202710305,2025,4850,1,4
202710305,2025,1679,1,5
202710305,2025,611,1,5
202710305,2025,2772,1,4
202710305,2025,4412,1,4
