yop_kodu,year,lise_id,yerlesen_sayisi,school_type
208710138,2025,301,1,8
208710138,2025,6822,1,4
208710138,2025,3905,1,4
208710138,2025,8410,1,3
208710138,2025,7876,1,5
208710147,2025,1469,1,4
208710147,2025,910,1,4
208710147,2025,5062,1,4
208710147,2025,4969,1,4
208710147,2025,5000,1,4
208710147,2025,703,1,5
208710147,2025,5065,1,5
208710147,2025,3589,1,5
208710147,2025,9906,1,5
208710147,2025,7787,1,5
208710147,2025,2696,1,4
208710147,2025,4482,1,5
208710147,2025,5357,1,5
208710147,2025,6367,1,5
208710147,2025,4412,1,4
208710147,2025,8919,1,4
208710147,2025,662,1,4
208710147,2025,3630,1,4
208710147,2025,1359,1,4
208710147,2025,6812,1,4
208710147,2025,2576,1,4
208710147,2025,6856,1,4
208710147,2025,2324,1,4
208710147,2025,5080,1,4
208710156,2025,10,1,8
208710156,2025,403,1,4
208710156,2025,5322,1,4
208710156,2025,5013,1,4
208710156,2025,327,1,4
208710156,2025,3435,1,4
208710156,2025,506,1,5
208710165,2025,5665,1,4
208710165,2025,4994,3,4
208710165,2025,5777,1,4
208710165,2025,11476,1,4
208710165,2025,851,2,8
208710165,2025,8133,1,1
208710165,2025,2932,1,5
208710165,2025,2710,1,5
208710165,2025,10170,1,5
208710165,2025,5512,1,5
208710165,2025,847,1,4
208710165,2025,8593,1,5
208710165,2025,9514,1,1
208710165,2025,509,1,4
208710165,2025,7303,1,4
208710165,2025,5019,1,4
208710165,2025,5190,1,4
208710165,2025,1859,1,4
208710165,2025,10,1,8
208710165,2025,2178,1,4
208710165,2025,4968,1,4
208710165,2025,6822,1,4
208710165,2025,634,1,4
208710165,2025,7037,2,4
208710165,2025,7063,1,4
208710174,2025,623,1,4
208710174,2025,981,1,4
208710174,2025,5000,1,4
208710174,2025,459,1,4
208710174,2025,3323,1,4
208710183,2025,6991,1,4
208710183,2025,2324,1,4
208710183,2025,5080,1,4
208710183,2025,1469,1,4
208710183,2025,3576,1,4
208710183,2025,5986,1,4
208710183,2025,4143,1,4
208710183,2025,1880,1,4
208710183,2025,4272,2,4
208710183,2025,2488,1,4
208710183,2025,1580,1,4
208710183,2025,5004,1,5
208710183,2025,94,1,5
208710183,2025,581,1,5
208710183,2025,3335,1,4
208710183,2025,10483,1,4
208710183,2025,4488,1,4
208710183,2025,2753,1,4
208710183,2025,10,2,8
208710183,2025,3300,1,4
208710183,2025,587,1,4
208710183,2025,666,1,4
208710183,2025,5012,2,4
208710183,2025,2204,1,4
208710183,2025,781,1,4
208710192,2025,8532,1,4
208710192,2025,4406,1,5
208710192,2025,5010,1,4
208710208,2025,5839,1,4
208710208,2025,3285,1,4
208710217,2025,2418,1,4
208710217,2025,340,1,4
208710217,2025,8202,1,4
208710217,2025,84,1,4
208710217,2025,1143,1,4
208710217,2025,1487,1,4
208710217,2025,396,1,4
208710217,2025,903,1,4
208710217,2025,3584,1,2
208710217,2025,8526,1,4
208710217,2025,4610,1,4
208710217,2025,819,1,4
208710217,2025,455,1,5
208710226,2025,3274,1,4
208710226,2025,567,1,4
208710226,2025,514,1,4
208710226,2025,7415,1,4
208710226,2025,10125,1,4
208710226,2025,3695,1,4
208710226,2025,5712,1,4
208710226,2025,4750,1,4
208710226,2025,4223,1,4
208710226,2025,2928,1,4
208710226,2025,3096,1,4
208710226,2025,781,1,4
208710226,2025,343,1,4
208710226,2025,5703,1,4
208710226,2025,4012,1,4
208710226,2025,7010,1,4
208710226,2025,4255,1,4
208710226,2025,3543,1,2
208710226,2025,635,1,0
208710226,2025,3873,1,4
208710226,2025,2101,1,4
208710226,2025,3306,1,4
208710226,2025,1469,1,4
208710226,2025,1273,1,4
