yop_kodu,year,lise_id,yerlesen_sayisi,school_type
203010054,2025,2479,1,4
203010054,2025,5877,1,4
203010054,2025,4495,2,4
203010054,2025,5945,1,4
203010054,2025,347,1,4
203010054,2025,4157,1,5
203010054,2025,7160,2,5
203010054,2025,10192,1,5
203010054,2025,8248,7,5
203010054,2025,6142,1,7
203010054,2025,301,1,8
203010054,2025,4243,1,5
203010054,2025,10614,1,5
203010054,2025,6200,1,1
203010054,2025,770,1,5
203010054,2025,6225,1,5
203010054,2025,6245,1,5
203010054,2025,3899,1,5
203010054,2025,7231,1,5
203010054,2025,9178,1,5
203010054,2025,10086,1,1
203010054,2025,10,3,8
203010054,2025,450,1,5
203010054,2025,459,1,4
203010054,2025,270,1,4
203010054,2025,1587,1,4
203010054,2025,5091,1,4
203010054,2025,3594,2,4
203010054,2025,4963,1,4
203010054,2025,395,1,4
203010054,2025,5025,1,4
203010054,2025,3544,1,4
203010054,2025,2648,1,4
203010063,2025,3481,1,5
203010063,2025,11385,1,5
203010063,2025,655,1,4
203010063,2025,9935,1,4
203010063,2025,664,1,4
203010063,2025,448,1,4
203010063,2025,4620,1,4
203010063,2025,6782,1,4
203010063,2025,625,1,4
203010063,2025,8222,1,4
203010063,2025,4610,1,4
203010063,2025,3246,1,4
203010063,2025,8248,1,5
203010106,2025,4808,1,4
203010106,2025,110,1,4
203010106,2025,1393,1,5
203010106,2025,9950,1,5
203010106,2025,9785,1,5
203010106,2025,3481,1,5
203010106,2025,713,1,5
203010106,2025,586,1,4
203010115,2025,654,1,4
203010115,2025,10,1,8
203010115,2025,623,1,4
203010115,2025,3583,1,4
203010115,2025,333,1,4
203010115,2025,2432,1,2
203010115,2025,2351,1,4
203010115,2025,4850,1,4
203010115,2025,7259,1,1
203010124,2025,5003,1,5
203010124,2025,6739,1,4
203010124,2025,6741,1,4
203010124,2025,10,3,8
203010124,2025,851,1,8
203010124,2025,7142,1,4
203010124,2025,4110,1,4
203010124,2025,5021,1,5
203010124,2025,4928,1,7
203010124,2025,766,1,5
203010124,2025,5001,1,5
203010133,2025,4015,1,4
203010133,2025,1542,1,4
203010133,2025,6142,1,7
203010133,2025,8629,1,5
203010133,2025,7369,1,4
203010133,2025,5293,1,4
203010133,2025,1097,1,4
203010133,2025,3169,1,0
203010133,2025,448,1,4
203010133,2025,3889,1,4
203010133,2025,981,1,4
203010133,2025,4891,1,4
203010133,2025,2168,1,4
203010133,2025,4495,1,4
203010133,2025,4241,1,0
203010142,2025,10487,1,5
203010169,2025,10,3,8
203010169,2025,403,1,4
203010169,2025,981,1,4
203010169,2025,4995,1,4
203010169,2025,470,1,5
203010169,2025,7277,1,5
203010178,2025,10,1,8
203010178,2025,1678,1,1
203010178,2025,7160,1,5
203010178,2025,9257,1,5
203010187,2025,7805,1,0
203010187,2025,5082,1,4
203010187,2025,4850,1,4
203010187,2025,1718,1,5
203010187,2025,493,1,5
203010187,2025,7667,1,5
203010187,2025,9371,1,5
203010187,2025,5015,1,7
203010187,2025,752,1,1
203010187,2025,4973,1,2
203010187,2025,10,2,8
203010187,2025,5347,1,4
203010187,2025,3223,1,4
203010187,2025,7112,1,4
203010187,2025,4975,1,4
203010187,2025,4140,1,4
203010187,2025,1924,1,4
203010187,2025,3997,1,4
203010187,2025,1572,1,4
203010187,2025,110,1,4
203010187,2025,3607,1,4
203010187,2025,990,1,2
203010239,2025,10,1,8
203010239,2025,5877,1,4
203010239,2025,9064,1,5
203010239,2025,5010,1,4
203010239,2025,586,1,4
203010248,2025,10,2,8
203010248,2025,625,1,4
