yop_kodu,year,lise_id,yerlesen_sayisi,school_type
105410018,2025,781,1,4
105410018,2025,559,1,4
105410018,2025,3744,1,4
105410018,2025,2227,1,4
105410018,2025,1934,1,4
105410018,2025,5747,1,4
105410018,2025,694,1,4
105410018,2025,536,1,2
105410018,2025,415,1,4
105410018,2025,11970,1,4
105410018,2025,10,2,8
105410018,2025,1219,1,4
105410018,2025,539,1,0
105410018,2025,701,1,4
105410018,2025,1150,1,4
105410018,2025,789,1,1
105410018,2025,8579,1,5
105410018,2025,11971,1,5
105410018,2025,6291,1,5
105410018,2025,3591,1,5
105410018,2025,11137,1,5
105410018,2025,892,1,4
105410018,2025,461,1,4
105410018,2025,656,1,4
105410018,2025,87,1,2
105410018,2025,101,1,4
105410018,2025,466,1,4
105410018,2025,586,1,4
105410018,2025,468,1,4
105410018,2025,8033,1,2
105410018,2025,5350,1,4
105410018,2025,621,1,4
105410018,2025,6786,1,4
105410018,2025,4426,1,4
105410018,2025,2204,1,4
105410018,2025,2718,1,0
105410027,2025,4084,1,0
105410027,2025,1599,1,4
105410027,2025,5730,1,4
105410027,2025,5751,1,4
105410027,2025,637,1,4
105410027,2025,732,2,4
105410027,2025,2942,1,4
105410027,2025,2461,1,4
105410027,2025,2330,1,4
105410027,2025,2195,1,4
105410027,2025,10,4,8
105410027,2025,2523,1,4
105410027,2025,701,1,4
105410027,2025,9682,2,1
105410027,2025,10604,1,5
105410027,2025,10074,1,1
105410027,2025,6572,1,4
105410027,2025,5508,1,4
105410027,2025,5078,1,4
105410027,2025,6643,1,4
105410027,2025,438,1,4
105410027,2025,4620,1,4
105410027,2025,3301,1,4
105410027,2025,2666,1,4
105410027,2025,2499,1,4
105410027,2025,3609,1,0
105410027,2025,5274,1,4
105410036,2025,2283,1,4
105410036,2025,731,1,4
105410036,2025,2371,1,4
105410036,2025,5747,1,4
105410036,2025,5770,1,4
105410036,2025,5013,1,4
105410036,2025,5944,1,4
105410036,2025,8533,1,4
105410036,2025,1736,1,0
105410036,2025,9342,1,4
105410036,2025,10,3,8
105410036,2025,327,1,4
105410036,2025,2074,1,4
105410036,2025,2247,1,4
105410036,2025,2916,1,4
105410036,2025,571,1,5
105410036,2025,459,1,4
105410036,2025,461,1,4
105410036,2025,3250,1,4
105410036,2025,2138,1,4
105410036,2025,7380,1,4
105410036,2025,11097,1,4
105410036,2025,5175,1,4
105410036,2025,186,1,4
105410036,2025,6521,1,4
105410036,2025,5011,1,4
105410036,2025,623,2,4
105410036,2025,631,1,0
105410036,2025,1572,1,4
105410045,2025,5484,1,4
105410045,2025,2367,1,4
105410045,2025,7102,1,4
105410045,2025,4085,1,4
105410045,2025,5747,1,4
105410045,2025,333,1,4
105410045,2025,5912,1,4
105410045,2025,347,1,4
105410045,2025,959,1,4
105410045,2025,597,1,4
105410045,2025,503,1,4
105410045,2025,2562,1,4
105410045,2025,6034,1,4
105410045,2025,4110,1,4
105410045,2025,4018,1,0
105410045,2025,8115,1,5
105410045,2025,5381,1,3
105410045,2025,6309,1,7
105410045,2025,1034,1,1
105410045,2025,458,1,4
105410045,2025,5164,1,4
105410045,2025,301,1,8
105410045,2025,7718,1,0
105410045,2025,6437,1,4
105410045,2025,462,1,4
105410045,2025,4313,1,4
105410045,2025,6545,1,4
105410045,2025,7770,1,4
105410045,2025,816,1,0
105410045,2025,4975,1,4
105410045,2025,5010,1,4
105410045,2025,10,6,8
105410045,2025,438,1,4
105410045,2025,1550,1,4
105410045,2025,5012,1,4
105410045,2025,7431,1,4
105410045,2025,631,1,0
105410054,2025,615,1,4
