yop_kodu,year,lise_id,yerlesen_sayisi,school_type
208110011,2025,10,1,8
208110011,2025,3695,1,4
208110011,2025,2499,1,4
208110011,2025,4012,1,4
208110011,2025,3699,1,4
208110011,2025,7198,1,5
208110011,2025,3100,1,4
208110011,2025,586,1,4
208110029,2025,3594,1,4
208110029,2025,5462,1,4
208110029,2025,347,1,4
208110029,2025,1149,1,4
208110029,2025,5514,1,5
208110029,2025,6360,1,1
208110029,2025,6410,1,4
208110029,2025,5023,1,4
208110329,2025,3695,1,4
208110329,2025,7451,1,4
208110329,2025,6908,1,4
208110329,2025,6410,1,4
208110329,2025,272,1,4
208110338,2025,5747,1,4
208110338,2025,9616,1,4
208110338,2025,4360,1,4
208110338,2025,5945,1,4
208110338,2025,519,1,4
208110338,2025,1949,1,5
208110338,2025,4205,1,5
208110338,2025,10160,1,5
208110338,2025,10476,1,5
208110338,2025,7902,1,5
208110338,2025,448,1,4
208110338,2025,4971,1,1
208110338,2025,450,1,5
208110338,2025,3384,1,5
208110338,2025,724,1,5
208110338,2025,1570,1,4
208110338,2025,9937,1,4
208110338,2025,696,1,4
208110338,2025,466,1,4
208110338,2025,6553,1,4
208110338,2025,1924,1,4
208110338,2025,6822,1,4
208110338,2025,628,1,4
208110338,2025,6903,1,4
208110338,2025,7501,1,4
208110338,2025,2283,1,4
208151106,2025,10,1,8
208151106,2025,1854,1,5
208151107,2025,1448,1,5
208151107,2025,2110,1,4
208151107,2025,5376,1,4
208151107,2025,6668,1,4
208151107,2025,816,1,0
208151107,2025,2869,1,0
208151107,2025,245,1,4
208151107,2025,3501,1,4
208151107,2025,4301,1,4
208151107,2025,2284,1,4
208151107,2025,5750,1,4
208151107,2025,4610,1,4
208151107,2025,4264,1,4
208151145,2025,4059,1,4
208151145,2025,5278,1,4
208151146,2025,301,1,8
208151146,2025,10,3,8
208151146,2025,628,1,4
208151146,2025,3962,1,4
208151146,2025,340,1,4
208151146,2025,4974,1,4
208151146,2025,1314,1,4
208151147,2025,115,1,4
208151147,2025,3638,1,5
208151147,2025,6494,1,4
208151147,2025,3499,1,4
208151147,2025,10,2,8
208151147,2025,448,1,4
208151147,2025,4992,1,4
208151147,2025,3157,1,4
208151147,2025,2670,1,4
208151147,2025,5747,1,4
208151147,2025,2422,1,4
208151147,2025,4438,1,4
208151148,2025,10,2,8
208151148,2025,625,1,4
208151148,2025,1029,1,4
208151148,2025,701,1,4
208151149,2025,4204,2,4
208151149,2025,12024,1,5
208151149,2025,3968,1,5
208151149,2025,741,1,5
208151149,2025,6252,1,5
208151149,2025,3847,1,4
208151149,2025,269,1,4
208151149,2025,1894,1,4
208151149,2025,10,5,8
208151149,2025,6990,1,4
208151149,2025,3581,1,4
208151149,2025,2670,1,4
208151149,2025,2372,1,4
208151149,2025,5061,1,4
208151149,2025,3053,1,4
208151149,2025,6,1,4
208151154,2025,10,2,8
208151154,2025,2068,1,4
208151154,2025,6034,1,4
208151154,2025,8473,1,5
208151154,2025,5164,1,4
208151156,2025,4222,1,4
208151156,2025,896,1,4
208151156,2025,3744,1,4
208151156,2025,1273,1,4
208151156,2025,2023,1,4
208151156,2025,5986,1,4
208151156,2025,4033,1,4
208151156,2025,6110,1,1
208151156,2025,2236,1,5
208151156,2025,4981,1,5
208151156,2025,8204,2,4
208151156,2025,9063,1,3
208151156,2025,8153,1,5
208151156,2025,7901,1,5
208151156,2025,6290,1,5
208151156,2025,11359,1,5
208151156,2025,11511,1,5
208151156,2025,4881,1,1
208151156,2025,4296,1,4
208151156,2025,662,1,4
208151156,2025,503,1,4
208151156,2025,10,2,8
208151156,2025,448,2,4
208151156,2025,514,1,4
208151156,2025,3457,1,4
208151156,2025,6819,1,4
208151156,2025,6846,1,4
208151166,2025,1638,1,4
208151166,2025,3582,1,0
208151166,2025,2283,1,4
208151166,2025,959,1,4
208151166,2025,764,1,7
208151166,2025,8828,1,4
208151167,2025,3594,1,4
208151167,2025,2279,1,4
208151167,2025,5821,1,4
208151167,2025,7237,1,5
208151167,2025,5375,1,1
208151167,2025,8598,1,5
208151204,2025,10616,1,5
208151204,2025,7314,1,4
208151204,2025,5020,1,4
208151211,2025,10,2,8
208151211,2025,5082,1,4
208151211,2025,9374,1,1
208151211,2025,11137,1,5
208151218,2025,10,1,8
208151218,2025,448,1,4
208151218,2025,4803,1,4
208151218,2025,4610,1,4
208151225,2025,315,1,2
208151225,2025,5607,1,4
208151225,2025,53,1,4
208151225,2025,597,1,4
208151225,2025,646,1,3
208151225,2025,4818,1,2
