yop_kodu,year,lise_id,yerlesen_sayisi,school_type
206210025,2025,403,1,4
206210025,2025,597,1,4
206210025,2025,7704,1,5
206210025,2025,5508,1,4
206210043,2025,1439,1,2
206210043,2025,185,1,4
206210043,2025,3429,1,4
206210043,2025,1,1,4
206210043,2025,347,1,4
206210043,2025,3685,1,2
206210043,2025,11255,1,5
206210043,2025,8593,1,5
206210043,2025,5347,1,4
206210043,2025,8202,1,4
206210088,2025,301,1,8
206210088,2025,10,1,8
206210088,2025,1469,1,4
206210088,2025,1736,1,0
206210088,2025,959,1,4
206210088,2025,299,1,4
206210088,2025,6411,1,4
206210088,2025,1310,1,4
206210149,2025,5387,1,4
206210149,2025,6994,1,4
206210149,2025,4189,1,4
206210149,2025,9083,1,4
206210149,2025,3873,1,4
206210149,2025,3505,1,4
206210149,2025,12060,1,1
206210167,2025,9786,1,4
206210167,2025,4989,1,4
206210167,2025,3237,1,4
206210167,2025,7759,1,4
206210185,2025,4323,1,4
206210185,2025,3298,1,4
206210185,2025,1100,1,4
206210185,2025,3395,1,4
206210185,2025,5012,1,4
206210185,2025,1487,1,4
206210185,2025,630,1,4
206210185,2025,1599,1,4
206210185,2025,409,1,4
206210185,2025,8150,1,4
206210185,2025,530,1,4
206210185,2025,655,1,4
206210201,2025,10,2,8
206210201,2025,1469,1,4
206210201,2025,9665,1,5
206210201,2025,3317,1,4
206210228,2025,4608,2,4
206210228,2025,689,1,4
206210228,2025,6411,1,4
206210228,2025,1670,1,4
206210228,2025,10,1,8
206210228,2025,4729,1,4
206210228,2025,3521,1,4
206210228,2025,6952,1,4
206210228,2025,2283,1,4
206210228,2025,3607,1,4
206210228,2025,4360,1,4
206210246,2025,6894,1,4
206210246,2025,6954,1,4
206210246,2025,634,1,4
206210246,2025,5718,1,4
206210246,2025,5743,1,4
206210246,2025,5777,1,4
206210246,2025,1846,1,4
206210246,2025,4495,1,4
206210246,2025,5950,1,4
206210246,2025,3435,1,4
206210246,2025,10,1,8
206210246,2025,766,1,5
206210246,2025,6186,1,1
206210246,2025,10030,1,1
206210246,2025,11646,1,5
206210246,2025,11253,1,5
206210246,2025,458,1,4
206210246,2025,3056,1,4
206210246,2025,6626,1,4
206210246,2025,9964,1,4
206210246,2025,665,1,4
206210246,2025,2303,1,4
206210246,2025,6788,1,4
206210246,2025,7445,1,4
206210246,2025,6863,1,4
206210246,2025,9592,1,4
206210325,2025,1487,1,4
206210325,2025,3409,1,4
206210325,2025,781,1,4
206210325,2025,3485,1,4
206210325,2025,6993,1,4
206210325,2025,2324,1,4
206210325,2025,1467,1,4
206210325,2025,7039,1,4
206210325,2025,4155,1,4
206210325,2025,3469,1,4
206210325,2025,847,2,4
206210325,2025,1273,1,4
206210325,2025,4822,1,4
206210325,2025,414,1,4
206210325,2025,3332,1,4
206210325,2025,11864,1,4
206210325,2025,3622,1,4
206210325,2025,597,1,4
206210325,2025,8635,1,5
206210325,2025,7195,1,5
206210325,2025,12175,1,5
206210325,2025,10,6,8
206210325,2025,7699,1,5
206210325,2025,458,1,4
206210325,2025,6410,1,4
206210325,2025,6411,1,4
206210325,2025,3100,1,4
206210325,2025,5023,1,4
206210325,2025,4488,1,4
206210325,2025,662,1,4
206210325,2025,9276,1,4
206210325,2025,2753,1,4
206210325,2025,2701,1,4
206210325,2025,5091,1,4
206210325,2025,3352,1,4
206210325,2025,6736,1,4
206210325,2025,2512,1,4
206210325,2025,2535,1,4
206210325,2025,1690,1,4
206210325,2025,666,1,4
206210325,2025,2704,1,4
206210343,2025,1673,1,4
206210343,2025,4864,1,4
206210343,2025,8941,1,4
206210343,2025,3997,1,4
206210343,2025,4990,1,4
206210343,2025,3582,1,0
206210343,2025,3818,1,4
206210343,2025,1196,1,4
206210343,2025,2367,1,4
206210343,2025,3607,1,4
206210343,2025,3306,1,4
206210343,2025,1469,1,4
206210343,2025,1252,1,4
206210343,2025,4270,1,4
206210343,2025,5751,1,4
206210343,2025,4473,1,4
206210343,2025,2,1,4
206210343,2025,5790,1,4
206210343,2025,3962,1,4
206210343,2025,1216,1,4
206210343,2025,856,1,4
206210343,2025,10,1,8
206210343,2025,9186,1,4
206210343,2025,2542,1,4
206210343,2025,4048,1,4
206210343,2025,4304,1,4
206210343,2025,819,1,4
206210343,2025,4101,1,4
206210343,2025,4646,1,4
206210343,2025,5656,1,4
206210343,2025,1392,1,5
206210343,2025,2583,1,5
206210343,2025,5012,1,4
206210343,2025,10136,1,5
206210343,2025,10617,1,5
206210343,2025,7703,1,5
206210343,2025,5043,1,5
206210343,2025,10021,1,5
206210343,2025,4291,1,7
206210343,2025,8043,1,5
206210343,2025,3859,1,5
206210343,2025,7233,1,5
206210343,2025,9963,1,5
206210343,2025,1487,1,4
206210343,2025,1916,1,5
206210343,2025,4412,1,4
206210343,2025,653,1,4
206210343,2025,4322,1,4
206210343,2025,5164,1,4
206210343,2025,1435,1,4
206210343,2025,340,1,4
206210343,2025,3002,1,4
206210343,2025,292,1,4
206210343,2025,662,1,4
206210343,2025,139,1,4
206210343,2025,2756,1,4
206210343,2025,1693,1,4
206210343,2025,2499,1,4
206210343,2025,8159,1,4
206210352,2025,4808,1,4
206210352,2025,5274,1,4
206210352,2025,6990,1,4
206210352,2025,6994,1,4
206210352,2025,2324,1,4
206210352,2025,1040,1,4
206210352,2025,1599,1,4
206210352,2025,7021,1,4
206210352,2025,5026,1,6
206210352,2025,3607,1,4
206210352,2025,6677,1,4
206210352,2025,4155,1,4
206210352,2025,5717,1,4
206210352,2025,5751,1,4
206210352,2025,5795,1,4
206210352,2025,5000,1,4
