yop_kodu,year,lise_id,yerlesen_sayisi,school_type
208410017,2025,8311,1,3
208410017,2025,9954,1,3
208410017,2025,434,1,5
208410017,2025,437,1,5
208410017,2025,729,1,1
208410017,2025,3673,1,2
208410017,2025,10,1,8
208410017,2025,520,1,0
208410017,2025,5341,1,4
208410017,2025,396,1,4
208410017,2025,143,1,2
208410017,2025,616,1,4
208410017,2025,808,1,2
208410017,2025,526,1,4
208410035,2025,4492,1,4
208410035,2025,2968,1,4
208410035,2025,10184,1,1
208410035,2025,3229,1,4
208410035,2025,6220,1,5
208410035,2025,380,1,5
208410035,2025,466,1,4
208410053,2025,3563,1,3
208410053,2025,3844,1,7
208410053,2025,4322,1,4
208410053,2025,461,1,4
208410053,2025,1436,1,4
208410053,2025,3864,1,2
208410053,2025,342,1,4
208410053,2025,5012,1,4
208410053,2025,3607,1,4
208410053,2025,3998,1,4
208410053,2025,1408,1,4
208410053,2025,4143,1,4
208410053,2025,327,1,4
208410071,2025,413,1,4
208410071,2025,5817,1,4
208410071,2025,533,1,4
208410071,2025,1972,1,4
208410071,2025,10061,1,5
208410098,2025,3873,1,4
208410098,2025,3998,1,4
208410098,2025,7999,1,3
208410098,2025,1653,1,5
208410098,2025,4322,1,4
208410098,2025,655,1,4
208410098,2025,7757,1,4
208410098,2025,51,1,4
208410098,2025,10,1,8
208410098,2025,4492,1,4
208410098,2025,3695,1,4
208410098,2025,2499,1,4
208410098,2025,7010,1,4
208410098,2025,3607,2,4
208410098,2025,2284,1,4
208410229,2025,2621,1,4
208410229,2025,597,1,4
208410229,2025,5344,1,1
208410229,2025,3295,1,5
208410229,2025,8666,1,4
208410238,2025,10195,1,5
208410238,2025,449,1,5
208410238,2025,10,2,8
208410238,2025,4057,1,0
208410238,2025,342,1,4
208410238,2025,4155,1,4
208410238,2025,4994,1,4
208410238,2025,3885,1,4
208410238,2025,10617,1,5
208410238,2025,5363,1,5
208410274,2025,10,3,8
208410274,2025,567,1,4
208410274,2025,5817,1,4
208410274,2025,10091,1,5
208410274,2025,11934,1,5
208410274,2025,10090,1,5
208410283,2025,10091,1,5
208410283,2025,591,1,5
208410283,2025,5409,1,5
208410283,2025,11345,1,3
208410283,2025,605,1,5
208410283,2025,498,1,5
208410283,2025,5615,1,5
208410283,2025,6142,2,7
208410283,2025,500,1,5
208410283,2025,10198,1,5
208410283,2025,2544,1,4
208410283,2025,6168,1,5
208410283,2025,9257,1,5
208410283,2025,437,1,5
208410283,2025,10063,1,5
208410283,2025,3969,1,5
208410283,2025,580,2,5
208410283,2025,2917,1,5
208410283,2025,479,1,5
208410283,2025,8576,1,5
208410283,2025,504,1,5
208410283,2025,10,5,8
208410283,2025,506,1,5
208410283,2025,10126,1,5
208410283,2025,10074,1,1
208410283,2025,710,1,7
208410283,2025,3844,1,7
208410283,2025,7253,1,5
208410283,2025,10465,1,5
208410283,2025,7286,1,5
208410283,2025,653,1,4
208410283,2025,459,1,4
208410283,2025,342,1,4
208410283,2025,2418,1,4
208410283,2025,5680,1,4
208410283,2025,2359,1,4
208410283,2025,10592,1,4
208410283,2025,1590,1,4
208410283,2025,7039,1,4
208410283,2025,5080,1,4
208410283,2025,2376,1,4
208410308,2025,10,2,8
208410308,2025,342,1,4
208410308,2025,3630,1,4
208410308,2025,4808,1,4
208410308,2025,5684,1,4
208410308,2025,4803,1,4
208410308,2025,1169,1,5
208410317,2025,4993,1,4
208410317,2025,9616,1,4
208410317,2025,4997,1,4
208410317,2025,5021,1,5
208410317,2025,703,1,5
208410317,2025,5022,1,5
208410317,2025,5043,1,5
208410317,2025,10112,1,5
208410317,2025,12180,1,1
208410317,2025,2435,1,5
208410317,2025,10,3,8
208410317,2025,771,1,5
208410317,2025,7683,1,5
208410317,2025,8969,2,5
208410317,2025,479,1,5
208410317,2025,575,1,5
208410317,2025,4724,1,5
208410317,2025,2781,1,5
208410317,2025,721,1,5
208410317,2025,12181,1,5
208410317,2025,7901,1,5
208410317,2025,1922,1,4
208410317,2025,10162,1,5
208410317,2025,1557,1,5
208410317,2025,8134,1,5
208410317,2025,11511,1,5
208410317,2025,8492,1,7
208410317,2025,3991,1,5
208410317,2025,5009,1,5
208410317,2025,777,1,5
208410317,2025,2109,1,4
208410317,2025,5149,1,4
208410317,2025,5012,1,4
208410317,2025,585,1,1
208410317,2025,6741,1,4
208410317,2025,7959,1,4
208410317,2025,7420,1,4
208410317,2025,487,1,4
208410317,2025,2191,1,0
208410317,2025,8176,1,5
208410398,2025,10,1,8
208410398,2025,8370,1,4
208410398,2025,5790,1,4
208410398,2025,347,1,4
208410398,2025,3751,1,4
208410398,2025,1962,1,0
208410405,2025,5950,1,4
208410405,2025,498,1,5
208410405,2025,7168,1,1
208410405,2025,8279,1,5
208410405,2025,3825,1,7
208410405,2025,10481,1,1
208410405,2025,942,1,5
208410405,2025,10309,1,5
208410405,2025,371,1,5
208410405,2025,10085,1,5
208410405,2025,1935,1,4
208410405,2025,1139,2,5
208410405,2025,3982,1,5
208410405,2025,10434,1,5
208410405,2025,6351,1,5
208410405,2025,11850,1,4
208410405,2025,5019,1,4
208410405,2025,5023,2,4
208410405,2025,9557,1,4
208410405,2025,5626,1,4
208410405,2025,7379,1,4
208410405,2025,1590,1,4
208410405,2025,3695,1,4
208410405,2025,2364,1,4
208410405,2025,6890,1,4
208410405,2025,6989,1,4
208410405,2025,8176,1,5
208410405,2025,1846,1,4
208410414,2025,5385,1,2
208410414,2025,2137,1,4
208410414,2025,101,1,4
208410414,2025,2204,1,4
208410414,2025,3687,1,2
208410414,2025,4084,1,0
208410414,2025,3680,1,2
208410414,2025,1164,1,4
208410414,2025,597,1,4
208410414,2025,1706,1,5
208410414,2025,5094,1,3
208410423,2025,1194,1,4
208410423,2025,1572,1,4
208410423,2025,7067,1,4
208410423,2025,1469,1,4
208410423,2025,2413,1,4
208410423,2025,2651,1,4
208410423,2025,2168,1,4
208410423,2025,105,1,4
208410423,2025,118,1,4
208410423,2025,959,1,4
208410423,2025,3757,1,4
208410423,2025,8909,1,4
208410423,2025,2074,1,4
208410423,2025,812,1,4
208410423,2025,5686,1,2
208410423,2025,3767,1,5
208410423,2025,5448,1,7
208410423,2025,7160,1,5
208410423,2025,6131,1,5
208410423,2025,767,1,5
208410423,2025,10257,1,5
208410423,2025,10,9,8
208410423,2025,10198,1,5
208410423,2025,676,1,5
208410423,2025,10120,1,5
208410423,2025,1168,1,5
208410423,2025,9907,1,5
208410423,2025,6235,1,5
208410423,2025,2384,1,5
208410423,2025,5055,1,5
208410423,2025,10010,1,5
208410423,2025,6302,1,7
208410423,2025,3457,1,4
208410423,2025,3644,1,5
208410423,2025,4105,2,5
208410423,2025,5357,1,5
208410423,2025,10190,1,3
208410423,2025,2109,1,4
208410423,2025,5494,1,1
208410423,2025,2551,1,4
208410423,2025,4151,1,4
208410423,2025,6643,1,4
208410423,2025,9277,1,4
208410423,2025,7409,1,4
208410423,2025,2361,1,4
208410423,2025,2454,1,4
