yop_kodu,year,lise_id,yerlesen_sayisi,school_type
203510022,2025,2157,1,3
203510022,2025,538,1,6
203510022,2025,2381,1,5
203510022,2025,7638,1,5
203510022,2025,10172,1,3
203510022,2025,2966,1,2
203510022,2025,2869,1,0
203510022,2025,2728,1,4
203510022,2025,3697,1,5
203510022,2025,1784,1,2
203510022,2025,559,1,4
203510022,2025,531,1,0
203510022,2025,3682,1,2
203510022,2025,2378,1,2
203510049,2025,2252,1,5
203510049,2025,3787,1,5
203510049,2025,2849,1,4
203510049,2025,2966,1,2
203510049,2025,8033,1,2
203510049,2025,520,1,0
203510049,2025,3679,1,2
203510049,2025,898,1,4
203510049,2025,3906,1,5
203510049,2025,4060,1,4
203510049,2025,617,1,4
203510049,2025,4061,1,4
203510049,2025,2234,1,4
203510067,2025,2858,1,2
203510067,2025,2860,1,4
203510067,2025,3298,1,4
203510067,2025,2453,1,4
203510067,2025,2865,1,2
203510067,2025,10,1,8
203510067,2025,2277,1,2
203510067,2025,3524,1,4
203510067,2025,7602,1,5
203510067,2025,1169,1,5
203510067,2025,11250,1,3
203510067,2025,1011,1,4
203510067,2025,1014,1,4
203510085,2025,2161,1,4
203510085,2025,39,1,4
203510085,2025,898,1,4
203510085,2025,7667,1,5
203510119,2025,9913,1,5
203510119,2025,5040,1,5
203510119,2025,9914,1,5
203510119,2025,8774,1,5
203510119,2025,4103,1,5
203510119,2025,2271,1,5
203510119,2025,12182,1,5
203510119,2025,1036,1,5
203510119,2025,4728,1,4
203510119,2025,8231,1,4
203510119,2025,1104,1,4
203510119,2025,392,1,5
203510119,2025,6617,1,5
203510119,2025,2100,1,4
203510119,2025,4256,1,4
203510119,2025,7602,1,5
203510119,2025,2172,1,4
203510119,2025,590,1,4
203510119,2025,9904,1,7
203510119,2025,8376,1,7
203510128,2025,9904,1,7
203510128,2025,2404,1,5
203510128,2025,2528,1,4
203510128,2025,801,1,1
203510128,2025,2221,1,4
203510128,2025,4298,1,4
203510128,2025,2865,1,2
203510128,2025,10,1,8
203510128,2025,3064,1,4
203510128,2025,1104,1,4
203510128,2025,2227,1,4
203510128,2025,104,1,4
203510128,2025,1185,1,4
203510128,2025,4289,1,0
203510128,2025,4567,1,4
203510164,2025,2873,1,6
203510164,2025,898,1,4
203510164,2025,4060,1,4
203510164,2025,1302,1,4
203510164,2025,1718,1,5
203510164,2025,10710,1,3
203510164,2025,10335,1,5
203510173,2025,2442,1,5
203510173,2025,5433,1,5
203510173,2025,10258,1,3
203510173,2025,7862,1,5
203510173,2025,6357,2,5
203510173,2025,2491,1,4
203510173,2025,4954,1,5
203510173,2025,10,2,8
203510173,2025,222,1,4
203510173,2025,7602,1,5
203510173,2025,8646,1,7
203510173,2025,2381,2,5
203510173,2025,3603,1,5
203510173,2025,7987,1,5
203510173,2025,6303,1,5
203510182,2025,7988,1,5
203510182,2025,2759,1,0
203510182,2025,298,1,0
203510182,2025,2105,1,4
203510182,2025,1127,1,4
203510182,2025,962,1,5
203510182,2025,4852,1,5
203510182,2025,2490,1,5
203510182,2025,5708,1,5
203510225,2025,718,1,4
203510225,2025,2859,1,4
203510225,2025,2728,1,4
203510225,2025,531,1,0
203510225,2025,3390,1,4
203510225,2025,3549,1,5
203510225,2025,9903,1,5
203510225,2025,5436,1,5
203510225,2025,9980,1,5
203510261,2025,2148,1,4
203510261,2025,3667,1,2
203510261,2025,561,1,4
203510261,2025,7116,1,0
203510261,2025,2423,1,2
203510261,2025,1222,1,0
203510261,2025,2528,1,4
203510261,2025,2551,1,4
203510304,2025,784,1,3
203510304,2025,546,1,1
203510304,2025,8097,1,4
203510304,2025,1104,1,4
203510304,2025,2191,1,0
203510304,2025,3492,1,2
203510304,2025,4060,1,4
203510304,2025,157,1,0
203510304,2025,5910,1,4
203510304,2025,2152,1,4
203510304,2025,1765,1,4
203510349,2025,10,2,8
203510349,2025,1104,1,4
203510349,2025,2759,1,0
203510349,2025,4060,1,4
203510349,2025,8646,1,7
203510349,2025,3552,1,5
203510367,2025,10,1,8
203510367,2025,394,1,0
203510367,2025,45,1,2
203510367,2025,2152,2,4
203510367,2025,2442,1,5
203510367,2025,2186,1,3
203510367,2025,2453,1,4
203510401,2025,10,1,8
203510401,2025,1931,1,4
203510401,2025,2421,1,0
203510401,2025,8261,1,1
203510401,2025,1766,1,6
203510401,2025,2239,1,5
203510401,2025,2275,1,4
203510401,2025,830,1,4
203510473,2025,10,2,8
203510473,2025,2671,1,4
203510473,2025,1718,1,5
203510473,2025,4784,1,5
203510491,2025,1911,1,4
203510491,2025,1825,1,4
203510491,2025,8112,1,5
203510491,2025,3638,1,5
203510491,2025,9940,1,5
203510491,2025,8322,1,5
203510491,2025,9913,1,5
203510491,2025,4112,1,5
203510491,2025,7674,1,5
203510491,2025,2381,1,5
203510491,2025,6463,1,4
203510491,2025,4811,1,1
203510491,2025,2383,2,3
203510491,2025,7227,1,5
203510491,2025,7772,1,5
203510491,2025,7987,1,5
203510491,2025,2271,1,5
203510491,2025,8124,1,5
203510491,2025,578,1,5
203510491,2025,10377,1,1
203510491,2025,3443,1,1
203510491,2025,2411,1,4
203510491,2025,6617,1,5
203510491,2025,4256,1,4
203510491,2025,12211,1,2
203510491,2025,3092,1,4
203510491,2025,2026,1,4
203510491,2025,2483,1,4
203510491,2025,5487,1,5
203510516,2025,7602,1,5
203510516,2025,1911,1,4
203510516,2025,2740,1,7
203510516,2025,738,1,5
203510516,2025,9903,2,5
203510516,2025,8649,1,5
203510516,2025,1914,1,5
203510516,2025,852,1,5
203510516,2025,793,1,5
203510516,2025,2381,1,5
203510516,2025,6174,1,4
203510516,2025,4811,1,1
203510516,2025,11024,1,3
203510516,2025,10758,1,5
203510516,2025,10105,2,5
203510516,2025,8054,1,5
203510516,2025,7855,1,5
203510516,2025,2442,1,5
203510516,2025,9980,1,5
203510516,2025,754,1,1
203510516,2025,12212,1,5
203510516,2025,10,1,8
203510516,2025,6357,2,5
203510516,2025,1800,1,5
203510516,2025,2275,1,4
203510516,2025,8049,1,5
203510516,2025,2361,1,4
203510516,2025,6725,2,0
203510516,2025,9263,1,4
203510516,2025,3406,1,4
203510516,2025,2925,1,4
203510516,2025,8305,1,3
203510516,2025,8261,1,1
203510516,2025,617,1,4
203510525,2025,3638,1,5
