yop_kodu,year,lise_id,yerlesen_sayisi,school_type
106110354,2025,325,2,4
106110354,2025,4884,1,4
106110354,2025,4843,1,4
106110354,2025,3543,1,2
106110354,2025,7522,1,4
106110354,2025,5194,1,4
106110354,2025,8370,1,4
106110354,2025,1845,1,4
106110354,2025,4895,1,4
106110354,2025,3576,1,4
106110354,2025,6064,2,4
106110354,2025,5855,1,4
106110354,2025,11187,1,4
106110354,2025,7673,1,4
106110354,2025,3244,1,4
106110354,2025,256,1,4
106110354,2025,2889,1,4
106110354,2025,4805,1,4
106110354,2025,7678,1,5
106110354,2025,767,1,5
106110354,2025,10140,1,7
106110354,2025,3523,2,4
106110354,2025,9202,1,5
106110354,2025,7689,1,5
106110354,2025,10702,1,5
106110354,2025,11995,1,5
106110354,2025,4366,1,4
106110354,2025,7847,1,4
106110354,2025,6410,1,4
106110354,2025,7834,1,4
106110354,2025,7709,1,4
106110354,2025,3272,1,4
106110354,2025,301,1,8
106110354,2025,137,1,4
106110354,2025,9276,1,4
106110354,2025,3694,1,4
106110354,2025,12219,1,4
106110354,2025,4394,1,4
106110354,2025,9012,1,4
106110354,2025,10,6,8
106110354,2025,6797,1,4
106110354,2025,5712,1,4
106110354,2025,4011,1,4
106110354,2025,6903,1,4
106110415,2025,266,1,4
106110415,2025,4706,1,2
106110415,2025,933,1,4
106110415,2025,1066,1,2
106110415,2025,100,1,1
106110415,2025,2139,1,4
106110415,2025,218,1,2
106110415,2025,87,1,2
106110415,2025,2389,3,4
106110415,2025,2965,1,2
106110415,2025,3226,1,2
106110415,2025,324,1,0
106110415,2025,3674,1,2
106110415,2025,2754,1,2
106110415,2025,2966,1,2
106110415,2025,3062,1,4
106110415,2025,4066,5,2
106110415,2025,977,2,4
106110415,2025,2869,1,0
106110415,2025,620,1,4
106110415,2025,5572,1,2
106110415,2025,281,2,4
106110415,2025,140,1,2
106110415,2025,331,1,4
106110415,2025,833,1,2
106110415,2025,165,1,2
106110415,2025,615,1,4
106110415,2025,42,1,2
106110415,2025,521,1,2
106110415,2025,43,1,4
106110415,2025,5342,2,2
106110415,2025,396,1,4
106110415,2025,108,1,2
106110415,2025,3687,1,2
106110415,2025,559,1,4
106110415,2025,988,1,4
106110415,2025,5262,1,2
106110415,2025,693,1,2
106110415,2025,47,2,4
106110415,2025,633,1,4
106110415,2025,3678,1,2
106110415,2025,39,1,4
106110415,2025,2421,1,0
106110415,2025,991,1,2
106110415,2025,3680,2,2
106110415,2025,3486,1,2
106110415,2025,3156,1,2
106110415,2025,3523,1,4
106110415,2025,40,1,4
106110415,2025,898,1,4
106110415,2025,3998,1,4
106110415,2025,4318,2,2
106110415,2025,2878,1,2
106110415,2025,3681,2,2
106110415,2025,808,1,2
106110415,2025,694,1,4
106110415,2025,7626,5,2
106110415,2025,333,1,4
106110415,2025,10,4,8
106110415,2025,2882,1,4
106110415,2025,352,1,2
106110415,2025,533,1,4
106110415,2025,2887,1,6
106110415,2025,197,1,2
106110415,2025,2429,1,4
106110415,2025,1543,1,4
106110415,2025,870,1,4
106110415,2025,225,1,6
106110415,2025,590,1,4
106110415,2025,1419,1,2
106110415,2025,2288,1,4
106110415,2025,2432,1,2
106110415,2025,202,1,2
106110415,2025,610,1,2
106110415,2025,527,1,2
106110415,2025,4351,1,4
106110415,2025,144,1,4
106110415,2025,5353,1,3
106110415,2025,8016,1,7
106110415,2025,8633,1,3
106110415,2025,2148,1,4
106110415,2025,9903,1,5
106110415,2025,3911,1,3
106110415,2025,10378,1,3
106110415,2025,8046,1,3
106110415,2025,7636,1,5
106110415,2025,6194,1,5
106110415,2025,8101,1,3
106110415,2025,10097,1,3
106110415,2025,3826,1,5
106110415,2025,2352,1,5
106110415,2025,549,1,4
106110415,2025,4950,1,5
106110415,2025,16,1,3
106110415,2025,3516,1,5
106110415,2025,3393,1,3
106110415,2025,10364,1,5
106110415,2025,795,1,3
106110415,2025,3453,1,0
106110415,2025,1088,1,2
106110415,2025,3535,1,4
106110415,2025,2974,1,2
106110415,2025,3684,1,2
106110415,2025,4818,1,2
106110415,2025,928,1,4
106110415,2025,3484,1,4
106110415,2025,237,1,0
106110415,2025,2184,1,2
106110415,2025,2858,1,2
106110415,2025,8337,1,2
106110415,2025,31,2,2
106110415,2025,1918,1,4
106110415,2025,4131,1,4
106110512,2025,5122,1,4
106110512,2025,325,2,4
106110512,2025,5306,1,4
106110512,2025,7975,1,0
106110512,2025,4459,1,4
106110512,2025,7020,1,4
106110512,2025,4155,1,4
106110512,2025,5156,1,4
106110512,2025,9741,1,4
106110512,2025,8370,1,4
106110512,2025,6064,1,4
106110512,2025,3961,1,4
106110512,2025,855,1,4
106110512,2025,4691,1,4
106110512,2025,4474,1,4
106110512,2025,1944,1,4
106110512,2025,63,1,4
106110512,2025,1912,1,4
106110512,2025,10263,1,5
106110512,2025,1885,1,5
106110512,2025,1739,1,5
106110512,2025,301,2,8
106110512,2025,4950,1,5
106110512,2025,683,1,5
106110512,2025,12284,1,5
106110512,2025,482,1,5
106110512,2025,7280,1,5
106110512,2025,2110,1,4
106110512,2025,3484,1,4
106110512,2025,4313,1,4
106110512,2025,7325,1,4
106110512,2025,3250,1,4
106110512,2025,10,5,8
106110512,2025,8309,1,4
106110512,2025,2685,1,4
106110512,2025,8388,1,4
106110512,2025,1807,1,4
106110512,2025,6617,1,5
106110512,2025,4394,1,4
106110512,2025,6676,1,4
106110512,2025,6687,1,4
106110512,2025,5010,1,4
106110512,2025,6741,1,4
106110512,2025,6871,1,4
106110512,2025,4663,1,4
106110512,2025,395,1,4
106110512,2025,2322,1,4
106110512,2025,10513,1,4
106110557,2025,3976,1,4
106110557,2025,9875,1,4
106110557,2025,1987,1,4
106110557,2025,3892,1,4
106110557,2025,9026,1,4
106110557,2025,5632,1,4
106110557,2025,7039,1,4
106110557,2025,10284,1,4
106110557,2025,8370,1,4
106110557,2025,5750,1,4
106110557,2025,11184,1,4
106110557,2025,5783,1,4
106110557,2025,4360,1,4
106110557,2025,2479,1,4
106110557,2025,4691,1,4
106110557,2025,3244,1,4
106110557,2025,5954,1,4
106110557,2025,3622,1,4
106110557,2025,2397,1,5
106110557,2025,4477,1,4
106110557,2025,4049,1,4
106110557,2025,10,9,8
106110557,2025,2562,1,4
106110557,2025,5421,1,4
106110557,2025,1544,1,4
106110557,2025,1764,1,4
106110557,2025,5464,1,4
106110557,2025,4033,1,4
106110557,2025,5104,1,0
106110557,2025,6092,1,4
106110557,2025,5501,1,5
106110557,2025,5448,1,7
106110557,2025,9347,1,4
106110557,2025,12285,1,5
106110557,2025,11055,1,5
106110557,2025,458,1,4
106110557,2025,7293,1,4
106110557,2025,6428,1,4
106110557,2025,5413,1,4
106110557,2025,10625,1,4
106110557,2025,2219,1,4
106110557,2025,2799,1,4
106110557,2025,340,1,4
106110557,2025,3253,1,4
106110557,2025,6573,1,4
106110557,2025,4195,1,4
106110557,2025,10597,1,4
106110557,2025,6651,1,4
106110557,2025,6668,1,4
106110557,2025,5547,2,4
106110557,2025,5711,1,4
106110557,2025,1377,1,4
106110557,2025,12286,1,4
106110557,2025,3064,1,4
106110724,2025,4856,1,4
106110724,2025,5783,1,4
106110724,2025,8795,1,4
106110724,2025,1970,1,4
106110724,2025,10794,1,4
106110724,2025,105,1,4
106110724,2025,1944,1,4
106110724,2025,2377,1,4
106110724,2025,699,1,4
106110724,2025,784,1,3
106110724,2025,6064,1,4
106110724,2025,578,1,5
106110724,2025,10752,2,5
106110724,2025,1558,1,4
106110724,2025,6428,1,4
106110724,2025,5413,1,4
106110724,2025,8250,1,4
106110724,2025,3019,1,4
106110724,2025,1777,1,4
106110724,2025,10,6,8
106110724,2025,9878,1,4
106110724,2025,6990,1,4
106110724,2025,6991,1,4
106110724,2025,3278,1,4
106110724,2025,7932,1,4
106110724,2025,8370,1,4
106110751,2025,8744,1,4
106110751,2025,3543,1,2
106110751,2025,7522,1,4
106110751,2025,3699,1,4
106110751,2025,4691,1,4
106110751,2025,7659,1,4
106110751,2025,8534,1,4
106110751,2025,2106,1,4
106110751,2025,5103,1,4
106110751,2025,2125,1,4
106110751,2025,2949,1,4
106110751,2025,2207,1,4
106110751,2025,3564,1,5
106110751,2025,2267,1,5
106110751,2025,4950,1,5
106110751,2025,4503,1,5
106110751,2025,6406,1,4
106110751,2025,98,1,4
106110751,2025,6428,1,4
106110751,2025,3057,1,4
106110751,2025,3272,1,4
106110751,2025,6064,1,4
106110751,2025,660,1,5
106110751,2025,10,4,8
106110751,2025,5701,1,4
106110751,2025,10048,1,4
106110751,2025,3871,1,0
106110751,2025,10321,1,4
106110751,2025,11002,1,4
106110778,2025,2303,1,4
106110778,2025,10679,2,4
106110778,2025,4677,1,4
106110778,2025,3976,1,4
106110778,2025,6921,1,4
106110778,2025,8624,1,4
106110778,2025,4013,1,4
106110778,2025,11715,1,4
106110778,2025,731,1,4
106110778,2025,7069,1,4
106110778,2025,2124,1,4
106110778,2025,8731,1,4
106110778,2025,596,2,4
106110778,2025,1845,1,4
106110778,2025,2479,1,4
106110778,2025,7825,1,4
106110778,2025,5855,1,4
106110778,2025,8418,1,4
106110778,2025,7673,2,4
106110778,2025,5946,1,4
106110778,2025,5978,1,4
106110778,2025,3201,1,4
106110778,2025,4133,1,4
106110778,2025,9351,1,4
106110778,2025,4174,1,4
106110778,2025,3435,1,4
106110778,2025,12287,1,1
106110778,2025,12288,1,1
106110778,2025,2745,1,5
106110778,2025,6428,1,4
106110778,2025,9858,1,4
106110778,2025,2084,1,4
106110778,2025,3523,1,4
106110778,2025,1957,1,4
106110778,2025,7834,1,4
106110778,2025,5023,1,4
106110778,2025,3272,1,4
106110778,2025,3373,1,4
106110778,2025,3022,1,4
106110778,2025,4394,1,4
106110778,2025,10,7,8
106110778,2025,5719,1,4
106110778,2025,4688,1,4
106110778,2025,6146,1,4
106110778,2025,9805,1,4
106110803,2025,1923,1,4
106110803,2025,2958,1,4
106110803,2025,10937,1,4
106110803,2025,6828,1,4
106110803,2025,487,1,4
106110803,2025,3976,1,4
106110803,2025,1987,1,4
106110803,2025,2324,1,4
106110803,2025,3543,1,2
106110803,2025,2647,1,6
106110803,2025,1847,1,4
106110803,2025,2668,1,4
106110803,2025,7524,1,6
106110803,2025,4245,1,4
106110803,2025,5780,1,0
106110803,2025,9321,1,4
106110803,2025,639,1,4
106110803,2025,5855,1,4
106110803,2025,5667,1,4
106110803,2025,1970,1,4
106110803,2025,4734,1,4
106110803,2025,11184,1,4
106110803,2025,8534,1,4
106110803,2025,5234,1,4
106110803,2025,5993,1,4
106110803,2025,851,1,8
106110803,2025,4124,1,4
106110803,2025,8069,1,5
106110803,2025,445,1,5
106110803,2025,1682,1,5
106110803,2025,8960,2,4
106110803,2025,8919,1,4
106110803,2025,10,9,8
106110803,2025,4687,1,4
106110803,2025,6428,1,4
106110803,2025,4177,1,4
106110803,2025,612,1,4
106110803,2025,4940,1,4
106110803,2025,10852,1,4
106110803,2025,5603,1,4
106110803,2025,2596,1,6
106110803,2025,10048,1,4
106110803,2025,4057,1,0
106110803,2025,3890,1,4
106110803,2025,6784,1,4
106110848,2025,1790,1,4
106110848,2025,976,1,4
106110848,2025,6937,1,4
106110848,2025,7850,1,4
106110848,2025,12289,1,4
106110848,2025,1645,1,4
106110848,2025,9745,1,4
106110848,2025,5863,1,4
106110848,2025,4691,1,4
106110848,2025,4027,1,0
106110848,2025,1176,1,4
106110848,2025,4887,1,0
106110848,2025,4477,1,4
106110848,2025,1944,1,4
106110848,2025,3885,1,4
106110848,2025,3294,1,4
106110848,2025,2780,1,0
106110848,2025,2487,1,4
106110848,2025,65,1,4
106110848,2025,9100,1,4
106110848,2025,3988,1,5
106110848,2025,3396,1,4
106110848,2025,1059,1,4
106110848,2025,2657,1,4
106110848,2025,5676,1,4
106110848,2025,136,1,4
106110848,2025,2782,1,4
106110848,2025,1807,1,4
106110848,2025,1750,1,0
106110848,2025,949,1,0
106110848,2025,9872,1,4
106110848,2025,9275,1,4
106110848,2025,6788,1,4
106110848,2025,10675,1,4
106110848,2025,4394,1,4
106110848,2025,2784,1,4
106110848,2025,1921,1,4
106110848,2025,3871,1,0
106110848,2025,3503,1,0
106110848,2025,5427,1,4
106110848,2025,3976,1,4
106110848,2025,5122,1,4
106110857,2025,514,1,4
106110857,2025,6768,1,4
106110857,2025,10321,1,4
106110857,2025,1867,1,4
106110857,2025,2409,1,4
106110857,2025,6835,1,4
106110857,2025,2316,1,4
106110857,2025,3696,1,4
106110857,2025,5122,2,4
106110857,2025,2348,1,4
106110857,2025,8294,1,4
106110857,2025,1986,1,4
106110857,2025,406,3,4
106110857,2025,2365,1,4
106110857,2025,2873,1,6
106110857,2025,3892,1,4
106110857,2025,2734,1,4
106110857,2025,3543,1,2
106110857,2025,1937,1,4
106110857,2025,2151,1,4
106110857,2025,1470,1,4
106110857,2025,1526,1,4
106110857,2025,3961,1,4
106110857,2025,5031,1,4
106110857,2025,4691,1,4
106110857,2025,2123,1,4
106110857,2025,7788,1,4
106110857,2025,2072,1,4
106110857,2025,7673,1,4
106110857,2025,1704,1,4
106110857,2025,1971,1,4
106110857,2025,2106,1,4
106110857,2025,2320,1,4
106110857,2025,2562,1,4
106110857,2025,822,1,4
106110857,2025,8112,1,5
106110857,2025,9908,1,5
106110857,2025,8043,1,5
106110857,2025,5541,1,5
106110857,2025,5402,1,5
106110857,2025,8081,1,5
106110857,2025,7780,1,5
106110857,2025,3861,1,3
106110857,2025,301,1,8
106110857,2025,1010,1,5
106110857,2025,10313,1,4
106110857,2025,2749,1,4
106110857,2025,1186,1,4
106110857,2025,5385,1,2
106110857,2025,556,1,2
106110857,2025,1091,1,4
106110857,2025,1775,1,4
106110857,2025,7688,1,4
106110857,2025,1612,1,2
106110857,2025,10,5,8
106110857,2025,4131,1,4
106110857,2025,1018,1,4
106110857,2025,1019,2,4
106110857,2025,6626,1,4
106110857,2025,4394,1,4
106110857,2025,1619,1,4
106110857,2025,6687,1,4
106110857,2025,185,1,4
106110857,2025,3863,1,4
106110857,2025,4688,1,4
106110857,2025,8139,1,4
106110866,2025,3361,1,4
106110866,2025,3976,1,4
106110866,2025,325,1,4
106110866,2025,849,1,4
106110866,2025,2226,1,4
106110866,2025,7850,1,4
106110866,2025,3855,2,4
106110866,2025,1572,1,4
106110866,2025,7499,1,4
106110866,2025,4013,1,4
106110866,2025,6064,1,4
106110866,2025,1126,1,4
106110866,2025,3543,2,2
106110866,2025,5343,1,2
106110866,2025,3583,1,4
106110866,2025,8520,1,4
106110866,2025,4386,1,4
106110866,2025,4460,1,4
106110866,2025,4609,1,4
106110866,2025,4691,3,4
106110866,2025,7568,1,4
106110866,2025,10,5,8
106110866,2025,2168,1,4
106110866,2025,115,1,4
106110866,2025,4734,1,4
106110866,2025,2942,1,4
106110866,2025,3896,2,0
106110866,2025,2105,1,4
106110866,2025,2106,1,4
106110866,2025,5114,1,4
106110866,2025,12196,1,3
106110866,2025,576,1,1
106110866,2025,12290,1,4
106110866,2025,7925,1,5
106110866,2025,2180,1,5
106110866,2025,2772,1,4
106110866,2025,2159,1,4
106110866,2025,2084,1,4
106110866,2025,82,1,4
106110866,2025,557,1,4
106110866,2025,3234,1,4
106110866,2025,7968,1,4
106110866,2025,291,1,4
106110866,2025,10592,1,4
106110866,2025,2551,1,4
106110866,2025,3851,1,4
106110866,2025,2493,1,4
106110866,2025,1962,1,0
106110866,2025,1504,1,4
106110866,2025,2574,1,4
106110866,2025,9012,1,4
106110866,2025,4987,1,4
106110866,2025,622,1,4
106110866,2025,8233,1,5
106110866,2025,4750,1,4
106110875,2025,4795,2,4
106110875,2025,2792,2,4
106110875,2025,3396,1,4
106110875,2025,1148,1,4
106110875,2025,9221,1,4
106110875,2025,1782,1,4
106110875,2025,6825,1,4
106110875,2025,5712,1,4
106110875,2025,5140,1,4
106110875,2025,3361,1,4
106110875,2025,868,1,4
106110875,2025,7886,1,4
106110875,2025,2555,1,4
106110875,2025,3631,1,2
106110875,2025,1702,1,4
106110875,2025,159,1,2
106110875,2025,3210,1,2
106110875,2025,4180,1,4
106110875,2025,3543,2,2
106110875,2025,192,1,0
106110875,2025,731,1,4
106110875,2025,6064,4,4
106110875,2025,4085,1,4
106110875,2025,7078,1,4
106110875,2025,8370,1,4
106110875,2025,9036,1,4
106110875,2025,902,1,4
106110875,2025,8272,1,2
106110875,2025,4691,3,4
106110875,2025,2168,1,4
106110875,2025,2072,1,4
106110875,2025,7673,2,4
106110875,2025,1319,1,4
106110875,2025,1029,1,4
106110875,2025,4132,1,2
106110875,2025,314,1,4
106110875,2025,870,1,4
106110875,2025,2562,1,4
106110875,2025,699,1,4
106110875,2025,2564,1,4
106110875,2025,822,1,4
106110875,2025,4110,1,4
106110875,2025,941,1,5
106110875,2025,3086,1,4
106110875,2025,3981,1,5
106110875,2025,5434,1,5
106110875,2025,10298,1,3
106110875,2025,2335,1,4
106110875,2025,2507,1,2
106110875,2025,9858,1,4
106110875,2025,2313,1,4
106110875,2025,3224,1,4
106110875,2025,237,1,0
106110875,2025,1502,1,4
106110875,2025,11184,1,4
106110875,2025,5651,1,4
106110875,2025,3412,1,4
106110875,2025,2752,1,4
106110875,2025,4487,1,4
106110875,2025,1438,1,2
106110875,2025,2255,1,2
106110875,2025,2245,1,4
106110875,2025,218,1,2
106110875,2025,1143,1,4
106110875,2025,2754,1,2
106110875,2025,10,7,8
106110875,2025,663,1,4
106110875,2025,6949,1,4
106110875,2025,975,1,4
106190067,2025,4855,1,0
106190067,2025,9936,1,4
106190067,2025,5567,1,4
106190067,2025,7436,1,4
106190067,2025,6862,1,4
106190067,2025,3976,1,4
106190067,2025,142,1,4
106190067,2025,1123,1,0
106190067,2025,12291,1,4
106190067,2025,295,1,0
106190067,2025,6064,1,4
106190067,2025,3543,1,2
106190067,2025,2690,1,6
106190067,2025,8370,1,4
106190067,2025,8724,1,4
106190067,2025,2193,1,4
106190067,2025,2581,1,4
106190067,2025,4804,1,4
106190067,2025,7948,1,4
106190067,2025,4475,1,4
106190067,2025,4761,1,4
106190067,2025,3523,1,4
106190067,2025,2942,1,4
106190067,2025,2653,1,4
106190067,2025,4644,1,4
106190067,2025,537,1,4
106190067,2025,5103,1,4
106190067,2025,11541,1,4
