yop_kodu,year,lise_id,yerlesen_sayisi,school_type
106210017,2025,983,1,4
106210017,2025,3540,1,0
106210017,2025,2162,1,2
106210017,2025,3676,1,2
106210017,2025,3678,1,2
106210017,2025,5452,1,0
106210017,2025,1040,1,4
106210017,2025,2968,1,4
106210017,2025,5141,1,4
106210017,2025,244,1,4
106210017,2025,691,1,4
106210017,2025,4058,1,4
106210017,2025,2166,2,4
106210017,2025,4060,1,4
106210017,2025,2481,1,4
106210017,2025,3875,1,4
106210017,2025,2376,1,4
106210017,2025,3884,1,4
106210017,2025,4507,1,4
106210017,2025,3727,1,2
106210017,2025,3908,1,4
106210017,2025,10,1,8
106210017,2025,64,2,4
106210017,2025,3344,1,2
106210017,2025,1825,1,4
106210017,2025,10097,1,3
106210017,2025,97,1,3
106210017,2025,9137,1,3
106210017,2025,10667,1,3
106210017,2025,4786,1,3
106210017,2025,177,2,2
106210017,2025,132,1,4
106210017,2025,5304,1,4
106210017,2025,3535,3,4
106210017,2025,26,1,4
106210017,2025,1062,1,2
106210017,2025,7742,1,4
106210017,2025,5289,2,4
106210017,2025,5291,1,4
106210017,2025,4578,1,4
106210017,2025,661,1,2
106210017,2025,3375,1,4
106210017,2025,3734,1,2
106210017,2025,3684,3,2
106210017,2025,393,2,2
106210017,2025,5377,1,4
106210017,2025,2189,1,2
106210017,2025,5168,1,2
106210017,2025,8208,1,4
106210017,2025,4795,1,4
106210017,2025,978,1,4
106210017,2025,187,1,2
106210017,2025,4324,1,2
106210168,2025,5218,1,4
106210168,2025,2410,1,4
106210168,2025,404,1,4
106210168,2025,4697,1,4
106210168,2025,7010,1,4
106210168,2025,1969,1,4
106210168,2025,3156,1,2
106210168,2025,3505,1,4
106210168,2025,9744,1,4
106210168,2025,867,1,4
106210168,2025,10,3,8
106210168,2025,4061,1,4
106210168,2025,5957,1,1
106210168,2025,1331,1,4
106210168,2025,4500,1,5
106210168,2025,7679,1,7
106210168,2025,6312,1,7
106210168,2025,9918,1,5
106210168,2025,459,1,4
106210168,2025,6522,1,4
106210168,2025,1310,1,4
106210168,2025,7342,1,4
106210168,2025,6578,1,4
106210168,2025,3372,1,4
106210168,2025,214,1,4
106210168,2025,4487,1,4
106210168,2025,8099,1,5
106210168,2025,4434,1,4
106210168,2025,6643,1,4
106210168,2025,9085,1,4
106210168,2025,5282,1,4
106210168,2025,2094,1,4
106210168,2025,6805,1,0
106210168,2025,1146,1,4
106210168,2025,4252,1,4
106210168,2025,3759,1,2
106210168,2025,10937,1,4
106210168,2025,6839,1,4
106210168,2025,7821,1,4
106210177,2025,3158,1,2
106210177,2025,7544,1,4
106210177,2025,2172,1,4
106210177,2025,62,1,4
106210177,2025,9168,1,4
106210177,2025,286,1,0
106210177,2025,170,1,5
106210177,2025,10163,1,5
106210177,2025,3370,1,4
106210177,2025,1570,1,4
106210177,2025,1526,1,4
106210177,2025,3670,1,4
106210177,2025,4748,1,4
106210177,2025,10,2,8
106210177,2025,5304,1,4
106210177,2025,4768,1,4
106210177,2025,1268,1,4
106210177,2025,5215,1,4
106210177,2025,5026,1,6
106210177,2025,3607,1,4
106210186,2025,3863,1,4
106210186,2025,5304,3,4
106210186,2025,1401,1,4
106210186,2025,1090,2,4
106210186,2025,37,1,4
106210186,2025,293,1,4
106210186,2025,2617,1,4
106210186,2025,242,1,4
106210186,2025,246,1,4
106210186,2025,2554,1,4
106210186,2025,2544,1,4
106210186,2025,1597,1,4
106210186,2025,406,1,4
106210186,2025,6935,1,4
106210186,2025,849,1,4
106210186,2025,1967,1,4
106210186,2025,5609,1,4
106210186,2025,631,1,0
106210186,2025,38,1,4
106210186,2025,5308,1,4
