yop_kodu,year,lise_id,yerlesen_sayisi,school_type
106310016,2025,5392,1,4
106310016,2025,11421,1,4
106310016,2025,4395,1,4
106310016,2025,2804,2,4
106310016,2025,4253,1,4
106310016,2025,1132,1,4
106310016,2025,12316,1,4
106310016,2025,10947,1,4
106310016,2025,2023,1,4
106310016,2025,4656,1,4
106310016,2025,11166,1,4
106310016,2025,4339,1,4
106310016,2025,1760,1,4
106310016,2025,3963,1,4
106310016,2025,5860,1,4
106310016,2025,2480,1,4
106310016,2025,1734,1,4
106310016,2025,2261,1,4
106310016,2025,5143,1,4
106310016,2025,10747,1,4
106310016,2025,9648,1,4
106310016,2025,1935,1,4
106310016,2025,2427,1,0
106310016,2025,2821,1,4
106310016,2025,4498,1,4
106310016,2025,4173,1,4
106310016,2025,10277,1,4
106310016,2025,10863,1,5
106310016,2025,11047,1,5
106310016,2025,4502,1,5
106310016,2025,2384,1,5
106310016,2025,176,1,5
106310016,2025,1792,2,4
106310016,2025,3394,1,5
106310016,2025,9884,1,4
106310016,2025,8943,1,4
106310016,2025,6619,1,4
106310016,2025,3778,1,4
106310016,2025,3614,1,4
106310016,2025,936,1,4
106310016,2025,6710,1,4
106310016,2025,1979,1,4
106310016,2025,7404,1,4
106310016,2025,10,3,8
106310016,2025,7530,1,4
106310016,2025,1810,1,4
106310016,2025,4820,1,4
106310016,2025,3459,1,4
106310025,2025,2282,1,4
106310025,2025,3963,1,4
106310025,2025,1942,3,0
106310025,2025,2425,1,0
106310025,2025,7583,1,4
106310025,2025,908,1,4
106310025,2025,909,1,4
106310025,2025,120,1,4
106310025,2025,12317,2,0
106310025,2025,4173,1,4
106310025,2025,4099,1,4
106310025,2025,1798,1,4
106310025,2025,3439,1,5
106310025,2025,8428,4,5
106310025,2025,875,1,3
106310025,2025,11981,1,3
106310025,2025,2748,1,4
106310025,2025,1093,1,4
106310025,2025,3778,3,4
106310025,2025,1979,1,4
106310025,2025,4751,1,0
106310025,2025,10,7,8
106310025,2025,7530,1,4
106310025,2025,10838,1,4
106310025,2025,6869,1,4
106310025,2025,11421,1,4
106310025,2025,8513,1,4
106310061,2025,2395,1,4
106310061,2025,7116,1,0
106310061,2025,12071,1,4
106310061,2025,3963,1,4
106310061,2025,2486,1,4
106310061,2025,1851,1,5
106310061,2025,2963,1,3
106310061,2025,3756,1,4
106310061,2025,4673,1,4
106310061,2025,6551,1,4
106310061,2025,1945,1,4
106310061,2025,11485,1,4
106310061,2025,2341,1,4
106310061,2025,8983,1,4
106310061,2025,6669,1,4
106310061,2025,5655,1,4
106310061,2025,1979,1,4
106310061,2025,3071,1,4
106310061,2025,10,7,8
106310061,2025,2345,1,4
106310061,2025,6750,1,4
106310061,2025,2317,1,4
106310061,2025,11421,1,4
106310061,2025,12095,1,4
106310061,2025,2225,1,4
106310088,2025,4342,1,4
106310088,2025,7492,1,4
106310088,2025,6992,1,4
106310088,2025,2282,1,4
106310088,2025,112,1,4
106310088,2025,8868,1,4
106310088,2025,2500,1,4
106310088,2025,7888,1,4
106310088,2025,412,1,4
106310088,2025,5860,1,4
106310088,2025,10,4,8
106310088,2025,4015,1,4
106310088,2025,10568,1,4
106310088,2025,2171,1,4
106310088,2025,2970,1,4
106310088,2025,2914,1,4
106310088,2025,2384,1,5
106310088,2025,6420,1,4
106310088,2025,269,1,4
106310088,2025,2800,1,4
106310088,2025,4490,1,4
106310088,2025,1620,1,4
106310088,2025,2034,1,0
106310088,2025,4820,1,4
106310088,2025,5126,1,4
106310088,2025,2946,1,4
106310088,2025,1464,1,4
106310088,2025,6869,1,4
106310104,2025,11076,1,4
106310104,2025,2553,1,4
106310104,2025,12318,1,4
106310104,2025,1812,1,4
106310104,2025,2366,1,4
106310104,2025,5550,1,4
106310104,2025,2695,1,4
106310104,2025,2519,1,4
106310104,2025,2477,1,4
106310104,2025,3963,1,4
106310104,2025,1935,1,4
106310104,2025,1942,1,0
106310104,2025,2880,1,4
106310104,2025,4015,1,4
106310104,2025,4645,1,4
106310104,2025,8357,1,5
106310104,2025,9910,1,5
106310104,2025,12319,1,1
106310104,2025,1833,1,4
106310104,2025,7331,1,4
106310104,2025,2700,1,4
106310104,2025,10,3,8
106310104,2025,3778,1,4
106310104,2025,10817,1,4
106310104,2025,2301,1,4
106310104,2025,2145,1,4
106310104,2025,3235,1,4
106310104,2025,3942,1,4
106310104,2025,4650,1,4
106310104,2025,2946,1,4
106310113,2025,1513,1,4
106310113,2025,1348,1,4
106310113,2025,3963,1,4
106310113,2025,5860,1,4
106310113,2025,2480,1,4
106310113,2025,2794,1,4
106310113,2025,4829,1,4
106310113,2025,2171,1,4
106310113,2025,3726,1,4
106310113,2025,2484,1,4
106310113,2025,10,7,8
106310113,2025,1798,1,4
106310113,2025,7197,1,5
106310113,2025,203,1,5
106310113,2025,2918,2,3
106310113,2025,2176,1,5
106310113,2025,12320,2,1
106310113,2025,2973,1,5
106310113,2025,5620,1,4
106310113,2025,1323,1,4
106310113,2025,1775,1,4
106310113,2025,2178,1,4
106310113,2025,8231,1,4
106310113,2025,3372,1,4
106310113,2025,2752,2,4
106310113,2025,2405,1,4
106310113,2025,1928,1,4
106310113,2025,6776,1,4
106310113,2025,2316,1,4
106310113,2025,2227,1,4
106310113,2025,989,1,4
106310113,2025,1215,1,4
106310149,2025,12321,1,0
106310149,2025,4722,1,4
106310149,2025,1942,1,0
106310149,2025,4645,1,4
106310149,2025,851,1,8
106310149,2025,2054,1,5
106310149,2025,1498,1,5
106310149,2025,12322,1,4
106310149,2025,3756,1,4
106310149,2025,4383,1,4
106310149,2025,1792,1,4
106310149,2025,3778,1,4
106310149,2025,101,1,4
106310149,2025,1979,1,4
106310149,2025,10,2,8
106310149,2025,5883,1,4
106310149,2025,11595,1,4
106310149,2025,9546,1,4
106310149,2025,12323,1,4
106310149,2025,2282,1,4
106310149,2025,4699,1,4
106310167,2025,10838,1,4
106310167,2025,4370,1,4
106310167,2025,12277,1,4
106310167,2025,7492,1,4
106310167,2025,989,1,4
106310167,2025,1572,1,4
106310167,2025,7117,1,0
106310167,2025,7087,1,4
106310167,2025,2165,1,4
106310167,2025,5742,1,0
106310167,2025,6875,1,4
106310167,2025,8168,1,4
106310167,2025,11731,1,4
