yop_kodu,year,lise_id,yerlesen_sayisi,school_type
300910141,2025,10,2,8
300910141,2025,3455,1,0
300910141,2025,3852,1,4
300910141,2025,7472,1,4
300910141,2025,9649,2,0
300910141,2025,3365,1,4
300910141,2025,4850,1,4
300910141,2025,11932,1,5
300910186,2025,10,3,8
300910186,2025,1073,1,4
300910186,2025,5890,2,4
300910186,2025,6058,1,4
300910186,2025,302,1,5
300910186,2025,2952,1,5
300910186,2025,4960,1,4
300990057,2025,10,2,8
300990057,2025,6696,1,4
300990057,2025,6813,1,4
300990057,2025,6828,1,4
300990057,2025,1795,1,4
300990057,2025,10453,1,0
300990057,2025,9268,1,4
300990058,2025,8413,1,4
300990058,2025,10,2,8
300990058,2025,2100,1,4
300990058,2025,12366,1,4
300990058,2025,2195,1,4
300990058,2025,2050,1,4
300990058,2025,7636,1,5
300990058,2025,4790,1,3
300990058,2025,8124,1,5
300990059,2025,9306,1,4
300990059,2025,4230,1,4
300990059,2025,9971,1,4
300990059,2025,9781,1,5
300990059,2025,7141,1,5
300990059,2025,884,1,4
300990059,2025,1980,1,4
300990066,2025,10,2,8
300990066,2025,1442,1,4
300990066,2025,1031,1,5
300990066,2025,10926,2,3
300990066,2025,365,1,5
300990066,2025,9970,1,5
300990066,2025,9438,1,4
300990066,2025,6596,1,4
300990067,2025,337,1,7
300990067,2025,4465,1,1
300990067,2025,10,1,8
300990067,2025,9327,1,4
300990067,2025,6599,1,4
300990067,2025,1073,1,4
300990067,2025,3465,1,5
300990067,2025,826,1,5
300990067,2025,4879,1,5
300990067,2025,10824,1,5
300990068,2025,2573,1,0
300990068,2025,3118,1,4
300990068,2025,10,1,8
300990068,2025,4275,1,4
300990068,2025,1912,1,4
300990068,2025,569,1,5
300990068,2025,6140,1,5
300990068,2025,10304,1,5
300990068,2025,10161,1,5
300990068,2025,4716,1,3
300990118,2025,10,1,8
300990118,2025,9936,1,4
300990125,2025,10,1,8
300990125,2025,1469,1,4
300990139,2025,3576,1,4
300990139,2025,455,1,5
