yop_kodu,year,lise_id,yerlesen_sayisi,school_type
106810038,2025,4387,1,4
106810038,2025,221,1,4
106810038,2025,2316,1,4
106810038,2025,8159,1,4
106810038,2025,12372,1,4
106810038,2025,2733,1,4
106810038,2025,5096,1,4
106810038,2025,3410,3,0
106810038,2025,2786,1,4
106810038,2025,811,1,4
106810038,2025,10,3,8
106810038,2025,53,1,4
106810038,2025,1043,2,4
106810038,2025,3124,1,4
106810038,2025,1318,1,4
106810038,2025,1216,1,4
106810038,2025,1200,1,2
106810038,2025,1704,1,4
106810038,2025,1762,1,4
106810038,2025,3389,1,4
106810038,2025,1409,1,4
106810038,2025,1191,1,4
106810038,2025,1299,1,4
106810038,2025,1257,1,4
106810038,2025,836,1,4
106810038,2025,1202,3,4
106810038,2025,1047,1,4
106810038,2025,1258,1,0
106810038,2025,822,1,4
106810038,2025,11469,1,5
106810038,2025,3625,1,5
106810038,2025,1651,1,5
106810038,2025,3758,1,0
106810038,2025,1499,1,5
106810038,2025,27,1,4
106810038,2025,1435,1,4
106810038,2025,1013,2,4
106810038,2025,4777,1,4
106810038,2025,3002,1,4
106810038,2025,1776,1,4
106810038,2025,1310,1,4
106810038,2025,1065,1,4
106810038,2025,3556,1,0
106810038,2025,895,1,4
106810038,2025,7974,1,4
106810038,2025,6776,1,4
106810038,2025,1225,1,4
106810038,2025,1211,1,4
106810038,2025,9114,1,4
106810047,2025,9251,1,4
106810047,2025,1286,1,4
106810047,2025,1363,1,4
106810047,2025,8159,1,4
106810047,2025,11384,1,4
106810047,2025,3542,1,4
106810047,2025,1288,1,4
106810047,2025,10577,1,4
106810047,2025,7824,1,4
106810047,2025,1164,1,4
106810047,2025,5084,1,4
106810047,2025,3172,1,4
106810047,2025,11003,1,4
106810047,2025,11478,1,4
106810047,2025,912,1,0
106810047,2025,2674,1,4
106810047,2025,2525,1,4
106810047,2025,944,1,5
106810047,2025,1221,1,5
106810047,2025,1516,2,4
106810047,2025,1223,1,4
106810047,2025,10,2,8
106810047,2025,1530,1,4
106810047,2025,1013,1,4
106810047,2025,1698,1,2
106810047,2025,1324,1,4
106810047,2025,1568,1,4
106810047,2025,334,1,4
106810047,2025,8273,1,4
106810047,2025,11113,1,4
106810047,2025,4906,1,4
106810047,2025,1067,1,4
106810047,2025,2301,1,4
106810047,2025,1358,2,4
106810047,2025,1144,1,4
106810047,2025,8994,1,4
106810047,2025,6732,1,4
106810047,2025,2531,1,4
106810047,2025,1332,1,4
106810047,2025,1246,1,4
106810047,2025,1268,1,4
106810047,2025,2716,1,4
106810056,2025,8726,1,4
106810056,2025,1226,1,4
106810056,2025,11134,1,4
106810056,2025,4664,1,4
106810056,2025,4591,1,4
106810056,2025,8975,1,4
106810056,2025,1364,1,4
106810056,2025,7040,1,4
106810056,2025,7516,1,4
106810056,2025,53,1,4
106810056,2025,1491,2,4
106810056,2025,1164,2,4
106810056,2025,3505,1,4
106810056,2025,8792,1,4
106810056,2025,1218,1,4
106810056,2025,1795,1,4
106810056,2025,3726,1,4
106810056,2025,1631,1,4
106810056,2025,912,1,0
106810056,2025,2048,1,4
106810056,2025,1276,2,4
106810056,2025,10,2,8
106810056,2025,1259,1,4
106810056,2025,1236,1,5
106810056,2025,1425,1,5
106810056,2025,1239,1,4
106810056,2025,3002,1,4
106810056,2025,334,1,4
106810056,2025,1310,1,4
106810056,2025,1337,1,4
106810056,2025,1065,1,4
106810056,2025,8435,1,4
106810056,2025,78,1,4
106810056,2025,4335,1,4
106810056,2025,950,1,4
106810056,2025,6732,1,4
106810056,2025,12373,1,4
106810056,2025,9286,1,4
106810056,2025,817,1,4
106810056,2025,3921,1,4
106810056,2025,1577,1,4
106810065,2025,1588,1,4
106810065,2025,895,1,4
106810065,2025,1211,1,4
106810065,2025,1577,1,4
106810065,2025,1518,1,4
106810065,2025,1193,1,4
106810065,2025,221,2,4
106810065,2025,3958,1,4
106810065,2025,1452,1,4
106810065,2025,1290,1,4
106810065,2025,10,8,8
106810065,2025,45,1,2
106810065,2025,1489,1,4
106810065,2025,11384,1,4
106810065,2025,1641,1,4
106810065,2025,3386,2,4
106810065,2025,1293,1,4
106810065,2025,1345,1,4
106810065,2025,1195,2,4
106810065,2025,1040,1,4
106810065,2025,1196,1,4
106810065,2025,1244,1,0
106810065,2025,1042,1,4
106810065,2025,1551,1,2
106810065,2025,1213,2,4
106810065,2025,8176,1,5
106810065,2025,53,1,4
106810065,2025,1164,2,4
106810065,2025,8519,1,4
106810065,2025,4798,1,4
106810065,2025,1318,1,4
106810065,2025,994,3,4
106810065,2025,2701,1,4
106810065,2025,1216,1,4
106810065,2025,995,4,4
106810065,2025,1218,1,4
106810065,2025,8972,1,4
106810065,2025,5910,1,4
106810065,2025,1110,3,2
106810065,2025,4048,2,4
106810065,2025,4957,1,4
106810065,2025,1542,1,4
106810065,2025,4350,1,4
106810065,2025,1268,1,4
106810065,2025,1201,2,2
106810065,2025,836,1,4
106810065,2025,8882,2,4
106810065,2025,2048,1,4
106810065,2025,1202,1,4
106810065,2025,2674,1,4
106810065,2025,2351,1,4
106810065,2025,9926,1,4
106810065,2025,10863,1,5
106810065,2025,3987,1,3
106810065,2025,4841,1,4
106810065,2025,3624,1,5
106810065,2025,1056,1,5
106810065,2025,1651,1,5
106810065,2025,264,1,5
106810065,2025,1423,1,5
106810065,2025,11025,1,5
106810065,2025,6280,1,5
106810065,2025,7684,2,5
106810065,2025,1499,2,5
106810065,2025,1089,1,2
106810065,2025,1270,1,0
106810065,2025,77,1,4
106810065,2025,1237,1,4
106810065,2025,3271,1,4
106810065,2025,969,1,4
106810065,2025,1634,1,4
106810065,2025,1435,1,4
106810065,2025,1373,1,4
106810065,2025,1239,1,4
106810065,2025,1322,1,2
106810065,2025,1516,1,4
106810065,2025,11493,1,4
106810065,2025,1013,3,4
106810065,2025,1014,1,4
106810065,2025,1686,1,4
106810065,2025,885,1,4
106810065,2025,1668,1,4
106810065,2025,2091,1,4
106810065,2025,1065,1,4
106810065,2025,887,1,4
106810065,2025,1326,1,2
106810065,2025,3395,1,4
106810065,2025,3510,1,4
106810065,2025,1144,1,4
106810065,2025,1781,1,4
106810092,2025,3958,2,4
106810092,2025,2646,1,4
106810092,2025,3180,1,4
106810092,2025,8222,1,4
106810092,2025,11384,1,4
106810092,2025,11050,1,4
106810092,2025,1347,1,4
106810092,2025,7516,1,4
106810092,2025,2786,2,4
106810092,2025,811,1,4
106810092,2025,3086,1,4
106810092,2025,7943,1,4
106810092,2025,1164,1,4
106810092,2025,222,1,4
106810092,2025,1442,1,4
106810092,2025,1939,1,4
106810092,2025,1254,1,4
106810092,2025,8776,1,4
106810092,2025,842,1,4
106810092,2025,8460,2,4
106810092,2025,9335,1,4
106810092,2025,10,7,8
106810092,2025,12374,1,4
106810092,2025,7602,1,5
106810092,2025,11478,1,4
106810092,2025,2674,2,4
106810092,2025,1276,1,4
106810092,2025,12375,1,0
106810092,2025,4745,1,5
106810092,2025,4839,1,5
106810092,2025,3624,1,5
106810092,2025,1421,1,5
106810092,2025,1268,1,4
106810092,2025,1056,1,5
106810092,2025,203,1,5
106810092,2025,397,1,5
106810092,2025,611,1,5
106810092,2025,7205,1,5
106810092,2025,8246,1,5
106810092,2025,1651,1,5
106810092,2025,7704,1,5
106810092,2025,3776,1,4
106810092,2025,1374,1,4
106810092,2025,1785,2,4
106810092,2025,4218,1,4
106810092,2025,334,3,4
106810092,2025,8828,1,4
106810092,2025,4960,1,4
106810092,2025,1358,3,4
106810092,2025,6732,2,4
106810092,2025,9286,1,4
106810092,2025,1210,1,4
106810092,2025,1577,1,4
106810092,2025,8726,1,4
106810108,2025,1106,1,4
106810108,2025,1164,1,4
106810108,2025,7531,1,4
106810108,2025,1254,1,4
106810108,2025,8519,2,4
106810108,2025,1297,1,4
106810108,2025,1318,1,4
106810108,2025,1795,1,4
106810108,2025,1476,1,4
106810108,2025,11478,1,4
106810108,2025,10,2,8
106810108,2025,1202,1,4
106810108,2025,3246,1,4
106810108,2025,4033,1,4
106810108,2025,1111,1,4
106810108,2025,5001,1,5
106810108,2025,9063,1,3
106810108,2025,1478,2,5
106810108,2025,4839,1,5
106810108,2025,3624,1,5
106810108,2025,1056,2,5
106810108,2025,1268,1,4
106810108,2025,4784,1,5
106810108,2025,1084,1,5
106810108,2025,8246,1,5
106810108,2025,11483,1,1
106810108,2025,1087,1,4
106810108,2025,1832,1,4
106810108,2025,133,1,4
106810108,2025,4021,1,4
106810108,2025,3271,1,4
106810108,2025,1509,1,4
106810108,2025,1269,1,4
106810108,2025,1568,1,4
106810108,2025,1094,1,4
106810108,2025,4335,1,4
106810108,2025,4559,1,4
106810108,2025,9286,1,4
106810108,2025,1290,1,4
106810108,2025,3386,1,4
106810108,2025,4654,2,4
106810126,2025,3416,1,4
106810126,2025,10213,1,4
106810126,2025,4358,1,0
106810126,2025,7964,1,4
106810126,2025,1288,1,4
106810126,2025,1251,1,4
106810126,2025,1644,3,4
106810126,2025,1164,1,4
106810126,2025,1703,1,4
106810126,2025,1252,1,4
106810126,2025,3033,1,4
106810126,2025,8776,2,4
106810126,2025,5910,1,4
106810126,2025,7136,1,0
106810126,2025,1555,2,4
106810126,2025,3943,1,4
106810126,2025,9190,1,4
106810126,2025,912,1,0
106810126,2025,2674,1,4
106810126,2025,12376,1,5
106810126,2025,11123,1,5
106810126,2025,6875,1,4
106810126,2025,10004,1,4
106810126,2025,1516,1,4
106810126,2025,1013,1,4
106810126,2025,3018,3,4
106810126,2025,1698,1,2
106810126,2025,1119,1,4
106810126,2025,4443,1,4
106810126,2025,1065,1,4
106810126,2025,2714,1,4
106810126,2025,1022,1,2
106810126,2025,10,3,8
106810126,2025,1242,1,4
106810126,2025,6732,1,4
106810126,2025,1671,1,4
106810126,2025,1332,1,4
106810126,2025,1268,1,4
106810126,2025,1785,1,4
106810126,2025,1211,1,4
106810171,2025,6261,1,5
106810214,2025,8821,1,4
106810214,2025,12377,1,4
106810214,2025,6323,1,4
106810214,2025,2809,1,4
106810214,2025,1506,1,4
106810214,2025,1248,1,4
106810214,2025,6776,1,4
106810214,2025,1866,1,4
106810214,2025,1313,1,4
106810214,2025,10638,1,4
106810214,2025,1286,1,4
106810214,2025,1632,1,4
106810214,2025,2316,1,4
106810214,2025,11486,2,4
106810214,2025,3416,1,4
106810214,2025,1363,1,4
106810214,2025,8222,1,4
106810214,2025,11134,1,4
106810214,2025,43,1,4
106810214,2025,4771,1,4
106810214,2025,11317,1,4
106810214,2025,11384,3,4
106810214,2025,4836,1,4
106810214,2025,11050,1,4
106810214,2025,6979,1,4
106810214,2025,8975,1,4
106810214,2025,1346,1,4
106810214,2025,4654,1,4
106810214,2025,3195,1,4
106810214,2025,11683,1,0
106810214,2025,1214,1,4
106810214,2025,811,2,4
106810214,2025,835,1,4
106810214,2025,301,15,8
106810214,2025,1106,2,4
106810214,2025,10398,1,4
106810214,2025,10879,1,4
106810214,2025,1703,1,4
106810214,2025,1470,1,4
106810214,2025,4797,1,4
106810214,2025,3430,1,4
106810214,2025,1821,2,4
106810214,2025,8795,1,4
106810214,2025,11198,1,4
106810214,2025,10,10,8
106810214,2025,5910,1,4
106810214,2025,3293,1,4
106810214,2025,5960,1,4
106810214,2025,11489,1,4
106810214,2025,1299,1,4
106810214,2025,1257,1,4
106810214,2025,5991,1,4
106810214,2025,12378,1,0
106810214,2025,1233,1,4
106810214,2025,912,1,0
106810214,2025,1246,1,4
106810214,2025,5489,1,4
106810214,2025,4531,1,4
106810214,2025,2674,1,4
106810214,2025,8935,2,4
106810214,2025,7106,1,4
106810214,2025,10392,1,4
106810214,2025,8676,1,4
106810214,2025,6079,2,4
106810214,2025,6086,1,4
106810214,2025,9926,1,4
106810214,2025,8783,1,4
106810214,2025,2722,1,4
106810214,2025,4839,1,5
106810214,2025,10445,1,5
106810214,2025,1084,1,5
106810214,2025,7205,1,5
106810214,2025,1448,1,5
106810214,2025,6388,1,4
106810214,2025,5105,2,4
106810214,2025,3269,1,4
106810214,2025,1334,1,4
106810214,2025,1269,1,4
106810214,2025,1509,2,4
106810214,2025,2549,1,4
106810214,2025,1323,1,4
106810214,2025,11709,1,4
106810214,2025,334,1,4
106810214,2025,1511,1,4
106810214,2025,11011,1,4
106810214,2025,1355,1,4
106810214,2025,5679,1,4
106810214,2025,1065,1,4
106810214,2025,4841,1,4
106810214,2025,5109,1,4
106810214,2025,4906,1,4
106810214,2025,9870,2,4
106810214,2025,1096,1,4
