yop_kodu,year,lise_id,yerlesen_sayisi,school_type
405210026,2025,3122,1,4
405210026,2025,460,1,4
405210044,2025,10,1,8
405210044,2025,2460,1,4
405210044,2025,1951,1,5
405210044,2025,444,1,5
405210053,2025,10,2,8
405210053,2025,11220,1,4
405210053,2025,8487,1,4
405210053,2025,7199,1,7
405210053,2025,5433,1,5
405210053,2025,9719,1,4
405210053,2025,3733,2,4
405210053,2025,2358,1,4
405210062,2025,10,2,8
405210062,2025,4883,1,4
405210062,2025,1760,1,4
405210062,2025,7340,1,4
405210062,2025,1979,1,4
405210071,2025,301,1,8
405210071,2025,10,1,8
405210071,2025,3455,1,0
405210071,2025,4446,1,4
405210071,2025,2738,1,4
405210071,2025,11541,1,4
405210098,2025,10,2,8
405210098,2025,6964,1,0
405210098,2025,7068,1,4
405210098,2025,4427,1,4
405210098,2025,5999,1,4
405210105,2025,11592,1,4
405210105,2025,10993,1,4
405210105,2025,10,1,8
405210105,2025,5211,1,4
405210105,2025,979,1,4
405210105,2025,8853,1,4
405210105,2025,6066,1,4
405210105,2025,12099,1,1
405210105,2025,3320,1,4
405210114,2025,10,3,8
405210114,2025,5731,1,4
405210114,2025,5790,1,4
405210114,2025,1992,1,4
405210114,2025,3312,1,4
405210114,2025,6212,1,5
405210114,2025,6238,1,5
405210114,2025,6647,1,4
405210123,2025,1502,1,4
405210123,2025,1777,1,4
405210123,2025,10,1,8
405210123,2025,667,1,4
405210123,2025,7485,1,0
405210123,2025,4274,1,1
405210123,2025,8178,1,4
405210123,2025,144,1,4
405210123,2025,128,1,5
405210123,2025,10512,1,4
405210132,2025,10,1,8
405210335,2025,2217,1,5
405210335,2025,3484,1,4
405210335,2025,10,1,8
405210335,2025,235,1,4
405210335,2025,88,1,4
405210335,2025,3582,1,0
405210335,2025,990,1,2
405210335,2025,1365,1,4
405210335,2025,2,1,4
405210335,2025,3731,1,5
405210344,2025,5521,1,4
405210344,2025,3722,1,4
405210344,2025,2422,1,4
405210344,2025,2261,1,4
405210344,2025,9957,1,3
405210344,2025,2466,1,5
405210371,2025,10,1,8
405210371,2025,7593,1,4
405210371,2025,5114,1,4
405210371,2025,3411,1,4
405210371,2025,8208,1,4
405210371,2025,6730,1,4
405210389,2025,10,2,8
405210389,2025,3764,1,4
405210389,2025,2017,1,4
405210389,2025,2367,1,4
405290070,2025,2118,1,4
405290070,2025,55,1,2
405290070,2025,1846,1,4
405290086,2025,10,2,8
405290086,2025,3408,1,4
405290086,2025,1212,1,4
405290086,2025,5816,1,4
405290086,2025,6143,1,1
405290086,2025,12130,1,1
405290086,2025,5019,1,4
405290093,2025,10,2,8
405290093,2025,2224,1,4
405290093,2025,11828,1,5
405290093,2025,4854,1,5
405290100,2025,10,1,8
405290100,2025,10888,1,4
