yop_kodu,year,lise_id,yerlesen_sayisi,school_type
100610022,2025,4632,1,4
100610022,2025,4493,1,4
100610022,2025,2041,1,4
100610022,2025,7096,1,4
100610022,2025,1665,1,4
100610022,2025,8438,1,4
100610022,2025,157,1,0
100610022,2025,1408,1,4
100610022,2025,2073,1,0
100610022,2025,196,1,4
100610022,2025,10,6,8
100610022,2025,4027,1,0
100610022,2025,5638,1,4
100610022,2025,1300,1,4
100610022,2025,954,1,4
100610022,2025,4050,1,0
100610022,2025,122,1,2
100610022,2025,4110,1,4
100610022,2025,92,1,4
100610022,2025,8043,1,5
100610022,2025,5381,1,3
100610022,2025,12153,1,4
100610022,2025,1056,1,5
100610022,2025,3473,1,5
100610022,2025,2748,1,4
100610022,2025,1955,1,4
100610022,2025,150,1,4
100610022,2025,179,1,4
100610022,2025,3233,1,4
100610022,2025,1013,2,4
100610022,2025,1092,1,4
100610022,2025,211,1,4
100610022,2025,37,1,4
100610022,2025,11741,1,4
100610022,2025,4194,1,4
100610022,2025,3298,1,4
100610022,2025,1503,1,4
100610022,2025,2783,1,4
100610022,2025,34,1,4
100610022,2025,2776,1,4
100610022,2025,2094,1,4
100610022,2025,2433,1,0
100610022,2025,2537,1,4
100610022,2025,982,1,4
100610022,2025,3608,1,4
100610022,2025,2554,1,4
100610031,2025,2733,1,4
100610031,2025,7010,1,4
100610031,2025,4520,2,4
100610031,2025,1250,1,4
100610031,2025,282,1,0
100610031,2025,223,1,4
100610031,2025,1079,1,2
100610031,2025,196,1,4
100610031,2025,4027,6,0
100610031,2025,4261,1,4
100610031,2025,2130,1,4
100610031,2025,4829,1,4
100610031,2025,5,1,4
100610031,2025,62,1,4
100610031,2025,4050,1,0
100610031,2025,92,1,4
100610031,2025,12239,1,1
100610031,2025,1186,1,4
100610031,2025,1773,1,4
100610031,2025,26,1,4
100610031,2025,150,1,4
100610031,2025,10,4,8
100610031,2025,179,2,4
100610031,2025,1655,1,4
100610031,2025,11419,1,4
100610031,2025,9155,1,4
100610031,2025,99,1,2
100610031,2025,10784,1,4
100610031,2025,4587,1,4
100610031,2025,34,1,4
100610031,2025,663,1,4
100610031,2025,308,1,0
100610031,2025,4583,1,4
100610031,2025,6423,1,4
100610031,2025,8281,1,4
100610031,2025,1227,1,4
100610031,2025,10704,1,4
100610049,2025,861,1,4
100610049,2025,6953,2,4
100610049,2025,4520,2,4
100610049,2025,7964,1,4
100610049,2025,0,2,4
100610049,2025,3505,1,4
100610049,2025,5611,1,4
100610049,2025,1665,1,4
100610049,2025,2720,1,4
100610049,2025,8438,1,4
100610049,2025,10,4,8
100610049,2025,3513,1,4
100610049,2025,1735,1,4
100610049,2025,3390,1,4
100610049,2025,2970,1,4
100610049,2025,10760,1,4
100610049,2025,3138,1,0
100610049,2025,2565,1,4
100610049,2025,3017,1,4
100610049,2025,3084,1,4
100610049,2025,5135,1,4
100610049,2025,78,1,4
100610049,2025,7331,1,4
100610049,2025,151,1,4
100610049,2025,99,1,2
100610049,2025,4413,1,4
100610049,2025,2752,1,4
100610049,2025,2776,1,4
100610049,2025,1358,1,4
100610049,2025,8256,1,4
100610049,2025,7316,1,4
100610049,2025,3206,1,4
100610049,2025,4652,1,4
100610049,2025,3579,1,4
100610049,2025,6886,1,4
100610058,2025,4619,1,4
100610058,2025,3608,1,4
100610058,2025,2689,1,4
100610058,2025,3408,1,4
100610058,2025,1039,1,4
100610058,2025,7504,1,4
100610058,2025,50,1,4
100610058,2025,897,1,4
100610058,2025,52,1,4
100610058,2025,0,1,4
100610058,2025,301,1,8
100610058,2025,1703,1,4
100610058,2025,1470,1,4
100610058,2025,1665,1,4
100610058,2025,5811,1,4
100610058,2025,285,1,4
100610058,2025,196,1,4
100610058,2025,4047,2,0
100610058,2025,4027,2,0
100610058,2025,1331,1,4
100610058,2025,3965,1,4
100610058,2025,10,5,8
100610058,2025,2026,1,4
100610058,2025,3941,1,4
100610058,2025,6023,1,4
100610058,2025,2565,1,4
100610058,2025,4791,1,5
100610058,2025,4774,1,5
100610058,2025,1205,1,4
100610058,2025,150,1,4
100610058,2025,3191,1,4
100610058,2025,2199,1,4
100610058,2025,5144,1,4
100610058,2025,99,1,2
100610058,2025,4413,1,4
100610058,2025,11113,1,4
100610058,2025,6640,1,4
100610058,2025,5377,1,4
100610058,2025,6675,1,4
100610058,2025,34,1,4
100610058,2025,5470,1,4
100610058,2025,3300,1,4
100610058,2025,6081,1,4
100610058,2025,12416,1,4
100610058,2025,6773,1,4
100610058,2025,293,1,4
100610085,2025,1469,1,4
100610085,2025,0,2,4
100610085,2025,5664,1,4
100610085,2025,1665,2,4
100610085,2025,56,1,4
100610085,2025,4690,1,4
100610085,2025,518,1,4
100610085,2025,4911,1,4
100610085,2025,3576,1,4
100610085,2025,4495,1,4
100610085,2025,5326,1,4
100610085,2025,4047,2,0
100610085,2025,4027,2,0
100610085,2025,9973,1,4
100610085,2025,2950,1,4
100610085,2025,144,1,4
100610085,2025,4036,1,5
100610085,2025,771,1,5
100610085,2025,179,2,4
100610085,2025,340,1,4
100610085,2025,1016,1,4
100610085,2025,10,3,8
100610085,2025,4902,1,4
100610085,2025,1617,1,4
100610085,2025,182,1,4
100610085,2025,1749,1,4
100610085,2025,215,1,4
100610085,2025,2093,1,4
100610085,2025,2144,1,4
100610085,2025,2301,1,4
100610085,2025,2792,1,4
100610085,2025,11421,1,4
100610085,2025,1039,1,4
100610085,2025,5393,1,4
100610085,2025,4520,1,4
100610094,2025,6979,1,4
100610094,2025,7514,1,4
100610094,2025,54,1,4
100610094,2025,10278,1,4
100610094,2025,1665,1,4
100610094,2025,5458,1,4
100610094,2025,4526,1,4
100610094,2025,2504,1,4
100610094,2025,4047,1,0
100610094,2025,5904,1,4
100610094,2025,10,3,8
100610094,2025,4627,2,4
100610094,2025,6067,1,4
100610094,2025,6274,1,5
100610094,2025,179,1,4
100610094,2025,5135,2,4
100610094,2025,4593,1,4
100610094,2025,11113,1,4
100610094,2025,277,1,4
100610094,2025,1340,1,4
100610094,2025,7495,1,4
100610094,2025,4605,1,4
100610094,2025,8604,1,4
100610094,2025,6794,1,4
100610094,2025,11380,1,4
100610094,2025,3608,1,4
100610094,2025,7484,1,4
100610101,2025,10334,1,4
100610101,2025,1815,1,4
100610101,2025,0,1,4
100610101,2025,1665,1,4
100610101,2025,12417,1,4
100610101,2025,5500,1,0
100610101,2025,12265,1,4
100610101,2025,196,1,4
100610101,2025,5904,1,4
100610101,2025,1276,1,4
100610101,2025,10,2,8
100610101,2025,2565,1,4
100610101,2025,1111,1,4
100610101,2025,7146,1,4
100610101,2025,8668,1,5
100610101,2025,9220,1,4
100610101,2025,179,2,4
100610101,2025,2219,1,4
100610101,2025,3084,1,4
100610101,2025,11278,1,4
100610101,2025,12418,1,4
100610101,2025,4582,1,4
100610101,2025,11454,1,4
100610101,2025,10992,1,4
100610101,2025,587,1,4
100610101,2025,4561,1,4
100610101,2025,3377,1,4
100610101,2025,90,1,4
100610101,2025,5366,1,4
100610101,2025,2689,1,4
100610119,2025,44,1,2
100610119,2025,3997,1,4
100610119,2025,8319,2,2
100610119,2025,4520,1,4
100610119,2025,50,1,4
100610119,2025,0,5,4
100610119,2025,1665,4,4
100610119,2025,8272,1,2
100610119,2025,285,1,4
100610119,2025,3,1,2
100610119,2025,4099,1,4
100610119,2025,196,8,4
100610119,2025,4027,3,0
100610119,2025,59,1,4
100610119,2025,352,1,2
100610119,2025,1411,1,4
100610119,2025,4048,1,4
100610119,2025,120,1,4
100610119,2025,1201,1,2
100610119,2025,61,1,2
100610119,2025,814,1,4
100610119,2025,4484,4,4
100610119,2025,1134,1,4
100610119,2025,4736,1,4
100610119,2025,1537,1,4
100610119,2025,3035,1,1
100610119,2025,961,1,5
100610119,2025,123,1,3
100610119,2025,262,1,5
100610119,2025,11,1,3
100610119,2025,229,1,5
100610119,2025,6263,1,5
100610119,2025,10,7,8
100610119,2025,8002,1,3
100610119,2025,1306,1,5
100610119,2025,3220,1,3
100610119,2025,5620,1,4
100610119,2025,25,1,4
100610119,2025,179,2,4
100610119,2025,2219,1,4
100610119,2025,3018,1,4
100610119,2025,135,1,4
100610119,2025,99,1,2
100610119,2025,4441,1,4
100610119,2025,213,1,4
100610119,2025,305,1,4
100610119,2025,1066,1,2
100610119,2025,8828,1,4
100610119,2025,275,2,2
100610119,2025,1143,1,4
100610119,2025,34,1,4
100610119,2025,888,1,4
100610119,2025,37,1,4
100610119,2025,279,1,4
100610119,2025,280,1,4
100610119,2025,1693,1,4
100610137,2025,3416,1,4
100610137,2025,7962,1,4
100610137,2025,11287,1,4
100610137,2025,5697,1,4
100610137,2025,1105,1,0
100610137,2025,6953,1,4
100610137,2025,1039,1,4
100610137,2025,7490,1,4
100610137,2025,5096,1,4
100610137,2025,1196,1,4
100610137,2025,5414,1,4
100610137,2025,0,1,4
100610137,2025,7540,1,4
100610137,2025,2540,1,4
100610137,2025,4419,1,4
100610137,2025,994,1,4
100610137,2025,58,1,4
100610137,2025,11198,1,4
100610137,2025,5904,1,4
100610137,2025,4027,1,0
100610137,2025,5564,1,4
100610137,2025,1332,1,4
100610137,2025,3356,1,4
100610137,2025,3357,1,4
100610137,2025,10478,1,7
100610137,2025,2108,1,5
100610137,2025,1205,1,4
100610137,2025,3001,1,5
100610137,2025,1803,1,4
100610137,2025,1774,1,4
100610137,2025,1516,1,4
100610137,2025,4055,1,4
100610137,2025,4346,1,4
100610137,2025,4904,1,4
100610137,2025,934,1,4
100610137,2025,5360,1,4
100610137,2025,2776,1,4
100610137,2025,1780,1,4
100610137,2025,3071,1,4
100610137,2025,3758,1,0
100610137,2025,37,1,4
100610137,2025,11297,1,4
100610137,2025,4652,1,4
100610137,2025,2223,1,4
100610146,2025,4027,1,0
100610146,2025,209,2,2
100610146,2025,179,1,4
100610146,2025,3705,1,4
100610146,2025,4779,1,4
100610146,2025,1101,1,2
100610146,2025,4484,1,4
100610146,2025,3707,1,4
100610146,2025,4520,1,4
100610146,2025,8946,1,4
100610146,2025,0,1,4
100610146,2025,1665,2,4
100610146,2025,56,1,4
100610146,2025,4047,1,0
100610155,2025,0,1,4
100610155,2025,4270,1,4
100610155,2025,562,1,0
100610155,2025,3738,1,4
100610155,2025,12419,1,0
100610155,2025,5812,1,4
100610155,2025,4047,1,0
100610155,2025,11585,1,0
100610155,2025,7595,1,4
100610155,2025,5984,1,4
100610155,2025,4484,2,4
100610155,2025,5420,1,4
100610155,2025,10760,1,4
100610155,2025,699,1,4
100610155,2025,10277,1,4
100610155,2025,9910,1,5
100610155,2025,3422,1,4
100610155,2025,179,1,4
100610155,2025,3151,1,4
100610155,2025,10,6,8
100610155,2025,1386,1,4
100610155,2025,37,1,4
100610155,2025,6863,1,4
100610155,2025,6871,1,4
100610155,2025,1727,1,4
100610155,2025,11375,1,4
100610191,2025,5661,1,4
100610191,2025,6953,1,4
100610191,2025,5703,1,4
100610191,2025,4516,1,4
100610191,2025,1552,1,6
100610191,2025,0,1,4
100610191,2025,2503,1,4
100610191,2025,4514,1,4
100610191,2025,58,1,4
100610191,2025,10531,1,4
100610191,2025,1598,1,4
100610191,2025,4047,1,0
100610191,2025,5904,1,4
100610191,2025,4627,4,4
100610191,2025,10564,1,4
100610191,2025,12420,1,4
100610191,2025,2435,1,5
100610191,2025,4321,1,5
100610191,2025,9910,1,5
100610191,2025,6274,1,5
100610191,2025,6391,1,4
100610191,2025,1953,1,4
100610191,2025,12421,1,4
100610191,2025,3038,1,4
100610191,2025,5118,1,4
100610191,2025,7330,1,4
100610191,2025,12325,1,4
100610191,2025,4579,1,4
100610191,2025,10,4,8
100610191,2025,4582,1,4
100610191,2025,2497,1,4
100610191,2025,4008,1,4
100610191,2025,5098,2,4
100610191,2025,4652,1,4
100610207,2025,6953,1,4
100610207,2025,1196,1,4
100610207,2025,7509,1,4
100610207,2025,5741,1,4
100610207,2025,9834,1,4
100610207,2025,8272,1,2
100610207,2025,9635,1,4
100610207,2025,4047,1,0
100610207,2025,9639,2,4
100610207,2025,4398,1,4
100610207,2025,3166,1,4
100610207,2025,4627,1,4
100610207,2025,851,1,8
100610207,2025,10760,3,4
100610207,2025,8186,1,5
100610207,2025,9057,1,5
100610207,2025,6230,1,5
100610207,2025,336,1,5
100610207,2025,1171,1,5
100610207,2025,1974,1,5
100610207,2025,179,1,4
100610207,2025,10,1,8
100610207,2025,4091,1,4
100610207,2025,211,1,4
100610207,2025,4413,1,4
100610207,2025,1124,1,4
100610207,2025,1357,1,4
100610207,2025,2160,1,4
100610207,2025,317,1,4
100610207,2025,3803,1,4
100610207,2025,6805,1,0
100610207,2025,4652,1,4
100610207,2025,4663,1,4
100610207,2025,1070,1,4
100610216,2025,5437,1,4
100610216,2025,1643,1,4
100610216,2025,3698,1,4
100610216,2025,0,1,4
100610216,2025,10975,1,4
100610216,2025,5781,1,4
100610216,2025,1759,1,0
100610216,2025,223,1,4
100610216,2025,285,1,4
100610216,2025,114,1,4
100610216,2025,8654,1,4
100610216,2025,299,1,4
100610216,2025,9368,1,5
100610216,2025,6263,1,5
100610216,2025,5529,1,5
100610216,2025,3618,1,5
100610216,2025,4959,1,5
100610216,2025,8044,1,5
100610216,2025,3369,1,4
100610216,2025,1957,1,4
100610216,2025,3569,1,4
100610216,2025,10,5,8
100610216,2025,179,2,4
100610216,2025,5315,1,4
100610216,2025,3632,1,4
100610216,2025,11810,1,4
100610216,2025,5676,1,4
100610216,2025,4413,1,4
100610216,2025,2358,1,4
100610216,2025,305,1,4
100610216,2025,4333,1,4
100610216,2025,1531,1,4
100610216,2025,2222,1,4
100610216,2025,3359,1,4
100610216,2025,2388,1,4
100610216,2025,934,1,4
100610216,2025,3996,1,4
100610216,2025,12240,1,4
100610216,2025,4582,1,4
100610216,2025,2808,1,4
100610216,2025,7612,1,4
100610216,2025,342,1,4
100610216,2025,2408,1,4
100610225,2025,242,1,4
100610225,2025,2067,1,4
