yop_kodu,year,lise_id,yerlesen_sayisi,school_type
203910018,2025,642,1,4
203910018,2025,5024,1,0
203910018,2025,326,1,0
203910018,2025,7843,1,5
203910027,2025,3204,1,4
203910027,2025,324,1,0
203910027,2025,3883,1,1
203910027,2025,516,1,1
203910027,2025,783,1,1
203910027,2025,340,1,4
203910027,2025,10090,1,5
203910036,2025,10,2,8
203910036,2025,890,1,4
203910036,2025,3361,1,4
203910036,2025,2870,1,4
203910036,2025,2389,1,4
203910036,2025,803,1,2
203910045,2025,165,1,2
203910045,2025,10,1,8
203910054,2025,805,1,2
203910054,2025,3492,1,2
203910054,2025,1234,1,5
203910054,2025,8396,1,3
203910054,2025,830,1,4
203910054,2025,2863,1,2
203910054,2025,802,1,2
203910054,2025,1441,1,2
203910099,2025,803,1,2
203910099,2025,977,1,4
203910099,2025,3476,2,4
203910099,2025,2731,1,2
203910099,2025,862,1,2
203910099,2025,3492,1,2
203910099,2025,10674,1,3
203910099,2025,10476,1,5
203910099,2025,798,1,2
203910106,2025,3229,1,4
203910106,2025,741,1,5
203910106,2025,734,1,1
203910115,2025,534,1,2
203910115,2025,4622,1,2
203910115,2025,4242,1,1
203910115,2025,8416,1,3
203910115,2025,799,1,2
203910115,2025,3669,1,1
203910115,2025,4827,1,2
203910124,2025,496,1,5
203910124,2025,363,1,5
203910124,2025,735,1,1
203910124,2025,10116,1,7
203910124,2025,5022,1,5
203910124,2025,470,1,5
203910124,2025,471,2,7
203910124,2025,8376,1,7
203910124,2025,704,1,5
203910124,2025,502,1,5
203910124,2025,10658,1,5
203910124,2025,9429,1,1
203910124,2025,8129,1,1
203910124,2025,10105,1,5
203910124,2025,7638,1,5
203910124,2025,551,1,5
203910124,2025,552,1,3
203910124,2025,3472,1,5
203910124,2025,529,1,5
203910124,2025,446,2,5
203910124,2025,752,2,1
203910124,2025,2421,1,0
203910124,2025,7259,1,1
203910124,2025,147,1,1
203910124,2025,1057,1,5
203910124,2025,10075,1,5
203910124,2025,578,1,5
203910124,2025,10089,1,5
203910124,2025,713,1,5
203910124,2025,484,1,5
203910124,2025,7278,1,1
203910124,2025,1772,1,0
203910124,2025,10077,1,1
203910124,2025,801,1,1
203910124,2025,585,2,1
203910124,2025,10090,1,5
203910124,2025,356,1,1
203910124,2025,516,1,1
203910124,2025,10184,1,1
203910124,2025,3560,1,0
203910124,2025,5656,1,4
203910124,2025,783,1,1
203910133,2025,1525,1,2
203910133,2025,3419,1,5
203910133,2025,11000,1,5
203910133,2025,10105,1,5
203910133,2025,2240,1,5
203910133,2025,8117,1,7
203910133,2025,2863,1,2
203910133,2025,2169,1,4
203910133,2025,520,1,0
203910133,2025,2870,1,4
203910133,2025,3476,1,4
203910133,2025,3680,1,2
203910133,2025,733,1,4
203910133,2025,5485,1,0
203910133,2025,535,1,2
203910169,2025,4165,1,4
203910169,2025,64,1,4
203910169,2025,783,1,1
203910169,2025,5617,1,5
203910169,2025,1423,1,5
203910178,2025,521,1,2
203910178,2025,4274,1,1
203910178,2025,490,1,5
203910178,2025,2898,1,3
203910178,2025,771,1,5
203910178,2025,584,1,1
203910178,2025,10075,1,5
203910178,2025,1097,1,4
203910187,2025,3540,1,0
203910187,2025,351,1,0
203910187,2025,5910,1,4
203910187,2025,6,1,4
203910196,2025,10,1,8
203910196,2025,5072,1,5
203910196,2025,8115,1,5
203910196,2025,5063,1,5
203910196,2025,507,1,5
203910196,2025,8650,1,5
203910196,2025,7259,1,1
203910196,2025,10465,1,5
203910266,2025,7116,1,0
203910266,2025,753,1,1
203910266,2025,10184,1,1
203910266,2025,563,1,1
203910266,2025,783,1,1
203910266,2025,8132,1,5
203910266,2025,605,1,5
203910266,2025,10116,4,7
203910266,2025,5022,1,5
203910266,2025,8248,1,5
203910266,2025,438,1,4
203910266,2025,470,1,5
203910266,2025,5035,1,5
203910266,2025,10070,1,5
203910266,2025,5491,1,5
203910266,2025,10118,1,5
203910266,2025,4711,1,3
203910266,2025,2769,1,5
203910266,2025,471,1,7
203910266,2025,736,1,3
203910266,2025,674,1,5
203910266,2025,2407,1,5
203910266,2025,10071,1,1
203910266,2025,740,1,5
203910266,2025,7182,1,5
203910266,2025,8243,1,1
203910266,2025,10158,1,3
203910266,2025,262,1,5
203910266,2025,10031,3,1
203910266,2025,1565,1,5
203910266,2025,11623,1,1
203910266,2025,575,1,5
203910266,2025,520,1,0
203910266,2025,708,1,7
203910266,2025,6267,1,5
203910266,2025,576,1,1
203910266,2025,8003,1,3
203910266,2025,5375,2,1
203910266,2025,583,1,5
203910266,2025,2853,1,3
203910266,2025,752,1,1
203910266,2025,1034,4,1
203910266,2025,754,1,1
203910266,2025,5341,1,4
203910266,2025,1681,1,1
203910266,2025,584,1,1
203910266,2025,376,1,5
203910266,2025,10075,1,5
203910266,2025,10106,1,3
203910266,2025,578,1,5
203910266,2025,1007,1,1
203910266,2025,8398,1,3
203910266,2025,9709,1,5
203910266,2025,729,1,1
203910266,2025,4165,1,4
203910266,2025,8155,1,0
203910266,2025,5347,1,4
203910266,2025,384,1,1
203910266,2025,585,1,1
203910266,2025,2060,1,1
203910266,2025,10090,2,5
203910266,2025,356,3,1
203910266,2025,718,1,4
203910266,2025,3476,1,4
203910266,2025,4274,2,1
203910266,2025,3883,2,1
203910275,2025,104,1,4
