yop_kodu,year,lise_id,yerlesen_sayisi,school_type
111410265,2025,3759,1,2
111410265,2025,1724,1,4
111410265,2025,2118,1,4
111410265,2025,12337,1,4
111410265,2025,2474,1,4
111410265,2025,4550,1,4
111410265,2025,1987,1,4
111410265,2025,2120,1,4
111410265,2025,8708,1,4
111410265,2025,2099,2,4
111410265,2025,2696,1,4
111410265,2025,2227,1,4
111410265,2025,2100,1,4
111410265,2025,2366,1,4
111410265,2025,1813,1,4
111410265,2025,5141,1,4
111410265,2025,1937,2,4
111410265,2025,2192,1,4
111410265,2025,990,1,2
111410265,2025,7078,1,4
111410265,2025,112,1,4
111410265,2025,4723,1,4
111410265,2025,7524,1,6
111410265,2025,4993,1,4
111410265,2025,162,2,4
111410265,2025,7531,1,4
111410265,2025,3583,1,4
111410265,2025,3158,1,2
111410265,2025,7723,1,4
111410265,2025,2560,1,4
111410265,2025,5388,1,4
111410265,2025,4428,1,4
111410265,2025,10,6,8
111410265,2025,2071,4,4
111410265,2025,2072,3,4
111410265,2025,3938,1,4
111410265,2025,3964,1,4
111410265,2025,1110,1,2
111410265,2025,4476,1,4
111410265,2025,2481,1,4
111410265,2025,105,1,4
111410265,2025,1763,2,4
111410265,2025,2738,1,4
111410265,2025,1809,1,4
111410265,2025,199,1,4
111410265,2025,1882,1,4
111410265,2025,1972,1,4
111410265,2025,65,1,4
111410265,2025,2892,1,4
111410265,2025,7944,1,7
111410265,2025,11142,1,3
111410265,2025,10511,1,5
111410265,2025,4481,1,5
111410265,2025,2080,1,5
111410265,2025,2112,2,0
111410265,2025,7890,1,4
111410265,2025,2335,1,4
111410265,2025,1744,1,4
111410265,2025,27,1,4
111410265,2025,236,1,2
111410265,2025,2243,1,2
111410265,2025,3249,1,4
111410265,2025,2751,1,2
111410265,2025,1019,1,4
111410265,2025,2138,1,4
111410265,2025,2792,1,4
111410265,2025,2200,1,4
111410265,2025,1750,1,0
111410265,2025,1837,1,4
111410265,2025,779,1,4
111410265,2025,2245,1,4
111410265,2025,215,1,4
111410265,2025,1962,1,0
111410265,2025,2513,1,4
111410265,2025,6795,1,0
111410265,2025,1594,1,4
111410274,2025,2347,1,4
111410274,2025,8708,1,4
111410274,2025,2905,1,4
111410274,2025,6976,1,4
111410274,2025,1345,1,4
111410274,2025,2734,1,4
111410274,2025,2007,1,4
111410274,2025,10347,1,4
111410274,2025,2906,1,4
111410274,2025,990,1,2
111410274,2025,10,10,8
111410274,2025,5388,1,4
111410274,2025,2,1,4
111410274,2025,2230,1,4
111410274,2025,1877,1,0
111410274,2025,5937,1,4
111410274,2025,1763,1,4
111410274,2025,534,1,2
111410274,2025,2887,1,6
111410274,2025,415,1,4
111410274,2025,1796,1,4
111410274,2025,2222,1,4
111410274,2025,3726,1,4
111410274,2025,3611,1,4
111410274,2025,1149,1,4
111410274,2025,2915,1,4
111410274,2025,2153,1,4
111410274,2025,1764,1,4
111410274,2025,2631,1,2
111410274,2025,6083,1,4
111410274,2025,7633,1,7
111410274,2025,4062,1,3
111410274,2025,12469,1,4
111410274,2025,785,1,3
111410274,2025,962,1,5
111410274,2025,858,1,5
111410274,2025,12470,1,5
111410274,2025,8331,1,3
111410274,2025,7908,1,5
111410274,2025,1353,1,5
111410274,2025,4686,1,5
111410274,2025,5206,2,4
111410274,2025,6413,1,4
111410274,2025,4337,1,0
111410274,2025,2159,1,4
111410274,2025,4391,1,4
111410274,2025,4901,1,4
111410274,2025,4023,1,4
111410274,2025,99,1,2
111410274,2025,8309,1,4
111410274,2025,1093,1,4
111410274,2025,4779,1,4
111410274,2025,2756,1,4
111410274,2025,2094,1,4
111410274,2025,567,1,4
111410274,2025,12299,1,4
111410274,2025,467,1,4
111410274,2025,2617,1,4
111410274,2025,2322,1,4
111410283,2025,5879,1,4
111410283,2025,2857,2,4
111410283,2025,1092,1,4
111410283,2025,4505,1,4
111410283,2025,1016,1,4
111410283,2025,932,1,2
111410283,2025,1918,1,4
111410283,2025,2642,1,4
111410283,2025,3468,1,4
111410283,2025,2137,2,4
111410283,2025,2300,1,2
111410283,2025,3602,1,4
111410283,2025,5545,1,4
111410283,2025,1120,2,4
111410283,2025,2200,1,4
111410283,2025,6629,1,4
111410283,2025,2801,1,4
111410283,2025,1325,1,4
111410283,2025,1961,1,4
111410283,2025,87,1,2
111410283,2025,2389,1,4
111410283,2025,2754,1,2
111410283,2025,2203,1,4
111410283,2025,2453,1,4
111410283,2025,2034,1,0
111410283,2025,1810,1,4
111410283,2025,3864,1,2
111410283,2025,2112,1,0
111410283,2025,3102,1,2
111410283,2025,978,1,4
111410283,2025,1770,2,4
111410283,2025,1731,1,4
111410283,2025,2280,1,4
111410283,2025,377,2,0
111410283,2025,4855,1,0
111410283,2025,9936,1,4
111410283,2025,1594,1,4
111410283,2025,2728,1,4
111410283,2025,1068,1,4
111410283,2025,3675,1,2
111410283,2025,2223,1,4
111410283,2025,716,1,0
111410283,2025,831,1,2
111410283,2025,3865,1,4
111410283,2025,2317,1,4
111410283,2025,2730,1,2
111410283,2025,3170,1,4
111410283,2025,2928,1,4
111410283,2025,2099,1,4
111410283,2025,2226,1,4
111410283,2025,39,1,4
111410283,2025,1989,1,4
111410283,2025,1870,1,4
111410283,2025,1580,1,4
111410283,2025,2735,1,2
111410283,2025,4341,1,4
111410283,2025,8241,1,4
111410283,2025,3698,1,4
111410283,2025,192,1,0
111410283,2025,990,1,2
111410283,2025,3428,1,2
111410283,2025,1552,1,6
111410283,2025,1107,1,4
111410283,2025,2151,2,4
111410283,2025,10,7,8
111410283,2025,3737,1,4
111410283,2025,3398,1,4
111410283,2025,2375,1,4
111410283,2025,2072,1,4
111410283,2025,4610,1,4
111410283,2025,5910,1,4
111410283,2025,2232,2,4
111410283,2025,1763,3,4
111410283,2025,2765,1,0
111410283,2025,2172,1,4
111410283,2025,938,2,0
111410283,2025,1947,1,4
111410283,2025,2398,1,4
111410283,2025,538,1,6
111410283,2025,224,1,2
111410283,2025,2213,1,4
111410283,2025,2075,1,4
111410283,2025,1764,1,4
111410283,2025,1911,1,4
111410283,2025,2288,3,4
111410283,2025,1189,1,2
111410283,2025,1838,1,4
111410283,2025,2564,1,4
111410283,2025,1824,1,4
111410283,2025,822,1,4
111410283,2025,2892,2,4
111410283,2025,1447,1,5
111410283,2025,9978,1,5
111410283,2025,7674,1,5
111410283,2025,3652,1,5
111410283,2025,1421,1,5
111410283,2025,5492,1,5
111410283,2025,1671,1,4
111410283,2025,2568,1,7
111410283,2025,13,1,5
111410283,2025,12196,1,3
111410283,2025,4502,1,5
111410283,2025,4816,1,3
111410283,2025,1800,1,5
111410283,2025,11613,1,3
111410283,2025,338,1,3
111410283,2025,6401,1,4
111410283,2025,79,1,4
111410283,2025,9263,1,4
111410283,2025,2974,1,2
111410283,2025,2491,1,4
111410283,2025,3569,1,4
111410283,2025,2713,1,6
111410283,2025,3733,1,4
111410283,2025,27,1,4
111410283,2025,1373,1,4
111410283,2025,1308,1,4
111410283,2025,1013,1,4
111410283,2025,3869,1,2
111410405,2025,1548,1,2
111410405,2025,5436,1,5
111410405,2025,4310,1,5
111410405,2025,3551,1,5
111410405,2025,452,1,5
111410405,2025,1353,1,5
111410405,2025,2385,1,5
111410405,2025,1429,1,3
111410405,2025,2855,2,2
111410405,2025,2506,1,4
111410405,2025,209,1,2
111410405,2025,324,1,0
111410405,2025,2507,1,2
111410405,2025,1773,2,4
111410405,2025,178,1,2
111410405,2025,1433,1,2
111410405,2025,8097,1,4
111410405,2025,2243,1,2
111410405,2025,29,1,2
111410405,2025,2857,1,4
111410405,2025,2858,1,2
111410405,2025,1918,1,4
111410405,2025,977,3,4
111410405,2025,2775,2,4
111410405,2025,1437,1,2
111410405,2025,1066,1,2
111410405,2025,2300,2,2
111410405,2025,1120,1,4
111410405,2025,2200,1,4
111410405,2025,2387,1,5
111410405,2025,2571,1,2
111410405,2025,276,1,4
111410405,2025,1961,1,4
111410405,2025,3227,1,2
111410405,2025,3225,1,4
111410405,2025,87,1,2
111410405,2025,2864,1,2
111410405,2025,3226,1,2
111410405,2025,1099,1,4
111410405,2025,138,1,2
111410405,2025,520,1,0
111410405,2025,2868,1,2
111410405,2025,3667,1,2
111410405,2025,2869,1,0
111410405,2025,8031,1,3
111410405,2025,2281,1,2
111410405,2025,165,1,2
111410405,2025,3522,1,2
111410405,2025,41,1,2
111410405,2025,2161,1,4
111410405,2025,2728,1,4
111410405,2025,2850,1,4
111410405,2025,2870,1,4
111410405,2025,3540,2,0
111410405,2025,716,1,0
111410405,2025,6899,1,4
111410405,2025,1784,1,2
111410405,2025,10,5,8
111410405,2025,143,1,2
111410405,2025,2872,1,4
111410405,2025,3557,1,2
111410405,2025,2873,1,6
111410405,2025,7625,1,2
111410405,2025,3677,2,2
111410405,2025,805,1,2
111410405,2025,693,2,2
111410405,2025,39,2,4
111410405,2025,2874,2,2
111410405,2025,890,1,4
111410405,2025,2163,2,4
111410405,2025,1937,1,4
111410405,2025,3680,1,2
111410405,2025,3428,2,2
111410405,2025,900,1,2
111410405,2025,3584,1,2
111410405,2025,2560,1,4
111410405,2025,2878,2,2
111410405,2025,3487,1,2
111410405,2025,2879,2,2
111410405,2025,891,1,4
111410405,2025,865,1,2
111410405,2025,808,1,2
111410405,2025,350,1,0
111410405,2025,866,1,4
111410405,2025,9322,2,4
111410405,2025,1675,1,4
111410405,2025,531,1,0
111410405,2025,526,1,4
111410405,2025,313,3,4
111410405,2025,2881,1,2
111410405,2025,938,1,0
111410405,2025,2224,1,4
111410405,2025,2882,1,4
111410405,2025,2104,1,4
111410405,2025,2885,1,2
111410405,2025,3907,2,2
111410405,2025,1763,1,4
111410405,2025,534,8,2
111410405,2025,2888,1,2
111410405,2025,1908,1,4
111410405,2025,2170,1,2
111410405,2025,549,2,4
