yop_kodu,year,lise_id,yerlesen_sayisi,school_type
208810010,2025,4504,1,5
208810010,2025,5268,1,2
208810010,2025,8012,1,3
208810010,2025,3426,1,4
208810010,2025,5842,1,4
208810010,2025,3682,1,2
208810010,2025,163,1,2
208810010,2025,8358,1,3
208810010,2025,5614,1,5
208810010,2025,8014,1,3
208810012,2025,3808,1,4
208810012,2025,10,1,8
208810012,2025,4660,1,4
208810012,2025,280,1,4
208810012,2025,3616,1,5
208810012,2025,8647,1,3
208810012,2025,6338,1,5
208810012,2025,179,1,4
208810012,2025,3632,1,4
208810014,2025,10,2,8
208810014,2025,4242,1,1
208810014,2025,10957,1,3
208810014,2025,8078,1,5
208810014,2025,4703,1,5
208810014,2025,2570,1,5
208810016,2025,10,1,8
208810016,2025,160,1,4
208810016,2025,5114,1,4
208810016,2025,2052,1,5
208810016,2025,5541,1,5
208810016,2025,1056,1,5
208810016,2025,5477,1,7
208810016,2025,2854,1,3
208810020,2025,2860,1,4
208810020,2025,5269,1,2
208810020,2025,907,1,4
208810020,2025,10,1,8
208810020,2025,2868,1,2
208810020,2025,4324,1,2
208810020,2025,4059,1,4
208810020,2025,10172,1,3
208810020,2025,2298,1,3
208810020,2025,8014,1,3
208810022,2025,1074,1,4
208810022,2025,7660,1,4
208810022,2025,1213,1,4
208810022,2025,2706,1,4
208810022,2025,7894,2,4
208810022,2025,4350,1,4
208810022,2025,1543,1,4
208810022,2025,64,1,4
208810022,2025,4778,1,5
208810022,2025,7649,1,3
208810022,2025,10,2,8
208810022,2025,6140,1,5
208810022,2025,1051,1,5
208810022,2025,4624,1,5
208810022,2025,10951,1,3
208810022,2025,644,1,3
208810022,2025,7765,1,1
208810022,2025,4216,1,5
208810022,2025,1054,1,3
208810022,2025,3702,1,7
208810022,2025,7693,1,5
208810022,2025,2856,1,2
208810022,2025,5511,1,5
208810022,2025,8011,1,7
208810022,2025,74,1,3
208810022,2025,924,1,5
208810022,2025,4431,1,3
208810022,2025,5477,1,7
208810022,2025,4331,1,3
208810022,2025,1680,1,5
208810022,2025,3098,1,5
208810022,2025,8024,1,3
208810022,2025,978,1,4
208810022,2025,8072,1,3
208810022,2025,2855,1,2
208810022,2025,4626,1,3
208810022,2025,1018,1,4
208810022,2025,2387,1,5
208810022,2025,85,1,4
208810022,2025,5294,1,4
208810022,2025,5269,1,2
208810022,2025,7759,1,4
208810022,2025,184,1,4
208810022,2025,2758,1,4
208810022,2025,3754,1,4
208810022,2025,281,1,4
208810022,2025,1701,1,2
208810022,2025,1071,1,2
208810022,2025,4013,1,4
208810029,2025,10,1,8
208810029,2025,3426,1,4
208810029,2025,280,1,4
208810029,2025,143,1,2
208810029,2025,10376,1,3
208810029,2025,4500,1,5
208810029,2025,4509,1,5
208810029,2025,85,1,4
208810048,2025,5233,1,4
208810048,2025,61,1,2
208810048,2025,2545,1,5
208810048,2025,6126,1,5
