yop_kodu,year,lise_id,yerlesen_sayisi,school_type
111510497,2025,5759,1,4
111510497,2025,4473,1,4
111510497,2025,1408,1,4
111510497,2025,5584,1,4
111510497,2025,4002,1,0
111510497,2025,2484,1,4
111510497,2025,1372,2,4
111510497,2025,1737,1,4
111510497,2025,1392,1,5
111510497,2025,10858,1,5
111510497,2025,10,4,8
111510497,2025,9057,1,5
111510497,2025,7225,1,5
111510497,2025,7855,1,5
111510497,2025,1448,1,5
111510497,2025,2312,1,4
111510497,2025,7297,1,4
111510497,2025,1324,1,4
111510497,2025,4029,1,4
111510497,2025,1241,1,4
111510497,2025,3778,1,4
111510497,2025,78,1,4
111510497,2025,1325,1,4
111510497,2025,10455,1,4
111510497,2025,983,1,4
111510497,2025,1227,2,4
111510497,2025,3579,1,4
111510497,2025,1215,1,4
111510497,2025,1562,1,4
111510497,2025,3747,1,4
111510628,2025,1291,1,4
111510628,2025,1212,1,4
111510628,2025,5889,1,4
111510628,2025,1408,1,4
111510628,2025,5965,1,4
111510628,2025,4048,1,4
111510628,2025,4132,1,2
111510628,2025,1219,1,4
111510628,2025,2565,1,4
111510628,2025,2207,1,4
111510628,2025,3306,1,4
111510628,2025,4063,1,3
111510628,2025,8043,2,5
111510628,2025,706,1,5
111510628,2025,5380,1,3
111510628,2025,7242,1,5
111510628,2025,3497,1,5
111510628,2025,7706,1,5
111510628,2025,3296,1,2
111510628,2025,1742,1,4
111510628,2025,1567,1,4
111510628,2025,1156,1,4
111510628,2025,1457,1,4
111510628,2025,1530,1,4
111510628,2025,1569,1,4
111510628,2025,1284,1,4
111510628,2025,10,3,8
111510628,2025,1285,1,4
111510628,2025,9263,1,4
111510628,2025,979,1,4
111510628,2025,983,1,4
111510628,2025,1227,1,4
111570286,2025,1210,1,4
111570286,2025,3577,1,4
111570286,2025,1700,1,4
111570286,2025,1211,1,4
111570286,2025,983,1,4
111570286,2025,331,1,4
111570286,2025,1161,1,4
111570286,2025,1405,1,2
111570286,2025,1363,1,4
111570286,2025,1177,1,4
111570286,2025,986,1,4
111570286,2025,7486,1,4
111570286,2025,10893,1,4
111570286,2025,4591,1,4
111570286,2025,159,1,2
111570286,2025,3855,1,4
111570286,2025,4654,1,4
111570286,2025,7039,1,4
111570286,2025,2041,1,4
111570286,2025,1106,1,4
111570286,2025,2648,1,4
111570286,2025,10,5,8
111570286,2025,1664,1,4
111570286,2025,8926,1,4
111570286,2025,2651,1,4
111570286,2025,867,1,4
111570286,2025,1494,1,4
111570286,2025,285,1,4
111570286,2025,1408,1,4
111570286,2025,3131,1,4
111570286,2025,1704,1,4
111570286,2025,1409,2,4
111570286,2025,2145,1,4
111570286,2025,5564,1,4
111570286,2025,6052,1,4
111570286,2025,1127,1,4
111570286,2025,1048,1,4
111570286,2025,64,1,4
111570286,2025,1111,1,4
111570286,2025,1136,1,4
111570286,2025,1049,1,3
111570286,2025,784,1,3
111570286,2025,7999,1,3
111570286,2025,1922,1,4
111570286,2025,3528,1,5
111570286,2025,1056,1,5
111570286,2025,8246,1,5
111570286,2025,8718,1,3
111570286,2025,7855,1,5
111570286,2025,555,1,5
111570286,2025,7715,1,5
111570286,2025,2983,1,5
111570286,2025,8898,1,5
111570286,2025,1321,1,4
111570286,2025,78,1,4
111570286,2025,612,1,4
111570286,2025,1569,1,4
111570286,2025,885,1,4
111570286,2025,1310,1,4
111570286,2025,2186,1,3
111570286,2025,7369,1,4
111570286,2025,1325,1,4
111570286,2025,1021,1,4
111570286,2025,7759,1,4
111570286,2025,2187,1,4
111570286,2025,217,2,4
111570286,2025,2901,1,4
111570286,2025,1708,1,4
111570288,2025,2886,1,4
111570288,2025,4248,1,5
111570288,2025,5042,1,1
111570288,2025,2637,1,5
111570288,2025,1083,1,3
111570288,2025,3551,1,5
111570288,2025,2244,1,4
111570288,2025,4029,1,4
111570288,2025,1325,1,4
111570288,2025,950,1,4
111570288,2025,10,1,8
111570288,2025,88,1,4
111570288,2025,817,1,4
111570288,2025,3407,1,4
111570288,2025,1405,1,2
111570288,2025,615,1,4
111570288,2025,1702,1,4
111570288,2025,1704,1,4
111570304,2025,3339,1,4
111570304,2025,7030,1,4
111570304,2025,2121,1,4
111570304,2025,7039,1,4
111570304,2025,9984,1,4
111570304,2025,2368,1,4
111570304,2025,5730,1,4
111570304,2025,4797,1,4
111570304,2025,8926,1,4
111570304,2025,5803,1,4
111570304,2025,986,2,4
111570304,2025,4609,1,4
111570304,2025,12479,1,4
111570304,2025,4015,1,4
111570304,2025,1368,2,4
111570304,2025,1630,1,4
111570304,2025,3547,1,4
111570304,2025,3725,1,4
111570304,2025,851,1,8
111570304,2025,6040,1,4
111570304,2025,264,1,5
111570304,2025,10,3,8
111570304,2025,12480,1,5
111570304,2025,603,1,7
111570304,2025,9398,1,5
111570304,2025,8083,1,5
