yop_kodu,year,lise_id,yerlesen_sayisi,school_type
102510026,2025,12498,1,4
102510026,2025,7472,1,4
102510026,2025,2412,1,4
102510026,2025,3170,1,4
102510026,2025,1643,1,4
102510026,2025,8923,1,4
102510026,2025,7096,1,4
102510026,2025,1,1,4
102510026,2025,282,1,0
102510026,2025,250,1,4
102510026,2025,301,1,8
102510026,2025,2908,1,4
102510026,2025,1877,1,0
102510026,2025,1971,1,4
102510026,2025,4201,1,4
102510026,2025,2264,1,6
102510026,2025,590,1,4
102510026,2025,258,1,4
102510026,2025,5041,1,4
102510026,2025,2487,1,4
102510026,2025,2207,1,4
102510026,2025,10,2,8
102510026,2025,3751,2,4
102510026,2025,1129,1,5
102510026,2025,2590,1,4
102510026,2025,236,1,2
102510026,2025,1634,1,4
102510026,2025,4440,1,4
102510026,2025,1614,1,4
102510026,2025,1918,1,4
102510026,2025,7839,1,4
102510026,2025,12313,1,4
102510026,2025,1191,1,4
102510026,2025,2138,1,4
102510026,2025,10522,1,4
102510026,2025,3405,1,0
102510026,2025,6676,1,4
102510026,2025,3395,1,4
102510026,2025,3351,1,4
102510026,2025,888,1,4
102510026,2025,186,1,4
102510026,2025,2280,1,4
102510026,2025,4492,1,4
102510026,2025,2990,1,0
102510026,2025,2393,1,4
102510035,2025,1966,1,4
102510035,2025,2006,1,4
102510035,2025,1987,1,4
102510035,2025,2905,1,4
102510035,2025,4596,1,4
102510035,2025,596,1,4
102510035,2025,8655,1,0
102510035,2025,2374,1,4
102510035,2025,1794,1,4
102510035,2025,5919,1,4
102510035,2025,1580,1,4
102510035,2025,2653,1,4
102510035,2025,1736,1,0
102510035,2025,2582,1,4
102510035,2025,2606,1,4
102510035,2025,2047,1,4
102510035,2025,2915,1,4
102510035,2025,11734,1,0
102510035,2025,1911,1,4
102510035,2025,812,1,4
102510035,2025,65,1,4
102510035,2025,10,2,8
102510035,2025,7186,1,5
102510035,2025,10035,1,4
102510035,2025,5240,1,4
102510035,2025,2789,1,4
102510035,2025,2275,1,4
102510035,2025,3145,1,4
102510035,2025,5675,1,4
102510035,2025,656,1,4
102510035,2025,4882,1,4
102510035,2025,305,1,4
102510035,2025,2148,1,4
102510035,2025,5317,1,4
102510035,2025,12054,1,4
102510035,2025,5879,1,4
102510035,2025,3602,1,4
102510035,2025,2535,1,4
102510035,2025,2958,1,4
102510035,2025,1518,1,4
102510044,2025,12499,1,4
102510044,2025,3363,1,4
102510044,2025,5101,1,4
102510044,2025,3028,1,4
102510044,2025,3737,1,4
102510044,2025,1366,1,4
102510044,2025,5580,1,4
102510044,2025,2104,1,4
102510044,2025,3115,1,4
102510044,2025,2795,1,4
102510044,2025,10,1,8
102510044,2025,3175,1,4
102510044,2025,3104,1,4
102510044,2025,3365,1,4
102510044,2025,2075,1,4
102510044,2025,590,1,4
102510044,2025,1189,1,2
102510044,2025,1676,1,4
102510044,2025,1538,1,4
102510044,2025,11252,1,5
102510044,2025,10707,1,5
102510044,2025,428,1,4
102510044,2025,826,1,5
102510044,2025,3603,1,5
102510044,2025,3188,1,4
102510044,2025,2713,1,6
102510044,2025,3038,1,4
102510044,2025,5134,1,4
102510044,2025,5390,1,4
102510044,2025,10052,1,4
102510044,2025,5495,1,4
102510044,2025,1242,1,4
102510044,2025,1176,1,4
102510044,2025,3071,1,4
102510044,2025,1342,1,4
102510044,2025,3406,1,4
102510044,2025,2006,3,4
102510044,2025,9005,1,4
102510044,2025,5336,1,4
102510123,2025,2100,1,4
102510123,2025,2518,1,4
102510123,2025,9444,1,4
102510123,2025,2458,1,4
102510123,2025,1552,1,6
102510123,2025,2669,1,4
102510123,2025,2778,1,4
102510123,2025,254,1,4
102510123,2025,2326,1,0
102510123,2025,1941,1,4
102510123,2025,10,5,8
102510123,2025,2909,1,4
102510123,2025,1877,1,0
102510123,2025,4214,2,4
102510123,2025,2231,1,4
102510123,2025,4866,1,4
102510123,2025,1736,1,0
102510123,2025,2026,1,4
102510123,2025,2483,1,4
102510123,2025,2212,1,4
102510123,2025,6018,1,4
102510123,2025,2803,1,4
102510123,2025,2047,1,4
102510123,2025,1765,1,4
102510123,2025,2488,1,4
102510123,2025,3898,1,4
102510123,2025,2207,1,4
102510123,2025,4851,1,5
102510123,2025,5310,1,5
102510123,2025,3527,1,5
102510123,2025,7866,1,5
102510123,2025,6163,1,5
102510123,2025,1752,1,0
102510123,2025,2174,1,5
102510123,2025,2238,1,7
102510123,2025,3642,1,5
102510123,2025,2383,1,3
102510123,2025,4880,1,5
102510123,2025,5436,1,5
102510123,2025,754,2,1
102510123,2025,1957,1,4
102510123,2025,4701,1,4
102510123,2025,2244,1,4
102510123,2025,3064,1,4
102510123,2025,8231,1,4
102510123,2025,4974,1,4
102510123,2025,2360,1,0
102510123,2025,1920,1,4
102510123,2025,5166,1,4
102510123,2025,2454,1,4
102510123,2025,2411,3,4
102510123,2025,1966,1,4
102510123,2025,11236,1,4
102510123,2025,3744,1,4
102510132,2025,2205,2,4
102510132,2025,2226,2,4
102510132,2025,2150,1,4
102510132,2025,7102,1,4
102510132,2025,2669,1,4
102510132,2025,2102,1,4
102510132,2025,10360,1,5
102510132,2025,3739,1,4
102510132,2025,2413,1,4
102510132,2025,1675,1,4
102510132,2025,1350,1,4
102510132,2025,8261,1,1
102510132,2025,4214,1,4
102510132,2025,2234,1,4
102510132,2025,119,1,4
102510132,2025,298,1,0
102510132,2025,4229,1,4
102510132,2025,1909,1,4
102510132,2025,6018,1,4
102510132,2025,2047,3,4
102510132,2025,4870,1,4
102510132,2025,2201,1,4
102510132,2025,539,1,0
102510132,2025,10241,1,4
102510132,2025,4501,1,5
102510132,2025,7866,1,5
102510132,2025,11189,1,5
102510132,2025,6172,1,5
102510132,2025,8406,1,5
102510132,2025,12500,1,1
102510132,2025,171,1,5
102510132,2025,5492,1,5
102510132,2025,10,10,8
102510132,2025,4103,1,5
102510132,2025,1170,1,5
102510132,2025,371,1,5
102510132,2025,2252,1,5
102510132,2025,754,1,1
102510132,2025,4410,1,5
102510132,2025,10849,1,5
102510132,2025,9458,1,5
102510132,2025,578,4,5
102510132,2025,8378,1,3
102510132,2025,6818,1,4
102510132,2025,4816,1,3
102510132,2025,5206,1,4
102510132,2025,2789,1,4
102510132,2025,2590,1,4
102510132,2025,2086,1,4
102510132,2025,210,1,2
102510132,2025,1976,1,4
102510132,2025,4313,1,4
102510132,2025,2528,1,4
102510132,2025,2147,1,4
102510132,2025,3064,4,4
102510132,2025,341,1,4
102510132,2025,2360,1,0
102510132,2025,779,2,4
102510132,2025,1104,1,4
102510132,2025,487,1,4
102510132,2025,2411,2,4
102510141,2025,894,1,4
102510141,2025,2035,1,4
102510141,2025,2758,1,4
102510141,2025,2097,1,4
102510141,2025,1594,1,4
102510141,2025,8506,1,4
102510141,2025,2316,1,4
102510141,2025,1788,1,4
102510141,2025,1640,1,4
102510141,2025,1985,1,4
102510141,2025,1847,1,4
102510141,2025,5197,1,4
102510141,2025,2411,1,4
102510141,2025,1966,1,4
102510141,2025,6931,1,4
102510141,2025,3722,1,4
102510141,2025,1539,1,4
102510141,2025,9928,1,4
102510141,2025,3092,1,4
102510141,2025,1941,1,4
102510141,2025,2651,1,4
102510141,2025,10,7,8
102510141,2025,2909,1,4
102510141,2025,117,1,4
102510141,2025,4,1,4
102510141,2025,2234,1,4
102510141,2025,2026,2,4
102510141,2025,1647,1,4
102510141,2025,2483,1,4
102510141,2025,2212,1,4
102510141,2025,910,1,4
102510141,2025,3611,1,4
102510141,2025,1244,1,0
102510141,2025,3365,1,4
102510141,2025,1911,1,4
102510141,2025,4628,1,4
102510141,2025,1047,1,4
102510141,2025,2306,1,4
102510141,2025,1545,1,4
102510141,2025,7690,1,5
102510141,2025,5277,1,5
102510141,2025,10753,1,5
102510141,2025,8649,1,5
102510141,2025,2803,2,4
102510141,2025,3381,1,5
102510141,2025,4112,1,5
102510141,2025,2381,1,5
102510141,2025,3231,1,5
102510141,2025,6249,1,7
102510141,2025,5436,1,5
102510141,2025,2179,1,5
102510141,2025,2252,1,5
102510141,2025,3466,1,4
102510141,2025,3317,1,4
102510141,2025,2512,1,4
102510141,2025,12463,1,4
102510141,2025,3083,1,4
102510141,2025,2590,1,4
102510141,2025,1857,1,4
102510141,2025,2276,1,4
102510141,2025,2147,1,4
102510141,2025,1688,1,4
102510141,2025,1777,1,4
102510141,2025,2139,1,4
102510141,2025,2360,1,0
102510141,2025,3300,1,4
102510141,2025,779,1,4
102510141,2025,137,1,4
102510141,2025,813,1,4
102510141,2025,2093,1,4
102510141,2025,2361,1,4
102510141,2025,6676,1,4
102510141,2025,7385,1,4
102510141,2025,2160,1,4
102510141,2025,9367,1,4
102510141,2025,4042,1,4
102510186,2025,1548,1,2
102510186,2025,9672,1,3
102510186,2025,644,1,3
102510186,2025,675,1,5
102510186,2025,768,1,3
102510186,2025,542,1,1
102510186,2025,676,1,5
102510186,2025,8646,1,7
102510186,2025,9898,1,3
102510186,2025,546,1,1
102510186,2025,10948,1,3
102510186,2025,324,1,0
102510186,2025,8100,1,5
102510186,2025,1083,1,3
102510186,2025,9989,2,3
102510186,2025,3790,1,5
102510186,2025,3743,1,5
102510186,2025,4812,2,3
102510186,2025,8377,1,3
102510186,2025,8021,1,3
102510186,2025,10335,1,5
102510186,2025,8332,2,3
102510186,2025,3227,1,2
102510186,2025,5436,1,5
102510186,2025,401,1,3
102510186,2025,10723,1,3
102510186,2025,2298,1,3
102510186,2025,3551,1,5
102510186,2025,795,1,3
102510186,2025,9906,1,5
102510186,2025,10141,1,3
102510186,2025,8090,1,3
102510186,2025,684,2,5
102510186,2025,3102,1,2
102510186,2025,797,1,3
102510186,2025,10189,1,3
102510186,2025,4704,1,3
102510186,2025,10246,1,3
102510186,2025,8398,1,3
102510186,2025,265,1,7
102510186,2025,9046,1,3
102510186,2025,4238,1,5
102510186,2025,4717,1,3
102510186,2025,2855,1,2
102510186,2025,520,1,0
