yop_kodu,year,lise_id,yerlesen_sayisi,school_type
107110015,2025,6770,1,4
107110015,2025,107,1,4
107110024,2025,1315,1,4
107110024,2025,1693,1,4
107110024,2025,1701,1,2
107110024,2025,4864,1,4
107110024,2025,3264,1,4
107110024,2025,1069,1,4
107110024,2025,2977,1,4
107110024,2025,1071,1,2
107110024,2025,1073,1,4
107110024,2025,3340,1,4
107110024,2025,6809,1,4
107110024,2025,835,3,4
107110024,2025,10016,1,4
107110024,2025,1230,1,4
107110024,2025,1107,1,4
107110024,2025,3028,1,4
107110024,2025,1298,1,4
107110024,2025,5822,1,4
107110024,2025,4822,1,4
107110024,2025,1218,1,4
107110024,2025,3332,1,4
107110024,2025,1541,1,4
107110024,2025,1410,1,4
107110024,2025,1232,1,4
107110024,2025,3548,1,4
107110024,2025,1412,1,2
107110024,2025,4101,1,4
107110024,2025,1413,3,4
107110024,2025,822,1,4
107110024,2025,2982,1,4
107110024,2025,11059,1,5
107110024,2025,4871,1,5
107110024,2025,10,1,8
107110024,2025,3867,1,5
107110024,2025,8770,1,3
107110024,2025,4823,1,3
107110024,2025,1830,1,4
107110024,2025,1183,1,4
107110024,2025,1893,2,4
107110024,2025,1321,1,4
107110024,2025,1434,2,4
107110024,2025,8467,1,4
107110024,2025,601,1,4
107110024,2025,975,2,4
107110024,2025,3412,1,4
107110024,2025,8273,1,4
107110024,2025,1438,1,2
107110024,2025,3323,1,4
107110024,2025,3671,1,4
107110024,2025,3225,1,4
107110024,2025,3672,1,2
107110024,2025,153,1,4
107110024,2025,1117,2,4
107110024,2025,1309,1,4
107110024,2025,6770,1,4
107110024,2025,139,1,4
107110033,2025,8824,1,4
107110033,2025,8871,1,4
107110033,2025,1318,1,4
107110033,2025,1298,1,4
107110033,2025,10726,1,4
107110033,2025,1942,1,0
107110033,2025,5868,1,4
107110033,2025,3131,1,4
107110033,2025,2912,1,4
107110033,2025,8882,1,4
107110033,2025,627,1,4
107110033,2025,3016,1,4
107110033,2025,4352,1,5
107110033,2025,1031,1,5
107110033,2025,826,1,5
107110033,2025,1499,1,5
107110033,2025,1448,1,5
107110033,2025,3776,1,4
107110033,2025,10628,1,4
107110033,2025,8809,1,4
107110033,2025,3395,1,4
107110033,2025,6777,1,4
107110033,2025,3071,1,4
107110033,2025,6736,1,4
107110033,2025,10,3,8
107110033,2025,1693,1,4
107110033,2025,3026,1,4
107110033,2025,4864,1,4
107110033,2025,6887,1,4
107110033,2025,4664,1,4
107110042,2025,6917,1,4
107110042,2025,5155,1,4
107110042,2025,11711,1,0
107110042,2025,1290,1,4
107110042,2025,3182,1,4
107110042,2025,3962,1,4
107110042,2025,1298,1,4
107110042,2025,8981,1,4
107110042,2025,856,1,4
107110042,2025,3332,3,4
107110042,2025,6809,1,4
107110042,2025,2912,1,4
107110042,2025,1232,1,4
107110042,2025,1946,1,4
107110042,2025,2248,1,4
107110042,2025,4799,1,5
107110042,2025,11921,1,1
107110042,2025,4611,1,4
107110042,2025,3084,1,4
107110042,2025,10,4,8
107110042,2025,6737,1,4
107110042,2025,6770,2,4
107110042,2025,3407,1,4
107110042,2025,3026,1,4
107110042,2025,4082,1,4
107110042,2025,2646,1,4
107110051,2025,3207,1,4
107110051,2025,1701,2,2
107110051,2025,8966,1,4
107110051,2025,3264,1,4
107110051,2025,3387,1,4
107110051,2025,7075,1,4
107110051,2025,1252,1,4
107110051,2025,1366,1,4
107110051,2025,1627,1,4
107110051,2025,1298,1,4
107110051,2025,3166,2,4
107110051,2025,1218,3,4
107110051,2025,3332,1,4
107110051,2025,3052,1,4
107110051,2025,1410,1,4
107110051,2025,4887,1,0
107110051,2025,3548,2,4
107110051,2025,1542,1,4
107110051,2025,851,1,8
107110051,2025,819,1,4
107110051,2025,954,1,4
107110051,2025,1285,1,4
107110051,2025,3034,1,4
107110051,2025,3016,3,4
107110051,2025,8545,1,4
107110051,2025,3648,1,3
107110051,2025,12371,1,1
107110051,2025,2108,1,5
107110051,2025,4952,1,5
107110051,2025,4407,1,5
107110051,2025,1089,1,2
107110051,2025,1893,1,4
107110051,2025,975,4,4
107110051,2025,1321,1,4
107110051,2025,1634,1,4
107110051,2025,1698,1,2
107110051,2025,463,1,4
107110051,2025,4029,1,4
107110051,2025,6575,2,4
107110051,2025,3412,1,4
107110051,2025,1093,1,4
107110051,2025,1439,1,2
107110051,2025,1339,1,4
107110051,2025,1550,1,4
107110051,2025,3395,1,4
107110051,2025,153,1,4
107110051,2025,4024,1,4
107110051,2025,1314,1,4
107110051,2025,1026,1,4
107110051,2025,1343,1,4
107110051,2025,1638,1,4
107110051,2025,3407,1,4
107110051,2025,3355,1,2
107110069,2025,3736,1,4
107110069,2025,1298,1,4
107110069,2025,5822,1,4
107110069,2025,10726,1,4
107110069,2025,4996,1,4
107110069,2025,856,2,4
107110069,2025,5908,1,4
107110069,2025,2766,1,4
107110069,2025,8872,1,4
107110069,2025,7132,2,4
107110069,2025,3012,1,4
107110069,2025,7226,1,5
107110069,2025,1558,1,4
107110069,2025,2681,1,4
107110069,2025,1239,1,4
107110069,2025,1013,1,4
107110069,2025,8943,1,4
107110069,2025,1614,1,4
107110069,2025,1337,1,4
107110069,2025,11276,1,4
107110069,2025,1242,1,4
107110069,2025,10,5,8
107110069,2025,1657,1,4
107110069,2025,7134,1,4
107110069,2025,9820,1,4
107110069,2025,1400,1,4
107110069,2025,4664,1,4
107110069,2025,10262,1,4
107110069,2025,3182,1,4
107110069,2025,3011,1,4
107110069,2025,8839,1,4
107110078,2025,5417,1,4
107110078,2025,1601,1,4
107110078,2025,1713,1,4
107110078,2025,5798,1,4
107110078,2025,194,1,4
107110078,2025,8972,1,4
107110078,2025,3131,1,4
107110078,2025,1410,1,4
107110078,2025,5235,1,4
107110078,2025,5994,1,4
107110078,2025,6809,1,4
107110078,2025,3065,1,4
107110078,2025,10021,1,5
107110078,2025,11702,1,1
107110078,2025,12507,1,5
107110078,2025,8834,1,4
107110078,2025,1281,1,4
107110078,2025,1698,1,2
107110078,2025,1324,1,4
107110078,2025,11442,1,4
107110078,2025,11230,1,4
107110078,2025,301,1,8
107110078,2025,1339,1,4
107110078,2025,5191,1,4
107110078,2025,10,2,8
107110078,2025,4287,1,4
107110078,2025,2497,1,4
107110078,2025,6770,2,4
107110078,2025,1363,1,4
107110078,2025,4664,1,4
107110087,2025,1212,2,4
107110087,2025,3171,1,4
107110087,2025,5793,1,4
107110087,2025,3049,1,4
107110087,2025,5831,1,0
107110087,2025,8915,1,4
107110087,2025,9037,1,4
107110087,2025,1299,1,4
107110087,2025,3367,1,4
107110087,2025,11702,1,1
107110087,2025,6809,3,4
107110087,2025,6395,1,4
107110087,2025,4672,1,4
107110087,2025,3412,1,4
107110087,2025,2776,1,4
107110087,2025,1657,2,4
107110087,2025,6737,1,4
107110087,2025,6775,1,4
107110087,2025,9583,1,4
107110087,2025,4864,1,4
107110087,2025,951,1,4
107110087,2025,4664,1,4
107110087,2025,781,1,4
107110096,2025,3834,1,4
107110096,2025,1629,1,4
107110096,2025,9037,2,4
107110096,2025,3400,1,4
107110096,2025,2931,1,4
107110096,2025,1850,1,4
107110096,2025,4280,1,4
107110096,2025,8861,1,4
107110096,2025,4672,1,4
107110096,2025,1449,1,4
107110096,2025,10,5,8
107110096,2025,323,1,4
107110096,2025,3795,1,4
107110096,2025,6770,3,4
107110096,2025,2324,1,4
107110096,2025,12366,1,4
107110096,2025,1298,2,4
107110096,2025,4667,1,4
107110096,2025,856,1,4
107110103,2025,3208,1,4
107110103,2025,3264,1,4
107110103,2025,12508,1,0
107110103,2025,3008,1,4
107110103,2025,6979,1,4
107110103,2025,1230,1,4
107110103,2025,1106,1,4
107110103,2025,10577,1,4
107110103,2025,1348,1,4
107110103,2025,1298,1,4
107110103,2025,3096,1,4
107110103,2025,8981,1,4
107110103,2025,856,1,4
107110103,2025,3332,1,4
107110103,2025,11079,1,4
107110103,2025,1630,1,4
107110103,2025,2912,1,4
107110103,2025,1300,1,4
107110103,2025,3311,1,4
107110103,2025,1136,1,4
107110103,2025,1538,1,4
107110103,2025,10,1,8
107110103,2025,10718,1,5
107110103,2025,4941,1,5
107110103,2025,11083,1,5
107110103,2025,10063,1,5
107110103,2025,11702,1,1
107110103,2025,8039,1,5
107110103,2025,5590,1,5
107110103,2025,7241,1,5
107110103,2025,10022,1,5
107110103,2025,4824,1,5
107110103,2025,1550,1,4
107110103,2025,1558,1,4
107110103,2025,3038,1,4
107110103,2025,3100,1,4
107110103,2025,4393,1,4
107110103,2025,656,1,4
107110103,2025,1617,1,4
107110103,2025,5450,1,4
107110103,2025,153,1,4
107110103,2025,1309,1,4
107110103,2025,3207,1,4
107110103,2025,860,1,4
107110103,2025,1595,1,4
107110103,2025,4864,4,4
107110121,2025,4664,2,4
107110121,2025,12509,1,4
107110121,2025,4358,1,0
107110121,2025,2994,1,4
107110121,2025,4068,1,4
107110121,2025,7019,1,4
107110121,2025,3087,1,4
107110121,2025,5798,1,4
107110121,2025,3332,1,4
107110121,2025,3131,1,4
107110121,2025,10,2,8
107110121,2025,4399,1,4
107110121,2025,4002,1,0
107110121,2025,5974,1,4
107110121,2025,3159,1,2
107110121,2025,12510,1,4
107110121,2025,822,1,4
107110121,2025,2248,1,4
107110121,2025,12371,1,1
107110121,2025,711,1,5
107110121,2025,1205,1,4
107110121,2025,3299,1,4
107110121,2025,3994,1,4
107110121,2025,7319,1,4
107110121,2025,4905,1,4
107110121,2025,4930,2,4
107110121,2025,1242,1,4
107110121,2025,3414,1,2
107110121,2025,3274,1,4
107110121,2025,6770,1,4
107110121,2025,3228,1,2
107110121,2025,1518,1,4
107110121,2025,3416,1,4
107110121,2025,3030,1,4
107110148,2025,1315,1,4
107110148,2025,9465,1,4
107110148,2025,3210,1,2
107110148,2025,7019,1,4
107110148,2025,3363,1,4
107110148,2025,4245,1,4
107110148,2025,5798,1,4
107110148,2025,4070,1,4
107110148,2025,856,2,4
107110148,2025,519,1,4
107110148,2025,3166,1,4
107110148,2025,3159,1,2
107110148,2025,1946,2,4
107110148,2025,2654,1,4
107110148,2025,107,1,4
107110148,2025,2431,1,4
107110148,2025,2545,2,5
107110148,2025,10515,1,5
107110148,2025,5046,1,5
107110148,2025,3528,1,5
107110148,2025,2586,2,5
107110148,2025,889,1,4
107110148,2025,9963,1,5
107110148,2025,1558,1,4
107110148,2025,6420,1,4
107110148,2025,8862,1,4
107110148,2025,4195,1,4
107110148,2025,2827,1,4
107110148,2025,3468,1,4
107110148,2025,1143,1,4
107110148,2025,1657,1,4
107110148,2025,301,1,8
107110148,2025,10,2,8
107110148,2025,4987,1,4
107110148,2025,6770,1,4
107110148,2025,4044,1,4
107110148,2025,3803,1,4
107110157,2025,8159,1,4
107110157,2025,1985,1,4
107110157,2025,1227,1,4
107110157,2025,1842,1,4
107110157,2025,7480,1,4
107110157,2025,3008,1,4
107110157,2025,9142,1,4
107110157,2025,1942,1,0
107110157,2025,4822,1,4
107110157,2025,7130,1,4
107110157,2025,301,25,8
107110157,2025,954,1,4
107110157,2025,6018,1,4
107110157,2025,7608,1,4
107110157,2025,5244,1,4
107110157,2025,1608,3,4
107110157,2025,6482,1,4
107110157,2025,8943,3,4
107110157,2025,1614,1,4
107110157,2025,10582,1,4
107110157,2025,3004,1,4
107110157,2025,10,8,8
107110157,2025,1357,2,4
107110157,2025,1921,1,4
107110157,2025,1461,1,4
107110157,2025,3937,1,4
107110157,2025,6770,1,4
107110157,2025,3025,1,4
107110157,2025,11066,1,4
107110157,2025,1315,1,4
107110157,2025,8693,1,4
107110166,2025,1673,1,4
107110166,2025,4864,2,4
107110166,2025,10442,1,4
107110166,2025,3542,1,4
107110166,2025,5758,1,4
107110166,2025,993,1,4
107110166,2025,617,1,4
107110166,2025,1410,2,4
107110166,2025,4887,1,0
107110166,2025,3356,1,4
107110166,2025,10,2,8
107110166,2025,2586,1,5
107110166,2025,9963,2,5
107110166,2025,8134,1,5
107110166,2025,10581,1,5
107110166,2025,3483,1,5
107110166,2025,8301,1,5
107110166,2025,3315,1,5
107110166,2025,7631,1,5
107110166,2025,1558,1,4
107110166,2025,8791,1,4
107110166,2025,1904,1,4
107110166,2025,2512,1,4
107110166,2025,6770,1,4
107110166,2025,1343,1,4
107110166,2025,2990,1,0
107110166,2025,3207,1,4
107110166,2025,8966,1,4
107110175,2025,1946,1,4
107110175,2025,851,1,8
