yop_kodu,year,lise_id,yerlesen_sayisi,school_type
109510014,2025,3305,1,4
109510014,2025,11699,1,4
109510014,2025,998,1,4
109510014,2025,10529,1,4
109510014,2025,6608,1,4
109510014,2025,5386,1,5
109510014,2025,1097,1,4
109510014,2025,2343,1,4
109510014,2025,3062,1,4
109510014,2025,1285,1,4
109510014,2025,979,1,4
109510014,2025,6666,1,4
109510014,2025,8448,1,0
109510014,2025,3764,1,4
109510014,2025,4009,1,4
109510014,2025,1967,1,4
109510014,2025,3339,1,4
109510086,2025,1069,1,4
109510086,2025,4880,1,5
109510086,2025,1183,1,4
109510095,2025,1343,1,4
109510095,2025,4304,1,4
109510095,2025,3323,1,4
109510111,2025,6900,1,4
109510111,2025,3011,1,4
109510111,2025,7030,1,4
109510111,2025,2628,1,4
109510111,2025,9648,1,4
109510111,2025,3940,1,4
109510111,2025,4773,1,4
109510111,2025,4101,1,4
109510111,2025,1303,1,4
109510111,2025,8068,1,5
109510111,2025,503,1,4
109510111,2025,5311,1,5
109510111,2025,451,1,5
109510111,2025,4611,1,4
109510111,2025,1374,1,4
109510111,2025,5675,1,4
109510111,2025,8928,1,4
109510111,2025,11747,1,4
109510111,2025,8066,1,4
109510111,2025,6582,1,4
109510111,2025,3351,1,4
109510111,2025,301,1,8
109510111,2025,10,5,8
109510111,2025,979,1,4
109510111,2025,6666,1,4
109510111,2025,8996,1,4
109510111,2025,1534,1,4
109510111,2025,1361,1,4
109510138,2025,1518,1,4
109510138,2025,1227,1,4
109510138,2025,1694,1,2
109510138,2025,4141,1,4
109510138,2025,951,1,4
109510138,2025,3264,1,4
109510138,2025,1702,1,4
109510138,2025,3210,1,2
109510138,2025,1194,1,4
109510138,2025,3339,1,4
109510138,2025,3201,1,4
109510138,2025,1073,3,4
109510138,2025,835,1,4
109510138,2025,1230,1,4
109510138,2025,3965,1,4
109510138,2025,4304,1,4
109510138,2025,1445,1,4
109510138,2025,2997,1,4
109510138,2025,1413,1,4
109510138,2025,1031,1,5
109510138,2025,8677,1,3
109510138,2025,3166,1,4
109510138,2025,2266,1,5
109510138,2025,8963,1,3
109510138,2025,1321,2,4
109510138,2025,9182,1,4
109510138,2025,4029,2,4
109510138,2025,6575,1,4
109510138,2025,3412,1,4
109510138,2025,1657,1,4
109510138,2025,3351,1,4
109510138,2025,975,1,4
109510138,2025,1117,2,4
109510138,2025,318,1,4
109510138,2025,8965,1,4
109510138,2025,1638,1,4
109510138,2025,1192,1,4
109510147,2025,5224,1,4
109510147,2025,1229,1,4
109510147,2025,8353,1,4
109510147,2025,835,1,4
109510147,2025,1523,1,4
109510147,2025,1251,1,4
109510147,2025,8926,1,4
109510147,2025,9254,1,4
109510147,2025,5793,1,4
109510147,2025,1318,1,4
109510147,2025,614,1,2
109510147,2025,2795,1,4
109510147,2025,643,1,4
109510147,2025,1031,1,5
109510147,2025,11126,1,5
109510147,2025,11415,1,5
109510147,2025,6526,2,4
109510147,2025,9862,1,4
109510147,2025,7331,1,4
109510147,2025,11443,1,4
109510147,2025,9117,1,4
109510147,2025,3201,1,4
109510147,2025,6697,1,4
109510147,2025,2776,1,4
109510147,2025,1319,1,4
109510147,2025,10,2,8
109510147,2025,4841,1,4
109510147,2025,3919,1,4
109510147,2025,8996,1,4
109510147,2025,3277,1,4
109510156,2025,633,1,4
109510156,2025,3339,1,4
109510156,2025,1230,1,4
109510156,2025,1513,1,4
109510156,2025,1664,1,4
109510156,2025,2,1,4
109510156,2025,1369,1,4
109510156,2025,4507,1,4
109510156,2025,1538,1,4
109510156,2025,10301,1,7
109510156,2025,3341,1,4
109510156,2025,2971,1,3
109510156,2025,5493,1,5
109510156,2025,7261,1,5
109510156,2025,5009,1,5
109510156,2025,1205,1,4
109510156,2025,382,1,4
109510156,2025,4322,1,4
109510156,2025,8605,1,4
109510156,2025,4391,1,4
109510156,2025,9023,1,4
109510156,2025,10,2,8
109510156,2025,5293,1,4
109510156,2025,5207,1,2
109510156,2025,1097,1,4
109510156,2025,1339,1,4
109510156,2025,6725,1,0
109510156,2025,2701,1,4
109510156,2025,1024,1,2
109510156,2025,1659,1,4
109510156,2025,3397,1,4
109510156,2025,2977,1,4
109510156,2025,988,1,4
109510165,2025,5452,1,0
109510165,2025,9253,1,4
109510165,2025,9612,1,0
109510165,2025,5458,1,4
109510165,2025,350,1,0
109510165,2025,7565,1,4
109510165,2025,5971,1,4
109510165,2025,4191,1,4
109510165,2025,851,1,8
109510165,2025,9218,1,4
109510165,2025,10,13,8
109510165,2025,6036,1,4
109510165,2025,12562,1,1
109510165,2025,11556,1,5
109510165,2025,3081,1,4
109510165,2025,5654,1,4
109510165,2025,1097,1,4
109510165,2025,6744,1,4
109510165,2025,929,1,4
109510165,2025,6666,1,4
109510165,2025,6737,1,4
109510165,2025,8996,1,4
109510165,2025,6815,1,4
109510165,2025,6915,1,4
109510165,2025,12262,1,4
109510174,2025,7006,1,4
109510174,2025,8838,1,4
109510174,2025,1561,1,4
109510174,2025,1229,1,4
109510174,2025,3088,1,4
109510174,2025,12302,1,4
109510174,2025,5458,1,4
109510174,2025,5232,1,4
109510174,2025,3885,1,4
109510174,2025,1445,1,4
109510174,2025,3201,1,4
109510174,2025,1393,1,5
109510174,2025,12563,1,1
109510174,2025,1306,1,5
109510174,2025,946,1,5
109510174,2025,5370,1,4
109510174,2025,6469,1,4
109510174,2025,1530,1,4
109510174,2025,11722,1,4
109510174,2025,8944,1,4
109510174,2025,4694,1,4
109510174,2025,10,4,8
109510174,2025,2497,1,4
109510174,2025,8996,2,4
109510174,2025,7856,1,4
109510174,2025,4802,1,4
109510174,2025,4663,1,4
109510174,2025,10011,1,4
109510192,2025,2991,1,4
109510192,2025,7477,1,4
109510192,2025,1644,1,4
109510192,2025,5772,1,4
109510192,2025,5458,1,4
109510192,2025,1494,1,4
109510192,2025,3332,1,4
109510192,2025,4635,1,4
109510192,2025,5973,1,4
109510192,2025,10046,1,4
109510192,2025,2070,1,4
109510192,2025,851,1,8
109510192,2025,9051,1,4
109510192,2025,10414,1,4
109510192,2025,4466,1,4
109510192,2025,6591,1,4
109510192,2025,8863,1,4
109510192,2025,6697,1,4
109510192,2025,9820,1,4
109510192,2025,3285,1,4
109510192,2025,3118,1,4
109510192,2025,10,4,8
109510192,2025,7549,1,4
109510192,2025,979,2,4
109510192,2025,279,1,4
109510192,2025,6737,1,4
109510192,2025,4275,1,4
109510192,2025,3336,1,4
109510208,2025,3286,1,4
