yop_kodu,year,lise_id,yerlesen_sayisi,school_type
107010016,2025,1148,1,4
107010016,2025,2576,1,4
107010016,2025,2065,1,4
107010016,2025,1520,1,4
107010016,2025,2067,1,4
107010016,2025,2553,1,4
107010016,2025,1790,1,4
107010016,2025,4842,1,4
107010016,2025,3961,1,4
107010016,2025,1443,1,0
107010016,2025,315,1,2
107010016,2025,905,1,4
107010016,2025,4609,1,4
107010016,2025,3840,1,4
107010016,2025,641,1,4
107010016,2025,2969,1,4
107010016,2025,2582,1,4
107010016,2025,2009,1,4
107010016,2025,2171,1,4
107010016,2025,2027,1,12
107010016,2025,6067,1,4
107010016,2025,10,4,8
107010016,2025,5114,1,4
107010016,2025,2488,1,4
107010016,2025,366,1,5
107010016,2025,8662,1,5
107010016,2025,4746,1,5
107010016,2025,207,1,3
107010016,2025,2712,1,4
107010016,2025,1955,2,4
107010016,2025,3718,1,4
107010016,2025,2110,1,4
107010016,2025,2148,1,4
107010016,2025,2800,2,4
107010016,2025,2089,1,4
107010016,2025,656,1,4
107010016,2025,2752,1,4
107010016,2025,4487,1,4
107010016,2025,4488,1,4
107010016,2025,2784,1,4
107010016,2025,2755,1,4
107010016,2025,2756,1,4
107010016,2025,1810,1,4
107010016,2025,3758,1,0
107010016,2025,2114,1,4
107010016,2025,1090,1,4
107010016,2025,235,1,4
107010043,2025,4015,1,4
107010043,2025,2794,1,4
107010052,2025,1814,1,4
107010052,2025,9606,1,4
107010052,2025,4567,1,4
107010052,2025,5899,1,4
107010052,2025,1135,1,4
107010052,2025,1948,1,4
107010052,2025,1169,1,5
107010052,2025,7330,1,4
107010052,2025,2800,1,4
107010052,2025,305,1,4
107010052,2025,301,1,8
107010052,2025,1020,1,4
107010052,2025,10,3,8
107010052,2025,3942,1,4
107010052,2025,1929,1,6
107010052,2025,2946,1,4
107010052,2025,5155,1,4
107010052,2025,2804,1,4
107010052,2025,2785,1,4
107010061,2025,10,1,8
107010061,2025,4181,1,2
107010061,2025,1527,1,4
107010061,2025,1415,1,4
107010061,2025,10098,1,3
107010061,2025,6336,1,5
107010061,2025,1773,1,4
107010079,2025,10,1,8
107010079,2025,1160,1,4
107010079,2025,1229,1,4
107010079,2025,640,1,0
107010079,2025,4260,1,4
107010079,2025,2232,1,4
107010079,2025,4355,1,5
107010097,2025,1845,1,4
107010097,2025,1133,1,4
107010097,2025,9642,1,4
107010097,2025,4015,1,4
107010097,2025,2794,1,4
107010097,2025,4048,1,4
107010097,2025,2930,1,4
107010097,2025,2171,1,4
107010097,2025,814,1,4
107010097,2025,1415,1,4
107010097,2025,301,1,8
107010097,2025,4712,1,5
107010097,2025,1082,1,5
107010097,2025,9071,1,5
107010097,2025,2176,1,5
107010097,2025,1138,1,5
107010097,2025,207,1,3
107010097,2025,2712,1,4
107010097,2025,3569,1,4
107010097,2025,30,1,2
107010097,2025,3250,1,4
107010097,2025,10,4,8
107010097,2025,1246,1,4
107010097,2025,320,1,2
107010097,2025,4395,1,4
107010097,2025,1663,1,4
107010097,2025,4521,1,4
107010097,2025,2540,1,4
107010113,2025,2151,1,4
107010113,2025,3213,2,2
107010113,2025,2763,1,4
107010113,2025,57,1,4
107010113,2025,2706,1,4
107010113,2025,2224,2,4
107010113,2025,869,1,4
107010113,2025,2310,1,4
107010113,2025,2794,2,4
107010113,2025,120,1,4
107010113,2025,10,6,8
107010113,2025,1543,1,4
107010113,2025,1135,1,4
107010113,2025,6,1,4
107010113,2025,6068,1,4
107010113,2025,3439,1,5
107010113,2025,7233,1,5
107010113,2025,3881,1,4
107010113,2025,2825,1,4
107010113,2025,1773,1,4
107010113,2025,1092,1,4
107010113,2025,3942,1,4
107010113,2025,2800,1,4
107010113,2025,2342,1,4
107010113,2025,2187,1,4
107010113,2025,2783,1,4
107010113,2025,2345,1,4
107010113,2025,2346,2,4
107010113,2025,4395,1,4
107010113,2025,2804,1,4
107010113,2025,4253,1,4
107010113,2025,7660,1,4
107010131,2025,2310,1,4
