yop_kodu,year,lise_id,yerlesen_sayisi,school_type
108010013,2025,894,1,4
108010013,2025,2439,1,4
108010013,2025,3005,1,4
108010013,2025,1161,2,4
108010013,2025,7455,1,4
108010013,2025,4388,1,4
108010013,2025,1228,1,4
108010013,2025,864,1,4
108010013,2025,7528,1,4
108010013,2025,5698,1,4
108010013,2025,627,1,4
108010013,2025,10579,1,4
108010013,2025,3292,1,4
108010013,2025,11263,1,4
108010013,2025,12417,1,4
108010013,2025,11007,1,4
108010013,2025,3464,1,4
108010013,2025,166,1,4
108010013,2025,3939,1,4
108010013,2025,8917,1,4
108010013,2025,4668,1,4
108010013,2025,5084,1,4
108010013,2025,2970,1,4
108010013,2025,1258,1,0
108010013,2025,2655,1,5
108010013,2025,4352,1,5
108010013,2025,10858,1,5
108010013,2025,7190,1,5
108010013,2025,6205,1,5
108010013,2025,8154,1,5
108010013,2025,9850,2,5
108010013,2025,8227,1,5
108010013,2025,889,1,4
108010013,2025,461,1,4
108010013,2025,1173,1,4
108010013,2025,5676,1,4
108010013,2025,3830,1,4
108010013,2025,1616,1,4
108010013,2025,5360,1,4
108010013,2025,9440,1,4
108010013,2025,12596,1,4
108010013,2025,34,2,4
108010013,2025,4444,1,4
108010013,2025,10993,1,4
108010013,2025,2143,1,4
108010013,2025,10,11,8
108010013,2025,1246,1,4
108010013,2025,10888,1,4
108010013,2025,377,1,0
108010022,2025,860,1,4
108010022,2025,2646,1,4
108010022,2025,3264,1,4
108010022,2025,4388,1,4
108010022,2025,8710,1,4
108010022,2025,12597,1,4
108010022,2025,3126,1,4
108010022,2025,1795,1,4
108010022,2025,196,1,4
108010022,2025,4201,1,4
108010022,2025,868,1,4
108010022,2025,61,1,2
108010022,2025,4050,2,0
108010022,2025,66,1,5
108010022,2025,67,2,3
108010022,2025,4373,1,5
108010022,2025,10858,1,5
108010022,2025,4844,1,5
108010022,2025,5286,1,3
108010022,2025,944,1,5
108010022,2025,9850,2,5
108010022,2025,627,1,4
108010022,2025,8227,2,5
108010022,2025,20,2,3
108010022,2025,25,1,4
108010022,2025,879,1,4
108010022,2025,1140,1,4
108010022,2025,928,1,4
108010022,2025,4648,1,4
108010022,2025,884,1,4
108010022,2025,2089,1,4
108010022,2025,305,1,4
108010022,2025,10,7,8
108010022,2025,11792,1,4
108010022,2025,7385,1,4
108010022,2025,1657,1,4
108010022,2025,78,1,4
108010022,2025,2114,1,4
108010022,2025,8837,1,4
108010022,2025,894,1,4
108010022,2025,1271,1,4
108010031,2025,4220,1,2
108010031,2025,3030,1,4
108010031,2025,2068,1,4
108010031,2025,1105,1,0
108010031,2025,7009,1,4
108010031,2025,7020,1,4
108010031,2025,1643,1,4
108010031,2025,222,1,4
108010031,2025,5388,1,4
108010031,2025,596,1,4
108010031,2025,627,1,4
108010031,2025,2763,1,4
108010031,2025,58,1,4
108010031,2025,2261,1,4
108010031,2025,1994,1,4
108010031,2025,1795,1,4
108010031,2025,2886,1,4
108010031,2025,5284,1,4
108010031,2025,3389,2,4
108010031,2025,1736,1,0
108010031,2025,4507,1,4
108010031,2025,10,3,8
108010031,2025,2430,1,0
108010031,2025,3725,1,4
108010031,2025,5586,1,4
108010031,2025,6056,1,4
108010031,2025,3967,1,0
108010031,2025,1047,1,4
108010031,2025,262,1,5
108010031,2025,3790,1,5
108010031,2025,7637,1,5
108010031,2025,6331,1,5
108010031,2025,5414,1,4
108010031,2025,5008,1,5
108010031,2025,1634,1,4
108010031,2025,211,1,4
108010031,2025,1383,1,4
108010031,2025,2860,1,4
108010031,2025,6578,1,4
108010031,2025,3720,1,4
108010031,2025,4490,1,4
108010031,2025,1977,1,4
108010031,2025,34,1,4
108010031,2025,4603,1,4
108010031,2025,1358,1,4
108010031,2025,4337,1,0
108010031,2025,9701,1,4
108010031,2025,3594,1,4
108010031,2025,1595,1,4
108010058,2025,317,1,4
108010058,2025,5785,1,4
108010058,2025,1268,1,4
108010058,2025,32,2,4
108010058,2025,37,1,4
108010058,2025,4820,2,4
108010058,2025,1623,1,4
108010058,2025,293,1,4
108010058,2025,982,1,4
108010058,2025,2409,1,4
108010058,2025,251,1,4
108010058,2025,90,1,4
108010058,2025,1068,1,4
108010058,2025,221,1,4
108010058,2025,188,2,2
108010058,2025,2646,1,4
108010058,2025,1701,1,2
108010058,2025,243,1,4
108010058,2025,44,2,2
108010058,2025,1105,1,0
108010058,2025,2733,1,4
108010058,2025,907,1,4
108010058,2025,247,2,4
108010058,2025,48,1,2
108010058,2025,1040,1,4
108010058,2025,863,1,4
108010058,2025,52,1,4
108010058,2025,835,1,4
108010058,2025,850,1,4
108010058,2025,1043,1,4
108010058,2025,54,1,4
108010058,2025,1328,1,4
108010058,2025,3166,1,4
108010058,2025,901,1,4
108010058,2025,156,2,4
108010058,2025,3,1,2
108010058,2025,114,1,4
108010058,2025,1079,1,2
108010058,2025,196,1,4
108010058,2025,59,1,4
108010058,2025,4,1,4
108010058,2025,166,2,4
108010058,2025,120,2,4
108010058,2025,889,2,4
108010058,2025,158,1,0
108010058,2025,299,2,4
108010058,2025,224,1,2
108010058,2025,3367,1,4
108010058,2025,1219,1,4
108010058,2025,1202,1,4
108010058,2025,7924,1,4
108010058,2025,2351,1,4
108010058,2025,121,1,2
108010058,2025,2564,1,4
108010058,2025,1541,1,4
108010058,2025,6,1,4
108010058,2025,144,4,4
108010058,2025,8,1,4
108010058,2025,9174,1,4
108010058,2025,4712,1,5
108010058,2025,2899,1,3
108010058,2025,941,1,5
108010058,2025,321,1,5
108010058,2025,16,1,3
108010058,2025,4776,1,2
108010058,2025,10,12,8
108010058,2025,670,1,4
108010058,2025,4800,1,4
108010058,2025,25,2,4
108010058,2025,1773,1,4
108010058,2025,26,3,4
108010058,2025,1321,1,4
108010058,2025,150,3,4
108010058,2025,29,1,2
108010058,2025,932,1,2
108010058,2025,30,1,2
108010058,2025,929,1,4
108010058,2025,8089,1,4
108010058,2025,151,1,4
108010058,2025,213,1,4
108010058,2025,933,1,4
108010058,2025,3324,1,4
108010058,2025,34,1,4
108010058,2025,1100,1,4
108010058,2025,937,1,4
108010058,2025,663,1,4
108010058,2025,1191,1,4
108010067,2025,2733,1,4
108010067,2025,50,1,4
108010067,2025,1347,1,4
108010067,2025,7824,1,4
108010067,2025,952,1,4
108010067,2025,1075,1,4
108010067,2025,867,1,4
108010067,2025,2073,1,0
108010067,2025,4,1,4
108010067,2025,166,1,4
108010067,2025,10,2,8
108010067,2025,3389,1,4
108010067,2025,1446,1,4
108010067,2025,10567,1,4
108010067,2025,1001,1,1
108010067,2025,6397,1,4
108010067,2025,10431,1,4
108010067,2025,3499,1,4
108010067,2025,1689,1,4
108010067,2025,1067,1,4
108010067,2025,2140,1,4
108010067,2025,1414,1,4
108010067,2025,8341,1,4
108010067,2025,2783,1,4
108010067,2025,335,1,4
108010067,2025,1620,1,4
108010067,2025,1248,1,4
108010067,2025,3275,1,0
108010067,2025,6839,1,4
108010067,2025,11486,1,4
108010067,2025,2646,1,4
108010094,2025,3409,1,4
108010094,2025,11281,1,4
108010094,2025,1490,1,4
108010094,2025,2539,1,4
108010094,2025,310,1,4
108010094,2025,7130,1,4
108010094,2025,3941,1,4
108010094,2025,4202,1,4
108010094,2025,4421,1,4
108010094,2025,3967,2,0
108010094,2025,627,1,4
108010094,2025,7702,1,5
108010094,2025,5540,1,5
108010094,2025,12598,1,5
108010094,2025,7179,1,5
108010094,2025,3784,1,5
108010094,2025,8852,1,4
108010094,2025,8605,1,4
108010094,2025,6464,1,4
108010094,2025,211,1,4
108010094,2025,4444,1,4
108010094,2025,301,1,8
108010094,2025,4152,1,4
108010094,2025,10,2,8
108010094,2025,4043,1,4
108010094,2025,621,1,4
108010094,2025,9825,1,4
108010094,2025,4675,1,4
108010094,2025,6872,1,4
108010119,2025,1464,1,4
108010119,2025,395,1,4
108010119,2025,50,1,4
108010119,2025,52,1,4
108010119,2025,244,1,4
