yop_kodu,year,lise_id,yerlesen_sayisi,school_type
108110021,2025,3631,1,2
108110021,2025,1072,1,0
108110021,2025,1198,1,4
108110021,2025,562,1,0
108110021,2025,5457,1,4
108110021,2025,2425,1,0
108110021,2025,196,1,4
108110021,2025,352,1,2
108110021,2025,4829,1,4
108110021,2025,2980,1,0
108110021,2025,10,2,8
108110021,2025,3246,1,4
108110021,2025,2351,1,4
108110021,2025,4050,1,0
108110021,2025,2564,1,4
108110021,2025,9926,1,4
108110021,2025,4532,1,4
108110021,2025,3751,1,4
108110021,2025,8391,1,5
108110021,2025,1169,1,5
108110021,2025,942,1,5
108110021,2025,2301,1,4
108110021,2025,1264,1,4
108110021,2025,1265,1,4
108110021,2025,5390,1,4
108110021,2025,4577,1,4
108110021,2025,2955,1,4
108110021,2025,1064,1,4
108110021,2025,1511,1,4
108110021,2025,83,3,4
108110021,2025,886,2,4
108110021,2025,1124,1,4
108110021,2025,10756,1,4
108110021,2025,949,1,0
108110021,2025,2188,1,4
108110021,2025,10040,1,4
108110021,2025,888,1,4
108110021,2025,2552,1,4
108110021,2025,88,1,4
108110021,2025,982,1,4
108110021,2025,1068,1,4
108110021,2025,1404,1,2
108110021,2025,1105,1,0
108110039,2025,5574,1,4
108110039,2025,4519,1,4
108110039,2025,4596,2,4
108110039,2025,4654,1,4
108110039,2025,2041,1,4
108110039,2025,4553,1,2
108110039,2025,5401,2,4
108110039,2025,11051,1,4
108110039,2025,8858,1,4
108110039,2025,4667,1,4
108110039,2025,5326,1,4
108110039,2025,9478,1,4
108110039,2025,3332,1,4
108110039,2025,5985,1,4
108110039,2025,3400,1,4
108110039,2025,299,1,4
108110039,2025,6282,1,5
108110039,2025,130,1,5
108110039,2025,3271,1,4
108110039,2025,9166,1,4
108110039,2025,3149,1,4
108110039,2025,3757,1,4
108110039,2025,11257,1,4
108110039,2025,4335,1,4
108110039,2025,8503,1,4
108110039,2025,2924,2,4
108110039,2025,10,4,8
108110039,2025,4441,1,4
108110039,2025,10888,1,4
108110039,2025,1248,1,4
108110039,2025,6696,1,4
108110039,2025,90,1,4
108110048,2025,3292,1,4
108110048,2025,4362,1,4
108110048,2025,8323,1,4
108110048,2025,1877,1,0
108110048,2025,641,1,4
108110048,2025,3293,1,4
108110048,2025,3547,1,4
108110048,2025,1556,1,4
108110048,2025,7608,1,4
108110048,2025,2523,1,4
108110048,2025,4484,1,4
108110048,2025,4669,1,5
108110048,2025,10863,1,5
108110048,2025,3517,1,5
108110048,2025,969,1,4
108110048,2025,3145,1,4
108110048,2025,29,1,2
108110048,2025,1118,1,4
108110048,2025,884,1,4
108110048,2025,4577,2,4
108110048,2025,970,1,4
108110048,2025,10,3,8
108110048,2025,151,1,4
108110048,2025,135,1,4
108110048,2025,4093,1,4
108110048,2025,4779,1,4
108110048,2025,4689,1,4
108110048,2025,887,1,4
108110048,2025,936,1,4
108110048,2025,2924,1,4
108110048,2025,9565,1,4
108110048,2025,245,1,4
108110048,2025,1070,1,4
108110048,2025,3386,1,4
108110048,2025,3410,1,0
108110048,2025,5401,2,4
108110048,2025,3935,1,4
108110118,2025,3816,1,4
108110118,2025,6930,1,4
108110118,2025,4595,1,4
108110118,2025,4596,1,4
108110118,2025,1132,1,4
108110118,2025,3469,1,4
108110118,2025,4473,1,4
108110118,2025,2259,1,4
108110118,2025,1329,1,4
108110118,2025,2123,1,4
108110118,2025,10,7,8
108110118,2025,3464,1,4
108110118,2025,166,1,4
108110118,2025,5638,1,4
108110118,2025,5,2,4
108110118,2025,2914,1,4
108110118,2025,6014,1,4
108110118,2025,391,1,5
108110118,2025,643,1,4
108110118,2025,4736,1,4
108110118,2025,3898,1,4
108110118,2025,1038,1,4
108110118,2025,2767,2,4
108110118,2025,871,1,7
108110118,2025,67,1,3
108110118,2025,3495,1,5
108110118,2025,10858,1,5
108110118,2025,96,1,7
108110118,2025,9850,1,5
108110118,2025,130,2,5
108110118,2025,380,1,5
108110118,2025,4412,1,4
108110118,2025,2096,1,4
108110118,2025,10907,1,4
108110118,2025,2312,1,4
108110118,2025,303,1,4
108110118,2025,2527,1,4
108110118,2025,1140,1,4
108110118,2025,6502,1,4
108110118,2025,4577,1,4
108110118,2025,9421,1,5
108110118,2025,4093,1,4
108110118,2025,4779,1,4
108110118,2025,6760,1,4
108110118,2025,4974,1,4
108110118,2025,239,1,4
108110118,2025,2060,1,1
108110118,2025,2924,1,4
108110118,2025,4748,1,4
108110118,2025,6770,1,4
108110118,2025,1923,1,4
108110118,2025,860,1,4
108110118,2025,4222,1,4
108110127,2025,1464,1,4
108110127,2025,4675,1,4
108110127,2025,8222,1,4
108110127,2025,2366,1,4
108110127,2025,4596,1,4
108110127,2025,50,1,4
108110127,2025,1347,1,4
108110127,2025,4821,1,4
108110127,2025,1106,1,4
108110127,2025,3505,1,4
108110127,2025,868,1,4
108110127,2025,1713,1,4
108110127,2025,1443,1,0
108110127,2025,2931,1,4
108110127,2025,4998,1,4
108110127,2025,106,1,4
108110127,2025,4680,1,2
108110127,2025,2564,1,4
108110127,2025,7938,1,5
108110127,2025,872,1,5
108110127,2025,10858,1,5
108110127,2025,889,2,4
108110127,2025,4719,1,5
108110127,2025,1651,1,5
108110127,2025,6282,2,5
108110127,2025,12255,1,5
108110127,2025,1128,1,5
108110127,2025,5460,1,5
108110127,2025,3776,1,4
108110127,2025,7295,1,4
108110127,2025,303,1,4
108110127,2025,3188,1,4
108110127,2025,10,4,8
108110127,2025,1118,1,4
108110127,2025,4577,1,4
108110127,2025,3192,1,4
108110127,2025,273,1,4
108110127,2025,1616,1,4
108110127,2025,1617,1,4
108110127,2025,2924,2,4
108110127,2025,9999,1,4
108110127,2025,929,1,4
108110127,2025,4580,1,4
108110127,2025,1184,1,4
108110127,2025,88,1,4
108110127,2025,11323,1,0
108110136,2025,4596,1,4
108110136,2025,7824,1,4
108110136,2025,7531,1,4
108110136,2025,5401,1,4
108110136,2025,10975,1,4
108110136,2025,5749,1,4
108110136,2025,952,1,4
108110136,2025,3126,1,4
108110136,2025,10980,1,4
108110136,2025,1046,1,4
108110136,2025,3086,1,4
108110136,2025,9097,1,4
108110136,2025,911,1,4
108110136,2025,4463,1,4
108110136,2025,912,1,0
108110136,2025,9487,1,4
108110136,2025,11818,1,5
108110136,2025,944,1,5
108110136,2025,670,1,4
108110136,2025,11004,1,4
108110136,2025,3422,1,4
108110136,2025,10,10,8
108110136,2025,1264,1,4
108110136,2025,8692,1,4
108110136,2025,4093,1,4
108110136,2025,6595,1,4
108110136,2025,305,1,4
108110136,2025,3324,1,4
108110136,2025,11013,1,4
108110136,2025,936,1,4
108110136,2025,663,1,4
108110136,2025,6829,1,4
108110136,2025,1362,1,4
108110136,2025,6860,1,4
108110136,2025,7455,2,4
108110136,2025,1451,1,4
108110136,2025,1070,1,4
108110145,2025,44,1,2
108110145,2025,5401,2,4
108110145,2025,905,2,4
108110145,2025,1733,1,4
108110145,2025,2880,1,4
108110145,2025,2224,1,4
108110145,2025,4,2,4
108110145,2025,4398,1,4
108110145,2025,2794,1,4
108110145,2025,200,1,4
108110145,2025,8615,1,4
108110145,2025,10210,1,4
108110145,2025,2523,1,4
108110145,2025,202,1,2
108110145,2025,4646,1,4
108110145,2025,6068,1,4
108110145,2025,1767,1,4
108110145,2025,8,1,4
108110145,2025,2306,1,4
108110145,2025,261,1,5
108110145,2025,4719,1,5
108110145,2025,5326,1,4
108110145,2025,1083,1,3
108110145,2025,12,1,3
108110145,2025,72,1,5
108110145,2025,2307,1,5
108110145,2025,3591,1,5
108110145,2025,1507,1,4
108110145,2025,2712,1,4
108110145,2025,7295,1,4
108110145,2025,1833,1,4
108110145,2025,2088,1,4
108110145,2025,10,6,8
