yop_kodu,year,lise_id,yerlesen_sayisi,school_type
204610248,2025,12364,1,5
204610248,2025,10,2,8
204610248,2025,5,1,4
204610248,2025,123,1,3
204610248,2025,146,1,5
204610248,2025,321,1,5
204610248,2025,172,1,5
204610248,2025,5529,1,5
204610248,2025,18,1,5
204610257,2025,10,1,8
204610257,2025,88,1,4
204610257,2025,229,1,5
204610257,2025,72,1,5
204610257,2025,10302,1,5
204610257,2025,81,1,4
204610257,2025,11267,1,4
204610257,2025,292,1,4
204610266,2025,66,1,5
204610266,2025,123,2,3
204610266,2025,145,1,5
204610266,2025,11,1,3
204610266,2025,13,1,5
204610266,2025,72,1,5
204610266,2025,11302,1,5
204610266,2025,174,1,5
204610266,2025,17,1,3
204610266,2025,1171,1,5
204610266,2025,10,3,8
204610266,2025,18,2,5
204610266,2025,3658,1,3
204610266,2025,2933,1,5
204610266,2025,3693,1,3
204610266,2025,510,1,4
204610266,2025,100,1,1
204610266,2025,2924,1,4
204610266,2025,293,1,4
204610266,2025,50,1,4
204610266,2025,156,1,4
204610266,2025,3,1,2
204610266,2025,5,4,4
204610266,2025,144,1,4
204610266,2025,11407,1,3
204610275,2025,10,1,8
204610275,2025,4071,1,4
204610275,2025,4,2,4
204610275,2025,5,1,4
204610275,2025,999,1,2
204610275,2025,226,1,2
204610275,2025,321,1,5
204610275,2025,72,1,5
204610293,2025,7944,1,7
204610293,2025,123,1,3
204610293,2025,72,1,5
204610293,2025,14,1,3
204610293,2025,81,1,4
204610293,2025,151,2,4
204610293,2025,213,1,4
204610293,2025,292,1,4
204610293,2025,277,1,4
204610293,2025,10,1,8
204610293,2025,188,1,2
204610293,2025,47,1,4
204610293,2025,4893,1,4
204610293,2025,59,1,4
204610293,2025,4,2,4
204610293,2025,166,1,4
204610293,2025,5,2,4
204610309,2025,10,1,8
204610309,2025,3931,1,4
204610309,2025,145,1,5
204610309,2025,174,1,5
204610309,2025,288,1,5
204610318,2025,10,1,8
204610318,2025,317,1,4
204610318,2025,62,1,4
204610318,2025,144,1,4
204610318,2025,66,1,5
204610318,2025,11,1,3
204610318,2025,13,1,5
204610318,2025,97,1,3
204610327,2025,106,1,4
204610327,2025,62,1,4
204610327,2025,4736,1,4
204610327,2025,7179,1,5
204610327,2025,262,1,5
204610327,2025,2636,1,5
204610327,2025,13,2,5
204610327,2025,14,1,3
204610327,2025,10093,1,5
204610327,2025,96,1,7
204610327,2025,10,6,8
204610327,2025,4508,2,5
204610327,2025,174,1,5
204610327,2025,288,1,5
204610327,2025,20,1,3
204610327,2025,4354,1,5
204610327,2025,26,1,4
204610327,2025,150,1,4
204610327,2025,151,2,4
204610327,2025,292,1,4
204610327,2025,34,1,4
204610327,2025,37,1,4
204610327,2025,104,1,4
204610327,2025,4,1,4
204610327,2025,166,1,4
204610327,2025,1029,1,4
204610327,2025,4668,1,4
204610327,2025,5,2,4
204610336,2025,9356,1,4
204610336,2025,66,2,5
204610336,2025,7944,1,7
204610336,2025,7976,1,5
204610336,2025,145,1,5
204610336,2025,146,1,5
204610336,2025,11,1,3
204610336,2025,229,1,5
204610336,2025,13,3,5
204610336,2025,321,2,5
204610336,2025,10,1,8
204610336,2025,72,3,5
204610336,2025,96,2,7
204610336,2025,172,1,5
204610336,2025,174,3,5
204610336,2025,75,1,5
204610336,2025,18,1,5
204610336,2025,130,1,5
204610336,2025,207,1,3
204610336,2025,9891,1,5
204610336,2025,4648,1,4
204610336,2025,306,2,5
204610336,2025,11267,1,4
204610336,2025,5360,1,4
204610336,2025,37,1,4
204610336,2025,141,1,4
204610336,2025,52,1,4
204610336,2025,54,1,4
204610336,2025,4668,1,4
204610336,2025,5,1,4
204610345,2025,59,1,4
204610345,2025,13,1,5
204610345,2025,5105,1,4
204610345,2025,10,2,8
204610345,2025,1191,1,4
204610345,2025,32,1,4
204610345,2025,37,1,4
204610345,2025,243,1,4
204610345,2025,0,1,4
204610345,2025,9167,1,4
204610345,2025,114,1,4
204610354,2025,6,1,4
204610354,2025,10232,1,5
204610354,2025,7976,4,5
204610354,2025,262,1,5
204610354,2025,11,1,3
204610354,2025,18,1,5
204610354,2025,19,1,5
204610354,2025,150,1,4
204610354,2025,10,2,8
204610354,2025,90,1,4
204610354,2025,9252,1,4
204610354,2025,2120,1,4
204610354,2025,7077,1,4
204610354,2025,156,1,4
204610354,2025,4,1,4
204610354,2025,5,1,4
204610372,2025,72,1,5
204610372,2025,172,1,5
204610372,2025,174,1,5
204610372,2025,4648,1,4
204610372,2025,238,1,4
204610372,2025,10572,1,4
204610372,2025,100,1,1
204610372,2025,10,2,8
204610372,2025,4,1,4
204610372,2025,5,2,4
204610372,2025,4736,1,4
204610372,2025,7976,1,5
204610372,2025,11,1,3
204610372,2025,8575,1,5
204610372,2025,13,1,5
204610381,2025,10,2,8
