yop_kodu,year,lise_id,yerlesen_sayisi,school_type
108310028,2025,5427,1,4
108310028,2025,4864,1,4
108310028,2025,1123,1,0
108310028,2025,4358,1,0
108310028,2025,834,1,4
108310028,2025,1757,1,4
108310028,2025,3511,1,2
108310028,2025,3678,1,2
108310028,2025,3237,3,4
108310028,2025,1814,1,4
108310028,2025,986,1,4
108310028,2025,3960,1,0
108310028,2025,2,2,4
108310028,2025,3265,1,4
108310028,2025,2072,1,4
108310028,2025,2793,1,4
108310028,2025,1766,1,6
108310028,2025,5114,1,4
108310028,2025,1150,2,4
108310028,2025,2961,1,0
108310028,2025,4110,1,4
108310028,2025,10,8,8
108310028,2025,9943,1,5
108310028,2025,8778,1,3
108310028,2025,4959,1,5
108310028,2025,3165,1,3
108310028,2025,10490,1,5
108310028,2025,934,1,4
108310028,2025,3851,1,4
108310028,2025,5305,1,2
108310028,2025,6744,1,4
108310028,2025,5270,1,2
108310028,2025,8959,1,4
108310028,2025,1723,1,4
108310028,2025,6791,1,4
108310028,2025,5203,1,4
108310028,2025,7821,1,4
108310037,2025,6780,1,4
108310037,2025,2515,1,4
108310037,2025,395,1,4
108310037,2025,5025,1,4
108310037,2025,3237,1,4
108310037,2025,1872,1,4
108310037,2025,2909,1,4
108310037,2025,8323,1,4
108310037,2025,3294,1,4
108310037,2025,8806,1,4
108310037,2025,10,3,8
108310037,2025,6069,1,4
108310037,2025,5162,1,5
108310037,2025,1055,1,5
108310037,2025,9130,1,5
108310037,2025,4284,1,5
108310037,2025,459,1,4
108310037,2025,1223,1,4
108310037,2025,134,1,4
108310037,2025,12501,1,4
108310037,2025,3983,1,4
108310037,2025,4986,1,4
108310037,2025,8979,1,4
108310037,2025,6728,1,4
108310037,2025,4768,1,4
108310037,2025,11804,1,4
108310037,2025,4605,1,4
108310037,2025,1176,1,4
108310037,2025,4300,1,4
108310037,2025,4043,1,4
108310046,2025,984,1,4
108310046,2025,395,1,4
108310046,2025,6884,1,4
108310046,2025,6921,1,4
108310046,2025,1105,1,0
108310046,2025,3408,1,4
108310046,2025,3237,1,4
108310046,2025,5184,1,4
108310046,2025,7069,1,4
108310046,2025,2261,1,4
108310046,2025,2622,1,4
108310046,2025,1970,1,4
108310046,2025,7596,1,4
108310046,2025,2106,1,4
108310046,2025,2950,1,4
108310046,2025,12441,1,4
108310046,2025,6021,1,4
108310046,2025,8194,1,1
108310046,2025,1033,1,5
108310046,2025,8943,1,4
108310046,2025,5014,1,0
108310046,2025,11114,1,4
108310046,2025,1146,1,4
108310046,2025,6728,1,4
108310046,2025,10,2,8
108310046,2025,4768,1,4
108310046,2025,1723,2,4
108310046,2025,5097,1,4
108310046,2025,220,1,4
108310046,2025,1125,1,4
108310073,2025,9224,1,4
108310073,2025,3006,1,4
108310073,2025,4166,1,4
108310073,2025,1227,1,4
108310073,2025,8218,1,4
108310073,2025,5221,1,4
108310073,2025,2554,2,4
108310073,2025,8508,1,4
108310073,2025,9062,1,4
108310073,2025,5418,1,4
108310073,2025,847,1,4
108310073,2025,1040,1,4
108310073,2025,1969,1,4
108310073,2025,4190,1,0
108310073,2025,3544,1,4
108310073,2025,5751,1,4
108310073,2025,5538,1,4
108310073,2025,8526,1,4
108310073,2025,3091,1,4
108310073,2025,7620,1,4
108310073,2025,2793,1,4
108310073,2025,10,1,8
108310073,2025,4143,1,4
108310073,2025,2106,1,4
108310073,2025,814,1,4
108310073,2025,4134,1,4
108310073,2025,689,1,4
108310073,2025,5540,1,5
108310073,2025,444,1,5
108310073,2025,4815,1,5
108310073,2025,9160,1,5
108310073,2025,6389,1,4
108310073,2025,2148,1,4
108310073,2025,9035,1,4
108310073,2025,5189,1,4
108310073,2025,11279,1,4
108310073,2025,4093,1,4
108310073,2025,4593,1,4
108310073,2025,7365,1,4
108310073,2025,5626,1,4
108310073,2025,6644,1,4
108310073,2025,3996,2,4
108310073,2025,6673,1,4
108310073,2025,1176,1,4
108310073,2025,6684,1,4
108310073,2025,8684,1,4
108310073,2025,7835,2,4
108310073,2025,5650,1,2
108310073,2025,8130,1,4
108310082,2025,1693,1,4
108310082,2025,4808,1,4
108310082,2025,395,1,4
108310082,2025,4471,1,4
108310082,2025,3237,1,4
108310082,2025,4069,1,4
108310082,2025,516,1,1
108310082,2025,4553,1,2
108310082,2025,10280,1,4
108310082,2025,4517,1,4
108310082,2025,1526,1,4
108310082,2025,4656,1,4
108310082,2025,5143,1,4
108310082,2025,5232,1,4
108310082,2025,4735,1,4
108310082,2025,4668,1,4
108310082,2025,5989,1,4
108310082,2025,2106,1,4
108310082,2025,2630,1,4
108310082,2025,3435,1,4
108310082,2025,2961,1,0
108310082,2025,10,2,8
108310082,2025,286,1,0
108310082,2025,5161,1,4
108310082,2025,11223,1,5
108310082,2025,125,1,5
108310082,2025,4089,1,5
108310082,2025,7832,1,7
108310082,2025,5370,1,4
108310082,2025,1558,1,4
108310082,2025,5328,1,4
108310082,2025,4392,1,4
108310082,2025,4768,1,4
108310082,2025,3499,1,4
108310082,2025,6728,1,4
108310082,2025,448,1,4
108310082,2025,4963,1,4
108310082,2025,7327,1,4
108310082,2025,3457,1,4
108310082,2025,2758,1,4
108310091,2025,7648,1,5
108310091,2025,1826,1,5
108310091,2025,9682,1,1
108310091,2025,746,1,5
108310091,2025,3165,1,3
108310091,2025,1457,1,4
108310091,2025,4296,1,4
108310091,2025,7346,1,12
108310091,2025,3538,1,4
108310091,2025,1750,1,0
108310091,2025,10,3,8
108310091,2025,3734,1,2
108310091,2025,6669,1,4
108310091,2025,5097,1,4
108310091,2025,2554,1,4
108310091,2025,4679,1,4
108310091,2025,9204,1,4
108310091,2025,5775,1,6
108310091,2025,5158,1,4
108310091,2025,2630,1,4
108310107,2025,2726,1,4
108310107,2025,4621,1,2
108310107,2025,1161,1,4
108310107,2025,4166,1,4
108310107,2025,9062,1,4
108310107,2025,9306,1,4
108310107,2025,3156,1,2
108310107,2025,2581,1,4
108310107,2025,5978,1,4
108310107,2025,4735,1,4
108310107,2025,10,1,8
108310107,2025,2961,1,0
108310107,2025,1949,1,5
108310107,2025,5671,1,5
108310107,2025,5553,1,3
108310107,2025,2057,1,5
108310107,2025,7699,1,5
108310107,2025,3165,1,3
108310107,2025,4284,1,5
108310107,2025,7769,1,4
108310107,2025,2085,1,0
108310107,2025,1191,1,4
108310107,2025,4323,1,4
108310107,2025,3983,1,4
108310107,2025,138,1,2
108310107,2025,4768,2,4
108310107,2025,1176,1,4
108310107,2025,1090,1,4
108310107,2025,8684,1,4
108310107,2025,1770,1,4
108310107,2025,5097,1,4
108310143,2025,3237,1,4
108310143,2025,8731,1,4
108310143,2025,312,1,4
108310143,2025,2,1,4
108310143,2025,994,1,4
108310143,2025,518,1,4
108310143,2025,2627,1,6
108310143,2025,3966,1,4
108310143,2025,1545,2,4
108310143,2025,7691,1,5
108310143,2025,4751,2,0
108310143,2025,4500,1,5
108310143,2025,205,1,5
108310143,2025,444,1,5
108310143,2025,8778,1,3
108310143,2025,4814,1,5
108310143,2025,7781,1,4
108310143,2025,3018,1,4
108310143,2025,4859,1,4
108310143,2025,3375,1,4
108310143,2025,1097,1,4
108310143,2025,10,1,8
108310143,2025,3376,1,4
108310143,2025,1723,2,4
108310143,2025,319,1,4
108310143,2025,3924,1,4
108310143,2025,984,1,4
108310143,2025,2554,1,4
108310143,2025,2348,1,4
108310152,2025,5203,1,4
108310152,2025,1693,1,4
108310152,2025,4166,1,4
108310152,2025,6878,1,4
108310152,2025,7487,1,4
108310152,2025,3892,1,4
108310152,2025,50,1,4
108310152,2025,5297,1,4
108310152,2025,2102,1,4
108310152,2025,4460,1,4
108310152,2025,2285,1,4
108310152,2025,5805,1,4
108310152,2025,3840,1,4
108310152,2025,4896,1,4
108310152,2025,3265,1,4
108310152,2025,2793,1,4
108310152,2025,4735,1,4
108310152,2025,11524,1,4
108310152,2025,4327,1,4
108310152,2025,9130,1,5
108310152,2025,3845,1,5
108310152,2025,3491,1,4
108310152,2025,7699,1,5
108310152,2025,8135,1,5
108310152,2025,10640,1,4
108310152,2025,2527,1,4
108310152,2025,461,1,4
108310152,2025,2219,1,4
108310152,2025,1172,1,4
108310152,2025,972,1,4
108310152,2025,5317,1,4
108310152,2025,5377,2,4
108310152,2025,10,2,8
108310152,2025,3996,2,4
108310152,2025,1401,1,4
108310152,2025,4768,1,4
108310152,2025,4605,1,4
108310152,2025,4043,1,4
108310152,2025,621,1,4
108310161,2025,3667,1,2
108310161,2025,187,8,2
108310161,2025,2758,1,4
108310161,2025,4324,3,2
108310161,2025,5572,1,2
108310161,2025,281,1,4
108310161,2025,4621,2,2
108310161,2025,1125,2,4
108310161,2025,2717,1,2
108310161,2025,3676,3,2
108310161,2025,5262,4,2
108310161,2025,5483,1,4
108310161,2025,1071,1,2
108310161,2025,3678,2,2
108310161,2025,4069,1,4
108310161,2025,5685,5,2
108310161,2025,7660,1,4
108310161,2025,991,7,2
108310161,2025,3156,2,2
108310161,2025,5343,2,2
108310161,2025,904,1,4
108310161,2025,10,7,8
108310161,2025,640,1,0
108310161,2025,333,1,4
108310161,2025,195,1,2
108310161,2025,3875,1,4
108310161,2025,2737,1,4
108310161,2025,2170,1,2
108310161,2025,3645,1,2
108310161,2025,202,1,2
108310161,2025,10232,1,5
108310161,2025,8316,1,2
108310161,2025,5270,1,2
108310161,2025,5114,1,4
108310161,2025,1150,1,4
108310161,2025,5263,3,2
108310161,2025,144,1,4
108310161,2025,8,1,4
108310161,2025,5686,1,2
108310161,2025,11118,1,3
108310161,2025,2739,1,3
108310161,2025,8376,1,7
108310161,2025,5381,1,3
108310161,2025,5318,1,4
108310161,2025,924,1,5
108310161,2025,4792,1,3
108310161,2025,205,1,5
108310161,2025,2851,1,5
108310161,2025,4145,1,5
108310161,2025,9027,1,3
108310161,2025,5314,1,5
108310161,2025,755,3,3
108310161,2025,4971,1,1
108310161,2025,5346,1,3
108310161,2025,5650,1,2
108310161,2025,3165,2,3
108310161,2025,4114,1,5
108310161,2025,8411,1,3
108310161,2025,4973,1,2
108310161,2025,25,1,4
108310161,2025,177,1,2
108310161,2025,132,1,4
108310161,2025,5268,2,2
108310161,2025,5597,1,4
108310161,2025,880,1,4
108310161,2025,978,3,4
108310161,2025,210,1,2
108310161,2025,3424,1,2
108310161,2025,3666,1,2
108310161,2025,881,1,2
108310161,2025,932,1,2
108310161,2025,5291,1,4
108310161,2025,1018,2,4
108310161,2025,1437,1,2
108310161,2025,1066,1,2
108310161,2025,8318,1,2
108310161,2025,4695,2,4
108310161,2025,393,1,2
108310161,2025,3851,1,4
108310161,2025,2753,1,4
108310161,2025,5168,1,2
108310161,2025,1145,1,0
108310161,2025,138,1,2
108310161,2025,520,1,0
108310179,2025,6929,1,4
108310179,2025,8989,1,4
108310179,2025,5437,1,4
108310179,2025,1641,1,4
108310179,2025,3237,1,4
108310179,2025,3362,1,4
108310179,2025,7086,1,4
108310179,2025,9444,1,4
108310179,2025,3960,1,0
108310179,2025,312,1,4
108310179,2025,10,2,8
108310179,2025,1939,1,4
108310179,2025,313,1,4
108310179,2025,1795,1,4
108310179,2025,4027,1,0
108310179,2025,2106,1,4
108310179,2025,3104,1,4
108310179,2025,7995,1,2
108310179,2025,9168,1,4
108310179,2025,5146,1,5
108310179,2025,5287,1,5
108310179,2025,12652,1,4
108310179,2025,12635,1,4
108310179,2025,7769,1,4
108310179,2025,8065,1,4
108310179,2025,5117,1,4
108310179,2025,5189,1,4
108310179,2025,5020,1,4
108310179,2025,2799,1,4
108310179,2025,4130,1,4
108310179,2025,1155,1,4
108310179,2025,7365,1,4
108310179,2025,3984,1,4
108310179,2025,2551,2,4
108310179,2025,3673,1,2
108310179,2025,4875,1,0
108310179,2025,2758,1,4
108310179,2025,3764,1,4
108310179,2025,6854,1,4
108310179,2025,246,1,4
108310188,2025,3696,1,4
108310188,2025,3676,1,2
108310188,2025,5483,1,4
108310188,2025,1663,1,4
108310188,2025,4471,2,4
108310188,2025,5685,3,2
108310188,2025,991,1,2
108310188,2025,161,1,2
108310188,2025,3486,1,2
108310188,2025,3156,1,2
108310188,2025,5262,1,2
108310188,2025,1109,1,4
108310188,2025,1078,1,2
108310188,2025,1563,1,4
108310188,2025,2206,1,4
108310188,2025,3910,1,3
108310188,2025,9086,1,5
108310188,2025,3912,1,3
108310188,2025,7987,1,5
108310188,2025,4792,1,3
108310188,2025,9921,1,3
108310188,2025,10,2,8
108310188,2025,755,1,3
108310188,2025,3165,2,3
108310188,2025,149,1,3
108310188,2025,3535,1,4
108310188,2025,5268,1,2
108310188,2025,2110,1,4
108310188,2025,2243,1,2
108310188,2025,613,1,2
108310188,2025,33,1,4
108310188,2025,5291,1,4
108310188,2025,5154,1,4
108310188,2025,1066,1,2
108310188,2025,2255,1,2
108310188,2025,8318,1,2
108310188,2025,4827,1,2
108310188,2025,393,2,2
108310188,2025,35,1,4
108310188,2025,5168,1,2
108310188,2025,4795,1,4
108310188,2025,978,1,4
108310188,2025,3708,1,4
108310188,2025,4276,1,2
108310188,2025,1125,2,4
108310204,2025,4560,1,4
108310204,2025,4166,1,4
108310204,2025,6935,1,4
108310204,2025,3485,1,4
108310204,2025,991,2,2
108310204,2025,722,1,5
108310204,2025,8174,1,4
108310213,2025,9357,1,4
108310213,2025,8401,1,3
108310213,2025,5162,1,5
108310213,2025,1651,1,5
108310213,2025,8138,1,5
108310213,2025,5107,1,4
108310213,2025,971,1,4
108310213,2025,6607,1,4
108310213,2025,10,1,8
108310213,2025,5148,1,4
108310213,2025,4469,1,4
108310213,2025,5334,1,4
108310213,2025,4314,1,4
108310213,2025,4058,1,4
108310213,2025,3840,1,4
108310213,2025,1136,1,4
108310222,2025,5141,1,4
108310222,2025,8655,1,0
108310222,2025,4027,1,0
108310222,2025,2793,1,4
108310222,2025,4735,1,4
108310222,2025,2630,1,4
108310222,2025,286,1,0
108310222,2025,8185,1,4
108310222,2025,3297,1,4
108310222,2025,5151,1,4
108310222,2025,2113,1,4
108310222,2025,4593,1,4
108310222,2025,6607,1,4
108310222,2025,2551,2,4
108310222,2025,1025,1,2
108310222,2025,3983,1,4
108310222,2025,184,1,4
108310222,2025,1314,1,4
108310222,2025,3102,1,2
108310222,2025,8198,1,2
108310222,2025,1723,1,4
108310222,2025,5218,1,4
108310222,2025,1125,1,4
108310222,2025,343,1,4
108310222,2025,9081,1,4
108310249,2025,3237,2,4
108310249,2025,3050,1,4
108310249,2025,12653,1,0
108310249,2025,5092,1,0
108310249,2025,3343,1,4
108310249,2025,5284,1,4
108310249,2025,4247,1,4
108310249,2025,6069,1,4
108310249,2025,7195,1,5
108310249,2025,11368,1,5
108310249,2025,5137,1,4
108310249,2025,458,1,4
108310249,2025,10640,1,4
108310249,2025,8607,1,4
108310249,2025,3604,1,4
108310249,2025,8987,1,4
108310249,2025,9556,1,4
108310249,2025,6636,1,4
108310249,2025,10,1,8
108310249,2025,186,1,4
108310249,2025,1723,1,4
108310249,2025,7419,1,4
108310249,2025,12654,1,0
108310249,2025,395,2,4
108310249,2025,7457,1,4
108310258,2025,2122,1,4
108310258,2025,7841,1,4
108310258,2025,10647,1,4
108310258,2025,312,1,4
108310258,2025,5889,1,4
108310258,2025,818,1,4
108310258,2025,5232,1,4
108310258,2025,2106,1,4
108310258,2025,5299,1,4
108310258,2025,4272,1,4
108310258,2025,9143,1,4
108310258,2025,5238,1,4
108310258,2025,2630,1,4
108310258,2025,4850,1,4
108310258,2025,3612,1,5
108310258,2025,8113,1,5
108310258,2025,7629,1,5
108310258,2025,3879,1,5
108310258,2025,4714,1,3
108310258,2025,9027,1,3
108310258,2025,4959,1,5
108310258,2025,10,1,8
108310258,2025,3402,1,4
108310258,2025,2139,1,4
108310258,2025,3851,1,4
108310258,2025,5317,1,4
108310258,2025,4768,1,4
108310258,2025,5711,1,4
108310258,2025,1661,1,2
108310258,2025,3975,1,4
108310258,2025,190,1,4
108310258,2025,7491,1,4
108310267,2025,5097,1,4
108310267,2025,1160,1,4
108310267,2025,7821,1,4
108310267,2025,2117,1,4
108310267,2025,3696,1,4
108310267,2025,2554,1,4
108310267,2025,6929,1,4
108310267,2025,3045,1,0
108310267,2025,3237,1,4
108310267,2025,4255,1,4
108310267,2025,2544,1,4
108310267,2025,5141,1,4
108310267,2025,104,1,4
108310267,2025,8950,1,4
108310267,2025,1348,1,4
108310267,2025,4000,1,4
108310267,2025,9326,1,4
108310267,2025,8323,1,4
108310267,2025,7583,1,4
108310267,2025,2793,1,4
108310267,2025,5238,1,4
108310267,2025,1279,1,4
108310267,2025,1150,1,4
108310267,2025,2961,1,0
108310267,2025,5162,1,5
108310267,2025,1607,1,4
108310267,2025,3848,1,0
108310267,2025,3001,1,5
108310267,2025,5117,1,4
108310267,2025,821,1,4
108310267,2025,3705,1,4
108310267,2025,2090,1,4
108310267,2025,4788,1,4
108310267,2025,5253,1,4
108310267,2025,4443,1,4
108310267,2025,3405,1,0
108310267,2025,7686,1,4
108310267,2025,4767,1,4
108310267,2025,10,2,8
108310267,2025,3205,1,4
108310267,2025,1621,1,4
108310267,2025,5517,1,4
108310267,2025,4043,1,4
108310294,2025,4220,1,2
108310294,2025,3696,1,4
108310294,2025,2277,1,2
108310294,2025,4141,1,4
108310294,2025,1784,1,2
108310294,2025,2227,1,4
108310294,2025,109,1,4
108310294,2025,4255,1,4
108310294,2025,248,1,2
108310294,2025,2101,1,4
108310294,2025,10,5,8
108310294,2025,3156,1,2
108310294,2025,10607,1,4
108310294,2025,5298,1,4
108310294,2025,4,1,4
108310294,2025,2886,1,4
108310294,2025,535,1,2
108310294,2025,4622,1,2
108310294,2025,314,1,4
108310294,2025,822,1,4
108310294,2025,4109,1,4
108310294,2025,4795,1,4
108310294,2025,8668,1,5
108310294,2025,2380,1,5
108310294,2025,8237,1,3
108310294,2025,10097,1,3
108310294,2025,3517,1,5
108310294,2025,670,1,4
108310294,2025,1742,1,4
108310294,2025,3535,1,4
108310294,2025,1155,1,4
108310294,2025,5680,1,4
108310294,2025,5318,1,4
108310294,2025,1025,1,2
108310294,2025,1143,1,4
108310294,2025,5305,1,2
108310294,2025,1358,1,4
108310294,2025,185,1,4
108310294,2025,5650,1,2
108310294,2025,978,1,4
108310294,2025,1867,1,4
108310294,2025,5572,1,2
108310294,2025,4621,1,2
108310301,2025,3294,1,4
108310301,2025,6093,1,4
108310301,2025,1949,1,5
108310301,2025,444,1,5
108310301,2025,12655,1,1
108310301,2025,7748,1,5
108310301,2025,4959,1,5
108310301,2025,6394,1,4
108310301,2025,177,1,2
108310301,2025,9035,1,4
108310301,2025,10,1,8
108310301,2025,5106,1,4
108310301,2025,10292,1,4
108310301,2025,3836,1,4
108310301,2025,8612,1,4
108310301,2025,3763,1,4
108310301,2025,182,1,4
108310301,2025,2551,1,4
108310301,2025,4163,1,4
108310301,2025,3996,1,4
108310301,2025,1176,2,4
108310301,2025,9004,1,4
108310301,2025,4750,1,4
108310301,2025,395,2,4
108310301,2025,9092,1,4
108310301,2025,8218,1,4
108310301,2025,3237,4,4
108310328,2025,5128,1,4
108310328,2025,3609,1,0
108310328,2025,2554,1,4
108310328,2025,2348,1,4
108310328,2025,4154,1,0
108310328,2025,4190,1,0
108310328,2025,1251,1,4
108310328,2025,8946,1,4
108310328,2025,1940,1,6
108310328,2025,1077,1,4
108310328,2025,10,1,8
108310328,2025,5102,1,4
