yop_kodu,year,lise_id,yerlesen_sayisi,school_type
209110027,2025,803,1,2
209110027,2025,4796,1,4
209110027,2025,10,3,8
209110027,2025,1195,1,4
209110027,2025,956,1,2
209110027,2025,3681,1,2
209110027,2025,2887,1,6
209110027,2025,3639,1,3
209110027,2025,8044,1,5
209110027,2025,4708,1,4
209110028,2025,6137,1,5
209110028,2025,7680,1,5
209110028,2025,7775,1,5
209110028,2025,8093,1,3
209110028,2025,7953,1,3
209110028,2025,5073,1,5
209110028,2025,8385,1,5
209110028,2025,6177,1,5
209110028,2025,6194,1,5
209110028,2025,4102,1,5
209110028,2025,10,2,8
209110028,2025,1083,1,3
209110028,2025,5381,1,3
209110028,2025,942,1,5
209110028,2025,204,1,5
209110028,2025,5173,1,5
209110028,2025,3787,2,5
209110028,2025,6349,1,5
209110028,2025,5007,1,5
209110028,2025,291,1,4
209110028,2025,2572,1,4
209110028,2025,2099,1,4
209110028,2025,2959,1,2
209110028,2025,2582,1,4
209110028,2025,3884,1,4
209110028,2025,2206,1,4
209110028,2025,7710,1,5
209110028,2025,8415,1,5
209110030,2025,8044,1,5
209110030,2025,2855,1,2
209110030,2025,931,1,4
209110030,2025,29,1,2
209110030,2025,212,1,4
209110030,2025,4196,1,4
209110030,2025,85,1,4
209110030,2025,5482,1,4
209110030,2025,61,1,2
209110030,2025,5263,1,2
209110030,2025,1415,1,4
209110030,2025,10092,1,5
209110030,2025,2740,1,7
209110030,2025,1852,1,5
209110030,2025,231,1,3
209110031,2025,16,1,3
209110031,2025,5477,1,7
209110031,2025,2855,1,2
209110031,2025,80,1,4
209110031,2025,2902,1,4
209110031,2025,6805,1,0
209110031,2025,5366,1,4
209110031,2025,805,1,2
209110031,2025,1676,1,4
209110031,2025,5338,1,5
209110031,2025,8359,1,3
209110031,2025,8343,1,5
209110038,2025,8057,1,5
209110038,2025,5267,1,5
209110038,2025,2752,1,4
209110038,2025,974,1,0
209110038,2025,2145,1,4
209110038,2025,4707,1,0
209110038,2025,4153,1,4
209110038,2025,906,1,4
209110038,2025,198,1,4
209110038,2025,2780,1,0
209110038,2025,3109,1,5
209110039,2025,182,2,4
209110039,2025,933,1,4
209110039,2025,8318,1,2
209110039,2025,4708,1,4
209110039,2025,1101,1,2
209110039,2025,2297,1,4
209110039,2025,377,1,0
209110039,2025,2717,1,2
209110039,2025,2263,1,2
209110039,2025,1415,1,4
209110039,2025,1085,1,5
209110039,2025,5477,1,7
209110039,2025,2855,1,2
209110040,2025,10,1,8
209110040,2025,163,1,2
209110040,2025,5429,1,5
209110040,2025,7153,1,5
209110040,2025,2293,1,5
209110040,2025,8126,3,5
209110040,2025,6382,1,5
209110041,2025,5073,1,5
209110041,2025,10,1,8
209110041,2025,2145,1,4
209110041,2025,5482,1,4
209110041,2025,3410,1,0
209110041,2025,1045,1,2
209110041,2025,2328,1,4
209110041,2025,4838,1,4
209110041,2025,8016,1,7
209110042,2025,10,1,8
209110042,2025,8535,1,4
209110042,2025,7826,1,7
209110042,2025,7644,1,5
209110042,2025,6349,1,5
209110042,2025,3454,1,4
209110042,2025,6725,1,0
209110043,2025,1091,1,4
209110043,2025,3554,1,4
209110043,2025,4196,1,4
209110043,2025,85,1,4
209110043,2025,2967,1,4
209110043,2025,3585,1,0
209110043,2025,1761,1,0
209110043,2025,1219,1,4
209110043,2025,4624,1,5
209110043,2025,3528,1,5
209110043,2025,1004,1,5
209110043,2025,4354,1,5
209110044,2025,2768,1,5
209110044,2025,7153,2,5
209110044,2025,4572,1,5
209110044,2025,7710,1,5
209110044,2025,6126,2,5
209110044,2025,1051,1,5
209110044,2025,4344,1,7
209110044,2025,7826,1,7
209110044,2025,2174,1,5
209110044,2025,2267,1,5
209110044,2025,10,8,8
209110044,2025,3295,1,5
209110044,2025,8068,1,5
209110044,2025,6194,1,5
209110044,2025,10054,1,3
209110044,2025,7981,1,5
209110044,2025,6268,1,5
209110044,2025,3567,1,5
209110044,2025,3787,1,5
209110044,2025,7727,1,5
209110044,2025,10079,1,5
209110044,2025,6805,1,0
209110044,2025,945,1,5
209110044,2025,2745,1,5
209110044,2025,6353,1,5
209110044,2025,4685,1,5
209110044,2025,2747,1,5
209110044,2025,8064,1,5
209110044,2025,931,1,4
209110044,2025,2314,1,4
209110044,2025,3632,1,4
209110044,2025,3454,1,4
209110044,2025,7487,1,4
209110044,2025,3554,1,4
209110044,2025,4196,1,4
209110044,2025,1872,2,4
209110044,2025,2168,1,4
209110044,2025,3513,1,4
209110044,2025,1494,1,4
209110044,2025,4004,1,4
209110053,2025,11036,1,3
209110053,2025,1956,1,4
209110053,2025,115,1,4
209110053,2025,196,1,4
209110053,2025,2206,1,4
209110053,2025,7153,1,5
209110053,2025,1826,1,5
209110053,2025,7668,1,5
209110053,2025,7679,1,7
209110053,2025,683,1,5
209110054,2025,7690,1,5
209110054,2025,5447,1,5
209110054,2025,7710,1,5
209110054,2025,5344,1,1
209110054,2025,8079,1,5
209110054,2025,7680,2,5
209110054,2025,5536,1,5
209110054,2025,7650,1,5
209110054,2025,4216,1,5
209110054,2025,3639,1,3
209110054,2025,883,1,4
209110054,2025,12678,1,5
209110054,2025,5541,1,5
209110054,2025,7666,3,5
209110054,2025,2637,1,5
209110054,2025,4480,2,5
209110054,2025,8427,1,7
209110054,2025,4683,1,5
209110054,2025,2240,1,5
209110054,2025,6268,1,5
209110054,2025,8002,1,3
209110054,2025,10,6,8
209110054,2025,7720,1,1
209110054,2025,4575,1,5
209110054,2025,3787,1,5
209110054,2025,12465,1,3
209110054,2025,7852,1,5
209110054,2025,1009,1,7
209110054,2025,5267,2,5
209110054,2025,1115,1,5
209110054,2025,3484,1,4
209110054,2025,7348,1,4
209110054,2025,6805,1,0
209110054,2025,2143,1,4
209110054,2025,5366,1,4
209110054,2025,2689,2,4
209110054,2025,1814,1,4
209110054,2025,7949,1,5
209110054,2025,2583,1,5
209110055,2025,5364,1,4
209110055,2025,3089,1,4
209110055,2025,2168,1,4
209110055,2025,7783,1,5
209110055,2025,5540,1,5
209110055,2025,5503,1,5
209110055,2025,1033,1,5
209110055,2025,6635,1,4
209110056,2025,2582,1,4
209110056,2025,3742,1,4
209110056,2025,4329,1,5
209110056,2025,9139,1,3
209110056,2025,6126,1,5
209110056,2025,7681,1,5
209110056,2025,5536,1,5
209110056,2025,7650,1,5
209110056,2025,2380,1,5
209110056,2025,3690,1,5
209110056,2025,2040,1,4
209110056,2025,706,1,5
209110056,2025,1495,1,5
209110056,2025,3231,1,5
209110056,2025,3626,1,5
209110056,2025,7679,1,7
209110056,2025,5163,1,5
209110056,2025,7640,1,5
209110056,2025,4408,1,5
209110056,2025,7646,1,5
209110056,2025,1680,1,5
209110056,2025,51,1,4
209110056,2025,10599,1,5
209110056,2025,5007,1,5
209110056,2025,7280,1,5
209110056,2025,24,1,5
209110056,2025,2591,1,4
209110056,2025,4115,1,4
209110056,2025,8383,1,4
209110056,2025,2144,1,4
209110056,2025,4581,1,4
209110056,2025,10,2,8
209110056,2025,2807,1,4
209110056,2025,3179,1,5
209110056,2025,2067,1,4
209110056,2025,4459,2,4
209110056,2025,2374,1,4
209110057,2025,10,3,8
209110057,2025,280,1,4
209110057,2025,108,1,2
209110057,2025,3960,1,0
209110057,2025,3431,1,2
209110057,2025,4745,1,5
209110058,2025,3690,1,5
209110058,2025,3639,1,3
209110058,2025,2897,1,3
209110058,2025,7193,1,5
209110058,2025,1085,1,5
209110058,2025,6263,1,5
209110058,2025,8092,1,5
209110058,2025,205,1,5
209110058,2025,2311,1,3
209110058,2025,7779,1,5
209110058,2025,10,5,8
209110058,2025,1974,1,5
209110058,2025,7706,1,5
209110058,2025,5267,1,5
209110058,2025,291,1,4
209110058,2025,2014,1,4
209110058,2025,162,1,4
209110058,2025,2072,1,4
209110058,2025,6126,1,5
209110058,2025,7680,1,5
209110058,2025,5491,1,5
209110058,2025,7953,1,3
209110059,2025,931,1,4
209110059,2025,1018,1,4
209110059,2025,7774,1,4
209110059,2025,2439,1,4
209110059,2025,3696,1,4
209110059,2025,866,1,4
209110059,2025,7984,1,5
209110059,2025,3822,1,5
209110059,2025,4216,1,5
209110059,2025,5477,1,7
209110059,2025,670,1,4
209110060,2025,6126,1,5
209110060,2025,1826,1,5
209110060,2025,8379,1,5
209110060,2025,7719,1,5
209110060,2025,7693,1,5
209110060,2025,8575,1,5
209110060,2025,4126,2,3
209110060,2025,7670,1,5
209110060,2025,7934,1,5
209110060,2025,7727,1,5
209110060,2025,10,1,8
209110060,2025,7795,1,5
209110060,2025,945,1,5
209110060,2025,265,1,7
209110060,2025,5649,1,5
209110060,2025,4148,1,5
209110060,2025,6382,1,5
209110060,2025,291,1,4
209110060,2025,1097,1,4
209110060,2025,2140,1,4
209110060,2025,4286,1,4
209110060,2025,3863,1,4
209110060,2025,6806,1,4
209110060,2025,1782,1,4
209110060,2025,2689,1,4
209110060,2025,4680,1,2
209110060,2025,4586,1,4
209110060,2025,8067,1,5
209110061,2025,831,1,2
209110061,2025,2406,1,4
209110061,2025,7055,1,0
209110061,2025,158,1,0
209110061,2025,7666,1,5
209110061,2025,6263,1,5
209110061,2025,85,1,4
209110062,2025,10,1,8
209110062,2025,4102,1,5
209110062,2025,5683,1,4
209110063,2025,9358,1,5
209110063,2025,7984,1,5
209110063,2025,3618,1,5
209110063,2025,2777,1,2
209110063,2025,2433,1,0
209110063,2025,615,1,4
209110063,2025,1292,1,4
209110063,2025,3429,1,4
209110063,2025,3585,1,0
209110063,2025,2794,1,4
209110063,2025,2287,1,4
209110064,2025,5000,1,4
209110064,2025,3564,1,5
209110064,2025,1679,1,5
209110064,2025,7687,2,5
209110064,2025,6140,1,5
209110064,2025,5491,1,5
209110064,2025,1051,1,5
209110064,2025,7654,1,5
209110064,2025,7650,1,5
209110064,2025,7719,1,5
209110064,2025,10,9,8
209110064,2025,6194,1,5
209110064,2025,7140,1,5
209110064,2025,129,1,5
209110064,2025,2677,1,5
209110064,2025,2505,1,5
209110064,2025,6264,1,5
209110064,2025,5163,1,5
209110064,2025,7233,1,5
209110064,2025,683,1,5
209110064,2025,7670,1,5
209110064,2025,6270,1,4
209110064,2025,1974,1,5
209110064,2025,2833,1,5
209110064,2025,1800,1,5
209110064,2025,5007,1,5
209110064,2025,5710,1,1
209110064,2025,6578,1,4
209110064,2025,2093,1,4
209110064,2025,2572,1,4
209110064,2025,6707,2,4
209110064,2025,6806,1,4
209110064,2025,386,1,4
209110064,2025,4892,1,0
209110064,2025,8451,1,2
209110064,2025,1872,1,4
209110064,2025,4004,1,4
209110065,2025,4148,1,5
209110065,2025,5094,1,3
209110065,2025,1017,1,2
209110065,2025,4578,1,4
209110065,2025,10,1,8
209110065,2025,280,1,4
209110065,2025,2717,1,2
209110065,2025,2224,1,4
209110065,2025,3682,1,2
209110065,2025,2351,1,4
209110065,2025,5536,1,5
209110065,2025,16,1,3
209110066,2025,5477,1,7
209110066,2025,7720,1,1
209110066,2025,8044,1,5
209110066,2025,10,1,8
209110066,2025,855,1,4
209110066,2025,5635,1,4
209110066,2025,2286,1,4
209110066,2025,5205,1,5
209110066,2025,5614,1,5
209110066,2025,7687,1,5
209110066,2025,7696,1,5
209110067,2025,2206,1,4
209110067,2025,10256,1,3
209110067,2025,4572,1,5
209110067,2025,5614,1,5
209110067,2025,3095,1,5
209110067,2025,6126,1,5
209110067,2025,8368,1,5
209110067,2025,1826,1,5
209110067,2025,7789,1,5
209110067,2025,7650,1,5
209110067,2025,10,2,8
209110067,2025,7953,1,3
209110067,2025,261,1,5
209110067,2025,127,1,5
209110067,2025,169,1,5
209110067,2025,1495,1,5
209110067,2025,6209,1,5
209110067,2025,5312,1,5
209110067,2025,3641,1,5
209110067,2025,548,1,3
209110067,2025,7670,1,5
209110067,2025,3882,1,4
209110067,2025,7641,1,5
209110067,2025,5542,1,5
209110067,2025,7935,1,5
209110067,2025,2919,1,3
209110067,2025,2140,1,4
209110067,2025,2093,1,4
209110067,2025,7774,1,4
209110067,2025,2968,1,4
209110067,2025,50,1,4
209110067,2025,10045,1,4
209110067,2025,7522,1,4
209110067,2025,115,1,4
209110067,2025,2263,2,2
209110070,2025,83,1,4
209110070,2025,212,1,4
209110070,2025,3474,1,4
209110070,2025,1066,1,2
209110070,2025,3228,1,2
209110070,2025,1074,1,4
209110070,2025,4553,1,2
209110070,2025,410,1,4
209110070,2025,1108,1,4
209110070,2025,2206,1,4
