yop_kodu,year,lise_id,yerlesen_sayisi,school_type
108610016,2025,1847,1,4
108610016,2025,2340,1,4
108610016,2025,2118,1,4
108610016,2025,9951,1,4
108610016,2025,1932,1,0
108610016,2025,9371,1,5
108610016,2025,8409,1,3
108610016,2025,1961,1,4
108610025,2025,6928,1,4
108610025,2025,2556,1,2
108610025,2025,2227,1,4
108610025,2025,7975,1,0
108610025,2025,3977,1,4
108610025,2025,2421,1,0
108610025,2025,3960,1,0
108610025,2025,1758,3,4
108610025,2025,3487,1,2
108610025,2025,2423,1,2
108610025,2025,10,2,8
108610025,2025,3962,1,4
108610025,2025,1185,1,4
108610025,2025,867,1,4
108610025,2025,2072,1,4
108610025,2025,4027,1,0
108610025,2025,4262,1,4
108610025,2025,1763,1,4
108610025,2025,2887,1,6
108610025,2025,2427,1,0
108610025,2025,2605,1,4
108610025,2025,2112,1,0
108610025,2025,225,3,6
108610025,2025,812,1,4
108610025,2025,1766,2,6
108610025,2025,2631,1,2
108610025,2025,10051,1,4
108610025,2025,3986,1,5
108610025,2025,12681,1,1
108610025,2025,9086,1,5
108610025,2025,1057,1,5
108610025,2025,2592,1,4
108610025,2025,1176,1,4
108610025,2025,2571,1,2
108610025,2025,949,1,0
108610025,2025,1961,2,4
108610025,2025,4298,1,4
108610025,2025,3062,1,4
108610025,2025,7973,1,4
108610025,2025,950,1,4
108610025,2025,1028,1,4
108610025,2025,4302,1,4
108610025,2025,2499,1,4
108610025,2025,2204,1,4
108610025,2025,10293,1,4
108610034,2025,4616,1,4
108610034,2025,1160,1,4
108610034,2025,1930,1,6
108610034,2025,2118,2,4
108610034,2025,3208,1,4
108610034,2025,10293,1,4
108610034,2025,4493,1,4
108610034,2025,3009,1,4
108610034,2025,9737,1,4
108610034,2025,2785,1,4
108610034,2025,1731,1,4
108610034,2025,3781,1,4
108610034,2025,1366,1,4
108610034,2025,2423,1,2
108610034,2025,2477,1,4
108610034,2025,1908,1,4
108610034,2025,590,2,4
108610034,2025,10942,1,4
108610034,2025,1545,1,4
108610034,2025,3986,1,5
108610034,2025,9974,1,7
108610034,2025,10,2,8
108610034,2025,1205,1,4
108610034,2025,2610,1,6
108610034,2025,1771,1,0
108610034,2025,1684,1,4
108610034,2025,7311,1,4
108610034,2025,2800,1,4
108610034,2025,12682,1,4
108610034,2025,2139,1,4
108610034,2025,1920,1,4
108610034,2025,2061,1,0
108610034,2025,1751,1,4
108610034,2025,3862,1,4
108610034,2025,4298,1,4
108610034,2025,7113,1,4
108610034,2025,9701,1,4
108610034,2025,3415,2,0
108610034,2025,588,1,4
108610034,2025,8130,1,4
108610043,2025,1931,1,4
108610043,2025,2278,1,6
108610043,2025,1784,1,2
108610043,2025,2785,2,4
108610043,2025,2369,1,4
108610043,2025,1552,1,6
108610043,2025,1759,1,0
108610043,2025,2890,1,6
108610043,2025,2605,1,4
108610043,2025,225,1,6
108610043,2025,10,1,8
108610043,2025,3560,1,0
108610043,2025,2997,1,4
108610043,2025,1825,1,4
108610043,2025,2207,1,4
108610043,2025,3782,1,5
108610043,2025,680,1,7
108610043,2025,4432,1,3
108610043,2025,9974,1,7
108610043,2025,2299,1,2
108610043,2025,2528,1,4
108610043,2025,3837,1,4
108610043,2025,2089,1,4
108610043,2025,1749,1,4
108610043,2025,2200,1,4
108610043,2025,1750,1,0
108610043,2025,2141,1,0
108610043,2025,2319,1,4
108610043,2025,2864,1,2
108610043,2025,428,1,4
108610043,2025,2112,1,0
108610043,2025,2901,1,4
108610043,2025,2728,1,4
108610043,2025,1104,1,4
108610043,2025,2667,1,4
108610052,2025,2156,1,4
108610052,2025,2278,1,6
108610052,2025,2205,1,4
108610052,2025,693,1,2
108610052,2025,4069,1,4
108610052,2025,104,1,4
108610052,2025,3047,1,4
108610052,2025,2423,1,2
108610052,2025,1348,1,4
108610052,2025,3939,1,4
108610052,2025,889,1,4
108610052,2025,4169,1,4
108610052,2025,2887,2,6
108610052,2025,2429,1,4
108610052,2025,1647,1,4
108610052,2025,2484,1,4
108610052,2025,590,2,4
108610052,2025,3560,1,0
108610052,2025,258,1,4
108610052,2025,1189,1,2
108610052,2025,1766,1,6
108610052,2025,2321,1,4
108610052,2025,3989,1,7
108610052,2025,8735,1,4
108610052,2025,1336,1,0
108610052,2025,725,1,4
108610052,2025,5651,1,4
108610052,2025,2186,1,3
108610052,2025,1807,2,4
108610052,2025,1750,1,0
108610052,2025,779,1,4
108610052,2025,1961,1,4
108610052,2025,10,4,8
108610052,2025,2966,2,2
108610052,2025,1146,1,4
108610052,2025,2512,1,4
108610052,2025,3064,1,4
108610052,2025,3696,1,4
108610052,2025,3608,1,4
108610052,2025,1344,1,4
108610061,2025,981,2,4
108610061,2025,1929,1,6
108610061,2025,12584,1,4
108610061,2025,3922,1,4
108610061,2025,1363,1,4
108610061,2025,2323,1,4
108610061,2025,2598,1,4
108610061,2025,6928,1,4
108610061,2025,1932,1,0
108610061,2025,2099,1,4
108610061,2025,1847,1,4
108610061,2025,7095,1,4
108610061,2025,1758,1,4
108610061,2025,1940,1,6
108610061,2025,11386,1,4
108610061,2025,3559,1,0
108610061,2025,12683,1,4
108610061,2025,2627,2,6
108610061,2025,9948,1,4
108610061,2025,3115,1,4
108610061,2025,1301,1,4
