yop_kodu,year,lise_id,yerlesen_sayisi,school_type
301810010,2025,10,1,8
301810010,2025,3264,1,4
301810010,2025,7487,1,4
301810010,2025,9443,1,4
301810010,2025,1288,1,4
301810010,2025,688,1,3
301810010,2025,944,1,5
301810010,2025,12708,1,4
301810012,2025,10,4,8
301810012,2025,1474,1,4
301810012,2025,6494,1,4
301810013,2025,8483,1,4
301810013,2025,5665,1,4
301810013,2025,5638,1,4
301810013,2025,11022,1,5
301810013,2025,94,1,5
301810013,2025,12113,1,3
301810013,2025,3071,1,4
301810059,2025,1783,1,4
