yop_kodu,year,lise_id,yerlesen_sayisi,school_type
205110056,2025,4822,1,4
205110056,2025,2886,1,4
205110056,2025,668,1,4
205110056,2025,300,1,5
205110056,2025,5448,1,7
205110056,2025,735,2,1
205110056,2025,10116,1,7
205110056,2025,421,1,1
205110056,2025,8113,1,5
205110056,2025,471,1,7
205110056,2025,3212,1,2
205110056,2025,4574,1,5
205110056,2025,10104,1,3
205110056,2025,2698,1,5
205110056,2025,606,1,5
205110056,2025,5265,1,3
205110056,2025,3624,1,5
205110056,2025,2899,1,3
205110056,2025,1083,1,3
205110056,2025,10031,3,1
205110056,2025,707,1,5
205110056,2025,10,1,8
205110056,2025,770,1,5
205110056,2025,397,1,5
205110056,2025,771,1,5
205110056,2025,1565,2,5
205110056,2025,717,2,5
205110056,2025,442,1,1
205110056,2025,7828,1,5
205110056,2025,10126,1,5
205110056,2025,10110,1,3
205110056,2025,529,1,5
205110056,2025,2204,1,4
205110056,2025,2933,1,5
205110056,2025,147,1,1
205110056,2025,734,1,1
205110056,2025,713,1,5
205110056,2025,10490,1,5
205110056,2025,565,1,5
205110056,2025,5164,1,4
205110056,2025,384,1,1
205110056,2025,5494,1,1
205110056,2025,385,1,5
205110056,2025,4274,1,1
205110056,2025,466,1,4
205110056,2025,10077,1,1
205110056,2025,516,1,1
205110056,2025,7619,2,5
205110056,2025,694,1,4
205110074,2025,808,1,2
205110074,2025,639,1,4
205110074,2025,2881,1,2
205110074,2025,4061,1,4
205110074,2025,1543,1,4
205110074,2025,2891,1,2
205110074,2025,5041,1,4
205110074,2025,8431,1,4
205110074,2025,762,1,5
205110074,2025,2526,1,5
205110074,2025,10,3,8
205110074,2025,788,1,3
205110074,2025,8100,1,5
205110074,2025,3617,1,3
205110074,2025,6302,1,7
205110074,2025,10127,1,5
205110074,2025,3665,1,2
205110074,2025,1437,1,2
205110074,2025,802,1,2
205110074,2025,3629,1,0
205110074,2025,2966,1,2
205110074,2025,890,1,4
205110074,2025,937,1,4
205110074,2025,4165,1,4
205110074,2025,5607,1,4
205110074,2025,521,1,2
205110074,2025,559,1,4
205110074,2025,7116,1,0
205110074,2025,807,1,4
205110083,2025,7619,4,5
205110083,2025,490,1,5
205110083,2025,389,1,5
205110083,2025,533,1,4
205110083,2025,2397,1,5
205110083,2025,592,1,5
205110083,2025,726,1,5
205110083,2025,10132,1,5
205110083,2025,361,1,7
205110083,2025,2526,1,5
205110083,2025,2696,1,4
205110083,2025,6131,1,5
205110083,2025,766,1,5
205110083,2025,421,1,1
205110083,2025,471,1,7
205110083,2025,787,1,3
205110083,2025,10671,1,3
205110083,2025,736,2,3
205110083,2025,739,1,7
205110083,2025,704,2,5
205110083,2025,542,1,1
205110083,2025,10,1,8
205110083,2025,5706,1,5
205110083,2025,789,1,1
205110083,2025,2898,1,3
205110083,2025,10031,1,1
205110083,2025,2972,1,5
205110083,2025,771,1,5
205110083,2025,1565,1,5
205110083,2025,746,1,5
205110083,2025,551,1,5
205110083,2025,10206,1,3
205110083,2025,714,1,5
205110083,2025,4307,1,5
205110083,2025,576,1,1
205110083,2025,876,1,5
205110083,2025,529,1,5
205110083,2025,5015,1,7
205110083,2025,6309,1,7
205110083,2025,1005,1,3
205110083,2025,10616,1,5
205110083,2025,713,2,5
205110083,2025,484,1,5
205110083,2025,1209,1,2
205110083,2025,723,1,3
205110083,2025,5008,1,5
205110083,2025,729,1,1
205110083,2025,380,1,5
205110083,2025,1436,1,4
205110083,2025,8337,1,2
205110083,2025,5680,1,4
205110083,2025,384,1,1
205110083,2025,10886,1,5
205110083,2025,2571,1,2
205110083,2025,8233,1,5
205110083,2025,8457,1,5
205110083,2025,104,1,4
205110083,2025,3998,1,4
205110083,2025,807,1,4
205110092,2025,8507,1,4
205110092,2025,746,1,5
205110092,2025,3643,3,1
205110092,2025,10105,1,5
205110092,2025,4812,1,3
205110092,2025,8011,1,7
205110092,2025,74,1,3
205110092,2025,550,2,5
205110092,2025,551,1,5
205110092,2025,10206,1,3
205110092,2025,9887,1,5
205110092,2025,3476,2,4
205110092,2025,9152,1,3
205110092,2025,10155,1,5
205110092,2025,709,1,5
205110092,2025,576,2,1
205110092,2025,682,1,3
205110092,2025,552,1,3
205110092,2025,10086,2,1
205110092,2025,10162,1,5
205110092,2025,6291,1,5
205110092,2025,8768,1,3
205110092,2025,4188,1,4
205110092,2025,10099,1,1
205110092,2025,5477,1,7
205110092,2025,3786,1,5
205110092,2025,232,1,3
205110092,2025,529,6,5
205110092,2025,553,3,3
205110092,2025,6309,1,7
205110092,2025,2852,2,3
205110092,2025,20,1,3
205110092,2025,5375,1,1
205110092,2025,8305,1,3
205110092,2025,5709,1,3
205110092,2025,609,2,5
205110092,2025,554,1,5
205110092,2025,795,1,3
205110092,2025,10138,1,3
205110092,2025,752,2,1
205110092,2025,1034,3,1
205110092,2025,1681,2,1
205110092,2025,7787,1,5
205110092,2025,603,1,7
205110092,2025,109,1,4
205110092,2025,147,1,1
205110092,2025,584,1,1
205110092,2025,734,1,1
205110092,2025,8090,1,3
205110092,2025,451,1,5
205110092,2025,1007,1,1
205110092,2025,713,3,5
205110092,2025,8032,1,3
205110092,2025,9046,1,3
205110092,2025,651,1,5
205110092,2025,1074,1,4
205110092,2025,729,2,1
205110092,2025,455,1,5
205110092,2025,381,1,5
205110092,2025,530,1,4
205110092,2025,10167,3,3
205110092,2025,384,2,1
205110092,2025,801,1,1
205110092,2025,3443,1,1
205110092,2025,392,1,5
205110092,2025,759,1,1
205110092,2025,4274,1,1
205110092,2025,6617,2,5
205110092,2025,100,1,1
205110092,2025,8366,1,5
205110092,2025,2060,1,1
205110092,2025,8244,1,5
205110092,2025,2862,1,5
205110092,2025,778,1,1
205110092,2025,3571,1,5
205110092,2025,385,3,5
205110092,2025,356,3,1
205110092,2025,516,2,1
205110092,2025,219,1,2
205110092,2025,3680,2,2
205110092,2025,2879,1,2
205110092,2025,10,1,8
205110092,2025,687,1,5
205110092,2025,7619,2,5
205110092,2025,489,1,5
205110092,2025,589,1,5
205110092,2025,490,3,5
205110092,2025,11893,1,3
205110092,2025,389,1,5
205110092,2025,732,1,4
205110092,2025,4972,1,2
205110092,2025,533,2,4
205110092,2025,2407,1,5
205110092,2025,688,1,3
205110092,2025,7993,1,2
205110092,2025,537,1,4
205110092,2025,4242,1,1
205110092,2025,3161,1,3
205110092,2025,960,1,5
205110092,2025,540,1,3
205110092,2025,7151,1,1
205110092,2025,764,1,7
205110092,2025,783,2,1
205110092,2025,8058,1,5
205110092,2025,4572,1,5
205110092,2025,784,1,3
205110092,2025,3480,2,5
205110092,2025,762,3,5
205110092,2025,10515,1,5
205110092,2025,361,1,7
205110092,2025,1718,2,5
205110092,2025,6131,1,5
205110092,2025,766,1,5
205110092,2025,10116,2,7
205110092,2025,457,1,4
205110092,2025,10472,5,3
205110092,2025,493,1,5
205110092,2025,421,1,1
205110092,2025,5338,1,5
205110092,2025,10117,1,3
205110092,2025,11918,1,5
205110092,2025,10118,1,5
205110092,2025,767,1,5
205110092,2025,471,4,7
205110092,2025,9904,1,7
205110092,2025,4729,1,4
205110092,2025,8329,1,3
205110092,2025,787,2,3
205110092,2025,7736,2,7
205110092,2025,736,10,3
205110092,2025,4501,1,5
205110092,2025,7139,1,5
205110092,2025,4977,1,3
205110092,2025,10104,8,3
205110092,2025,10233,1,3
205110092,2025,8557,1,5
205110092,2025,7760,1,4
205110092,2025,10198,1,5
205110092,2025,5072,1,5
205110092,2025,704,1,5
205110092,2025,768,3,3
205110092,2025,542,3,1
205110092,2025,677,1,3
205110092,2025,11888,1,5
205110092,2025,573,1,1
205110092,2025,6168,1,5
205110092,2025,789,2,1
205110092,2025,3397,1,4
205110092,2025,4291,1,7
205110092,2025,3730,1,3
205110092,2025,433,1,5
205110092,2025,8652,1,3
205110092,2025,2237,1,5
205110092,2025,793,1,5
205110092,2025,547,2,3
205110092,2025,10031,4,1
205110092,2025,3825,1,7
205110092,2025,10063,1,5
205110092,2025,3522,1,2
205110092,2025,2676,1,1
205110092,2025,1056,1,5
205110092,2025,397,1,5
205110092,2025,10098,1,3
205110092,2025,3231,1,5
205110092,2025,10073,1,3
205110092,2025,2917,1,5
205110092,2025,8020,1,3
205110092,2025,720,1,3
205110092,2025,717,1,5
205110117,2025,3677,1,2
205110117,2025,805,1,2
205110117,2025,39,1,4
205110117,2025,10102,1,3
205110117,2025,7116,3,0
205110117,2025,326,1,0
205110117,2025,807,5,4
205110117,2025,3492,1,2
205110117,2025,351,4,0
205110117,2025,526,2,4
205110117,2025,201,1,2
205110117,2025,4060,1,4
205110117,2025,3683,1,2
205110117,2025,163,1,2
205110117,2025,196,1,4
205110117,2025,533,1,4
205110117,2025,2888,1,2
205110117,2025,1525,2,2
205110117,2025,695,1,2
205110117,2025,3094,1,4
205110117,2025,668,1,4
205110117,2025,800,1,2
205110117,2025,5263,1,2
205110117,2025,226,1,2
205110117,2025,915,1,3
205110117,2025,354,1,3
205110117,2025,1113,1,3
205110117,2025,3437,1,3
205110117,2025,3650,1,3
205110117,2025,785,1,3
205110117,2025,5454,1,3
205110117,2025,10674,1,3
205110117,2025,2868,1,2
205110117,2025,8100,1,5
205110117,2025,966,1,3
205110117,2025,10206,1,3
205110117,2025,523,1,3
205110117,2025,1138,1,5
205110117,2025,8332,1,3
205110117,2025,1496,1,3
205110117,2025,795,1,3
205110117,2025,8333,1,3
205110117,2025,1058,1,3
205110117,2025,8507,3,4
205110117,2025,1426,1,3
205110117,2025,797,1,3
205110117,2025,8398,2,3
205110117,2025,6357,1,5
205110117,2025,7756,1,3
205110117,2025,798,1,2
205110117,2025,2218,1,2
205110117,2025,3443,1,1
205110117,2025,2863,3,2
205110117,2025,183,1,2
205110117,2025,2499,1,4
205110117,2025,3734,1,2
205110117,2025,2389,1,4
205110117,2025,1441,1,2
205110117,2025,803,4,2
205110117,2025,2866,2,2
205110117,2025,278,3,2
205110117,2025,2731,1,2
205110117,2025,5342,1,2
205110117,2025,7625,1,2
205110126,2025,8507,2,4
205110126,2025,8032,1,3
205110126,2025,10490,1,5
205110126,2025,8398,1,3
205110126,2025,9046,1,3
205110126,2025,454,1,5
205110126,2025,729,2,1
205110126,2025,455,1,5
205110126,2025,530,1,4
205110126,2025,1061,1,2
205110126,2025,8337,1,2
205110126,2025,2870,1,4
205110126,2025,10167,1,3
205110126,2025,10090,1,5
