yop_kodu,year,lise_id,yerlesen_sayisi,school_type
108810023,2025,762,1,5
108810023,2025,2296,1,3
108810032,2025,624,1,4
108810032,2025,1123,1,0
108810032,2025,3816,1,4
108810032,2025,5697,1,4
108810032,2025,7904,1,4
108810032,2025,7067,1,4
108810032,2025,1539,1,4
108810032,2025,2648,1,4
108810032,2025,4798,1,4
108810032,2025,194,1,4
108810032,2025,2201,1,4
108810032,2025,3431,1,2
108810032,2025,3506,1,4
108810032,2025,5939,1,4
108810032,2025,415,1,4
108810032,2025,2562,1,4
108810032,2025,2487,1,4
108810032,2025,1738,1,4
108810032,2025,3029,1,4
108810032,2025,766,1,5
108810032,2025,7836,1,3
108810032,2025,847,1,4
108810032,2025,530,1,4
108810032,2025,2592,1,4
108810032,2025,572,1,4
108810032,2025,1900,1,4
108810032,2025,3850,1,4
108810032,2025,218,1,2
108810032,2025,3226,1,2
108810032,2025,10,2,8
108810032,2025,8453,1,4
108810032,2025,809,1,4
108810032,2025,1387,1,4
108810032,2025,266,1,4
108810032,2025,3721,1,4
108810041,2025,2149,1,2
108810041,2025,1406,1,0
108810041,2025,2350,1,4
108810041,2025,7078,1,4
108810041,2025,8698,1,4
108810041,2025,4733,1,4
108810041,2025,1872,1,4
108810041,2025,11208,1,4
108810041,2025,596,1,4
108810041,2025,10782,1,4
108810041,2025,10,2,8
108810041,2025,9334,1,4
108810041,2025,4027,1,0
108810041,2025,12727,1,0
108810041,2025,158,1,0
108810041,2025,2247,1,4
108810041,2025,3898,1,4
108810041,2025,1392,1,5
108810041,2025,8314,1,5
108810041,2025,8344,1,5
108810041,2025,2772,1,4
108810041,2025,3353,1,4
108810041,2025,3001,2,5
108810041,2025,7718,1,0
108810041,2025,2611,1,5
108810041,2025,9412,1,4
108810041,2025,1559,2,4
108810041,2025,572,1,4
108810041,2025,10886,1,5
108810041,2025,7920,1,4
108810041,2025,6643,1,4
108810041,2025,2784,1,4
108810041,2025,2777,1,2
108810041,2025,4907,1,4
108810041,2025,4890,1,4
108810041,2025,7406,1,0
108810041,2025,4688,1,4
108810041,2025,1550,1,4
108810041,2025,2792,1,4
108810041,2025,4864,1,4
108810041,2025,1783,1,4
108810059,2025,1487,1,4
108810059,2025,2322,1,4
108810059,2025,3809,1,4
108810059,2025,4842,1,4
108810059,2025,7813,1,4
108810059,2025,2279,1,4
108810059,2025,4992,1,4
108810059,2025,2367,1,4
108810059,2025,12711,1,2
108810059,2025,11208,1,4
108810059,2025,2124,1,4
108810059,2025,638,1,4
108810059,2025,640,1,0
108810059,2025,641,1,4
108810059,2025,117,1,4
108810059,2025,5485,1,0
108810059,2025,4570,1,4
108810059,2025,3896,1,0
108810059,2025,2915,1,4
108810059,2025,4173,1,4
108810059,2025,2051,1,4
108810059,2025,51,1,4
108810059,2025,7152,1,5
108810059,2025,1706,1,5
108810059,2025,9974,1,7
108810059,2025,2357,1,0
108810059,2025,80,1,4
108810059,2025,10562,1,4
108810059,2025,2137,1,4
108810059,2025,5207,1,2
108810059,2025,5166,1,4
108810059,2025,6703,1,4
108810059,2025,10,3,8
108810059,2025,278,1,2
108810059,2025,4688,1,4
108810059,2025,6076,1,4
108810059,2025,3274,1,4
108810059,2025,4707,1,0
108810059,2025,3594,1,4
108810068,2025,4223,1,4
108810068,2025,810,1,4
108810068,2025,3409,1,4
108810068,2025,3809,1,4
108810068,2025,2365,1,4
108810068,2025,1987,1,4
108810068,2025,3170,1,4
108810068,2025,2600,1,4
108810068,2025,3581,1,4
108810068,2025,2228,1,4
108810068,2025,6814,1,4
108810068,2025,5462,1,4
108810068,2025,3633,1,4
108810068,2025,2151,1,4
108810068,2025,7888,1,4
108810068,2025,11208,1,4
108810068,2025,8232,1,4
108810068,2025,1758,1,4
108810068,2025,3699,1,4
108810068,2025,7542,1,4
108810068,2025,1348,1,4
108810068,2025,3757,1,4
108810068,2025,1629,1,4
108810068,2025,4477,1,4
108810068,2025,1444,1,4
108810068,2025,819,1,4
108810068,2025,4545,1,4
108810068,2025,4429,1,4
108810068,2025,1258,1,0
108810068,2025,5160,1,4
108810068,2025,5072,1,5
108810068,2025,4854,1,5
108810068,2025,10,4,8
108810068,2025,8605,1,4
108810068,2025,2276,1,4
108810068,2025,572,1,4
108810068,2025,7358,1,0
108810068,2025,5317,1,4
108810068,2025,5547,1,4
108810068,2025,4688,1,4
108810068,2025,2936,1,4
108810068,2025,3253,1,4
108810068,2025,8811,1,4
108810068,2025,6782,1,4
108810077,2025,3286,1,4
108810077,2025,3676,1,2
108810077,2025,6897,1,4
108810077,2025,4842,1,4
108810077,2025,10334,1,4
108810077,2025,4279,1,4
108810077,2025,1229,1,4
108810077,2025,7039,1,4
108810077,2025,4226,1,4
108810077,2025,2211,1,4
108810077,2025,7137,1,4
108810077,2025,11208,1,4
108810077,2025,4797,1,4
108810077,2025,4656,1,4
108810077,2025,3961,1,4
108810077,2025,1298,1,4
108810077,2025,4609,2,4
108810077,2025,4228,1,4
108810077,2025,2375,1,4
108810077,2025,2461,1,4
108810077,2025,1555,1,4
108810077,2025,6870,1,4
108810077,2025,782,1,4
108810077,2025,695,1,2
108810077,2025,7142,1,4
108810077,2025,9790,1,1
108810077,2025,4854,1,5
108810077,2025,3847,1,4
108810077,2025,6434,1,4
108810077,2025,9725,1,4
108810077,2025,4392,1,4
108810077,2025,9172,1,4
108810077,2025,10,4,8
108810077,2025,8203,1,4
108810077,2025,7369,1,4
108810077,2025,3850,1,4
108810077,2025,5090,1,4
108810077,2025,2784,1,4
108810077,2025,6699,1,4
108810077,2025,6706,1,4
108810077,2025,2094,1,4
108810077,2025,5168,1,2
108810077,2025,2144,1,4
108810077,2025,891,1,4
108810077,2025,2702,1,4
108810077,2025,4057,1,0
108810077,2025,5050,1,4
108810077,2025,1487,1,4
108810086,2025,2246,1,4
108810086,2025,3361,1,4
108810086,2025,4891,1,4
108810086,2025,6897,1,4
108810086,2025,6930,1,4
108810086,2025,849,1,4
108810086,2025,1757,1,4
108810086,2025,109,2,4
108810086,2025,110,1,4
108810086,2025,3893,1,4
108810086,2025,10,1,8
108810086,2025,7067,1,4
108810086,2025,2102,1,4
108810086,2025,5770,1,4
108810086,2025,596,1,4
108810086,2025,2259,1,4
108810086,2025,2042,1,4
108810086,2025,5888,1,4
108810086,2025,416,1,4
108810086,2025,2562,1,4
108810086,2025,1852,1,5
108810086,2025,2512,1,4
108810086,2025,1739,1,5
108810086,2025,2296,1,3
