yop_kodu,year,lise_id,yerlesen_sayisi,school_type
112711099,2025,1105,1,0
112711099,2025,4471,2,4
112711099,2025,1345,1,4
112711099,2025,4835,1,4
112711099,2025,3362,1,4
112711099,2025,1937,1,4
112711099,2025,3410,1,0
112711099,2025,3046,1,4
112711099,2025,5756,1,4
112711099,2025,7738,1,4
112711099,2025,2544,1,4
112711099,2025,2,3,4
112711099,2025,1077,1,4
112711099,2025,3242,1,4
112711099,2025,2929,1,4
112711099,2025,4761,1,4
112711099,2025,2793,1,4
112711099,2025,4506,1,4
112711099,2025,297,1,4
112711099,2025,3685,1,2
112711099,2025,1256,1,4
112711099,2025,10,8,8
112711099,2025,3686,1,4
112711099,2025,2106,2,4
112711099,2025,912,1,0
112711099,2025,1884,1,4
112711099,2025,2780,1,0
112711099,2025,286,1,0
112711099,2025,5509,1,5
112711099,2025,8390,1,5
112711099,2025,68,1,5
112711099,2025,1547,1,3
112711099,2025,5414,1,4
112711099,2025,9920,1,5
112711099,2025,4160,1,5
112711099,2025,10883,1,5
112711099,2025,2745,1,5
112711099,2025,5520,1,5
112711099,2025,4685,1,5
112711099,2025,10313,1,4
112711099,2025,6410,1,4
112711099,2025,2085,1,0
112711099,2025,2242,1,4
112711099,2025,1246,1,4
112711099,2025,5515,1,4
112711099,2025,4392,1,4
112711099,2025,7688,1,4
112711099,2025,10995,1,4
112711099,2025,5424,1,4
112711099,2025,7709,1,4
112711099,2025,9935,1,4
112711099,2025,274,1,4
112711099,2025,3670,1,4
112711099,2025,4489,1,0
112711099,2025,3984,1,4
112711099,2025,3851,1,4
112711099,2025,6673,1,4
112711099,2025,3062,1,4
112711099,2025,2536,1,4
112711099,2025,9092,1,4
112711099,2025,1123,1,0
112771083,2025,983,1,4
112771083,2025,1192,1,4
112771083,2025,4990,1,4
112771083,2025,3678,1,2
112771083,2025,4211,1,4
112771083,2025,641,1,4
112771083,2025,7573,1,4
112771083,2025,1408,1,4
112771083,2025,2793,1,4
112771083,2025,5232,1,4
112771083,2025,5414,1,4
112771083,2025,4262,1,4
112771083,2025,1563,1,4
112771083,2025,5114,1,4
112771083,2025,1949,1,5
112771083,2025,873,1,3
112771083,2025,4810,1,5
112771083,2025,5070,1,5
112771083,2025,4500,1,5
112771083,2025,13,1,5
112771083,2025,3626,1,5
112771083,2025,2957,1,4
112771083,2025,72,1,5
112771083,2025,7828,1,5
112771083,2025,4792,1,3
112771083,2025,4845,1,5
112771083,2025,7646,1,5
112771083,2025,7714,1,5
112771083,2025,8040,1,3
112771083,2025,3693,2,3
112771083,2025,5542,1,5
112771083,2025,755,1,3
112771083,2025,5318,1,4
112771083,2025,11004,1,4
112771083,2025,6417,1,4
112771083,2025,3666,1,2
112771083,2025,7365,1,4
112771083,2025,183,1,2
112771083,2025,9144,1,4
112771083,2025,3851,1,4
112771083,2025,35,1,4
112771083,2025,978,1,4
112771083,2025,4848,1,4
112771083,2025,2758,1,4
112771083,2025,4276,1,2
112771083,2025,1782,1,4
112771085,2025,3882,2,4
112771085,2025,187,5,2
112771085,2025,3708,1,4
112771085,2025,2758,1,4
112771085,2025,4324,6,2
112771085,2025,41,1,2
112771085,2025,1405,1,2
112771085,2025,2717,1,2
112771085,2025,3676,1,2
112771085,2025,804,2,4
112771085,2025,5262,1,2
112771085,2025,5685,2,2
112771085,2025,991,1,2
112771085,2025,3156,1,2
112771085,2025,1108,1,4
