yop_kodu,year,lise_id,yerlesen_sayisi,school_type
109110027,2025,1870,1,4
109110027,2025,4255,1,4
109110027,2025,5690,1,4
109110027,2025,1317,1,4
109110027,2025,3398,1,4
109110027,2025,5798,1,4
109110027,2025,3559,1,0
109110027,2025,1733,1,4
109110027,2025,2793,1,4
109110027,2025,11079,1,4
109110027,2025,5137,1,4
109110027,2025,7136,1,0
109110027,2025,2980,1,0
109110027,2025,3966,2,4
109110027,2025,8910,1,4
109110027,2025,65,1,4
109110027,2025,4805,1,4
109110027,2025,4556,1,4
109110027,2025,5114,1,4
109110027,2025,5362,1,7
109110027,2025,1955,1,4
109110027,2025,301,1,8
109110027,2025,383,1,4
109110027,2025,5117,1,4
109110027,2025,9405,1,4
109110027,2025,10454,1,4
109110027,2025,3084,1,4
109110027,2025,1013,1,4
109110027,2025,5149,1,4
109110027,2025,11436,1,4
109110027,2025,972,1,4
109110027,2025,4184,1,0
109110027,2025,10,3,8
109110027,2025,4030,1,4
109110027,2025,4640,1,4
109110027,2025,9279,1,4
109110027,2025,4660,1,4
109110027,2025,4057,1,0
109110027,2025,1341,1,4
109110027,2025,3155,1,4
109110027,2025,4632,1,4
109110036,2025,5097,1,4
109110036,2025,1193,1,4
109110036,2025,3924,1,4
109110036,2025,4084,1,0
109110036,2025,1551,1,2
109110036,2025,3410,1,0
109110036,2025,162,1,4
109110036,2025,1674,1,4
109110036,2025,8793,1,4
109110036,2025,10002,1,4
109110036,2025,1154,1,4
109110036,2025,5855,1,4
109110036,2025,2793,2,4
109110036,2025,3333,1,4
109110036,2025,2889,1,4
109110036,2025,1202,1,4
109110036,2025,2630,1,4
109110036,2025,4429,1,4
109110036,2025,286,1,0
109110036,2025,144,1,4
109110036,2025,826,1,5
109110036,2025,10,2,8
109110036,2025,5195,1,5
109110036,2025,4102,1,5
109110036,2025,2057,1,5
109110036,2025,12579,1,5
109110036,2025,8072,1,3
109110036,2025,9035,1,4
109110036,2025,3484,1,4
109110036,2025,5107,1,4
109110036,2025,4219,1,2
109110036,2025,7709,1,4
109110036,2025,1147,1,4
109110036,2025,2551,1,4
109110036,2025,3058,1,4
109110036,2025,4030,1,4
109110036,2025,3851,1,4
109110036,2025,3996,1,4
109110036,2025,2512,1,4
109110036,2025,3984,3,4
109110036,2025,1661,1,2
109110036,2025,4492,1,4
109110036,2025,4314,1,4
109110054,2025,3091,1,4
109110054,2025,3620,1,4
109110054,2025,390,1,4
109110054,2025,2942,1,4
109110054,2025,3115,1,4
109110054,2025,6034,1,4
109110054,2025,2247,1,4
109110054,2025,2583,1,5
109110054,2025,4502,1,5
109110054,2025,4792,1,3
109110054,2025,301,1,8
109110054,2025,11812,1,4
109110054,2025,3484,1,4
109110054,2025,3705,1,4
109110054,2025,1118,1,4
109110054,2025,2551,1,4
109110054,2025,2359,1,4
109110054,2025,7848,1,4
109110054,2025,2189,1,2
109110054,2025,10,6,8
109110054,2025,1661,1,2
109110054,2025,4750,1,4
109110054,2025,5128,1,4
109110054,2025,7487,1,4
109110054,2025,3544,1,4
109110054,2025,283,1,4
109110072,2025,186,1,4
109110072,2025,5318,3,4
109110072,2025,37,1,4
109110072,2025,4695,1,4
109110072,2025,6659,1,4
109110072,2025,1661,1,2
109110072,2025,3708,2,4
109110072,2025,2758,1,4
109110072,2025,4324,1,2
109110072,2025,4314,2,4
109110072,2025,2622,1,4
109110072,2025,4729,1,4
109110072,2025,983,1,4
109110072,2025,3355,1,2
109110072,2025,1363,1,4
109110072,2025,2554,2,4
109110072,2025,2348,1,4
109110072,2025,190,1,4
109110072,2025,2555,1,4
109110072,2025,4471,1,4
109110072,2025,6978,1,4
109110072,2025,10,5,8
109110072,2025,343,1,4
109110072,2025,3211,1,4
109110072,2025,1040,1,4
109110072,2025,2968,1,4
109110072,2025,4565,1,4
109110072,2025,192,1,0
109110072,2025,4058,1,4
