yop_kodu,year,lise_id,yerlesen_sayisi,school_type
102610016,2025,1661,1,2
102610016,2025,2902,1,4
102610016,2025,41,1,2
102610016,2025,1788,1,4
102610016,2025,188,1,2
102610016,2025,1105,1,0
102610016,2025,862,1,2
102610016,2025,8319,1,2
102610016,2025,159,2,2
102610016,2025,4181,1,2
102610016,2025,60,1,2
102610016,2025,244,1,4
102610016,2025,991,1,2
102610016,2025,4553,1,2
102610016,2025,160,1,4
102610016,2025,56,1,4
102610016,2025,193,1,2
102610016,2025,5298,4,4
102610016,2025,252,1,2
102610016,2025,57,1,4
102610016,2025,8272,1,2
102610016,2025,10,2,8
102610016,2025,3,1,2
102610016,2025,2883,1,2
102610016,2025,3685,1,2
102610016,2025,2794,1,4
102610016,2025,1409,1,4
102610016,2025,4477,1,4
102610016,2025,1543,1,4
102610016,2025,2431,1,4
102610016,2025,10657,1,4
102610016,2025,224,1,2
102610016,2025,21,1,2
102610016,2025,2432,1,2
102610016,2025,202,1,2
102610016,2025,2564,2,4
102610016,2025,6,2,4
102610016,2025,64,2,4
102610016,2025,2943,1,2
102610016,2025,2892,1,4
102610016,2025,4430,1,3
102610016,2025,7996,1,3
102610016,2025,68,1,5
102610016,2025,317,1,4
102610016,2025,11603,1,3
102610016,2025,16,1,3
102610016,2025,97,1,3
102610016,2025,968,1,3
102610016,2025,2440,1,5
102610016,2025,20,1,3
102610016,2025,5074,1,3
102610016,2025,209,1,2
102610016,2025,3167,4,4
102610016,2025,179,1,4
102610016,2025,939,1,2
102610016,2025,3666,2,2
102610016,2025,237,3,0
102610016,2025,931,1,4
102610016,2025,1091,1,4
102610016,2025,655,1,4
102610016,2025,29,1,2
102610016,2025,1016,1,4
102610016,2025,5290,1,4
102610016,2025,3111,1,4
102610016,2025,4593,1,4
102610016,2025,977,1,4
102610016,2025,602,1,4
102610016,2025,5152,1,4
102610016,2025,5294,1,4
102610016,2025,1025,1,2
102610016,2025,4708,1,4
102610016,2025,1326,1,2
102610016,2025,184,1,4
102610016,2025,35,1,4
102610016,2025,937,1,4
102610016,2025,5168,1,2
102610016,2025,2867,1,4
102610016,2025,1145,1,0
102610016,2025,4695,1,4
102610034,2025,1664,1,4
102610034,2025,5298,1,4
102610034,2025,5578,1,4
102610034,2025,1216,1,4
102610034,2025,1217,1,4
102610034,2025,4,2,4
102610034,2025,166,1,4
102610034,2025,1256,1,4
102610034,2025,4229,1,4
102610034,2025,998,1,4
102610034,2025,10,2,8
102610034,2025,6121,1,5
102610034,2025,68,1,5
102610034,2025,7647,1,3
102610034,2025,5094,1,3
102610034,2025,1856,1,4
102610034,2025,5288,1,2
102610034,2025,26,1,4
102610034,2025,6475,1,4
102610034,2025,7817,1,4
102610034,2025,237,1,0
102610034,2025,4300,1,4
102610034,2025,3233,1,4
102610034,2025,4576,1,4
102610034,2025,4593,1,4
102610034,2025,3359,1,4
102610034,2025,3571,1,5
102610034,2025,1097,1,4
102610034,2025,1207,1,4
102610034,2025,2572,1,4
102610034,2025,1101,1,2
102610034,2025,246,1,4
102610034,2025,1070,1,4
102610034,2025,2099,1,4
102610034,2025,1195,1,4
102610034,2025,1346,1,4
102610034,2025,901,1,4
102610052,2025,2733,1,4
102610052,2025,7102,1,4
102610052,2025,901,3,4
102610052,2025,11731,1,4
102610052,2025,8183,1,4
102610052,2025,9134,1,4
102610052,2025,1795,1,4
102610052,2025,166,1,4
102610052,2025,3939,1,4
102610052,2025,4371,1,4
102610052,2025,11784,1,4
102610052,2025,1410,1,4
102610052,2025,3548,1,4
102610052,2025,814,1,4
102610052,2025,4050,1,0
102610052,2025,3016,1,4
102610052,2025,92,1,4
102610052,2025,2055,1,5
102610052,2025,7954,1,5
102610052,2025,7797,1,5
102610052,2025,1373,1,4
102610052,2025,301,1,8
102610052,2025,3233,1,4
102610052,2025,6528,1,4
102610052,2025,5280,1,4
102610052,2025,4826,1,4
102610052,2025,1037,1,4
102610052,2025,11436,1,4
102610052,2025,5253,1,4
102610052,2025,9104,1,4
102610052,2025,4587,1,4
102610052,2025,1174,2,4
102610052,2025,10,4,8
102610052,2025,5148,1,4
102610052,2025,4768,1,4
102610052,2025,4559,1,4
102610052,2025,1090,1,4
102610052,2025,9252,1,4
102610061,2025,9292,1,4
102610061,2025,246,1,4
102610061,2025,4041,1,4
102610061,2025,4154,1,0
102610061,2025,1071,1,2
102610061,2025,4893,1,4
102610061,2025,835,1,4
102610061,2025,1296,1,4
102610061,2025,1254,1,4
102610061,2025,412,1,4
102610061,2025,627,1,4
102610061,2025,1078,1,2
102610061,2025,2425,1,0
102610061,2025,1079,1,2
102610061,2025,4,2,4
102610061,2025,5930,1,4
102610061,2025,3724,1,4
102610061,2025,4048,1,4
102610061,2025,3139,1,4
102610061,2025,1219,1,4
102610061,2025,2564,1,4
102610061,2025,3166,1,4
102610061,2025,10432,1,4
102610061,2025,144,1,4
102610061,2025,4128,2,0
102610061,2025,25,1,4
102610061,2025,3248,1,4
102610061,2025,1321,1,4
102610061,2025,2920,1,4
102610061,2025,4576,1,4
102610061,2025,5290,1,4
102610061,2025,10705,1,4
102610061,2025,301,1,8
102610061,2025,1037,1,4
102610061,2025,5253,1,4
102610061,2025,1067,1,4
102610061,2025,1174,1,4
102610061,2025,12791,1,4
102610061,2025,9233,1,4
102610061,2025,5168,1,2
102610061,2025,1620,1,4
102610061,2025,2716,1,4
102610061,2025,7947,1,4
102610061,2025,6791,1,4
102610061,2025,983,1,4
102610079,2025,6750,1,4
102610079,2025,1590,1,4
102610079,2025,9575,1,4
102610079,2025,4855,1,0
102610079,2025,985,1,0
102610079,2025,3959,1,4
102610079,2025,8313,1,4
102610079,2025,861,1,4
102610079,2025,2977,1,4
102610079,2025,1212,1,4
102610079,2025,8720,1,4
102610079,2025,4893,1,4
102610079,2025,7041,1,4
102610079,2025,850,1,4
102610079,2025,3931,1,4
102610079,2025,901,2,4
102610079,2025,8854,1,4
102610079,2025,59,1,4
102610079,2025,4475,1,4
102610079,2025,5930,1,4
102610079,2025,908,1,4
102610079,2025,10,2,8
102610079,2025,5988,1,4
102610079,2025,2484,1,4
102610079,2025,6053,1,4
102610079,2025,2982,1,4
102610079,2025,12792,1,1
102610079,2025,7297,1,4
102610079,2025,6475,1,4
102610079,2025,7817,1,4
102610079,2025,237,1,0
102610079,2025,8607,1,4
102610079,2025,4076,1,4
102610079,2025,4392,1,4
102610079,2025,5290,1,4
102610079,2025,1037,1,4
102610079,2025,273,1,4
102610079,2025,6591,1,4
102610079,2025,3151,1,4
102610079,2025,1440,1,4
102610079,2025,10537,1,4
102610079,2025,9233,1,4
102610079,2025,12793,1,4
102610079,2025,12153,1,4
102610079,2025,8716,1,4
102610079,2025,4594,1,2
102610079,2025,8228,1,4
