yop_kodu,year,lise_id,yerlesen_sayisi,school_type
109210017,2025,1693,1,4
109210017,2025,4188,1,4
109210017,2025,7462,1,4
109210017,2025,5607,1,4
109210017,2025,44,1,2
109210017,2025,108,1,2
109210017,2025,2871,1,4
109210017,2025,4181,1,2
109210017,2025,633,1,4
109210017,2025,989,1,4
109210017,2025,10,7,8
109210017,2025,104,1,4
109210017,2025,3428,2,2
109210017,2025,2500,1,4
109210017,2025,1645,1,4
109210017,2025,2876,1,2
109210017,2025,2560,2,4
109210017,2025,56,1,4
109210017,2025,2878,3,2
109210017,2025,313,1,4
109210017,2025,2882,1,4
109210017,2025,2169,1,4
109210017,2025,164,2,4
109210017,2025,2883,1,2
109210017,2025,1110,1,2
109210017,2025,352,1,2
109210017,2025,1971,1,4
109210017,2025,958,1,4
109210017,2025,1544,1,4
109210017,2025,3908,1,4
109210017,2025,1766,1,6
109210017,2025,202,1,2
109210017,2025,938,2,0
109210017,2025,2564,1,4
109210017,2025,527,1,2
109210017,2025,914,1,5
109210017,2025,3563,2,3
109210017,2025,4186,1,3
109210017,2025,3549,1,5
109210017,2025,680,1,7
109210017,2025,2403,2,5
109210017,2025,2175,1,3
109210017,2025,3401,1,5
109210017,2025,549,1,4
109210017,2025,4704,1,3
109210017,2025,8403,1,3
109210017,2025,236,1,2
109210017,2025,2184,1,2
109210017,2025,2243,1,2
109210017,2025,2857,1,4
109210017,2025,212,1,4
109210017,2025,1920,1,4
109210017,2025,2864,1,2
109210017,2025,939,1,2
109210017,2025,977,2,4
109210017,2025,2345,1,4
109210017,2025,4347,1,4
109210132,2025,1226,1,4
109210132,2025,3764,1,4
109210132,2025,1932,1,0
109210132,2025,5662,1,4
109210132,2025,989,1,4
109210132,2025,2039,1,4
109210132,2025,1552,1,6
109210132,2025,2258,1,4
109210132,2025,2763,1,4
109210132,2025,7825,1,4
109210132,2025,2046,1,4
109210132,2025,2328,1,4
109210132,2025,2414,1,4
109210132,2025,1849,1,4
109210132,2025,91,1,4
109210132,2025,4230,1,4
109210132,2025,1798,1,4
109210132,2025,9976,1,5
109210132,2025,7866,1,5
109210132,2025,6214,1,5
109210132,2025,8070,1,5
109210132,2025,10,7,8
109210132,2025,8106,1,5
109210132,2025,4238,1,5
109210132,2025,1507,1,4
109210132,2025,3036,1,0
109210132,2025,1956,1,4
109210132,2025,3669,1,1
109210132,2025,137,1,4
109210132,2025,2202,1,4
109210132,2025,5148,1,4
109210132,2025,1964,1,4
109210132,2025,1811,1,4
109210132,2025,2471,1,4
109210132,2025,3064,1,4
109210132,2025,2813,1,4
109210141,2025,1107,1,4
109210141,2025,2670,1,4
109210141,2025,5758,1,4
109210141,2025,3999,1,4
109210141,2025,1443,1,0
109210141,2025,994,1,4
109210141,2025,5831,1,0
109210141,2025,2072,1,4
109210141,2025,9334,1,4
109210141,2025,2426,1,0
109210141,2025,10,9,8
109210141,2025,5982,2,6
109210141,2025,5640,1,4
109210141,2025,2126,1,4
109210141,2025,643,1,4
109210141,2025,3767,1,5
109210141,2025,2128,1,5
109210141,2025,3990,1,5
109210141,2025,4880,1,5
109210141,2025,1616,1,4
109210141,2025,1835,1,4
109210141,2025,1754,1,4
109210141,2025,7368,1,4
109210141,2025,949,1,0
109210141,2025,813,1,4
109210141,2025,1358,1,4
109210141,2025,1146,1,4
109210141,2025,2316,1,4
109210141,2025,8772,1,4
109210141,2025,4910,1,4
109210141,2025,1643,1,4
109210141,2025,2836,1,4
109210141,2025,4743,1,4
109210159,2025,2068,1,4
109210159,2025,976,1,4
109210159,2025,2120,1,4
109210159,2025,633,1,4
109210159,2025,2761,1,4
109210159,2025,2165,1,4
109210159,2025,2151,1,4
109210159,2025,4245,1,4
109210159,2025,11740,1,4
109210159,2025,2763,1,4
109210159,2025,3894,1,4
109210159,2025,1076,1,4
109210159,2025,4542,1,6
109210159,2025,1760,1,4
109210159,2025,842,1,4
109210159,2025,5853,1,4
109210159,2025,1793,1,4
109210159,2025,3464,1,4
109210159,2025,2504,1,4
109210159,2025,2603,1,4
109210159,2025,2426,1,0
109210159,2025,10,7,8
109210159,2025,2377,1,4
109210159,2025,2606,1,4
109210159,2025,2431,1,4
109210159,2025,1544,1,4
109210159,2025,590,1,4
109210159,2025,1950,1,5
109210159,2025,5422,1,5
