yop_kodu,year,lise_id,yerlesen_sayisi,school_type
205410026,2025,3064,1,4
205410026,2025,1213,1,4
205410026,2025,648,1,5
205410026,2025,4128,1,0
205410035,2025,10,1,8
205410035,2025,4924,1,0
205410035,2025,1693,1,4
205410035,2025,1336,1,0
205410044,2025,7182,1,5
205410044,2025,606,1,5
205410044,2025,3730,1,3
205410044,2025,170,1,5
205410044,2025,7828,1,5
205410044,2025,7233,1,5
205410044,2025,3567,1,5
205410044,2025,7925,1,5
205410044,2025,7795,1,5
205410044,2025,5007,1,5
205410044,2025,10,1,8
205410044,2025,8064,1,5
205410044,2025,7731,2,5
205410044,2025,801,2,1
205410044,2025,7676,1,5
205410044,2025,8098,1,3
205410044,2025,3044,1,4
205410044,2025,4585,1,5
205410044,2025,8132,1,5
205410044,2025,4703,1,5
205410044,2025,7711,1,5
205410053,2025,949,1,0
205410053,2025,324,1,0
205410053,2025,2759,1,0
205410053,2025,142,1,4
205410053,2025,956,1,2
205410053,2025,2878,1,2
205410053,2025,2423,1,2
205410053,2025,10948,1,3
205410053,2025,4128,1,0
205410062,2025,2637,1,5
205410062,2025,3626,1,5
205410062,2025,746,1,5
205410062,2025,2131,1,5
205410062,2025,5477,1,7
205410062,2025,2851,1,5
205410062,2025,7832,1,7
205410062,2025,7707,1,5
205410062,2025,1800,1,5
205410062,2025,7715,1,5
205410062,2025,281,1,4
205410062,2025,5358,1,5
205410062,2025,7731,1,5
205410062,2025,801,2,1
205410062,2025,688,1,3
205410062,2025,6140,1,5
205410062,2025,4034,1,5
205410062,2025,4703,2,5
205410062,2025,8113,1,5
205410062,2025,5503,1,5
205410062,2025,10113,1,5
205410071,2025,2389,1,4
205410071,2025,2856,1,2
205410071,2025,2870,1,4
205410071,2025,957,1,4
205410071,2025,156,1,4
205410071,2025,3,1,2
205410071,2025,157,1,0
205410071,2025,10168,1,5
205410071,2025,85,1,4
205410105,2025,7656,1,3
205410105,2025,8016,1,7
205410105,2025,8703,1,5
205410105,2025,1051,1,5
205410105,2025,4703,2,5
205410105,2025,169,1,5
205410105,2025,8690,1,3
205410105,2025,9071,1,5
205410105,2025,2403,2,5
205410105,2025,8021,1,3
205410105,2025,8058,1,5
205410105,2025,7828,1,5
205410105,2025,3567,1,5
205410105,2025,7925,1,5
205410105,2025,5619,1,5
205410105,2025,2852,1,3
205410105,2025,9027,1,3
205410105,2025,8014,1,3
205410105,2025,22,1,5
205410105,2025,7852,1,5
205410105,2025,5267,1,5
205410105,2025,143,1,2
205410105,2025,729,1,1
205410105,2025,12837,1,3
205410105,2025,4626,2,3
205410105,2025,2860,1,4
205410105,2025,1437,1,2
205410105,2025,801,2,1
205410105,2025,778,1,1
205410105,2025,7660,1,4
205410105,2025,4318,1,2
205410105,2025,6,1,4
205410105,2025,4242,1,1
205410105,2025,2052,2,5
205410105,2025,8027,1,3
205410114,2025,3912,1,3
205410114,2025,8014,1,3
205410114,2025,10672,1,3
205410114,2025,7701,1,3
205410114,2025,2855,1,2
205410114,2025,5268,1,2
205410114,2025,1061,1,2
205410114,2025,1441,1,2
205410114,2025,800,1,2
205410114,2025,3903,1,2
205410114,2025,3679,1,2
205410114,2025,1543,1,4
205410114,2025,7924,1,4
205410114,2025,226,1,2
205410114,2025,4623,1,3
205410114,2025,4406,1,5
205410123,2025,5361,1,5
205410123,2025,8028,1,3
205410123,2025,4034,1,5
205410123,2025,8251,1,7
205410123,2025,8385,2,5
205410123,2025,12496,1,3
205410123,2025,7635,1,5
205410123,2025,7751,2,5
205410123,2025,8377,1,3
205410123,2025,3912,1,3
205410123,2025,324,1,0
205410123,2025,2216,2,5
205410123,2025,5477,1,7
205410123,2025,7737,1,3
205410123,2025,7925,1,5
205410123,2025,8003,1,3
205410123,2025,2852,3,3
205410123,2025,7833,2,5
205410123,2025,4148,1,5
205410123,2025,3635,1,5
205410123,2025,7756,2,3
205410123,2025,131,1,4
205410123,2025,3167,1,4
205410123,2025,801,1,1
205410123,2025,3202,1,5
205410123,2025,85,1,4
205410123,2025,1145,1,0
205410123,2025,2867,1,4
