yop_kodu,year,lise_id,yerlesen_sayisi,school_type
109410024,2025,702,1,4
109410024,2025,4412,1,4
109410042,2025,4892,1,0
109410042,2025,3264,1,4
109410042,2025,3891,1,4
109410042,2025,2226,1,4
109410042,2025,3009,1,4
109410042,2025,1522,1,4
109410042,2025,3011,1,4
109410042,2025,7078,1,4
109410042,2025,4225,1,4
109410042,2025,1926,2,4
109410042,2025,702,2,4
109410042,2025,8826,2,4
109410042,2025,1475,1,2
109410042,2025,5939,1,4
109410042,2025,4262,1,4
109410042,2025,7593,1,4
109410042,2025,1300,1,4
109410042,2025,314,1,4
109410042,2025,2606,1,4
109410042,2025,8909,1,4
109410042,2025,2915,1,4
109410042,2025,10,3,8
109410042,2025,2268,1,5
109410042,2025,3001,1,5
109410042,2025,2659,1,4
109410042,2025,3084,1,4
109410042,2025,3830,1,4
109410042,2025,11179,1,4
109410042,2025,6601,1,4
109410042,2025,3572,2,0
109410042,2025,3720,1,4
109410042,2025,3405,1,0
109410042,2025,4302,1,4
109410042,2025,3630,1,4
109410042,2025,624,1,4
109410042,2025,2246,1,4
109410042,2025,7436,1,4
109410042,2025,4222,1,4
109410051,2025,11681,1,0
109410051,2025,4620,1,4
109410051,2025,515,1,4
109410051,2025,2246,1,4
109410051,2025,1315,1,4
109410051,2025,2617,1,4
109410051,2025,2926,1,4
109410051,2025,630,1,4
109410051,2025,5608,1,4
109410051,2025,3997,1,4
109410051,2025,2327,1,4
109410051,2025,45,1,2
109410051,2025,295,1,0
109410051,2025,1572,1,4
109410051,2025,4155,1,4
109410051,2025,1925,1,4
109410051,2025,2102,1,4
109410051,2025,1273,1,4
109410051,2025,595,1,0
109410051,2025,3739,1,4
109410051,2025,3621,1,4
109410051,2025,702,1,4
109410051,2025,1795,1,4
109410051,2025,5082,2,4
109410051,2025,1411,1,4
109410051,2025,1909,1,4
109410051,2025,5997,1,4
109410051,2025,2562,1,4
109410051,2025,3281,1,4
109410051,2025,4123,1,0
109410051,2025,3367,1,4
109410051,2025,1767,1,4
109410051,2025,10,1,8
109410051,2025,4125,1,5
109410051,2025,458,1,4
109410051,2025,3036,1,0
109410051,2025,2920,1,4
109410051,2025,3720,2,4
109410051,2025,3850,1,4
109410051,2025,3405,1,0
109410051,2025,5745,1,4
109410051,2025,308,1,0
109410051,2025,428,1,4
109410051,2025,3457,1,4
109410051,2025,469,1,4
109410069,2025,3852,1,4
109410069,2025,295,2,0
109410069,2025,3891,1,4
109410069,2025,4653,1,4
109410069,2025,1572,1,4
109410069,2025,7016,1,4
109410069,2025,1925,1,4
109410069,2025,4245,1,4
109410069,2025,1926,1,4
109410069,2025,8826,1,4
109410069,2025,2124,1,4
109410069,2025,8981,1,4
109410069,2025,12871,1,4
109410069,2025,4241,1,0
109410069,2025,5060,1,4
109410069,2025,5968,1,4
109410069,2025,6018,1,4
109410069,2025,4172,1,4
109410069,2025,8872,1,4
109410069,2025,3256,1,4
109410069,2025,12872,1,4
109410069,2025,702,3,4
109410069,2025,6413,1,4
109410069,2025,4021,1,4
109410069,2025,9861,1,4
109410069,2025,5089,1,4
109410069,2025,3250,1,4
109410069,2025,662,1,4
109410069,2025,3284,1,4
109410069,2025,6709,1,4
109410069,2025,10,3,8
