yop_kodu,year,lise_id,yerlesen_sayisi,school_type
109610013,2025,5378,1,2
109610013,2025,5024,1,0
109610013,2025,8507,1,4
109610013,2025,716,1,0
109610013,2025,5387,1,4
109610013,2025,3744,1,4
109610013,2025,2227,1,4
109610013,2025,4012,1,4
109610013,2025,3429,1,4
109610013,2025,407,1,4
109610013,2025,10,2,8
109610013,2025,863,1,4
109610013,2025,3543,1,2
109610013,2025,1074,1,4
109610013,2025,7039,1,4
109610013,2025,5069,3,4
109610013,2025,312,1,4
109610013,2025,562,1,0
109610013,2025,346,1,0
109610013,2025,517,2,5
109610013,2025,3492,1,2
109610013,2025,2989,1,2
109610013,2025,698,1,4
109610013,2025,732,1,4
109610013,2025,526,1,4
109610013,2025,2764,2,0
109610013,2025,1200,1,2
109610013,2025,11489,1,4
109610013,2025,536,1,2
109610013,2025,2429,1,4
109610013,2025,4304,1,4
109610013,2025,537,1,4
109610013,2025,1176,1,4
109610013,2025,701,1,4
109610013,2025,3908,1,4
109610013,2025,2842,1,4
109610013,2025,668,1,4
109610013,2025,8278,1,4
109610013,2025,2961,1,0
109610013,2025,12040,1,3
109610013,2025,420,1,5
109610013,2025,7667,1,5
109610013,2025,5022,1,5
109610013,2025,3426,1,4
109610013,2025,10710,1,3
109610013,2025,5044,1,5
109610013,2025,5706,1,5
109610013,2025,434,1,5
109610013,2025,5065,1,5
109610013,2025,3624,1,5
109610013,2025,5493,1,5
109610013,2025,8160,1,5
109610013,2025,2438,1,3
109610013,2025,5619,1,5
109610013,2025,3882,1,4
109610013,2025,10149,1,5
109610013,2025,8741,1,5
109610013,2025,758,1,4
109610013,2025,8155,1,0
109610013,2025,3848,1,0
109610013,2025,530,1,4
109610013,2025,654,1,4
109610013,2025,7731,1,5
109610013,2025,5651,1,4
109610013,2025,5680,1,4
109610013,2025,377,1,0
109610013,2025,5508,1,4
109610013,2025,2360,1,0
109610013,2025,276,1,4
109610013,2025,1325,1,4
109610013,2025,4511,1,4
109610013,2025,6643,1,4
109610013,2025,816,1,0
109610013,2025,3062,1,4
109610013,2025,6726,1,4
109610013,2025,4729,1,4
109610013,2025,5571,1,4
109610022,2025,630,1,4
109610022,2025,633,1,4
109610022,2025,3291,1,0
109610022,2025,111,1,4
109610022,2025,2325,1,4
109610022,2025,1295,1,2
109610022,2025,1645,1,4
109610022,2025,906,1,4
109610022,2025,2425,1,0
109610022,2025,115,1,4
109610022,2025,10,2,8
109610022,2025,5485,1,0
109610022,2025,1761,1,0
109610022,2025,158,2,0
109610022,2025,1543,1,4
109610022,2025,701,1,4
109610022,2025,1766,1,6
109610022,2025,8278,1,4
109610022,2025,5300,1,5
109610022,2025,2898,1,3
109610022,2025,717,1,5
109610022,2025,2169,1,4
109610022,2025,3912,1,3
109610022,2025,553,1,3
109610022,2025,7787,1,5
109610022,2025,926,1,5
109610022,2025,4355,1,5
109610022,2025,2589,1,5
109610022,2025,456,1,4
109610022,2025,3453,1,0
109610022,2025,8155,1,0
109610022,2025,2360,1,0
109610022,2025,4146,1,0
109610022,2025,5294,1,4
109610022,2025,6652,1,4
109610022,2025,2433,1,0
109610022,2025,2155,1,4
109610022,2025,558,1,4
109610022,2025,3540,1,0
109610022,2025,2731,1,2
109610049,2025,742,1,5
109610049,2025,4160,1,5
109610049,2025,758,1,4
109610049,2025,7382,1,4
109610049,2025,4620,1,4
109610049,2025,10125,2,4
109610049,2025,3397,2,4
109610049,2025,3476,1,4
109610049,2025,4188,2,4
109610049,2025,3873,2,4
109610049,2025,3229,1,4
109610049,2025,7151,1,1
109610058,2025,4620,1,4
109610058,2025,350,1,0
109610058,2025,531,1,0
109610058,2025,351,1,0
109610058,2025,333,1,4
109610058,2025,7151,1,1
109610058,2025,7382,2,4
109610076,2025,2729,2,2
109610076,2025,8507,2,4
109610076,2025,3476,3,4
109610076,2025,2717,1,2
109610076,2025,2277,1,2
109610076,2025,143,1,2
109610076,2025,3557,1,2
109610076,2025,3677,1,2
109610076,2025,805,1,2
109610076,2025,2874,1,2
109610076,2025,165,1,2
109610076,2025,616,1,4
109610076,2025,3680,1,2
109610076,2025,808,1,2
