yop_kodu,year,lise_id,yerlesen_sayisi,school_type
205810058,2025,1107,1,4
205810058,2025,2371,1,4
205810058,2025,2706,1,4
205810058,2025,4822,1,4
205810058,2025,4185,1,4
205810058,2025,4398,1,4
205810058,2025,7587,1,4
205810058,2025,1409,1,4
205810058,2025,199,1,4
205810058,2025,2841,1,4
205810058,2025,2289,1,4
205810058,2025,12886,1,4
205810058,2025,358,1,4
205810058,2025,2076,1,5
205810058,2025,7678,1,5
205810058,2025,7156,1,3
205810058,2025,6126,1,5
205810058,2025,8739,1,5
205810058,2025,7783,1,5
205810058,2025,5379,1,5
205810058,2025,7809,1,5
205810058,2025,10,5,8
205810058,2025,2380,1,5
205810058,2025,680,1,7
205810058,2025,6197,1,5
205810058,2025,7751,1,5
205810058,2025,2240,1,5
205810058,2025,5163,1,5
205810058,2025,3657,1,5
205810058,2025,4880,1,5
205810058,2025,7246,1,1
205810058,2025,8063,2,5
205810058,2025,8058,1,5
205810058,2025,8111,1,5
205810058,2025,7641,2,5
205810058,2025,8126,1,5
205810058,2025,8081,1,5
205810058,2025,3845,2,5
205810058,2025,4160,1,5
205810058,2025,3628,1,5
205810058,2025,5648,1,7
205810058,2025,3635,1,5
205810058,2025,6544,1,4
205810058,2025,5123,1,4
205810058,2025,4450,1,4
205810058,2025,801,1,1
205810058,2025,7686,1,4
205810058,2025,5532,1,4
205810058,2025,2689,1,4
205810058,2025,6975,1,4
205810058,2025,4459,1,4
205810067,2025,1154,1,4
205810067,2025,10,5,8
205810067,2025,5482,1,4
205810067,2025,9298,1,4
205810067,2025,562,2,0
205810067,2025,4318,1,2
205810067,2025,3801,1,5
205810067,2025,5542,1,5
205810101,2025,7678,1,5
205810101,2025,7783,1,5
205810101,2025,7171,1,5
205810101,2025,7706,1,5
205810101,2025,2782,1,4
205810101,2025,2144,1,4
205810128,2025,4547,1,5
205810128,2025,10057,1,5
205810128,2025,7671,1,5
205810128,2025,2357,1,0
205810128,2025,1920,1,4
205810128,2025,2572,1,4
205810155,2025,1560,1,2
205810155,2025,7907,1,3
205810155,2025,991,1,2
205810155,2025,2166,1,4
205810155,2025,163,1,2
205810155,2025,4622,1,2
205810155,2025,3884,1,4
205810155,2025,4350,1,4
205810155,2025,5264,1,3
205810155,2025,4623,1,3
205810155,2025,10,1,8
205810155,2025,10376,1,3
205810155,2025,3909,1,3
205810155,2025,8113,1,5
205810155,2025,8385,1,5
205810155,2025,3639,1,3
205810155,2025,1478,1,5
205810155,2025,826,1,5
205810155,2025,574,1,5
205810155,2025,2403,1,5
205810155,2025,1514,1,3
205810155,2025,324,2,0
205810155,2025,3912,1,3
205810155,2025,1424,1,3
205810155,2025,876,1,5
205810155,2025,7925,1,5
205810155,2025,8003,1,3
205810155,2025,796,1,3
205810155,2025,7756,1,3
205810155,2025,7724,1,3
205810155,2025,2855,1,2
205810155,2025,530,1,4
205810155,2025,8257,1,3
205810155,2025,33,1,4
205810155,2025,886,1,4
205810155,2025,3669,1,1
205810155,2025,103,1,4
205810155,2025,895,1,4
205810155,2025,8098,1,3
205810155,2025,4435,1,4
205810155,2025,2717,1,2
205810164,2025,1402,1,2
205810164,2025,1405,1,2
205810164,2025,7660,2,4
205810164,2025,2206,1,4
205810164,2025,8029,1,3
205810164,2025,7785,1,3
205810164,2025,7773,1,3
205810173,2025,2582,1,4
205810173,2025,3564,1,5
205810173,2025,7648,1,5
205810173,2025,825,1,5
205810173,2025,7179,1,5
205810173,2025,261,1,5
205810173,2025,9675,1,5
205810173,2025,10097,1,3
205810173,2025,12887,1,3
205810173,2025,5163,1,5
205810173,2025,10,1,8
205810173,2025,1680,1,5
205810173,2025,4685,1,5
205810173,2025,2747,1,5
205810173,2025,12753,1,4
205810173,2025,2467,1,4
205810173,2025,3752,1,4
205810173,2025,150,1,4
205810173,2025,136,1,4
205810173,2025,291,1,4
205810173,2025,239,1,4
205810173,2025,2990,1,0
205810173,2025,2143,1,4
205810173,2025,2318,1,4
205810173,2025,2192,1,4
205810173,2025,835,1,4
205810173,2025,4349,1,4
205810173,2025,1320,1,4
205810173,2025,164,1,4
205810182,2025,3166,1,4
205810182,2025,10,3,8
205810182,2025,1246,1,4
205810182,2025,55,1,2
205810182,2025,4004,1,4
205810182,2025,3109,1,5
205810182,2025,2975,1,4
205810182,2025,1900,1,4
205810207,2025,10,1,8
205810207,2025,228,1,5
205810207,2025,8322,1,5
205810207,2025,2440,1,5
205810207,2025,4196,1,4
205810234,2025,4624,1,5
205810234,2025,7668,1,5
205810234,2025,368,1,5
205810234,2025,8766,1,3
205810234,2025,2269,1,5
205810234,2025,7696,1,5
205810234,2025,2270,1,3
205810234,2025,6263,2,5
205810234,2025,8039,1,5
205810234,2025,8422,1,5
205810234,2025,10,3,8
205810234,2025,3787,1,5
205810234,2025,7779,1,5
205810234,2025,6349,1,5
205810234,2025,6353,1,5
205810234,2025,5007,1,5
205810234,2025,381,1,5
205810234,2025,3635,1,5
205810234,2025,8049,1,5
205810234,2025,7478,1,4
205810234,2025,5534,1,4
205810234,2025,8132,1,5
205810234,2025,364,1,5
205810234,2025,4700,1,7
205810234,2025,1051,1,5
205810234,2025,2635,1,5
205810288,2025,7648,1,5
205810288,2025,7654,1,5
205810288,2025,7650,1,5
205810288,2025,261,1,5
205810288,2025,7826,1,7
205810288,2025,790,1,3
205810288,2025,6197,1,5
205810288,2025,6209,1,5
205810288,2025,7751,1,5
205810288,2025,5163,1,5
205810288,2025,10,2,8
205810288,2025,5477,1,7
205810288,2025,3787,1,5
205810288,2025,7793,1,5
205810288,2025,3845,1,5
205810288,2025,5007,1,5
205810288,2025,5649,1,5
205810288,2025,80,1,4
205810288,2025,6478,1,4
205810288,2025,2093,1,4
205810288,2025,8347,1,4
205810288,2025,6908,1,4
205810288,2025,9741,1,4
205810288,2025,3965,1,4
