yop_kodu,year,lise_id,yerlesen_sayisi,school_type
409610204,2025,8714,1,5
409610213,2025,10,1,8
409610222,2025,12412,1,4
409610231,2025,10,1,8
409610231,2025,3854,1,0
409610231,2025,2738,1,4
409610231,2025,680,1,7
409610231,2025,1837,1,4
409610249,2025,137,1,4
409610319,2025,10,1,8
409610328,2025,6863,1,4
409610328,2025,3317,1,4
409610328,2025,4901,1,4
409610328,2025,2700,1,4
409610355,2025,10,1,8
409610355,2025,12891,1,0
409610355,2025,8232,1,4
409610355,2025,1704,1,4
409610355,2025,6018,1,4
409610355,2025,3109,1,5
409610355,2025,5602,1,4
409610364,2025,325,1,4
409610364,2025,5158,1,4
409610364,2025,10689,1,5
409610364,2025,9716,1,4
409610364,2025,458,1,4
409610364,2025,6434,1,4
409610479,2025,10,1,8
409610479,2025,5880,1,4
409610479,2025,5433,1,5
409610531,2025,4605,1,4
409610531,2025,6560,1,4
409610531,2025,2410,1,4
409610531,2025,1925,1,4
409610531,2025,2427,1,0
409610549,2025,10,2,8
409610549,2025,2582,1,4
409610549,2025,11909,1,5
409610549,2025,5023,1,4
409610636,2025,10,1,8
409610650,2025,5810,1,4
409610678,2025,8152,1,5
409610720,2025,7365,1,4
409610720,2025,4510,1,4
409610720,2025,2281,1,2
409610720,2025,4705,1,4
409610720,2025,1125,1,4
409610720,2025,244,1,4
409610720,2025,3680,1,2
409610720,2025,8633,1,3
409610720,2025,1416,1,3
409610720,2025,2273,1,7
409610741,2025,1069,1,4
409610783,2025,10,1,8
409610783,2025,5118,1,4
409610804,2025,3821,1,5
409610804,2025,1837,1,4
