yop_kodu,year,lise_id,yerlesen_sayisi,school_type
301310056,2025,3395,1,4
301310056,2025,929,1,4
301310056,2025,1399,1,4
301310056,2025,2605,1,4
301310056,2025,2562,1,4
301310056,2025,2207,1,4
301310056,2025,4845,1,5
301310056,2025,1091,1,4
301310056,2025,1920,1,4
301310065,2025,3382,2,6
301310065,2025,4000,1,4
301310065,2025,2043,1,4
301310065,2025,8981,1,4
301310065,2025,4852,1,5
301310065,2025,2055,1,5
301310065,2025,10287,1,5
301310065,2025,4863,1,5
301310065,2025,7829,1,5
301310065,2025,4845,1,5
301310065,2025,10,1,8
301310065,2025,5327,1,5
301310065,2025,3756,1,4
301310065,2025,3870,1,4
301310065,2025,1920,1,4
301310065,2025,780,1,4
301310065,2025,9286,1,4
301310065,2025,6776,1,4
301310065,2025,976,1,4
301310065,2025,343,1,4
301310065,2025,1643,1,4
301310065,2025,10975,1,4
301310083,2025,10,2,8
301310083,2025,7540,1,4
301310083,2025,2633,1,5
301310083,2025,2492,1,4
301310083,2025,1354,1,4
301310083,2025,1266,1,4
301310083,2025,1311,1,4
301310092,2025,1199,1,4
301310092,2025,3038,1,4
301310092,2025,2405,1,4
301310144,2025,7940,1,4
301310144,2025,3653,1,5
301310162,2025,5529,1,5
301310171,2025,10,2,8
301310171,2025,1103,1,4
301310171,2025,1841,1,4
301310171,2025,2377,1,4
301310171,2025,7976,1,5
301310171,2025,8235,1,5
301310171,2025,3498,1,5
301310171,2025,4021,1,4
301310189,2025,1190,1,5
301310189,2025,2932,1,5
301310189,2025,397,1,5
301310189,2025,3790,1,5
301310189,2025,924,1,5
301310189,2025,8743,1,5
301310189,2025,8721,1,1
301310189,2025,4354,1,5
301310189,2025,12880,1,1
301310189,2025,9894,1,5
301310189,2025,10,2,8
301310189,2025,8894,1,5
301310189,2025,5519,1,3
301310189,2025,9709,1,5
301310189,2025,3298,1,4
301310189,2025,3985,1,4
301310189,2025,4172,1,4
301310189,2025,2208,1,5
301310189,2025,961,1,5
301310189,2025,1447,1,5
301310189,2025,2128,1,5
301310189,2025,673,1,5
301310205,2025,10,1,8
301310205,2025,10498,2,5
301310205,2025,3829,1,3
301310205,2025,4217,1,5
301310302,2025,643,1,4
301390037,2025,10,2,8
301390037,2025,1043,1,4
301390037,2025,1261,1,5
301390037,2025,876,1,5
301390037,2025,4845,1,5
301390038,2025,10,1,8
301390038,2025,403,1,4
301390038,2025,7906,1,4
