yop_kodu,year,lise_id,yerlesen_sayisi,school_type
408810038,2025,10,1,8
408810038,2025,4845,1,5
408810038,2025,2746,1,5
408810038,2025,6404,1,4
408810065,2025,1495,1,5
408810065,2025,459,1,4
408810065,2025,11396,1,4
408810065,2025,8050,1,1
408810065,2025,2040,1,4
408810065,2025,301,1,8
408810065,2025,10,4,8
408810065,2025,4688,1,4
408810065,2025,3696,1,4
408810065,2025,1930,1,6
408810065,2025,10424,1,4
408810065,2025,3611,1,4
408810092,2025,8204,1,4
408810092,2025,301,1,8
408810092,2025,10,1,8
408810092,2025,2948,1,4
408810092,2025,5986,1,4
408810302,2025,7160,1,5
408810329,2025,4112,1,5
408810329,2025,12900,1,5
408810329,2025,3644,1,5
408810329,2025,269,1,4
408810329,2025,4577,1,4
408810329,2025,3983,1,4
408810329,2025,468,1,4
408810329,2025,2696,1,4
408810329,2025,6677,1,4
408810329,2025,3757,1,4
408810329,2025,623,1,4
408810329,2025,2068,1,4
408810329,2025,855,1,4
408810329,2025,4227,1,0
408810329,2025,4500,1,5
408810383,2025,3583,1,4
408810383,2025,4260,1,4
408810383,2025,381,1,5
408810383,2025,6404,1,4
408810383,2025,2338,1,4
408810417,2025,10,2,8
408810417,2025,1939,1,4
408810417,2025,4980,1,5
408810417,2025,4296,1,4
408810586,2025,8055,1,5
408810586,2025,4308,1,1
408810586,2025,5008,1,5
408810586,2025,330,1,4
408810586,2025,2188,1,4
408810586,2025,10,3,8
408810586,2025,1753,1,4
408810586,2025,7830,1,4
408810586,2025,7431,1,4
408810586,2025,5731,1,4
408810586,2025,105,1,4
408810586,2025,9202,1,5
408810586,2025,443,1,5
408810686,2025,581,1,5
408810691,2025,2320,1,4
408810694,2025,2772,1,4
408810701,2025,2948,1,4
408810701,2025,5408,1,4
408810701,2025,9371,1,5
408810701,2025,966,1,3
408810701,2025,2188,1,4
408810722,2025,10,1,8
408810729,2025,1624,1,4
408810743,2025,10,2,8
408810743,2025,2115,1,4
408810743,2025,10830,1,5
408810743,2025,10195,1,5
408810743,2025,455,1,5
408810743,2025,9817,1,4
408810764,2025,5531,1,5
408810771,2025,10,1,8
408810771,2025,3809,1,4
408810771,2025,9654,1,4
408810771,2025,4682,1,5
408810771,2025,11223,1,5
408810785,2025,10,1,8
408810785,2025,6819,1,4
408810806,2025,10,1,8
408810806,2025,966,1,3
408810806,2025,5433,1,5
408810806,2025,337,1,7
408810806,2025,2592,1,4
408810806,2025,10491,1,4
408810890,2025,10,1,8
408810890,2025,2870,1,4
408810890,2025,8760,1,5
408810911,2025,597,1,4
